,Concept_ID,vep,sk
0,Auge::N,sil'm,oko
1,Ohr::N,korv,ucho
2,Nase::N,nena,nos
3,Mund::N,su,ústa
4,Zahn::N,pi,zub
5,Zahn::N,hambaz,zub
6,Zunge::N,kel',jazyk
7,Lippe::N,hul',pera
8,Wange::N,modpolišk,líce
9,Gesicht::N,mod,tvár
10,Gesicht::N,mod,obličaj
11,Stirn::N,oc,čelo
12,Haar::N,tuk,vlas
13,Haar::N,hibuz,vlas
14,Schnurrbart::N,habinod,fúzy
15,Bart::N,bard,brada
16,Kinn::N,löug,brada
17,Kiefer[Anatomie]::N,hambazlu,čeľusť
18,Kehle::N,kurk,hrdlo
19,Hals::N,kagl,krk
20,Genick::N,tagarai,väzy
21,Kopf::N,pä,hlava
22,Rücken::N,sel'g,chrbát
23,Bauch::N,vac,brucho
24,Bauch::N,koht,brucho
25,Nabel::N,naba,pupok
26,Busen::N,niža,prsia
27,Brust::N,rind,hruď
28,Schulter::N,oug,plece
29,Arm::N,käzi,rameno
30,Ellenbogen::N,künambruz,lakeť
31,Hand::N,käzi,ruka
32,Hand::N,käzitera,ruka
33,Handfläche::N,kämen,dlaň
34,Finger::N,sor'm,prst
35,Fingernagel::N,künz',necht
36,Nagel[Anatomie]::N,künz',necht
37,Zeh::N,barbaz,prst na nohe
38,Fuß::N,jaug,noha
39,Ferse::N,kand,päta
40,Knie::N,komb,koleno
41,Knie::N,pol'v,koleno
42,Oberschenkel::N,riiže,stehno
43,Bein::N,jaug,noha
44,Körper::N,hibj,telo
45,Haut::N,nahk,koža
46,Blut::N,čak,krv
47,Blut::N,veri,krv
48,Ader::N,son',žila
49,Sehne::N,jände,šľacha
50,Knochen::N,lu,kosť
51,Gehirn::N,aivod,mozog
52,Herz::N,südäin,srdce
53,Magen::N,südäikoht,žalúdok
54,Leber::N,maks,pečeň
55,Atem::N,hengaiduz,dych
56,Hunger::N,näl'g,hlad
57,Träne::N,kündal',slza
58,Geschmack::N,magu,chuť
59,Geruch::N,haju,pach
60,Schlaf::N,uni,spánok
61,Traum::N,unikuva,sen
62,Himmel::N,taivaz,nebo
63,Sonne::N,päiväine,slnko
64,Mond::N,kudmaine,mesiac
65,Stern::N,tähtaz,hviezda
66,Luft::N,il'm,vzduch
67,Wind::N,döl,vietor
68,Wind::N,tullei,vietor
69,Welle::N,ald,vlna
70,Welle::N,laineh,vlna
71,Wasser::N,vezi,voda
72,Stein::N,kivi,kameň
73,Boden::N,ma,zem
74,Boden::N,ma,pôda
75,Boden::N,pohj,zem
76,Boden::N,pohj,pôda
77,Erde::N,ma,zem
78,Staub::N,pölü,prach
79,Rauch::N,savu,dym
80,Funke::N,kibin,iskra
81,Feuer::N,lämoi,oheň
82,Licht::N,vauktuz,svetlo
83,Schatten::N,pil'vez,tieň
84,Schatten::N,kuvahaine,tieň
85,Wetter::N,sä,počasie
86,Nebel::N,sumeg,hmla
87,Wolke::N,pil'v,oblak
88,Wolke::N,pil'v,mračno
89,Regen::N,vihm,dážď
90,Schnee::N,lumi,sneh
91,Eis::N,jä,ľad
92,Frost::N,hala,mráz
93,Frost::N,pakaine,mráz
94,Kälte::N,vilu,zima
95,Kälte::N,vilu,chlad
96,Hitze::N,räk,horúčava
97,Raureif::N,hüde,srieň
98,Raureif::N,hüde,inovať
99,Regenbogen::N,jumalanbembel',dúha
100,Donner::N,juru,hrom
101,Donner::N,jumalanjuru,hrom
102,Strömung::N,joksmuz,prúdenie
103,Tropfen::N,tilkuine,kvapka
