,Concept_ID,,ba
0,Auge::N,,күҙ
1,Ohr::N,,ҡолаҡ
2,Nase::N,,танау
3,Mund::N,,ауыҙ
4,Zahn::N,,теш
5,Zunge::N,,тел
6,Lippe::N,,ирен
7,Wange::N,,яцаҡтар
8,Gesicht::N,,бит
9,Stirn::N,,маңлай
10,Haar::N,,сәс
11,Schnurrbart::N,,мылтыҡ
12,Bart::N,,һаҡал
13,Kinn::N,,эйэк
14,Kiefer[Anatomie]::N,,яңаҡ һөйәге
15,Kehle::N,,тамаҡ
16,Hals::N,,муйын
17,Genick::N,,соңҡа
18,Kopf::N,,баш
19,Rücken::N,,арҡа
20,Bauch::N,,ҡорһаҡ
21,Nabel::N,,кендек
22,Busen::N,,күкрәк
23,Brust::N,,түш
24,Schulter::N,,яурын
25,Arm::N,,ҡул
26,Ellenbogen::N,,терһәк
27,Hand::N,,ҡул
28,Hand::N,,ҡул суғы
29,Handfläche::N,,ус төбө
30,Finger::N,,бармаҡ
31,Fingernagel::N,,тырнаҡ
32,Nagel[Anatomie]::N,,тырнаҡ
33,Zeh::N,,бармаҡ
34,Fuß::N,,табан
35,Ferse::N,,үксә
36,Knie::N,,тубыҡ
37,Oberschenkel::N,,сандыр
38,Bein::N,,аяҡ
39,Körper::N,,тән
40,Haut::N,,тире
41,Blut::N,,ҡан
42,Ader::N,,тамыр
43,Sehne::N,,һеңер
44,Sehne::N,,тарамыш
45,Knochen::N,,һойәк
46,Gehirn::N,,мейе
47,Herz::N,,йорәк
48,Magen::N,,ашҡаҙан
49,Leber::N,,бауыр
50,Atem::N,,һулыш
51,Hunger::N,,аслыҡ
52,Träne::N,,күҙ иәше
53,Geschmack::N,,тәм
54,Geruch::N,,еҫ
55,Schlaf::N,,йоҡлау
56,Traum::N,,төш
57,Himmel::N,,күк
58,Sonne::N,,ҡояш
59,Mond::N,,ай
60,Stern::N,,йондоҙ
61,Luft::N,,һауа
62,Wind::N,,ел
63,Welle::N,,тулҡын
64,Wasser::N,,һыу
65,Stein::N,,таш
66,Boden::N,,тупраҡ
67,Erde::N,,балсҡ
68,Staub::N,,туҙан
69,Rauch::N,,төтөн
70,Funke::N,,осҡон
71,Feuer::N,,ут
72,Licht::N,,яҡтылыҡ
73,Schatten::N,,күләгә
74,Wetter::N,,һауа торошо
75,Nebel::N,,төман
76,Wolke::N,,болот
77,Regen::N,,ямғыр
78,Schnee::N,,ҡар
79,Eis::N,,боҙ
80,Frost::N,,һалҡын
81,Kälte::N,,һыуыҡ
82,Hitze::N,,томра
83,Hitze::N,,эҫелек
84,Raureif::N,,ҡырау
85,Regenbogen::N,,йәйғор
86,Donner::N,,күк күкрәү
87,Strömung::N,,ағым
88,Tropfen::N,,тамсы
89,Schaum::N,,күбек
90,Schmutz::N,,батҡаҡ
91,See::N,,күл
92,Sumpf::N,,һаҙлык
93,Moor::N,,һаҙ
94,Wiese::N,,болон
95,Wald::N,,урман
96,Hügel::N,,түбә
97,Anhöhe::N,,түбә
98,Anhöhe::N,,ҡалҡыулыҡ
99,Berg::N,,тау
100,Gipfel::N,,түбә
101,Höhle::N,,мәмерйә
102,Abhang::N,,ипкен
103,Quelle::N,,шишмә
104,Bach::N,,шишмә
105,Fluss::N,,йылға
106,Ufer::N,,яр
107,Küste::N,,яр буйы
108,Festland::N,,ҡоро ер
109,Meer::N,,диңгез
110,Bucht::N,,бухта
111,Insel::N,,үтрау
112,Blume::N,,сәскә
113,Gras::N,,үлән
114,Wurzel::N,,тамыр
115,Baum::N,,ағас
116,Stamm::N,,олон
117,Stamm::N,,көбәк
118,Rinde::N,,ҡабыҡ
119,Ast::N,,ботаҡ
120,Zweig::N,,ботаҡ
121,Zweig::N,,тармаҡ
122,Blatt::N,,япраҡ
123,Birke::N,,ҡайын
124,Kiefer[Baum]::N,,ҡарғай
125,Weide[Baum]::N,,тал
126,Tanne::N,,шыршы
127,Horn::N,,мөғөҙ
128,Feder::N,,ҡауырһын
129,Fell::N,,тире
130,Flügel::N,,ҡанат
131,Klaue::N,,тырнаҡ
132,Kralle::N,,аяҡ
133,Schwanz::N,,ҡойроҡ
134,Ei::N,,йомортҡа
135,Nest::N,,оя
136,Bau::N,,оң
137,Tier::N,,жайуан
138,Tier::N,,йыртҡыс
139,Herde::N,,көтөү
140,Kuh::N,,һыйыр
141,Bulle::N,,үгеҙ
142,Pferd::N,,ат
