,Concept_ID,mn,ca
0,Auge::N,нүд,ull
1,Ohr::N,чих,orella
2,Nase::N,хамар,nas
3,Mund::N,ам,boca
4,Zahn::N,шүд,dent
5,Zunge::N,хэл,llēngua
6,Lippe::N,уруул,llavi
7,Wange::N,хацар,galta
8,Gesicht::N,царай,cara
9,Gesicht::N,нүүр,cara
10,Stirn::N,дух,front
11,Haar::N,үс,cabēll
12,Schnurrbart::N,дээд сахал,bigoti
13,Schnurrbart::N,живэр сахал,bigoti
14,Bart::N,сахал,barba
15,Kinn::N,эрүү,mentó
16,Kinn::N,эрүү,barbeta
17,Kiefer[Anatomie]::N,эрүү,queix
18,Kiefer[Anatomie]::N,эрүү,mandíbula
19,Kehle::N,хоолой,gola
20,Kehle::N,хоолой,gorja
21,Hals::N,хүзүү,coll
22,Genick::N,шил,nuca
23,Genick::N,хүзүү,nuca
24,Kopf::N,толгой,cap
25,Rücken::N,ар,esquena
26,Rücken::N,нуруу,esquena
27,Bauch::N,хэвлий,panxa
28,Bauch::N,гэдэс,panxa
29,Nabel::N,хүйс,llombrígol
30,Busen::N,хөх,pit
31,Busen::N,хөх,mama
32,Brust::N,цээж,pit
33,Schulter::N,мөр,espatlla
34,Schulter::N,бугалга,espatlla
35,Arm::N,гар,braç
36,Ellenbogen::N,тохой,colze
37,Hand::N,гар,mà
38,Hand::N,алга,mà
39,Handfläche::N,алга,palma
40,Finger::N,хуруу,dit
41,Fingernagel::N,хурууны хумс,ungla
42,Nagel[Anatomie]::N,хумс,ungla
43,Zeh::N,хуруу,dit del peu
44,Fuß::N,хөл,peu
45,Ferse::N,өсгий,taló
46,Knie::N,өвдөг,genoll
47,Oberschenkel::N,гуя,cuixa
48,Bein::N,хөл,cama
49,Körper::N,бие,cos
50,Haut::N,арьс,pell
51,Blut::N,цус,sang
52,Ader::N,судас,vena
53,Sehne::N,бүлх,tendó
54,Sehne::N,шандас,tendó
55,Knochen::N,яс,os
56,Gehirn::N,тархи,cervell
57,Herz::N,зүрх,cor
58,Magen::N,ходоод,estómac
59,Leber::N,элэг,fetge
60,Atem::N,амьсгаа,alè
61,Atem::N,амьсгаа,hàlit
62,Hunger::N,өлсгөлөн,fam
63,Hunger::N,өлсгөлөн,gana
64,Träne::N,нулимс,llàgrima
65,Geschmack::N,амт,gust
66,Geschmack::N,амт,sabor
67,Geruch::N,үнэр,olor
68,Schlaf::N,нойр,son
69,Traum::N,зүүд,somni
70,Himmel::N,тэнгэр,celm
71,Himmel::N,огторгуй,celm
72,Sonne::N,нар,sol
73,Mond::N,сар,lluna
74,Stern::N,од,estel
75,Stern::N,од,estrella
76,Luft::N,агаар,aire
77,Wind::N,салхи,vent
78,Welle::N,долгио,ona
79,Welle::N,давалгаа,ona
80,Wasser::N,ус,āigua
81,Stein::N,чулуу,pedra
82,Boden::N,хөрс,sòl
83,Erde::N,газар,terra
84,Erde::N,шороо,terra
85,Staub::N,тоос,pols
86,Rauch::N,утаа,fum
87,Funke::N,оч,guspira
88,Funke::N,оч,centella
89,Feuer::N,гал,foc
90,Licht::N,гэрэл,llum
91,Licht::N,гэгээ,llum
92,Schatten::N,сүүдэр,ombra
93,Wetter::N,тэнгэр,temps
94,Wetter::N,цаг уур,temps
95,Nebel::N,будан,boira
96,Wolke::N,үүл,núvol
97,Regen::N,бороо,pluja
98,Schnee::N,цас,neu
99,Eis::N,мөс,gel
100,Eis::N,мөс,glaç
101,Frost::N,хүйт,glaçada
102,Kälte::N,хүйт,fred
103,Hitze::N,халуун,calor
104,Raureif::N,цан,gebre
105,Raureif::N,хяруу,gebre
106,Regenbogen::N,солонго,arc iris
107,Donner::N,тэнгэрийн дуу,tro
108,Strömung::N,урсгал,corrent
109,Tropfen::N,дусал,gota
110,Schaum::N,хөөс,escuma
111,Schmutz::N,хир,brutícia
112,Schmutz::N,шавхай,brutícia
113,See::N,нуур,llac
114,Sumpf::N,намаг,pantà
115,Sumpf::N,балчиг,pantà
116,Moor::N,хүлрийн намаг,pantà
117,Wiese::N,нуга,prat
118,Wiese::N,нуга,prada
119,Wald::N,ой,bosc
120,Hügel::N,болдог,puig
121,Hügel::N,болдог,pujol
122,Anhöhe::N,гүвээ,turó
123,Berg::N,уул,muntanya
124,Gipfel::N,орой,cim
125,Gipfel::N,оргил,cim
126,Höhle::N,агуй,cova
127,Abhang::N,хүр,coster
128,Quelle::N,булаг,font
129,Bach::N,горхи,riera
130,Fluss::N,гол,riu
131,Fluss::N,мөрөн,riu
132,Ufer::N,эрэг,riba
133,Küste::N,эрэг,costa
134,Festland::N,хуурай газар,terra ferma
135,Meer::N,далай,mar
136,Meer::N,тэнгис,mar
137,Bucht::N,булан,cala
138,Bucht::N,булан,badia
139,Bucht::N,далайн тохой,cala
140,Bucht::N,далайн тохой,badia
141,Insel::N,арал,illa
142,Blume::N,цэцэг,flor
143,Gras::N,өвс,herba
144,Gras::N,ногоо,herba
145,Wurzel::N,үндэс,rel
146,Wurzel::N,үндэс,arrel
147,Baum::N,мод,arbre
148,Stamm::N,иш,tronc
149,Stamm::N,гуалин,tronc
150,Rinde::N,холтос,escorça
151,Ast::N,гишүү,branca
152,Zweig::N,салаа,ram
153,Blatt::N,навч,fulla
154,Birke::N,хус,bedoll
155,Kiefer[Baum]::N,нарс,pi
156,Weide[Baum]::N,уд,salze
157,Weide[Baum]::N,бургас,salze
158,Tanne::N,гачуур,avet
159,Horn::N,эвэр,corn
160,Horn::N,эвэр,banya
161,Feder::N,өд,ploma
162,Fell::N,арьс,pell
163,Flügel::N,жигүүр,ala
164,Flügel::N,далавч,ala
165,Klaue::N,савар,urpa
166,Klaue::N,хумс,urpa
167,Kralle::N,савар,grapa
168,Schwanz::N,сүүл,cua
169,Ei::N,өндөг,ou
170,Nest::N,үүр,niu
171,Bau::N,нүх,cau
172,Bau::N,элүү,cau
173,Tier::N,амьтан,animāl
174,Tier::N,адгуус,animāl
175,Herde::N,сүрэг,ramat
176,Kuh::N,үнээ,vaca
177,Bulle::N,бух,toro
178,Pferd::N,морь,cavāll
179,Pferd::N,адуу,cavāll
180,Schaf::N,хонь,be
181,Schaf::N,хонь,ovella
182,Schwein::N,гахай,bacó
183,Hund::N,нохой,ca
184,Hund::N,нохой,gos
185,Katze::N,муур,gat
186,Katze::N,мигуй,gat
187,Bär::N,баавгай,ós
188,Eichhörnchen::N,хэрэм,esquirol
189,Elch::N,хандгай,ant
190,Fuchs::N,үнэг,guilla
191,Hase::N,туулай,llebre
192,Maus::N,хулгана,ratolí
193,Wolf::N,чоно,llop
194,Vogel::N,шувуу,au
195,Vogel::N,шувуу,ocēll
196,Schwarm::N,сүрэг,bandada
197,Huhn::N,тахиа,gallina
198,Hahn::N,эр тахиа,gall
199,Gans::N,галуу,oca
200,Adler::N,бүргэд,àguila
201,Ente::N,нугас,ànec
202,Eule::N,ууль,òliba
203,Eule::N,ууль,mussol
204,Kranich::N,тогоруу,grua
205,Krähe::N,хэрээ,cornella
206,Kuckuck::N,хөхөө,cucut
207,Schwan::N,хун,cigne
208,Fisch::N,загас,peix
209,Barsch::N,алгана,perca
210,Hecht::N,цурхай,lluç
211,Schlange[Tier]::N,могой,serp
212,Wurm::N,өт,cuc
213,Wurm::N,хорхой,cuc
214,Spinne::N,аалз,aranya
215,Ameise::N,шоргоолж,formiga
216,Laus::N,бөөс,poll
217,Mücke::N,шумуул,mosquit
218,Fliege::N,ялаа,mosca
219,Schmetterling::N,эрвээхэй,papallona
220,Beere::N,жимсгэнэ,baia
221,Apfel::N,алим,poma
222,Pilz::N,мөөг,bolet
223,Zwiebel::N,сонгино,ceba
224,Saat::N,тариа,sembra
225,Korn::N,үр,gra
226,Korn::N,мөхлөг,gra
227,Heu::N,өвс,fenc
228,Schale::N,хальс,closca
229,Grube::N,алам,sot
230,Grube::N,алам,clot
231,Grube::N,нүх,sot
232,Grube::N,нүх,clot
233,Falle::N,хавх,trampa
234,Falle::N,занга,trampa
235,Schlinge::N,урхи,baga
236,Spur::N,мөр,traça
237,Asche::N,үнс,cendra
238,Dreck::N,хир,llot
239,Eisen::N,төмөр,ferro
240,Gold::N,алт,or
241,Silber::N,мөнгө,plata
242,Kohle::N,нүүрс,carbó
243,Glas::N,шил,vidre
244,Lehm::N,шавар,fang
245,Lehm::N,шавар,argila
246,Sand::N,элс,arena
247,Mensch::N,хүн,humà
