,Concept_ID,lv,kl
0,Auge::N,син,isi
1,Auge::N,acs,isi
2,Ohr::N,пель,siut
3,Ohr::N,auss,siut
4,Nase::N,ныр,
5,Nase::N,deguns,
6,Mund::N,вом,paaq
7,Mund::N,вом,qaneq
8,Mund::N,mute,paaq
9,Mund::N,mute,qaneq
10,Zahn::N,пинь,kigut
11,Zahn::N,zobs,kigut
12,Zunge::N,кыв,oqaq
13,Zunge::N,mēle,oqaq
14,Lippe::N,вом дор,qarloq
15,Lippe::N,lūpa,qarloq
16,Wange::N,бан,ersaq
17,Wange::N,vaigs,ersaq
18,Gesicht::N,чужӧм,kiinaq
19,Gesicht::N,seja,kiinaq
20,Gesicht::N,ģīmis,kiinaq
21,Stirn::N,плеш,qaaq
22,Stirn::N,кымӧс,qaaq
23,Stirn::N,piere,qaaq
24,Haar::N,си,meqqoq
25,Haar::N,юрси,meqqoq
26,Haar::N,mats,meqqoq
27,Schnurrbart::N,ус,
28,Schnurrbart::N,пыртсим,
29,Schnurrbart::N,ūsas,
30,Bart::N,тош,umik
31,Bart::N,bārda,umik
32,Kinn::N,тшӧка,talloq
33,Kinn::N,zods,talloq
34,Kinn::N,smakrs,talloq
35,Kiefer[Anatomie]::N,черлы,alleroq
36,Kiefer[Anatomie]::N,алака лы,alleroq
37,Kiefer[Anatomie]::N,вомкӧтш лы,alleroq
38,Kiefer[Anatomie]::N,žoklis,alleroq
39,Kehle::N,голя,malaq
40,Kehle::N,rīkle,malaq
41,Hals::N,сьылі,qungaseq
42,Hals::N,kakls,qungaseq
43,Genick::N,юрбӧр,pukusuk
44,Genick::N,балябӧж,pukusuk
45,Genick::N,sprands,pukusuk
46,Kopf::N,юр,niaqoq
47,Kopf::N,galva,niaqoq
48,Rücken::N,мыш,qimerlut
49,Rücken::N,mugura,qimerlut
50,Bauch::N,рушку,naaq
51,Bauch::N,vēders,naaq
52,Nabel::N,гӧг,qalaseq
53,Nabel::N,naba,qalaseq
54,Busen::N,морӧс,iviangeq
55,Busen::N,krūts,iviangeq
56,Brust::N,морӧс,iviangeq
57,Brust::N,krūts,iviangeq
58,Schulter::N,пельпом,ersik
59,Schulter::N,пельпом,assaqqoq
60,Schulter::N,plecs,ersik
61,Schulter::N,plecs,assaqqoq
62,Arm::N,ки,taleq
63,Arm::N,roka,taleq
64,Arm::N,delms,taleq
65,Ellenbogen::N,гырддза,ikusik
66,Ellenbogen::N,elkonis,ikusik
67,Hand::N,ки,assak
68,Hand::N,roka,assak
69,Hand::N,plauksta,assak
70,Handfläche::N,ки пыдӧс,itumak
71,Handfläche::N,delna,itumak
72,Handfläche::N,plauksta,itumak
73,Finger::N,чунь,inuak
74,Finger::N,pirksts,inuak
75,Fingernagel::N,гыж,kikiak
76,Fingernagel::N,nags,kikiak
77,Nagel[Anatomie]::N,гыж,kukik
78,Nagel[Anatomie]::N,nags,kukik
79,Zeh::N,кок чунь,isigak
80,Zeh::N,pirksts,isigak
81,Fuß::N,кок,
82,Fuß::N,kāja,
83,Ferse::N,кокбӧр,kimmik
84,Ferse::N,papēdis,kimmik
85,Knie::N,пидзӧс,seeqqoq
86,Knie::N,celis,seeqqoq
87,Oberschenkel::N,лядьвей,uppat
88,Oberschenkel::N,лядьвей,quttoraq
89,Oberschenkel::N,бек,uppat
90,Oberschenkel::N,бек,quttoraq
91,Oberschenkel::N,ciska,uppat
92,Oberschenkel::N,ciska,quttoraq
93,Oberschenkel::N,augšstilbs,uppat
94,Oberschenkel::N,augšstilbs,quttoraq
95,Bein::N,кок,isigak
96,Bein::N,kāja,isigak
97,Körper::N,туша,timi
98,Körper::N,вывтыр,timi
99,Körper::N,miesa,timi
100,Körper::N,ķermenis,timi
101,Haut::N,ку,mattak
102,Haut::N,āda,mattak
103,Blut::N,вир,aak
104,Blut::N,asins,aak
105,Ader::N,сӧн,taqaq
106,Ader::N,asinsvads,taqaq
107,Sehne::N,вез,ujalu
108,Sehne::N,вез,ujaloq
109,Sehne::N,dzīsla,ujalu
110,Sehne::N,dzīsla,ujaloq
111,Knochen::N,лы,saanikut
112,Knochen::N,kauls,saanikut
113,Gehirn::N,вем,qarasaq
114,Gehirn::N,smadzenes,qarasaq
115,Herz::N,сьӧлӧм,uummat
116,Herz::N,sirds,uummat
117,Magen::N,кынӧм,aqajaroq
118,Magen::N,kuņģis,aqajaroq
119,Leber::N,мус,tinguk
120,Leber::N,aknas,tinguk
121,Atem::N,лов,anerneq
122,Atem::N,elpa,anerneq
123,Hunger::N,тшыг,kaanneq
124,Hunger::N,bads,kaanneq
