,Concept_ID,sk,et
0,Auge::N,oko,silm
1,Ohr::N,ucho,kõrv
2,Nase::N,nos,nina
3,Mund::N,ústa,suu
4,Zahn::N,zub,hammas
5,Zunge::N,jazyk,keel
6,Lippe::N,pera,huul
7,Wange::N,líce,põsk
8,Gesicht::N,tvár,nägu
9,Gesicht::N,obličaj,nägu
10,Stirn::N,čelo,otsmik
11,Haar::N,vlas,juus
12,Schnurrbart::N,fúzy,vurrud
13,Schnurrbart::N,fúzy,vuntsid
14,Bart::N,brada,habe
15,Kinn::N,brada,lõug
16,Kiefer[Anatomie]::N,čeľusť,lõualuu
17,Kehle::N,hrdlo,kõri
18,Hals::N,krk,kael
19,Genick::N,väzy,kukal
20,Kopf::N,hlava,pea
21,Rücken::N,chrbát,selg
22,Bauch::N,brucho,kõht
23,Nabel::N,pupok,naba
24,Busen::N,prsia,rind
25,Brust::N,hruď,rind
26,Schulter::N,plece,õlg
27,Arm::N,rameno,käsivars
28,Ellenbogen::N,lakeť,küünarnukk
29,Hand::N,ruka,käsi
30,Handfläche::N,dlaň,pihk
31,Finger::N,prst,sõrm
32,Fingernagel::N,necht,küüs
33,Nagel[Anatomie]::N,necht,küüs
34,Zeh::N,prst na nohe,varvas
35,Fuß::N,noha,jalg
36,Ferse::N,päta,kand
37,Knie::N,koleno,põlv
38,Oberschenkel::N,stehno,reis
39,Bein::N,noha,jalg
40,Körper::N,telo,ihu
41,Körper::N,telo,keha
42,Haut::N,koža,nahk
43,Blut::N,krv,veri
44,Ader::N,žila,veen
45,Sehne::N,šľacha,kõõlus
46,Knochen::N,kosť,luu
47,Gehirn::N,mozog,aju
48,Herz::N,srdce,süda
49,Magen::N,žalúdok,magu
50,Leber::N,pečeň,maks
51,Atem::N,dych,hingeõhk
52,Atem::N,dych,hingamine
53,Hunger::N,hlad,nälg
54,Träne::N,slza,pisar
55,Geschmack::N,chuť,maitse
56,Geruch::N,pach,lõhn
57,Schlaf::N,spánok,uni
58,Traum::N,sen,unenägu
59,Himmel::N,nebo,taevas
60,Sonne::N,slnko,päike
61,Mond::N,mesiac,kuu
62,Stern::N,hviezda,täht
63,Luft::N,vzduch,õhk
64,Wind::N,vietor,tuul
65,Welle::N,vlna,laine
66,Wasser::N,voda,vesi
67,Stein::N,kameň,kivi
68,Boden::N,zem,maa
69,Boden::N,zem,pinnas
70,Boden::N,pôda,maa
71,Boden::N,pôda,pinnas
72,Erde::N,zem,maa
73,Staub::N,prach,põrm
74,Rauch::N,dym,suits
75,Funke::N,iskra,säde
76,Feuer::N,oheň,tuli
77,Licht::N,svetlo,valgus
78,Schatten::N,tieň,vari
79,Wetter::N,počasie,ilm
80,Nebel::N,hmla,udu
81,Wolke::N,oblak,pilv
82,Wolke::N,mračno,pilv
83,Regen::N,dážď,sadu
84,Schnee::N,sneh,lumi
85,Eis::N,ľad,jää
86,Frost::N,mráz,pakane
87,Kälte::N,zima,külm
88,Kälte::N,zima,külmus
89,Kälte::N,chlad,külm
90,Kälte::N,chlad,külmus
91,Hitze::N,horúčava,kuumus
92,Hitze::N,horúčava,palavus
93,Raureif::N,srieň,härmatis
94,Raureif::N,inovať,härmatis
95,Regenbogen::N,dúha,vikerkaar
96,Donner::N,hrom,kõu
97,Donner::N,hrom,müristamine
98,Strömung::N,prúdenie,voolus
99,Strömung::N,prúdenie,jõevool
100,Tropfen::N,kvapka,tilk
101,Schaum::N,pena,vaht
102,Schmutz::N,špina,pori
103,Schmutz::N,špina,mustus
104,Schmutz::N,nečistota,pori
105,Schmutz::N,nečistota,mustus
106,See::N,jazero,järv
107,Sumpf::N,bahno,soo
108,Moor::N,močiar,raba
109,Wiese::N,lúka,aas
110,Wiese::N,lúka,nurm
111,Wald::N,les,mets
112,Wald::N,hora,mets
113,Hügel::N,vŕšok,küngas
114,Anhöhe::N,výšina,küngas
