,Concept_ID,ab,de
1139,zu sehen sein::V,,zu sehen sein
1140,wenden::V,,wenden
1141,ergreifen::V,,ergreifen
1142,bewahren::V,,bewahren
1143,wünschen::V,,wünschen
1144,wiegen::V,,wiegen
1145,treten::V,,treten
1146,kehren::V,,kehren
1147,malen::V,,malen
1148,zeichnen::V,,zeichnen
1149,schreiben::V,,schreiben
1150,beherrschen::V,,beherrschen
