,Concept_ID,kv,cv
0,Auge::N,син,куҫ
1,Ohr::N,пель,хӑлха
2,Nase::N,ныр,сӑмса
3,Mund::N,ӧм,ҫӑвар
4,Zahn::N,пинь,шӑл
5,Zunge::N,кыв,чӗлхе
6,Lippe::N,тырп,тута
7,Wange::N,рожабан,пит ҫӑмарти
8,Gesicht::N,бан,пит
9,Gesicht::N,бан,пит-куҫ
10,Stirn::N,кымӧс,ҫамка
11,Haar::N,юрси,ҫӳҫ
12,Schnurrbart::N,уссэз,усси
13,Bart::N,тош,сухал
14,Kinn::N,тшӧка,янах
15,Kiefer[Anatomie]::N,ан,янах
16,Kehle::N,юан,пыр
17,Kehle::N,юан,карланкӑ
18,Hals::N,юан,пыр
19,Genick::N,юр бӧр,ӗнсе
20,Kopf::N,юр,пуҫ
21,Rücken::N,мышк,ҫурӑм
22,Bauch::N,кынӧм,
23,Nabel::N,гӧг,кӑвапа
24,Busen::N,морос,кӑкӑр
25,Brust::N,морос,умӗ
26,Schulter::N,пельпон,хул пуҫҫи
27,Arm::N,ки,алӑ
28,Ellenbogen::N,гырдзза,чавса
29,Hand::N,кикар,алӑ сыппи
30,Handfläche::N,ки пыдӧс,ал лаппи
31,Finger::N,чунь,пӳрне
32,Fingernagel::N,гыж,чӗрне
33,Nagel[Anatomie]::N,гыж,чӗрне
34,Zeh::N,чунь,пӳрне
35,Fuß::N,кокпыдӧс,ура лаппи
36,Ferse::N,кокдзир,кӗле
37,Knie::N,пидзӧс,чӗркуҫҫи
38,Oberschenkel::N,лядьбей,пӗҫӗ
39,Bein::N,кок,ура
40,Körper::N,вывтыр,ӳт
41,Körper::N,вывтыр,ӳт-пӳ
42,Haut::N,кучик,тир
43,Blut::N,вир,юн
44,Ader::N,сӧн,вена
45,Sehne::N,жила,шӑнӑр
46,Knochen::N,коска,шӑмӑ
47,Gehirn::N,вем,миме
48,Herz::N,сьӧлӧм,чӗре
49,Magen::N,жӧвдӧк,хырӑмлӑх
50,Leber::N,мус,пӗвер
51,Atem::N,лолалӧм,сывлав
52,Hunger::N,тшыг,выҫлӑх
53,Träne::N,синва,куҫҫуль
54,Geschmack::N,кӧр,техӗм
55,Geruch::N,дук,шӑршӑ
56,Schlaf::N,он,ыйхӑ
57,Traum::N,вӧт,тӗлӗк
58,Himmel::N,небо,пӗлӗт
59,Sonne::N,шондi,хӗвел
60,Mond::N,тӧлiсь,уйӑх
61,Stern::N,кӧдзыв,ҫӑлтӑр
62,Luft::N,ру,сывлӑш
63,Wind::N,тӧв,ҫил
64,Welle::N,гы,хум
65,Wasser::N,ва,шыв
66,Wasser::N,ва,шыв-шур
67,Stein::N,из,чул
68,Boden::N,му,тӑпра
69,Erde::N,му,ҫӗр
70,Staub::N,бус,тусан
71,Rauch::N,тшын,тӗтӗм
72,Funke::N,бичир,хӗм
73,Feuer::N,би,вут
74,Feuer::N,би,ҫулӑм
75,Licht::N,би,ҫутӑ
76,Schatten::N,вуджӧр,сулхӑн
77,Wetter::N,погоддя,ҫанталӑк
78,Nebel::N,туман,тӗтре
79,Wolke::N,кымӧр,пӗлӗт
80,Regen::N,зэр,ҫумӑр
81,Schnee::N,лым,юр
82,Eis::N,йы,пӑр
83,Frost::N,мороз,сивӗ
84,Kälte::N,кӧдзыт,сивӗ
85,Hitze::N,ӧд,вӗри
86,Hitze::N,ӧд,шӑрӑх
87,Raureif::N,кижа,пас
88,Regenbogen::N,енӧшка,асамат кӗперӗ
89,Donner::N,гым,аслати
90,Strömung::N,визывтӧм,юхӑ
91,Tropfen::N,тёп,тумлам
92,Schaum::N,быг,кӑпӑк
93,Schmutz::N,нять,пылчӑк
94,See::N,ты,кӳлӗ
95,Sumpf::N,арай,шур
96,Sumpf::N,арай,шурлӑх
97,Moor::N,нюр,торфлӑ шурлӑх
98,Wiese::N,видз,улӑх
99,Wiese::N,видз,ҫаран
100,Wald::N,вӧр,вӑрман
101,Hügel::N,мыльк,сӑрт
102,Hügel::N,мыльк,тӗмеске
103,Anhöhe::N,вывтас,сӑрт
104,Anhöhe::N,вылынін,сӑрт
105,Berg::N,керӧс,ту
106,Gipfel::N,йыв,тӳпе
107,Höhle::N,нора,ҫӗр хӑвӑлӗ
108,Abhang::N,покат,тӑвайкки
109,Quelle::N,больган,ҫӑл куҫ
110,Bach::N,шор,пӗчӗк шыв
111,Fluss::N,ю,юхан шыв
112,Ufer::N,берег,ҫыран
113,Küste::N,берег,тинӗс ҫыранӗ
114,Festland::N,му,тип ҫӗр
115,Meer::N,море,тинӗс
116,Bucht::N,курья,тинӗс кукӑрӗ
117,Blume::N,цветок,чечек
118,Gras::N,турун,курӑк
119,Wurzel::N,вуж,тымар
120,Baum::N,пу,йывӑҫ
121,Stamm::N,мыр,вулӑ
122,Stamm::N,кер,вулӑ
123,Rinde::N,кач,хуйӑр
124,Ast::N,ув,турат
125,Zweig::N,ув,турат
126,Blatt::N,лист,ҫулҫӑ
127,Birke::N,кыдз,хурӑн
128,Kiefer[Baum]::N,пожум,хыр
129,Weide[Baum]::N,бадь,хӑва
130,Tanne::N,кӧз,чӑрӑш
131,Horn::N,сюр,мӑйрака
132,Feder::N,гӧн,тӗк
133,Fell::N,кучик,ҫӑм
134,Flügel::N,борд,ҫунат
135,Klaue::N,гыж,чӗрне
136,Kralle::N,кабыр,ура
137,Schwanz::N,бӧж,хӳре
138,Ei::N,кольть,ҫӑмарта
139,Nest::N,поз,йӑва
140,Bau::N,осьта,йӗнӗ
141,Bau::N,нора,йӗнӗ
142,Tier::N,зверь,выльӑх
143,Herde::N,гурт,кӗтӳ
144,Kuh::N,мӧс,ӗне
145,Bulle::N,ӧшка,вӑкӑр
146,Pferd::N,вӧв,лаша
147,Schaf::N,баля,сурӑх
148,Schwein::N,порсь,сысна
149,Hund::N,пон,йытӑ
150,Katze::N,кань,кушак
151,Bär::N,ош,упа
152,Eichhörnchen::N,ур,пакша
153,Elch::N,вӧр мӧс,пӑши
154,Fuchs::N,руч,тилӗ
155,Hase::N,кӧч,куян
156,Hase::N,кӧч,мулкач
157,Maus::N,шыр,шӑши
158,Wolf::N,кӧин,кашкӑр
159,Vogel::N,кай,кайӑк
160,Vogel::N,кай,вӗҫен кайӑк
161,Schwarm::N,стая,ушкӑн
162,Schwarm::N,чукӧр,ушкӑн
163,Huhn::N,курӧг,чӑх
164,Huhn::N,курӧг,чӑхӑ
165,Hahn::N,петух,автан
166,Hahn::N,ай курӧг,автан
167,Gans::N,дзодзог,хур
168,Adler::N,куч,ӑмӑрт кайӑк
169,Adler::N,кутш,ӑмӑрт кайӑк
170,Ente::N,утка,кӑвакал
171,Eule::N,тупка,тӑмана
172,Kranich::N,тури,тӑрна
173,Krähe::N,рака,ула курак
174,Kuckuck::N,кӧк,куккук
175,Schwan::N,юсь,акӑш
176,Fisch::N,чери,пулӑ
177,Barsch::N,ёкыш,уланкӑ
178,Hecht::N,сирпинь,ҫӑрттан
179,Schlange[Tier]::N,змей,ҫӗлен
180,Wurm::N,номыр,ӑман
181,Spinne::N,черань,эрешмен
182,Ameise::N,кӧдзывкар,кӑткӑ
183,Laus::N,ляпа той,пыйтӑ
184,Mücke::N,ном,вӑрӑм туна
185,Fliege::N,гут,шӑна
186,Schmetterling::N,бабыв,лӗпӗш
187,Beere::N,ягӧд,ҫырла
188,Apfel::N,яблоко,улма
189,Apfel::N,яблоко,пан улми
190,Pilz::N,тшак,кӑмпа
191,Zwiebel::N,грез,сухан
192,Saat::N,кӧдзыс,вӑрӑ
193,Korn::N,сю,тӗшӗ
194,Korn::N,сю,пӗрчӗ
