,Concept_ID,te,myv
0,Auge::N,కన్ను,сельме
1,Ohr::N,చెవి,пиле
2,Nase::N,ముక్కు,судо
3,Mund::N,నోరు,курго
4,Zahn::N,పల్లు,пей
5,Zunge::N,నాలుక,кель
6,Lippe::N,పెదవి,турва
7,Wange::N,చెంప,чамабока
8,Wange::N,చెంప,чамаумарь
9,Gesicht::N,ముఖము,чама
10,Stirn::N,నుదురు,коня
11,Haar::N,వెండ్రుక,черь
12,Schnurrbart::N,మీసము,ус
13,Schnurrbart::N,మీసము,муюк
14,Bart::N,గడ్డము,сакал
15,Kinn::N,గడ్డము,уло
16,Kiefer[Anatomie]::N,దౌడ,пейпакар
17,Kiefer[Anatomie]::N,దౌడ,пейловажа
18,Kehle::N,గొంతు,кирьгапарь
19,Hals::N,మెడ,кирьга
20,Genick::N,మూపు,човонь
21,Kopf::N,తల,пря
22,Rücken::N,వెన్ను,копорь
23,Bauch::N,కడుపు,пеке
24,Nabel::N,బొడ్డు,почо
25,Busen::N,స్తనము,поте
26,Brust::N,ఱొమ్ము,меште
27,Schulter::N,భుజము,лавтов
28,Arm::N,చేయి,кедь
29,Ellenbogen::N,మోచేయి,кенерепакарь
30,Hand::N,చేయి,кедь
31,Handfläche::N,అరచేయు,кедькуншка
32,Handfläche::N,అరచేయు,кедьлапушка
33,Finger::N,చేతిప్రేలు,сур
34,Fingernagel::N,గోరు,кенже
35,Nagel[Anatomie]::N,గోరు,кенже
36,Zeh::N,కాలిప్రేలు,пильге сур
37,Fuß::N,అడుగు,пильге
38,Ferse::N,మడమ,кочкаря
39,Knie::N,మోకాలు,эле
40,Knie::N,మోకాలు,эзне
41,Knie::N,మోకాలు,кумажа
42,Oberschenkel::N,తొడ,качо
43,Bein::N,కాలు,пильге
44,Körper::N,కాయము,рунго
45,Haut::N,చర్మము,киське
46,Blut::N,రక్తము,верь
47,Ader::N,సిర,сан
48,Sehne::N,స్నాయువు,коське сан
49,Knochen::N,ఎముక,пакарь
50,Gehirn::N,మెదడు,удем
51,Herz::N,హృదయము,седей
52,Magen::N,కడుపు,пеке
53,Leber::N,కాలేయము,максо
54,Atem::N,ఉపిరి,лексема
55,Atem::N,ఉపిరి,оймень таргсема
