,Concept_ID,mhr,ka
0,Auge::N,шинча́,თვალი
1,Ohr::N,пы́лыш,ყური
2,Nase::N,нер,ცხვირი
3,Mund::N,умша́,პირი
4,Zahn::N,пӱй,კბილი
5,Zunge::N,йы́лме,ენა
6,Lippe::N,тӱ́рвӧ,ბაგე
7,Wange::N,шӱ́ргӧ,ლოყა
8,Gesicht::N,чури́й,სახე
9,Stirn::N,саҥга́,შუბლი
10,Haar::N,ӱп,თმა
11,Schnurrbart::N,ӧ́рыш,ულვაში
12,Bart::N,понда́ш,წვერი
13,Kinn::N,оҥыла́ш,ნიკაპი
14,Kiefer[Anatomie]::N,пӱйдӱ́ҥ,ყბა
15,Kiefer[Anatomie]::N,пӱйората́,ყბა
16,Kehle::N,лога́р,ყელი
17,Hals::N,шӱй,ყელი
18,Hals::N,шӱй,კისერი
19,Genick::N,шӱйло́дыш,კეფა
20,Kopf::N,вуй,თავი
21,Rücken::N,туп,ზურგი
22,Bauch::N,мӱ́шкыр,მუცელი
23,Nabel::N,кы́лымде,ჭიპი
24,Busen::N,чы́зе,ძუძუ
25,Brust::N,оҥ,მკერდი
26,Schulter::N,ва́че,მხარი
27,Schulter::N,ва́че,მკლავი
28,Arm::N,кид,ხელი
29,Ellenbogen::N,кынерву́й,იდაყვი
30,Hand::N,кид,ხელი
31,Hand::N,копа́,ხელი
32,Handfläche::N,со́во,ნები
33,Handfläche::N,со́во,ხელისგული
34,Finger::N,парня́,თითი
35,Fingernagel::N,кидкӱ́ч,ფრჩხილი
36,Fingernagel::N,парнягӱ́ч,ფრჩხილი
37,Nagel[Anatomie]::N,кӱч,ფრჩხილი
38,Zeh::N,йолварня́,ფეხის თითი
39,Fuß::N,йол,ტერფი
40,Fuß::N,йол,ფეხისგული
41,Fuß::N,йолкопа́,ტერფი
42,Fuß::N,йолкопа́,ფეხისგული
43,Ferse::N,тага́н,ქუსლი
44,Knie::N,пулву́й,მუხლი
45,Oberschenkel::N,э́рде,ბარძაყი
46,Bein::N,йол,ფეხი
47,Körper::N,кап,ტანი
48,Körper::N,кап,სხეული
49,Haut::N,кова́ште,კანი
50,Blut::N,вӱр,სისხლი
51,Ader::N,шӧн,ძარღვი
52,Sehne::N,шӧн,მყესი
53,Sehne::N,кӱсе́н,მყესი
54,Knochen::N,лу,ძვალი
55,Gehirn::N,вем,ტვინი
56,Gehirn::N,вуйве́м,ტვინი
57,Herz::N,шӱм,გული
58,Magen::N,пага́р,კუჭი
59,Leber::N,мокш,ღვიძლი
60,Atem::N,шӱ́лыш,სუნთქვა
61,Hunger::N,шужыма́ш,შიმშილი
62,Träne::N,шинчавӱ́д,ცრემლი
63,Geschmack::N,там,გემო
64,Geruch::N,пуш,სუნი
65,Schlaf::N,о́мо,ძილი
66,Traum::N,йӱдо́мо,სიზმარი
67,Himmel::N,кава́,ცა
68,Sonne::N,ке́че,მზე
69,Mond::N,ты́лзе,მთვარე
70,Stern::N,шӱ́дыр,ვარსკვლავი
71,Luft::N,юж,ჰაერი
72,Wind::N,марде́ж,ქარი
73,Welle::N,то́лкын,ტალღა
74,Wasser::N,вӱд,წყალი
75,Stein::N,кӱ,ქვა
76,Boden::N,рок,მიწა
77,Erde::N,мла́нде,ნიადაგი
78,Staub::N,пура́к,მტვერი
79,Rauch::N,шикш,ბოლი
80,Rauch::N,шикш,კვამლი
81,Funke::N,сеске́м,ნაკვესი
82,Funke::N,тулйы́п,ნაკვესი
83,Feuer::N,тул,ცეცხლი
84,Licht::N,со́то,შუქი
85,Licht::N,со́то,სინათლე
86,Schatten::N,ӱ́мыл,ლანდი
87,Schatten::N,ӱ́мыл,ჩრდილი
88,Wetter::N,иге́че,ამინდი
89,Nebel::N,тӱтыра́,ნისლი
90,Wolke::N,пыл,ღრუბელი
91,Regen::N,йӱр,წვიმა
92,Schnee::N,лум,თოვლი
93,Eis::N,ий,თოში
94,Eis::N,ий,ყინული
95,Frost::N,чатлама́,ყინვა
96,Kälte::N,йӱ́штӧ,სიცივე
97,Hitze::N,шо́кшо,სიცხე
98,Raureif::N,пӧрш,ჭირხლი
99,Raureif::N,пӧрш,თრთვილი
100,Raureif::N,по́кшым,ჭირხლი
101,Raureif::N,по́кшым,თრთვილი
102,Regenbogen::N,шонанпы́л,ცისარტყელა
103,Donner::N,кӱ́дырчӧ,ქუხილი
104,Strömung::N,йо́гын,დინება
105,Tropfen::N,чӱча́лтыш,წვეთი
106,Schaum::N,шоҥ,ქაფი
107,Schaum::N,шоҥ,დორბლი
108,Schmutz::N,лавыра́,ჭუჭყი
109,Schmutz::N,лавыра́,ტალახი
110,See::N,ер,ტბა
111,Sumpf::N,лӱ́кӧ,ჭაობი
112,Moor::N,куп,ტორფნარი
113,Wiese::N,о́лык,ველი
114,Wiese::N,о́лык,მდელო
115,Wald::N,чодыра́,ტყე
116,Hügel::N,арка́,ბორცვი
117,Anhöhe::N,тӧва́,მაღლობი
118,Anhöhe::N,кӱкшака́,მაღლობი
119,Berg::N,ку́рык,მთა
120,Gipfel::N,чаҥга́,მწვერვალი
121,Gipfel::N,курыкву́й,მწვერვალი
122,Höhle::N,пеще́р,მღვიმე
123,Höhle::N,пеще́р,გამოქვებული
124,Höhle::N,курыкпо́мыш,მღვიმე
125,Höhle::N,курыкпо́мыш,გამოქვებული
126,Abhang::N,та́йыл,ფერდობი
127,Quelle::N,важ,წყარო
128,Quelle::N,важ,სათავე
129,Quelle::N,вӱдшинча́,წყარო
130,Quelle::N,вӱдшинча́,სათავე
131,Bach::N,изэҥе́р,რუ
132,Bach::N,изэҥе́р,ნაკადული
133,Fluss::N,эҥе́р,მდინარე
134,Ufer::N,сер,კიდე
135,Ufer::N,сер,ნაპირი
136,Küste::N,вӱдтӱ́р,ნაპირი
137,Festland::N,мла́нде,ხმელეთი
138,Meer::N,те́ҥыз,ზღვა
139,Bucht::N,икса́,ყურე
140,Insel::N,отро́,კუნძული
141,Blume::N,пеле́дыш,ყვავილი
142,Gras::N,шу́до,ბალახი
143,Wurzel::N,вож,ძირი
144,Wurzel::N,вож,ფესვი
145,Baum::N,пуше́ҥге,ხე
146,Stamm::N,йы́тыр,ტანი
147,Rinde::N,шӱм,ქერქი
148,Ast::N,укш,ტოტი
149,Zweig::N,торма́к,შტო
150,Blatt::N,лышта́ш,ფოთოლი
151,Birke::N,куэ́,არყი
152,Kiefer[Baum]::N,пӱ́нчӧ,ფიჭვი
153,Weide[Baum]::N,уа́,ტირიფი
154,Tanne::N,кож,ნაძვი
155,Horn::N,шур,რქა
156,Feder::N,пы́стыл,ფრთა
157,Fell::N,кова́ште,ტყავი
158,Flügel::N,шу́лдыр,ფრთა
159,Klaue::N,кӱч,კლანჭი
160,Kralle::N,ла́па,ტორი
161,Kralle::N,копа́,ტორი
162,Schwanz::N,поч,კუდი
163,Ei::N,му́но,კვერცხი
164,Nest::N,пыжа́ш,ბუდე
165,Bau::N,пыжа́ш,სორო
166,Tier::N,я́нлык,ნადირი
167,Tier::N,я́нлык,ცხოველი
168,Tier::N,живо́тный,ნადირი
169,Tier::N,живо́тный,ცხოველი
170,Herde::N,кӱ́тӱ,ფარა
171,Herde::N,тӱшка́,ფარა
172,Kuh::N,ушка́л,ფური
173,Kuh::N,ушка́л,ძროხა
174,Bulle::N,ӱ́шкыж,ხარი
175,Pferd::N,и́мне,რაში
176,Pferd::N,и́мне,ცხენი
177,Schaf::N,шо́рык,ცხვარი
178,Schwein::N,сӧсна́,ღორი
179,Hund::N,пий,ძაღლი
180,Katze::N,пы́рыс,კატა
181,Bär::N,маска́,დათვი
182,Eichhörnchen::N,ур,ციყვი
183,Elch::N,шо́рдо,ცხენ-ირემი
184,Fuchs::N,ры́выж,მელა
185,Hase::N,мера́ҥ,კურდღელი
186,Maus::N,коля́,თაგვი
187,Wolf::N,пи́ре,მგელი
188,Vogel::N,ка́йык,ჩიტი
189,Vogel::N,ка́йык,ფრინველი
190,Schwarm::N,каша́к,გუნდი
191,Huhn::N,чы́ве,დედალი
192,Hahn::N,агыта́н,მამალი
193,Gans::N,ко́мбо,ბატი
194,Adler::N,карагу́ш,არწივი
195,Ente::N,лу́до,იხვი
196,Eule::N,тумна́,ბუ
197,Kranich::N,турня́,წერო
198,Krähe::N,кора́к,ყვავი
199,Kuckuck::N,куку́,გუგული
200,Schwan::N,йӱ́ксӧ,გედი
201,Fisch::N,кол,თევზი
202,Barsch::N,ола́ҥге,ქორჭილა
203,Hecht::N,нуж,ქარიყლაპია
204,Hecht::N,чорта́н,ქარიყლაპია
205,Schlange[Tier]::N,ки́шке,გველი
206,Wurm::N,шукш,ჭია
207,Spinne::N,эҥыре́мыш,ობობა
208,Ameise::N,ку́тко,ჭიანჭველა
209,Laus::N,тий,ტილი
210,Laus::N,тий,მკბენარი
211,Mücke::N,шыҥа́,კოღო
212,Fliege::N,ка́рме,ბუზი
213,Schmetterling::N,лы́ве,პეპელა
214,Beere::N,мӧр,კენკრა
215,Apfel::N,олма́,ვაშლი
216,Pilz::N,по́ҥго,სოკო
217,Zwiebel::N,шога́н,ხახვი
218,Saat::N,нӧ́шмӧ,თესლი
219,Saat::N,туш,თესლი
220,Korn::N,шу́рно,მარცვალი
221,Heu::N,шу́до,თივა
222,Schale::N,шӱм,ჩენჩო
223,Grube::N,выне́м,ორმო
224,Falle::N,лӧ́дӧ,ხაფანგი
225,Schlinge::N,о́птыш,მახე
226,Schlinge::N,шӧрга́лтыш,მახე
227,Spur::N,кыша́,კვალი
228,Asche::N,ло́мыж,ფერფლი
229,Dreck::N,лавыра́,ტალახი
230,Dreck::N,лавыра́,სიბინძურე
231,Eisen::N,кӱ́ртньӧ,რკინა
232,Gold::N,шӧ́ртньӧ,ოქრო
233,Silber::N,ший,ვერცხლი
234,Kohle::N,мландышӱ́й,ნახშირი
235,Glas::N,янда́,მინა
236,Lehm::N,шун,თიხა
237,Sand::N,ошма́,ქვიშა
238,Mensch::N,еҥ,ადამიანი
239,Mensch::N,айде́ме,ადამიანი
240,Mann::N,пӧръе́ҥ,კაცი
241,Frau::N,ӱдырама́ш,ქალი
242,Kind::N,аза́,ბავშვი
