,Concept_ID,udm,sah
0,Auge::N,син,харах
1,Ohr::N,пель,кулгаах
2,Nase::N,ныр,мурун
3,Mund::N,ым,айах
4,Zahn::N,пинь,тиис
5,Zunge::N,кыл,тыл
6,Lippe::N,ымдур,уос
7,Wange::N,бам,иэдэс
8,Gesicht::N,ымныр,сирэй
9,Stirn::N,кымес,сүүс
10,Haar::N,йырси,баттах
11,Schnurrbart::N,мыйык,уос бытыга
12,Bart::N,туш,сэҥийэ бытыга
13,Kinn::N,ангес,сэҥийэ
14,Kiefer[Anatomie]::N,ан,сыҥаах
15,Kiefer[Anatomie]::N,анлы,сыҥаах
16,Kehle::N,гульым,тамах
17,Kehle::N,гульым,күөмэй
18,Hals::N,чырты,моой
19,Genick::N,йырбер,кэтэх
20,Kopf::N,йыр,бас
21,Rücken::N,мыш,көҕүс
22,Bauch::N,кӧт,ис
23,Nabel::N,гогы,киин
24,Busen::N,ноны,эмиий
25,Brust::N,мӧля,түөс
26,Schulter::N,пельпум,сарын
27,Arm::N,суй,илии
28,Ellenbogen::N,гырпум,тоҕонох
29,Hand::N,ки,илии
30,Handfläche::N,ки пыдэс,ытыс
31,Handfläche::N,кырым пыдэс,ытыс
32,Finger::N,чиньы,тарбах
33,Fingernagel::N,гижы,тыҥырах
34,Fingernagel::N,гиждӥнь,тыҥырах
35,Nagel[Anatomie]::N,гижы,тыҥырах
36,Zeh::N,пыдчиньы,тарбах
37,Fuß::N,пыд,уллуҥах
38,Ferse::N,пыдбер,тилэх
39,Knie::N,пыдес,тобук
40,Knie::N,пыдес,дьилбэк
41,Oberschenkel::N,макес,уллук
42,Oberschenkel::N,макес,өттүк
43,Bein::N,пыд,атах
44,Körper::N,мугор,бэйэ
45,Körper::N,вылтыр,бэйэ
46,Haut::N,ку,тирии
47,Blut::N,вир,хаан
48,Ader::N,вирсэр,вена
49,Ader::N,вирсэр,күөх_тымыр
50,Sehne::N,вуж,иҥиир
51,Knochen::N,лы,уҥуох
52,Knochen::N,лы,уҥгуох
53,Gehirn::N,вим,мэйии
54,Herz::N,сюлэм,сүрэх
55,Magen::N,ӝуш,куртах
56,Leber::N,мус,быар
57,Atem::N,лул,тыын
58,Atem::N,шокан,тыын
59,Hunger::N,кӧтсюман,аас
60,Träne::N,синкыли,харах уута
61,Geschmack::N,шӧм,амтан
62,Geruch::N,зын,сыт
63,Schlaf::N,вӧт,утуйуу
64,Traum::N,уйвӧт,түүл
65,Himmel::N,ин,халлаан
66,Sonne::N,шунды,күн
67,Mond::N,толэзь,ый
68,Stern::N,кизили,сулус
69,Luft::N,омыр,салгын
70,Wind::N,тӧл,тыал
71,Welle::N,тулкым,долгун
72,Welle::N,тулкым,балхаан
73,Wasser::N,ву,уу
74,Stein::N,из,таас
75,Boden::N,музъем,сир
76,Erde::N,му,буор
77,Staub::N,пыль,быыл
78,Rauch::N,ӵын,буруо
79,Funke::N,гизьы,кыым
80,Feuer::N,тыл,уот
81,Licht::N,тыл,уот
82,Schatten::N,вужер,күлүк
83,Wetter::N,куазь,күн-дьыл
84,Nebel::N,бус,туман
85,Wolke::N,пилем,былыт
86,Regen::N,зор,самыыр
87,Schnee::N,лымы,хаар
88,Eis::N,йӧ,муус
89,Frost::N,кезьыт,тымныы
90,Kälte::N,кезьыт,тымныы
91,Hitze::N,пӧсь,куйаас
92,Raureif::N,гӧр,кырыа
93,Regenbogen::N,вуюись,кустук
94,Donner::N,гудыри,этиҥ
95,Strömung::N,бызён,сүүрүк
96,Tropfen::N,шапык,таммах
97,Tropfen::N,шапык,хааппыла
98,Schaum::N,шукы,күүгэн
99,Schmutz::N,нӧд,кир
100,Schmutz::N,дэри,кир
101,See::N,ты,күөл
102,Sumpf::N,нюр,бадараан
103,Moor::N,нюр,дьэбэрэ
104,Wiese::N,возь,ходуһа
105,Wiese::N,возьвыл,ходуһа
106,Wald::N,сик,ойуур
107,Wald::N,нюлэс,ойуур
108,Hügel::N,выр,булгунньах
109,Hügel::N,вырйыл,булгунньах
110,Anhöhe::N,выр,үрдэл
111,Anhöhe::N,вырйыл,үрдэл
112,Berg::N,гурезь,хайа
113,Gipfel::N,йыл,чыпчаал
114,Höhle::N,гу,хайа_хаспаҕа
115,Höhle::N,гу,көҥүс
116,Abhang::N,бам,эниэ
117,Quelle::N,ошмес,дьүүктэ
118,Bach::N,пичи шур,үрүйэ
119,Fluss::N,шур,өрүс
120,Ufer::N,ярдур,биэрэк
121,Küste::N,вудур,кытыл
122,Festland::N,мувыр,кураанах сир
123,Meer::N,зарезь,муора
124,Bucht::N,вукож,хомо
125,Bucht::N,вукож,бухта
126,Insel::N,вумуӵ,арыы
127,Insel::N,шормуӵ,арыы
128,Blume::N,сяська,сибэкки
129,Gras::N,турын,от
130,Wurzel::N,выжы,силис
131,Baum::N,пу,мас
132,Stamm::N,модос,умнас
133,Rinde::N,сул,хатырык
134,Ast::N,ул,мутук
135,Zweig::N,вай,лабаа
136,Blatt::N,куар,сэбирдэх
137,Birke::N,кызьпу,хатыҥ
138,Kiefer[Baum]::N,пужым,бэс
