,Concept_ID,os,el
0,Auge::N,цӕст,μάτι
1,Auge::N,цӕст,οφθαλμός
2,Ohr::N,хъус,αυτί
3,Nase::N,фындз,μύτη
4,Mund::N,дзых,στόμα
5,Zahn::N,дӕндаг,δόντι
6,Zunge::N,ӕвзаг,γλώσσα
7,Lippe::N,был,χείλος
8,Wange::N,рус,παρειά
9,Wange::N,рус,μάγουλο
10,Wange::N,уадул,παρειά
11,Wange::N,уадул,μάγουλο
12,Wange::N,ӕхсӕрфарс,παρειά
13,Wange::N,ӕхсӕрфарс,μάγουλο
14,Gesicht::N,цӕсгом,πρόσωπο
15,Stirn::N,ных,μέτωπο
16,Haar::N,хил,μαλλιά
17,Schnurrbart::N,рихи,μουστάκι
18,Bart::N,зачъе,γένια
19,Kinn::N,роцъо,πιγούνι
20,Kiefer[Anatomie]::N,ӕфсӕр,σαγόνι
21,Kehle::N,хъуыр,λαρύγγι
22,Hals::N,къубал,λαιμός
23,Genick::N,къӕбут,σβέρκος
24,Kopf::N,сӕр,κεφάλι
25,Rücken::N,фӕсонтӕ,ράχη
26,Bauch::N,гуыбын,κοιλιά
27,Nabel::N,бикъ,αφαλός
28,Busen::N,дзидзи,στήθος
29,Brust::N,риу,στήθος
30,Schulter::N,уӕхск,ώμος
31,Arm::N,цонг,χέρι
32,Arm::N,цонг,μπράτςο
33,Ellenbogen::N,рæмбын,αγκώνας
34,Hand::N,къух,χέρι
35,Handfläche::N,армытъӕпӕн,παλάμη
36,Finger::N,ӕнруылдз,δάχτυλο
37,Fingernagel::N,ных,νύχι
38,Nagel[Anatomie]::N,ных,νύχι
39,Zeh::N,къух,δάχτυλο του ποδιού
40,Fuß::N,фад,πόδι
41,Ferse::N,зӕвӕт,φτέρνα
42,Knie::N,уӕраг,γόνατο
43,Oberschenkel::N,агъд,μηρός
44,Bein::N,зӕнг,πόδι
45,Körper::N,буар,σώμα
46,Körper::N,буар,κορμί
47,Haut::N,царм,πετσί
48,Blut::N,туг,αίμα
49,Ader::N,дадзин,φλέβα
50,Ader::N,тугдадзин,φλέβα
51,Sehne::N,хъиутæ,νεύρο
52,Sehne::N,хъиутæ,τένοντας
