,Concept_ID,is,ja
0,Auge::N,auga,目
1,Ohr::N,eyra,耳
2,Nase::N,nef,鼻
3,Mund::N,munnur,口
4,Zahn::N,tönn,歯
5,Zunge::N,tunga,舌
6,Lippe::N,vör,唇
7,Wange::N,kinn,頬
8,Wange::N,vangi,頬
9,Gesicht::N,andlit,顔
10,Stirn::N,enni,額
11,Haar::N,hár,髪
12,Schnurrbart::N,yfirskegg,口髭
13,Bart::N,skegg,髭
14,Kinn::N,haka,顎
15,Kiefer[Anatomie]::N,kjálki,顎
16,Kiefer[Anatomie]::N,skoltur,顎
17,Kehle::N,kverk,喉
18,Hals::N,háls,首
19,Genick::N,hnakki,首
20,Kopf::N,höfuð,頭
21,Rücken::N,hryggur,背中
22,Bauch::N,kviður,腹
23,Bauch::N,kviður,お腹
24,Nabel::N,nafli,へそ
25,Busen::N,barmur,乳房
26,Brust::N,brjóst,胸
27,Schulter::N,öxl,肩
28,Arm::N,armur,腕
29,Ellenbogen::N,olnbogi,肘
30,Hand::N,hönd,手
31,Handfläche::N,lófi,手のひら
32,Finger::N,fingur,指
33,Fingernagel::N,fingurnögl,爪
34,Nagel[Anatomie]::N,nögl,爪
35,Zeh::N,tá,足の指
36,Fuß::N,fótur,足
37,Ferse::N,hæll,かかと
38,Knie::N,kné,膝
39,Oberschenkel::N,læri,上腿
40,Bein::N,fótleggur,足
41,Körper::N,búkur,体
42,Körper::N,líkami,体
43,Haut::N,húð,皮膚
44,Haut::N,skinn,皮膚
45,Blut::N,blóð,血
46,Ader::N,æð,血管
47,Sehne::N,sin,腱
48,Knochen::N,bein,骨
49,Gehirn::N,heili,脳
50,Herz::N,hjarta,心
51,Herz::N,hjarta,心臓
52,Magen::N,magi,胃
53,Leber::N,lifur,肝臓
54,Atem::N,andi,息
55,Atem::N,andi,呼吸
56,Atem::N,andardráttur,息
57,Atem::N,andardráttur,呼吸
58,Hunger::N,hungur,空腹
59,Träne::N,tár,涙
60,Geschmack::N,smekkur,味
61,Geruch::N,lykt,匂い
62,Schlaf::N,svefn,睡眠
63,Traum::N,draumur,夢
64,Himmel::N,himinn,空
65,Sonne::N,sól,太陽
66,Mond::N,tungl,月
67,Stern::N,stjarna,星
68,Luft::N,loft,空気
69,Wind::N,vindur,風
70,Welle::N,alda,波
71,Welle::N,bylgja,波
72,Wasser::N,vatn,水
73,Stein::N,steinn,石
74,Boden::N,botn,土地
75,Erde::N,jörð,土
76,Staub::N,ryk,埃
77,Staub::N,duft,埃
78,Rauch::N,reykur,煙
79,Funke::N,neisti,火花
80,Feuer::N,eldur,火
81,Licht::N,ljós,光
82,Schatten::N,skuggi,陰
83,Wetter::N,veður,天気
84,Nebel::N,þoka,霧
85,Wolke::N,ský,雲
86,Regen::N,regn,雨
87,Schnee::N,snjór,雪
88,Eis::N,ís,氷
89,Frost::N,frost,霜
90,Kälte::N,kuldi,寒さ
91,Hitze::N,hiti,暑さ
92,Raureif::N,hrím,霧氷
93,Regenbogen::N,regnbogi,虹
94,Donner::N,þruma,雷
95,Strömung::N,straumur,流れ
96,Tropfen::N,dropi,滴
97,Schaum::N,froða,泡
98,Schmutz::N,óhreinindi,汚れ
99,See::N,stöðuvatn,湖
100,Sumpf::N,fen,沼
101,Moor::N,mýri,湿原
102,Wiese::N,engi,草原
103,Wald::N,skógur,森
104,Hügel::N,hæð,丘
105,Hügel::N,hóll,丘
106,Anhöhe::N,hæð,高み
107,Anhöhe::N,hóll,高み
108,Berg::N,fell,山
109,Berg::N,fjall,山
110,Gipfel::N,tindur,頂上
111,Höhle::N,hellir,洞窟
112,Abhang::N,hlíð,斜面
113,Abhang::N,brekka,斜面
114,Quelle::N,lind,泉
115,Quelle::N,uppspretta,泉
116,Bach::N,lækur,小川
117,Fluss::N,á,川
118,Fluss::N,fljót,川
119,Ufer::N,árbakki,岸
120,Ufer::N,sjávarbakki,岸
121,Küste::N,strönd,海岸
122,Festland::N,meginland,陸
123,Meer::N,haf,海
124,Meer::N,sjór,海
125,Bucht::N,vík,湾
126,Insel::N,eyja,島
127,Blume::N,blóm,花
128,Gras::N,gras,草
129,Wurzel::N,rót,根
130,Baum::N,tré,木
131,Stamm::N,stofn,幹
132,Rinde::N,börkur,皮層
133,Ast::N,grein,枝
134,Zweig::N,angi,小枝
135,Zweig::N,kvistur,小枝
136,Blatt::N,blað,葉
137,Birke::N,birki,樺
138,Kiefer[Baum]::N,fura,松
139,Weide[Baum]::N,víðir,柳
140,Tanne::N,greni,樅
141,Horn::N,horn,角
142,Feder::N,fjöður,羽根
143,Fell::N,skinn,毛皮
144,Flügel::N,vængur,羽
145,Klaue::N,kló,鉤爪
146,Kralle::N,kló,爪
147,Schwanz::N,rófa,尻尾
148,Schwanz::N,skott,尻尾
149,Ei::N,egg,卵
150,Nest::N,hreiður,巣
151,Bau::N,greni,穴
152,Bau::N,bæli,穴
153,Tier::N,dýr,動物
154,Herde::N,hjörð,群れ
155,Kuh::N,kýr,牛
156,Bulle::N,boli,雄牛
157,Pferd::N,hestur,馬
158,Schaf::N,kind,羊
159,Schwein::N,svín,豚
160,Hund::N,hundur,犬
161,Katze::N,köttur,猫
162,Bär::N,björn,熊
163,Eichhörnchen::N,íkorni,栗鼠
164,Elch::N,elgur,ヘラジカ
165,Fuchs::N,refur,狐
166,Hase::N,héri,兎
167,Maus::N,mús,鼠
168,Wolf::N,úlfur,狼
169,Vogel::N,fugl,鳥
170,Schwarm::N,sægur,群れ
171,Huhn::N,hæna,鶏
172,Hahn::N,hani,雄鶏
173,Gans::N,gæs,ガチョウ
174,Adler::N,örn,鷲
175,Ente::N,önd,鴨
176,Eule::N,uggla,フクロウ
177,Kranich::N,trana,鶴
178,Krähe::N,kráka,烏
179,Kuckuck::N,gaukur,郭公
180,Schwan::N,svanur,白鳥
181,Fisch::N,fiskur,魚
182,Barsch::N,aborri,鱸
183,Hecht::N,gedda,川魳
184,Schlange[Tier]::N,naðra,蛇
185,Wurm::N,ormur,虫
186,Spinne::N,kónguló,蜘蛛
187,Ameise::N,maur,蟻
188,Laus::N,lús,虱
189,Mücke::N,mý,蚊
190,Mücke::N,mýfluga,蚊
191,Fliege::N,fluga,蝿
192,Schmetterling::N,fiðrildi,蝶
193,Beere::N,ber,漿果
194,Apfel::N,epli,林檎
195,Pilz::N,sveppur,茸
196,Zwiebel::N,laukur,玉葱
197,Saat::N,fræ,種
198,Saat::N,útsæði,種
199,Korn::N,korn,粒
200,Heu::N,hey,干し草
201,Schale::N,hýði,皮
202,Grube::N,gryfja,穴
203,Falle::N,gildra,わな
204,Schlinge::N,snara,輪
205,Spur::N,spor,跡
206,Asche::N,aska,灰
207,Dreck::N,óþverri,泥
208,Eisen::N,járn,鉄
209,Gold::N,gull,金
210,Silber::N,silfur,銀
211,Kohle::N,kol,炭
212,Glas::N,gler,ガラス
