,Concept_ID,ja,eu
0,Auge::N,目,begi
1,Ohr::N,耳,belarri
2,Nase::N,鼻,sudur
3,Mund::N,口,aho
4,Zahn::N,歯,hortz
5,Zunge::N,舌,mihi
6,Lippe::N,唇,ezpain
7,Wange::N,頬,masail
8,Gesicht::N,顔,aurpegi
9,Stirn::N,額,bekoki
10,Haar::N,髪,ile
11,Haar::N,髪,bilo
12,Schnurrbart::N,口髭,bibote
13,Schnurrbart::N,口髭,sudurpeko
14,Bart::N,髭,bizar
15,Kinn::N,顎,kokots
16,Kiefer[Anatomie]::N,顎,masailezur
17,Kehle::N,喉,eztarri
18,Hals::N,首,sama
19,Genick::N,首,garondo
20,Kopf::N,頭,buru
21,Rücken::N,背中,bizkar
22,Bauch::N,腹,sabel
23,Bauch::N,お腹,sabel
24,Nabel::N,へそ,zilbor
25,Busen::N,乳房,titi
26,Busen::N,乳房,ugatz
27,Brust::N,胸,bular
28,Schulter::N,肩,besaburu
29,Arm::N,腕,beso
30,Ellenbogen::N,肘,ukondo
31,Hand::N,手,esku
32,Handfläche::N,手のひら,ahur
33,Finger::N,指,hatz
34,Fingernagel::N,爪,azazkal
35,Nagel[Anatomie]::N,爪,azazkal
36,Zeh::N,足の指,behatz
37,Fuß::N,足,oin
38,Ferse::N,かかと,orpo
39,Ferse::N,かかと,oinburu
40,Knie::N,膝,belaun
41,Oberschenkel::N,上腿,izter
42,Bein::N,足,zango
43,Körper::N,体,soin
44,Haut::N,皮膚,azal
45,Blut::N,血,odol
46,Ader::N,血管,zain
47,Sehne::N,腱,gihar-zain
48,Knochen::N,骨,hezur
49,Gehirn::N,脳,garun
50,Gehirn::N,脳,burmuin
51,Herz::N,心,bihotz
52,Herz::N,心臓,bihotz
53,Magen::N,胃,urdail
54,Leber::N,肝臓,gibel
55,Atem::N,息,hats
56,Atem::N,息,arnasa
57,Atem::N,呼吸,hats
58,Atem::N,呼吸,arnasa
59,Hunger::N,空腹,gose
60,Träne::N,涙,malko
61,Geschmack::N,味,dasta
62,Geruch::N,匂い,usain
63,Schlaf::N,睡眠,lo
64,Traum::N,夢,amets
65,Himmel::N,空,zeru
66,Sonne::N,太陽,eguzki
67,Mond::N,月,ilargi
68,Stern::N,星,izar
69,Luft::N,空気,aire
70,Wind::N,風,haize
71,Welle::N,波,uhin
72,Welle::N,波,olatu
73,Wasser::N,水,ur
74,Stein::N,石,harri
75,Boden::N,土地,lur
76,Boden::N,土地,zoru
77,Erde::N,土,lur
78,Staub::N,埃,hauts
79,Rauch::N,煙,ke
80,Funke::N,火花,zirta
81,Funke::N,火花,txinparta
82,Feuer::N,火,su
83,Licht::N,光,argi
84,Schatten::N,陰,itzal
85,Schatten::N,陰,geriza
86,Wetter::N,天気,eguraldi
87,Nebel::N,霧,laino
88,Wolke::N,雲,hodei
89,Regen::N,雨,euri
90,Schnee::N,雪,elur
91,Eis::N,氷,horma
92,Frost::N,霜,izotzaldi
93,Kälte::N,寒さ,hotz
94,Hitze::N,暑さ,bero
95,Raureif::N,霧氷,antzigar
96,Regenbogen::N,虹,ostadar
97,Regenbogen::N,虹,ortzadar
98,Donner::N,雷,ostots
99,Donner::N,雷,ihurtzuri
100,Strömung::N,流れ,laster
101,Tropfen::N,滴,xorta
102,Schaum::N,泡,bits
103,Schmutz::N,汚れ,lohi
104,Schmutz::N,汚れ,zikin
105,See::N,湖,laku
106,See::N,湖,aintzira
107,Sumpf::N,沼,zingira
108,Moor::N,湿原,zohikaztegi
109,Wiese::N,草原,larre
110,Wiese::N,草原,belardi
111,Wald::N,森,baso
112,Wald::N,森,oihan
113,Hügel::N,丘,muino
114,Hügel::N,丘,pentoka
115,Anhöhe::N,高み,garai
116,Anhöhe::N,高み,goragune
117,Berg::N,山,mendi
118,Gipfel::N,頂上,gain
119,Gipfel::N,頂上,tontor
120,Höhle::N,洞窟,kobazulo
121,Abhang::N,斜面,aldapa
122,Quelle::N,泉,iturri
123,Quelle::N,泉,iturbegi
124,Bach::N,小川,lats
125,Bach::N,小川,erreka
126,Fluss::N,川,ibai
127,Fluss::N,川,uhaitz
128,Ufer::N,岸,bazter
129,Küste::N,海岸,itsasalde
130,Festland::N,陸,lehor
131,Meer::N,海,itsaso
132,Bucht::N,湾,golko
133,Insel::N,島,irla
134,Insel::N,島,uharte
135,Blume::N,花,lili
136,Gras::N,草,belar
137,Wurzel::N,根,zuztar
138,Wurzel::N,根,sustrai
139,Baum::N,木,zuhaitz
140,Stamm::N,幹,enbor
141,Rinde::N,皮層,azal
142,Ast::N,枝,adar
143,Zweig::N,小枝,abar
144,Blatt::N,葉,hosto
145,Birke::N,樺,urki
146,Kiefer[Baum]::N,松,ler
147,Weide[Baum]::N,柳,zume
148,Weide[Baum]::N,柳,sahats
149,Tanne::N,樅,izei
150,Horn::N,角,adar
151,Feder::N,羽根,luma
152,Feder::N,羽根,hegaki
153,Fell::N,毛皮,ile
154,Fell::N,毛皮,larru
155,Flügel::N,羽,hego
156,Klaue::N,鉤爪,atzapar
157,Kralle::N,爪,erpe
158,Kralle::N,爪,atzapar
159,Schwanz::N,尻尾,isats
160,Schwanz::N,尻尾,buztan
161,Ei::N,卵,arrautza
162,Nest::N,巣,habia
163,Bau::N,穴,ohantze
164,Tier::N,動物,abere
165,Tier::N,動物,piztia
166,Herde::N,群れ,saldo
167,Herde::N,群れ,abere talde
168,Kuh::N,牛,behi
169,Bulle::N,雄牛,zezen
170,Pferd::N,馬,zaldi
171,Schaf::N,羊,ardi
172,Schwein::N,豚,urde
173,Schwein::N,豚,txerri
174,Hund::N,犬,txakur
175,Katze::N,猫,katu
176,Bär::N,熊,hartz
177,Eichhörnchen::N,栗鼠,urtxintxa
178,Elch::N,ヘラジカ,altze
179,Fuchs::N,狐,azeri
180,Hase::N,兎,erbi
181,Maus::N,鼠,sagu
182,Wolf::N,狼,otso
183,Vogel::N,鳥,txori
184,Vogel::N,鳥,hegazti
185,Schwarm::N,群れ,aldra
186,Huhn::N,鶏,oilo
187,Hahn::N,雄鶏,oilar
188,Gans::N,ガチョウ,antzara
189,Adler::N,鷲,arrano
190,Ente::N,鴨,ahate
191,Eule::N,フクロウ,hontza
192,Kranich::N,鶴,kurrilo
193,Krähe::N,烏,bele
194,Kuckuck::N,郭公,kuku
195,Schwan::N,白鳥,beltxarga
196,Fisch::N,魚,arrain
197,Barsch::N,鱸,perka
198,Hecht::N,川魳,lutxo
199,Schlange[Tier]::N,蛇,suge
200,Wurm::N,虫,har
201,Spinne::N,蜘蛛,armiarma
202,Ameise::N,蟻,inurri
203,Laus::N,虱,zorri
204,Mücke::N,蚊,eltxo
205,Fliege::N,蝿,euli
206,Schmetterling::N,蝶,pinpirin
207,Schmetterling::N,蝶,tximeleta
208,Beere::N,漿果,baia
209,Apfel::N,林檎,sagar
210,Pilz::N,茸,onddo
211,Pilz::N,茸,perretxiko
212,Zwiebel::N,玉葱,tipula
213,Saat::N,種,haziak
214,Korn::N,粒,ale
215,Korn::N,粒,pikor
216,Heu::N,干し草,belar ondu
217,Schale::N,皮,azal
218,Grube::N,穴,hobi
219,Falle::N,わな,harrapagailu
220,Schlinge::N,輪,bilur
221,Schlinge::N,輪,xedera
222,Spur::N,跡,lorratz
223,Asche::N,灰,errauts
224,Dreck::N,泥,satsukeria
225,Eisen::N,鉄,burdina
226,Gold::N,金,urre
227,Gold::N,金,urregorri
228,Silber::N,銀,zilar
229,Silber::N,銀,urrezuri
230,Kohle::N,炭,ikatz
231,Glas::N,ガラス,beira
232,Lehm::N,ローム,buztin
233,Sand::N,砂,harea
234,Sand::N,砂,hondar
235,Mensch::N,人,gizaki
236,Mann::N,男,gizon
237,Mann::N,男性,gizon
238,Frau::N,女,andere
239,Frau::N,女,emakume
240,Frau::N,女性,andere
241,Frau::N,女性,emakume
242,Kind::N,子,haur
243,Kind::N,子供,haur
244,Junge::N,男の子,mutil
245,Mädchen::N,女の子,neska
246,Familie::N,家族,sendi
247,Familie::N,家族,familia
248,Großvater::N,祖父,aitona
249,Großvater::N,祖父,aitatxi
250,Großvater::N,おじいさん,aitona
251,Großvater::N,おじいさん,aitatxi
252,Großmutter::N,祖母,amona
253,Großmutter::N,祖母,amatxi
254,Großmutter::N,おばあさん,amona
255,Großmutter::N,おばあさん,amatxi
256,Eltern::N,親,gurasoak
257,Eltern::N,両親,gurasoak
258,Vater::N,父,aita
259,Vater::N,お父さん,aita
260,Mutter::N,母,ama
261,Mutter::N,お母さん,ama
262,Sohn::N,息子,seme
263,Sohn::N,息子さん,seme
264,Tochter::N,娘,alaba
265,Tochter::N,お嬢さん,alaba
266,Bruder::N,弟,neba
267,Bruder::N,弟,anaia
268,Schwester::N,妹,ahizpa
269,Onkel::N,伯父,osaba
270,Onkel::N,伯父さん,osaba
271,Tante::N,叔母,izeba
272,Tante::N,叔母さん,izeba
273,Ehemann::N,夫,senar
274,Ehemann::N,主人,senar
275,Ehefrau::N,妻,emazte
276,Ehefrau::N,奥さん,emazte
277,Freude::N,喜び,poz
278,Freude::N,喜び,pozkari
279,Gelächter::N,笑い,barre
280,Gelächter::N,笑い,karkara
281,Glück::N,幸せ,zori
282,Kummer::N,悩み,xangrin
283,Kummer::N,悩み,atsekabe
284,Wunsch::N,希望,nahi
285,Wunsch::N,希望,nahikunde
286,Lust::N,気,gogo
287,Geist::N,精神,gogo
288,Gedanke::N,考え,gogoeta
289,Gedächtnis::N,記憶,oroimen
290,Gedächtnis::N,記憶,gogoramen
291,Verstand::N,理解力,adimen
292,Verstand::N,理解力,ulermen
293,Sinn::N,意味,zentzu
294,Grund::N,理由,zergati
