,Concept_ID,fa,ko
0,Auge::N,چشم,눈
1,Ohr::N,گوش,귀
2,Nase::N,بینی,코
3,Mund::N,دهان,입
4,Zahn::N,دندان,이
5,Zunge::N,زبان,혀
6,Lippe::N,لب,입술
7,Wange::N,لپ,뺨
8,Gesicht::N,رو,얼굴
9,Gesicht::N,چهره,얼굴
10,Stirn::N,پیشانی,이마
11,Haar::N,مو,털
12,Schnurrbart::N,سبیل,윗수몀
13,Schnurrbart::N,سبیل,코밑수염
14,Bart::N,ریش,수엄
15,Kinn::N,چانه,아래턱
16,Kiefer[Anatomie]::N,فک,턱
17,Kiefer[Anatomie]::N,آرواره,턱
18,Kehle::N,حلق,인후
19,Hals::N,گردن,목
20,Genick::N,پشت گردن,먹덜이
21,Kopf::N,سر,머리
22,Kopf::N,کله,머리
23,Rücken::N,پشت,든
24,Bauch::N,شکم,배
25,Nabel::N,ناف,배꼽
26,Busen::N,پستان,가슴속
27,Brust::N,سینه,가슴
28,Schulter::N,دوش,어깨
29,Schulter::N,شانه,어깨
30,Arm::N,بازو,팔
31,Ellenbogen::N,آرنج,팔쿰치
32,Hand::N,دست,손
33,Handfläche::N,کف دست,손바닥
34,Finger::N,انگشت,속가락
35,Fingernagel::N,ناخن دست,손톱
36,Nagel[Anatomie]::N,ناخن,손톱
37,Zeh::N,انگشت پا,발가락
38,Fuß::N,پا,발
39,Ferse::N,پاشنه,발꿈치
40,Knie::N,زانو,무릎
41,Oberschenkel::N,ران,허벅다리
42,Bein::N,پا,다리
43,Bein::N,لنگ,다리
44,Körper::N,تن,구간
45,Körper::N,بدن,구간
46,Haut::N,پوست,살갗
47,Blut::N,خون,피
48,Ader::N,رگ,정맥
49,Sehne::N,زردپی,현
50,Knochen::N,استخوان,뼈
51,Gehirn::N,مخ,뇌
52,Gehirn::N,مخ,뇌수
53,Gehirn::N,مغز,뇌
54,Gehirn::N,مغز,뇌수
55,Herz::N,دل,염통
56,Herz::N,قلب,염통
57,Magen::N,معده,위
58,Leber::N,کبد,간
59,Atem::N,نفس,기식
60,Hunger::N,گرسنگی,공복
61,Träne::N,اشک,눈물
62,Geschmack::N,مزه,기호
63,Geruch::N,بو,냄새
64,Schlaf::N,خواب,수면
65,Traum::N,رؤیا,쿰
66,Himmel::N,فلک,하늘
67,Himmel::N,آسمان,하늘
68,Sonne::N,آفتاب,해
69,Sonne::N,خورشید,해
70,Mond::N,ماه,달
71,Stern::N,ستاره,별
72,Luft::N,هوا,동준
73,Luft::N,هوا,가스채
74,Wind::N,باد,바람
75,Welle::N,موج,물결
76,Wasser::N,آب,물
77,Stein::N,سنگ,돌
78,Boden::N,زمین,바닥
79,Erde::N,خاک,흙
80,Erde::N,زمین,흙
81,Staub::N,گرد,먼지
82,Staub::N,غبار,먼지
83,Rauch::N,دود,연기
84,Funke::N,جرقه,불티
85,Feuer::N,آتش,불
86,Licht::N,نور,불
87,Licht::N,روشنی,불
88,Schatten::N,سایه,어스레함
89,Wetter::N,هوا,기상
90,Nebel::N,مه,안개
91,Wolke::N,ابر,구름
92,Regen::N,باران,비
93,Schnee::N,برف,눈
94,Eis::N,یخ,얼음
95,Frost::N,یخبندان,혹한
96,Kälte::N,سرما,추위
97,Kälte::N,سرما,차가움
98,Hitze::N,گرما,고온
99,Hitze::N,گرما,더위
100,Hitze::N,حرارت,고온
101,Hitze::N,حرارت,더위
102,Raureif::N,برف ریزه,
103,Regenbogen::N,رنگین‌کمان,무지개
104,Donner::N,رعد,뇌명
105,Strömung::N,جریان,유동
106,Tropfen::N,قطره,물방울
107,Schaum::N,کف,포말
108,Schmutz::N,گل,때
109,Schmutz::N,کثافت,때
110,See::N,دریاچه,호수
111,Sumpf::N,مرداب,습지
112,Sumpf::N,باتلاق,습지
113,Moor::N,باتلاق,저습지
114,Wiese::N,چمن,목초지
115,Wald::N,جنگل,숲
116,Hügel::N,تل,언덕
117,Hügel::N,تپه,언덕
118,Anhöhe::N,بلندی,언덕
119,Berg::N,کوه,산
120,Gipfel::N,قله,졀졍
121,Höhle::N,غار,공동
122,Abhang::N,سرازیری,몰매
123,Quelle::N,چشمه,근원
124,Bach::N,نهر,내
125,Fluss::N,رود,강
126,Ufer::N,ساحل,강변
127,Ufer::N,ساحل,바닷가
128,Ufer::N,کرانه,강변
129,Ufer::N,کرانه,바닷가
130,Küste::N,ساحل,해변
131,Küste::N,ساحل,해변가
132,Festland::N,خشکی,본토
133,Meer::N,دریا,바다
134,Bucht::N,خلیج,협만
135,Insel::N,جزیره,섬
136,Blume::N,گل,꽃
137,Gras::N,علف,풀
138,Wurzel::N,ریشه,뿌리
139,Baum::N,درخت,나무
140,Stamm::N,تنه,대
141,Rinde::N,توژ,나무껍질
142,Rinde::N,پوست,나무껍질
143,Ast::N,شاخه,가지
144,Zweig::N,شاخه,가지
145,Blatt::N,برگ,잎
146,Birke::N,غان,자작나무
147,Kiefer[Baum]::N,کاج,소나무
148,Weide[Baum]::N,بید,쉬양버들
149,Tanne::N,صنوبر,전나무
150,Horn::N,شاخ,뿔
151,Feder::N,پر,깃털
152,Fell::N,خز,피혁모피
153,Flügel::N,پر,날개
154,Flügel::N,بال,날개
155,Klaue::N,چنگ,갈고리 발톺
156,Klaue::N,پنجه,갈고리 발톺
157,Kralle::N,پنجه,발툭
158,Schwanz::N,دم,꼬리
159,Ei::N,تخم,알
160,Nest::N,لانه,보금자리
161,Bau::N,بنا,굴
162,Bau::N,ساختمان,굴
163,Tier::N,هیوان,짐승
164,Herde::N,رمه,가축의떼
165,Kuh::N,گاو,암소
166,Bulle::N,گاو نر,황소
167,Pferd::N,اسب,말
168,Schaf::N,گوسفند,양
169,Schwein::N,خوک,돼지
170,Hund::N,سگ,개
171,Katze::N,گربه,고양이
172,Bär::N,خرس,콤
173,Eichhörnchen::N,سنجاب,다람쥐
174,Elch::N,گوزن شمالی,고라니
