,Concept_ID,tt,fa
0,Auge::N,күз,چشم
1,Ohr::N,колак,گوش
2,Nase::N,борын,بینی
3,Mund::N,авыз,دهان
4,Mund::N,тамак,دهان
5,Zahn::N,теш,دندان
6,Zunge::N,тел,زبان
7,Lippe::N,ирен,لب
8,Wange::N,яңак,لپ
9,Gesicht::N,йөз,رو
10,Gesicht::N,йөз,چهره
11,Stirn::N,маңгай,پیشانی
12,Haar::N,чәч,مو
13,Schnurrbart::N,мыек,سبیل
14,Bart::N,сакал,ریش
15,Kinn::N,ияк,چانه
16,Kiefer[Anatomie]::N,казналык,فک
17,Kiefer[Anatomie]::N,казналык,آرواره
18,Kehle::N,тамак,حلق
19,Hals::N,бугаз,گردن
20,Genick::N,җилкә,پشت گردن
21,Kopf::N,баш,سر
22,Kopf::N,баш,کله
23,Rücken::N,сырт,پشت
24,Bauch::N,корсак,شکم
25,Nabel::N,кендек,ناف
26,Busen::N,түш,پستان
27,Brust::N,имчәк,سینه
28,Brust::N,күкрәк,سینه
29,Schulter::N,иңбаш,دوش
30,Schulter::N,иңбаш,شانه
31,Schulter::N,кулбаш,دوش
32,Schulter::N,кулбаш,شانه
33,Arm::N,кул,بازو
34,Ellenbogen::N,терсәк,آرنج
35,Hand::N,кул,دست
36,Handfläche::N,уч,کف دست
37,Finger::N,бармак,انگشت
38,Fingernagel::N,тырнак,ناخن دست
39,Nagel[Anatomie]::N,тырнак,ناخن
40,Zeh::N,бармак,انگشت پا
41,Fuß::N,табан,پا
42,Ferse::N,үкчә,پاشنه
43,Knie::N,тез,زانو
44,Oberschenkel::N,бот,ران
45,Bein::N,аяк,پا
46,Bein::N,аяк,لنگ
47,Körper::N,тән,تن
48,Körper::N,тән,بدن
49,Körper::N,җисем,تن
50,Körper::N,җисем,بدن
51,Haut::N,тире,پوست
52,Blut::N,кан,خون
53,Ader::N,тамыр,رگ
54,Sehne::N,сеңер,زردپی
55,Knochen::N,сөяк,استخوان
56,Gehirn::N,ми,مخ
57,Gehirn::N,ми,مغز
58,Herz::N,йөрәк,دل
59,Herz::N,йөрәк,قلب
60,Magen::N,ашказаны,معده
61,Leber::N,бавыр,کبد
62,Atem::N,сулыш,نفس
63,Hunger::N,ачлык,گرسنگی
64,Träne::N,яшь,اشک
65,Geschmack::N,тәм,مزه
66,Geschmack::N,зәвык,مزه
67,Geruch::N,ис,بو
68,Schlaf::N,йокы,خواب
69,Traum::N,төш,رؤیا
70,Himmel::N,күк,فلک
71,Himmel::N,күк,آسمان
72,Sonne::N,кояш,آفتاب
73,Sonne::N,кояш,خورشید
74,Mond::N,ай,ماه
75,Stern::N,йолдыз,ستاره
76,Luft::N,һава,هوا
77,Wind::N,җил,باد
78,Welle::N,дулкын,موج
79,Wasser::N,су,آب
80,Stein::N,таш,سنگ
81,Boden::N,туфрак,زمین
82,Erde::N,җир,خاک
83,Erde::N,җир,زمین
84,Staub::N,тузан,گرد
85,Staub::N,тузан,غبار
86,Rauch::N,төтен,دود
87,Funke::N,очкын,جرقه
88,Feuer::N,ут,آتش
89,Licht::N,якты,نور
90,Licht::N,якты,روشنی
91,Schatten::N,күләгә,سایه
92,Wetter::N,һава,هوا
93,Nebel::N,томан,مه
