,Concept_ID,he,mn
0,Auge::N,עין,нүд
1,Ohr::N,אזן,чих
2,Nase::N,אף,хамар
3,Nase::N,חטם,хамар
4,Mund::N,פה,ам
5,Zahn::N,שן,шүд
6,Zunge::N,לשון,хэл
7,Lippe::N,שפה,уруул
8,Wange::N,לחי,хацар
9,Gesicht::N,פנים,царай
10,Gesicht::N,פנים,нүүр
11,Stirn::N,מצח,дух
12,Haar::N,שערה,үс
13,Schnurrbart::N,שפם,дээд сахал
14,Schnurrbart::N,שפם,живэр сахал
15,Bart::N,זקן,сахал
16,Kinn::N,סנטר,эрүү
17,Kiefer[Anatomie]::N,לסת,эрүү
18,Kehle::N,גרון,хоолой
19,Hals::N,צואר,хүзүү
20,Genick::N,ערף,шил
21,Genick::N,ערף,хүзүү
22,Kopf::N,ראש,толгой
23,Rücken::N,גב,ар
24,Rücken::N,גב,нуруу
25,Bauch::N,בטן,хэвлий
26,Bauch::N,בטן,гэдэс
27,Nabel::N,טבור,хүйс
28,Busen::N,שד,хөх
29,Brust::N,חזה,цээж
30,Schulter::N,כתף,мөр
31,Schulter::N,כתף,бугалга
32,Arm::N,זרוע,гар
33,Ellenbogen::N,מרפק,тохой
34,Hand::N,יד,гар
35,Hand::N,יד,алга
36,Handfläche::N,כף יד,алга
37,Finger::N,אצבע,хуруу
38,Fingernagel::N,צפרן,хурууны хумс
39,Nagel[Anatomie]::N,צפרן,хумс
40,Zeh::N,אצבע,хуруу
41,Fuß::N,רגל,хөл
42,Ferse::N,עקב,өсгий
43,Knie::N,ברך,өвдөг
44,Oberschenkel::N,ירך,гуя
45,Bein::N,רגל,хөл
46,Körper::N,גוף,бие
47,Haut::N,עור,арьс
48,Blut::N,דם,цус
49,Ader::N,וריד,судас
50,Sehne::N,גיד,бүлх
51,Sehne::N,גיד,шандас
52,Knochen::N,עצם,яс
53,Gehirn::N,מוח,тархи
54,Herz::N,לב,зүрх
55,Magen::N,קבה,ходоод
56,Leber::N,כבד,элэг
57,Atem::N,נשימה,амьсгаа
58,Hunger::N,רעב,өлсгөлөн
59,Träne::N,דמעה,нулимс
60,Geschmack::N,טעם,амт
61,Geruch::N,ריח,үнэр
62,Schlaf::N,שנה,нойр
63,Traum::N,חלום,зүүд
64,Himmel::N,שמים,тэнгэр
65,Himmel::N,שמים,огторгуй
66,Sonne::N,שמש,нар
67,Mond::N,ירח,сар
68,Stern::N,כוכב,од
69,Luft::N,אויר,агаар
70,Wind::N,רוח,салхи
71,Welle::N,גל,долгио
72,Welle::N,גל,давалгаа
73,Wasser::N,מים,ус
74,Stein::N,אבן,чулуу
75,Boden::N,קרקע,хөрс
76,Erde::N,אדמה,газар
77,Erde::N,אדמה,шороо
78,Staub::N,אבק,тоос
79,Rauch::N,עשן,утаа
80,Funke::N,ניצוץ,оч
81,Feuer::N,אש,гал
82,Licht::N,אור,гэрэл
83,Licht::N,אור,гэгээ
84,Schatten::N,צל,сүүдэр
85,Wetter::N,מזג אויר,тэнгэр
86,Wetter::N,מזג אויר,цаг уур
87,Nebel::N,ערפל,будан
88,Wolke::N,ענן,үүл
89,Regen::N,גשם,бороо
90,Schnee::N,שלג,цас
91,Eis::N,קרח,мөс
92,Frost::N,צנה,хүйт
93,Kälte::N,קר,хүйт
94,Hitze::N,חם,халуун
95,Raureif::N,כפור,цан
96,Raureif::N,כפור,хяруу
97,Regenbogen::N,קשת,солонго
98,Donner::N,רעם,тэнгэрийн дуу
99,Strömung::N,זרימה,урсгал
100,Tropfen::N,טפה,дусал
101,Schaum::N,קצף,хөөс
102,Schmutz::N,לכלוך,хир
103,Schmutz::N,לכלוך,шавхай
104,See::N,אגם,нуур
105,Sumpf::N,בצה,намаг
106,Sumpf::N,בצה,балчиг
107,Moor::N,בצה,хүлрийн намаг
108,Wiese::N,מרעה,нуга
109,Wald::N,יער,ой
110,Hügel::N,תל,болдог
111,Anhöhe::N,מעלה,гүвээ
112,Berg::N,הר,уул
113,Gipfel::N,פסגה,орой
114,Gipfel::N,פסגה,оргил
115,Höhle::N,מערה,агуй
116,Abhang::N,מדרון,хүр
117,Abhang::N,שפוע,хүр
118,Quelle::N,מעין,булаг
119,Bach::N,נחל,горхи
120,Fluss::N,נהר,гол
121,Fluss::N,נהר,мөрөн
122,Ufer::N,גדה,эрэг
123,Küste::N,חוף,эрэг
124,Festland::N,יבשה,хуурай газар
125,Meer::N,ים,далай
126,Meer::N,ים,тэнгис
127,Bucht::N,מפרץ,булан
128,Bucht::N,מפרץ,далайн тохой
129,Insel::N,אי,арал
130,Blume::N,פרח,цэцэг
131,Gras::N,דשא,өвс
132,Gras::N,דשא,ногоо
133,Wurzel::N,שרש,үндэс
134,Baum::N,עץ,мод
135,Stamm::N,גזע,иш
136,Stamm::N,גזע,гуалин
137,Rinde::N,קלפת עץ,холтос
138,Ast::N,ענף,гишүү
139,Zweig::N,ענף,салаа
140,Blatt::N,עלה,навч
141,Birke::N,שדר,хус
142,Kiefer[Baum]::N,ארן,нарс
143,Weide[Baum]::N,ערבה,уд
144,Weide[Baum]::N,ערבה,бургас
145,Tanne::N,אשוח,гачуур
146,Horn::N,קרן,эвэр
147,Feder::N,נוצה,өд
148,Fell::N,פרוה,арьс
149,Flügel::N,כנף,жигүүр
150,Flügel::N,כנף,далавч
151,Klaue::N,טלף,савар
152,Klaue::N,טלף,хумс
153,Kralle::N,טפר,савар
154,Schwanz::N,זנב,сүүл
155,Ei::N,ביצה,өндөг
156,Nest::N,קן,үүр
157,Bau::N,מחלה,нүх
158,Bau::N,מחלה,элүү
159,Tier::N,חיה,амьтан
160,Tier::N,חיה,адгуус
161,Herde::N,עדר,сүрэг
162,Kuh::N,פרה,үнээ
163,Bulle::N,פר,бух
164,Pferd::N,סוס,морь
165,Pferd::N,סוס,адуу
166,Schaf::N,כבשה,хонь
167,Schwein::N,חזיר,гахай
168,Hund::N,כלב,нохой
169,Katze::N,חתול,муур
170,Katze::N,חתול,мигуй
171,Bär::N,דב,баавгай
172,Eichhörnchen::N,סנאי,хэрэм
173,Elch::N,דישון,хандгай
174,Fuchs::N,שועל,үнэг
175,Hase::N,ארנב,туулай
176,Maus::N,עכבר,хулгана
177,Wolf::N,זאב,чоно
178,Vogel::N,צפור,шувуу
179,Schwarm::N,נחיל,сүрэг
180,Schwarm::N,להקה,сүрэг
181,Huhn::N,תרנגלת,тахиа
182,Hahn::N,תרנגול,эр тахиа
183,Gans::N,אוז,галуу
184,Adler::N,עיט,бүргэд
185,Ente::N,ברוז,нугас
186,Eule::N,ינשוף,ууль
187,Kranich::N,עגור,тогоруу
188,Kranich::N,כרוכיה,тогоруу
189,Krähe::N,עורב,хэрээ
190,Kuckuck::N,קוקיה,хөхөө
191,Schwan::N,ברבור,хун
192,Fisch::N,דג,загас
193,Barsch::N,אוקונוס,алгана
194,Hecht::N,זאב הים,цурхай
195,Schlange[Tier]::N,נחש,могой
196,Wurm::N,תולעת,өт
197,Wurm::N,תולעת,хорхой
198,Spinne::N,עכביש,аалз
199,Ameise::N,נמלה,шоргоолж
200,Laus::N,כנה,бөөс
201,Mücke::N,יתוש,шумуул
202,Fliege::N,זבוב,ялаа
203,Schmetterling::N,פרפר,эрвээхэй
204,Beere::N,ענבה,жимсгэнэ
205,Apfel::N,תפוח,алим
206,Pilz::N,פטריה,мөөг
207,Zwiebel::N,בצל,сонгино
208,Saat::N,זרעים,тариа
209,Korn::N,גרעין,үр
210,Korn::N,גרעין,мөхлөг
211,Heu::N,חציר,өвс
212,Schale::N,קלפה,хальс
213,Grube::N,בור,алам
214,Grube::N,בור,нүх
215,Grube::N,שוחה,алам
216,Grube::N,שוחה,нүх
217,Falle::N,מלכדת,хавх
218,Falle::N,מלכדת,занга
219,Schlinge::N,לולאה,урхи
220,Spur::N,עקבה,мөр
