,Concept_ID,et,it
0,Auge::N,silm,occhio
1,Ohr::N,kõrv,orecchio
2,Nase::N,nina,naso
3,Mund::N,suu,bocca
4,Zahn::N,hammas,dente
5,Zunge::N,keel,lingua
6,Lippe::N,huul,labbro
7,Wange::N,põsk,guancia
8,Gesicht::N,nägu,viso
9,Gesicht::N,nägu,faccia
10,Stirn::N,otsmik,fronte
11,Haar::N,juus,capello
12,Schnurrbart::N,vurrud,baffi
13,Schnurrbart::N,vurrud,mustacchi
14,Schnurrbart::N,vuntsid,baffi
15,Schnurrbart::N,vuntsid,mustacchi
16,Bart::N,habe,barba
17,Kinn::N,lõug,mento
18,Kiefer[Anatomie]::N,lõualuu,mascella
19,Kehle::N,kõri,gola
20,Hals::N,kael,collo
21,Genick::N,kukal,nuca
22,Kopf::N,pea,capo
23,Kopf::N,pea,testa
24,Rücken::N,selg,dorso
25,Rücken::N,selg,schiena
26,Bauch::N,kõht,ventre
27,Nabel::N,naba,ombelico
28,Busen::N,rind,seno
29,Brust::N,rind,petto
30,Schulter::N,õlg,spalla
31,Arm::N,käsivars,braccio
32,Ellenbogen::N,küünarnukk,gomito
33,Hand::N,käsi,mano
34,Handfläche::N,pihk,palma
35,Finger::N,sõrm,dito
36,Fingernagel::N,küüs,unghia
37,Nagel[Anatomie]::N,küüs,unghia
38,Zeh::N,varvas,dito del piede
39,Fuß::N,jalg,piede
40,Ferse::N,kand,tallone
41,Ferse::N,kand,calcagno
42,Knie::N,põlv,ginocchio
43,Oberschenkel::N,reis,fèmore
44,Bein::N,jalg,gamba
45,Körper::N,ihu,corpo
46,Körper::N,keha,corpo
47,Haut::N,nahk,pelle
48,Blut::N,veri,sangue
49,Ader::N,veen,vena
50,Sehne::N,kõõlus,tèndine
51,Knochen::N,luu,osso
52,Gehirn::N,aju,cervello
53,Herz::N,süda,cuore
54,Magen::N,magu,stòmaco
55,Leber::N,maks,fegato
56,Atem::N,hingeõhk,fiato
57,Atem::N,hingeõhk,respiro
58,Atem::N,hingamine,fiato
59,Atem::N,hingamine,respiro
60,Hunger::N,nälg,fame
61,Träne::N,pisar,làcrima
62,Geschmack::N,maitse,gusto
63,Geschmack::N,maitse,sapore
64,Geruch::N,lõhn,odore
65,Schlaf::N,uni,sonno
66,Traum::N,unenägu,sogno
67,Himmel::N,taevas,cielo
68,Sonne::N,päike,sole
69,Mond::N,kuu,luna
70,Stern::N,täht,stella
71,Luft::N,õhk,aria
