,Concept_ID,mn,zh
0,Auge::N,нүд,眼睛
1,Ohr::N,чих,耳朵
2,Nase::N,хамар,鼻子
3,Mund::N,ам,嘴
4,Zahn::N,шүд,牙齿
5,Zunge::N,хэл,舌头
6,Lippe::N,уруул,嘴唇
7,Wange::N,хацар,面颊
8,Gesicht::N,царай,脸
9,Gesicht::N,нүүр,脸
10,Stirn::N,дух,额
11,Haar::N,үс,头发
12,Schnurrbart::N,дээд сахал,髭须
13,Schnurrbart::N,живэр сахал,髭须
14,Bart::N,сахал,胡子
15,Kinn::N,эрүү,下巴
16,Kiefer[Anatomie]::N,эрүү,颌
17,Kehle::N,хоолой,嗓子
18,Hals::N,хүзүү,颈
19,Genick::N,шил,后颈
20,Genick::N,хүзүү,后颈
21,Kopf::N,толгой,头
22,Rücken::N,ар,背
23,Rücken::N,нуруу,背
24,Bauch::N,хэвлий,肚子
25,Bauch::N,гэдэс,肚子
26,Nabel::N,хүйс,肚脐
27,Busen::N,хөх,胸脯
28,Brust::N,цээж,胸
29,Schulter::N,мөр,肩膀
30,Schulter::N,бугалга,肩膀
31,Arm::N,гар,臂膀
32,Ellenbogen::N,тохой,肘
33,Hand::N,гар,手
34,Hand::N,алга,手
35,Handfläche::N,алга,手掌
36,Finger::N,хуруу,手指
37,Fingernagel::N,хурууны хумс,指甲
38,Nagel[Anatomie]::N,хумс,指甲
39,Zeh::N,хуруу,脚趾
40,Fuß::N,хөл,脚
41,Ferse::N,өсгий,后跟
42,Knie::N,өвдөг,膝
43,Oberschenkel::N,гуя,大腿
44,Bein::N,хөл,腿
45,Körper::N,бие,身体
46,Haut::N,арьс,皮肤
47,Blut::N,цус,血
48,Ader::N,судас,血管
49,Sehne::N,бүлх,腱
50,Sehne::N,шандас,腱
51,Knochen::N,яс,骨
52,Gehirn::N,тархи,脑
53,Herz::N,зүрх,心
54,Magen::N,ходоод,胃
55,Leber::N,элэг,肝
56,Atem::N,амьсгаа,呼吸
57,Hunger::N,өлсгөлөн,饿
58,Träne::N,нулимс,眼泪
59,Geschmack::N,амт,味道
