,Concept_ID,ba,br
0,Auge::N,күҙ,lagad
1,Ohr::N,ҡолаҡ,skouarn
2,Nase::N,танау,fri
3,Mund::N,ауыҙ,genoù
4,Zahn::N,теш,dant
5,Zunge::N,тел,teod
6,Lippe::N,ирен,muzell
7,Wange::N,яцаҡтар,chot
8,Gesicht::N,бит,dremm
9,Stirn::N,маңлай,tal
10,Haar::N,сәс,blev
11,Schnurrbart::N,мылтыҡ,mourenn
12,Bart::N,һаҡал,barv
13,Kinn::N,эйэк,groñj
14,Kiefer[Anatomie]::N,яңаҡ һөйәге,javed
15,Kehle::N,тамаҡ,gouzoug
16,Hals::N,муйын,gouzoug
17,Genick::N,соңҡа,choug
18,Kopf::N,баш,penn
19,Rücken::N,арҡа,kein
20,Bauch::N,ҡорһаҡ,kof
21,Nabel::N,кендек,begel
22,Busen::N,күкрәк,bronn
23,Brust::N,түш,bruched
24,Schulter::N,яурын,skoaz
25,Arm::N,ҡул,brec'h
26,Ellenbogen::N,терһәк,ilin
27,Hand::N,ҡул,dorn
28,Hand::N,ҡул суғы,dorn
29,Handfläche::N,ус төбө,palv
30,Finger::N,бармаҡ,biz
31,Fingernagel::N,тырнаҡ,ivin
32,Nagel[Anatomie]::N,тырнаҡ,ivin
33,Zeh::N,бармаҡ,biz-troad
34,Fuß::N,табан,troad
35,Ferse::N,үксә,seul
36,Knie::N,тубыҡ,glin
37,Oberschenkel::N,сандыр,morzhed
38,Bein::N,аяҡ,gar
39,Körper::N,тән,korf
40,Haut::N,тире,kroc'hen
41,Blut::N,ҡан,gwad
42,Ader::N,тамыр,gwazhi
43,Sehne::N,һеңер,stir
44,Sehne::N,тарамыш,stir
45,Knochen::N,һойәк,askorn
46,Gehirn::N,мейе,empenn
47,Herz::N,йорәк,kalon
48,Magen::N,ашҡаҙан,stomog
49,Leber::N,бауыр,avu
50,Atem::N,һулыш,anal
51,Hunger::N,аслыҡ,naon
52,Träne::N,күҙ иәше,daer
53,Geschmack::N,тәм,blaz
54,Geruch::N,еҫ,c'hwezh
55,Schlaf::N,йоҡлау,kousked
56,Traum::N,төш,hune
57,Himmel::N,күк,oabl
58,Sonne::N,ҡояш,heol
59,Mond::N,ай,loar
60,Stern::N,йондоҙ,steredenn
61,Luft::N,һауа,aer
62,Wind::N,ел,avel
63,Welle::N,тулҡын,houlenn
64,Wasser::N,һыу,dour
65,Stein::N,таш,maen
66,Boden::N,тупраҡ,tachenn
67,Erde::N,балсҡ,douar
68,Staub::N,туҙан,poultr
69,Rauch::N,төтөн,moged
70,Funke::N,осҡон,ful
71,Feuer::N,ут,tan
72,Licht::N,яҡтылыҡ,gouloù
73,Schatten::N,күләгә,disheol
74,Wetter::N,һауа торошо,amzer
75,Nebel::N,төман,brumenn
76,Wolke::N,болот,koumoulenn
77,Regen::N,ямғыр,glav
78,Schnee::N,ҡар,erc'h
79,Eis::N,боҙ,skorn
80,Frost::N,һалҡын,rev
81,Kälte::N,һыуыҡ,yen
82,Hitze::N,томра,tommder
83,Hitze::N,эҫелек,tommder
84,Raureif::N,ҡырау,frim
85,Regenbogen::N,йәйғор,gwareg-ar-glav
86,Donner::N,күк күкрәү,kurun
87,Strömung::N,ағым,red
88,Tropfen::N,тамсы,bannac'h
89,Tropfen::N,тамсы,takenn
90,Schaum::N,күбек,spoum
91,Schmutz::N,батҡаҡ,fank
92,See::N,күл,lenn
93,Sumpf::N,һаҙлык,gwern
94,Moor::N,һаҙ,taouarc'heg
95,Wiese::N,болон,prad
96,Wald::N,урман,koad
97,Hügel::N,түбә,torgenn
98,Anhöhe::N,түбә,run
99,Anhöhe::N,ҡалҡыулыҡ,run
100,Berg::N,тау,menez
101,Gipfel::N,түбә,barr
102,Höhle::N,мәмерйә,kav
103,Abhang::N,ипкен,naou
104,Quelle::N,шишмә,feunteun
105,Bach::N,шишмә,gwazh
106,Fluss::N,йылға,stêr
107,Ufer::N,яр,ribl
108,Küste::N,яр буйы,aod
109,Festland::N,ҡоро ер,douar
110,Meer::N,диңгез,mor
111,Bucht::N,бухта,mor-bihan
112,Insel::N,үтрау,enez
113,Blume::N,сәскә,bleunienn
114,Gras::N,үлән,geot
115,Wurzel::N,тамыр,gwrizienn
116,Baum::N,ағас,gwezenn
117,Stamm::N,олон,kef
118,Stamm::N,көбәк,kef
119,Rinde::N,ҡабыҡ,rusk
120,Ast::N,ботаҡ,barr
121,Zweig::N,ботаҡ,bod
122,Zweig::N,тармаҡ,bod
123,Blatt::N,япраҡ,delienn
124,Birke::N,ҡайын,bezvenn
125,Kiefer[Baum]::N,ҡарғай,pinenn
126,Weide[Baum]::N,тал,halegenn
127,Tanne::N,шыршы,sapenn
128,Horn::N,мөғөҙ,korn
129,Feder::N,ҡауырһын,pluñv
130,Fell::N,тире,kreoñ
131,Flügel::N,ҡанат,askell
132,Klaue::N,тырнаҡ,skilf
133,Kralle::N,аяҡ,skilf
134,Schwanz::N,ҡойроҡ,lost
135,Ei::N,йомортҡа,vi
136,Nest::N,оя,neizh
137,Bau::N,оң,douarenn
138,Tier::N,жайуан,loen
139,Tier::N,йыртҡыс,loen
140,Herde::N,көтөү,tropell
141,Kuh::N,һыйыр,buoc'h
142,Bulle::N,үгеҙ,tarv
143,Pferd::N,ат,marc'h
144,Schaf::N,һарыҡ,dañvad
