,Concept_ID,it,myv
0,Auge::N,occhio,сельме
1,Ohr::N,orecchio,пиле
2,Nase::N,naso,судо
3,Mund::N,bocca,курго
4,Zahn::N,dente,пей
5,Zunge::N,lingua,кель
6,Lippe::N,labbro,турва
7,Wange::N,guancia,чамабока
8,Wange::N,guancia,чамаумарь
9,Gesicht::N,viso,чама
10,Gesicht::N,faccia,чама
11,Stirn::N,fronte,коня
12,Haar::N,capello,черь
13,Schnurrbart::N,baffi,ус
14,Schnurrbart::N,baffi,муюк
15,Schnurrbart::N,mustacchi,ус
16,Schnurrbart::N,mustacchi,муюк
17,Bart::N,barba,сакал
18,Kinn::N,mento,уло
19,Kiefer[Anatomie]::N,mascella,пейпакар
20,Kiefer[Anatomie]::N,mascella,пейловажа
21,Kehle::N,gola,кирьгапарь
22,Hals::N,collo,кирьга
23,Genick::N,nuca,човонь
24,Kopf::N,capo,пря
25,Kopf::N,testa,пря
26,Rücken::N,dorso,копорь
27,Rücken::N,schiena,копорь
28,Bauch::N,ventre,пеке
29,Nabel::N,ombelico,почо
30,Busen::N,seno,поте
31,Brust::N,petto,меште
32,Schulter::N,spalla,лавтов
33,Arm::N,braccio,кедь
34,Ellenbogen::N,gomito,кенерепакарь
35,Hand::N,mano,кедь
36,Handfläche::N,palma,кедькуншка
37,Handfläche::N,palma,кедьлапушка
38,Finger::N,dito,сур
39,Fingernagel::N,unghia,кенже
40,Nagel[Anatomie]::N,unghia,кенже
41,Zeh::N,dito del piede,пильге сур
42,Fuß::N,piede,пильге
43,Ferse::N,tallone,кочкаря
44,Ferse::N,calcagno,кочкаря
45,Knie::N,ginocchio,эле
46,Knie::N,ginocchio,эзне
47,Knie::N,ginocchio,кумажа
48,Oberschenkel::N,fèmore,качо
49,Bein::N,gamba,пильге
50,Körper::N,corpo,рунго
51,Haut::N,pelle,киське
52,Blut::N,sangue,верь
53,Ader::N,vena,сан
54,Sehne::N,tèndine,коське сан
55,Knochen::N,osso,пакарь
56,Gehirn::N,cervello,удем
57,Herz::N,cuore,седей
58,Magen::N,stòmaco,пеке
59,Leber::N,fegato,максо
60,Atem::N,fiato,лексема
61,Atem::N,fiato,оймень таргсема
62,Atem::N,respiro,лексема
63,Atem::N,respiro,оймень таргсема
64,Hunger::N,fame,вачочи
65,Träne::N,làcrima,селведь
66,Geschmack::N,gusto,тансть
67,Geschmack::N,sapore,тансть
68,Geruch::N,odore,чине
69,Schlaf::N,sonno,удома
70,Traum::N,sogno,он
71,Himmel::N,cielo,менель
72,Sonne::N,sole,чи
73,Mond::N,luna,ков
74,Stern::N,stella,теште
75,Luft::N,aria,кошт
76,Wind::N,vento,варма
77,Welle::N,onda,толкун
78,Wasser::N,acqua,ведь
79,Stein::N,sasso,кев
80,Stein::N,pietra,кев
81,Boden::N,suolo,мода
82,Boden::N,terreno,мода
83,Erde::N,terra,мастор
84,Staub::N,polvere,пуль
85,Rauch::N,fumo,качамо
86,Funke::N,scintilla,сятко
87,Feuer::N,fuoco,тол
88,Licht::N,luce,валдо
89,Schatten::N,ombra,сулей
90,Schatten::N,ombra,сулейкс
91,Wetter::N,tempo,ушо
92,Nebel::N,nebbia,сув
93,Wolke::N,nube,пель
94,Wolke::N,nùvola,пель
95,Regen::N,pioggia,пиземс
96,Schnee::N,neve,лов
97,Eis::N,ghiaccio,эй
98,Frost::N,gelo,кельме
99,Kälte::N,freddo,якшамо
100,Hitze::N,caldo,пси
101,Hitze::N,calura,пси
102,Raureif::N,brina,лекш
103,Regenbogen::N,arcobaleno,пурьгинечирьке
104,Regenbogen::N,arcobaleno,пурьгинеёнкс
105,Donner::N,tuono,пурьгине
106,Strömung::N,corrente,чудема
107,Strömung::N,corrente,чудевкс
108,Tropfen::N,goccia,петнявкс
109,Schaum::N,spuma,чов
110,Schaum::N,schiuma,чов
