,Concept_ID,en,bn
0,Auge::N,eye,চক্ষু
1,Ohr::N,ear,কর্ণ
2,Nase::N,nose,নাক
3,Mund::N,mouth,মুখ
4,Zahn::N,tooth,দাঁত
5,Zunge::N,tongue,জিহবা
6,Lippe::N,lip,অধর
7,Wange::N,cheek,গণ্ড
8,Gesicht::N,face,মুখমণ্ডল
9,Stirn::N,forehead,কপাল
10,Haar::N,hair,চুল
11,Schnurrbart::N,moustache,গোঁফ
12,Bart::N,beard,শ্মশ্রু
13,Kinn::N,chin,চিবুক
14,Kiefer[Anatomie]::N,jaw,চোয়াল
15,Kehle::N,throat,কণ্ঠ
16,Hals::N,neck,গল
17,Genick::N,nape,ঘাড়
18,Kopf::N,head,মাথা
19,Rücken::N,back,পৃষ্ঠ
20,Rücken::N,spine,পৃষ্ঠ
21,Bauch::N,belly,উদর
22,Nabel::N,navel,নাভি
23,Busen::N,bosom,স্তন
24,Brust::N,chest,বুক
25,Brust::N,breast,বুক
26,Schulter::N,shoulder,স্কন্ধ
27,Arm::N,arm,বাহু
28,Ellenbogen::N,elbow,কনুই
29,Hand::N,hand,হাত
30,Handfläche::N,palm,করতল
31,Finger::N,finger,আঙ্গুল
32,Fingernagel::N,fingernail,হাতের নখ
33,Nagel[Anatomie]::N,nail,নখ
34,Zeh::N,toe,আঙ্গুল
35,Fuß::N,foot,পা
36,Ferse::N,heel,গোড়ালি
37,Knie::N,knee,হাঁটু
38,Oberschenkel::N,thigh,ঊরু
39,Bein::N,leg,পা
40,Körper::N,body,দেহ
41,Haut::N,skin,ত্বক
42,Blut::N,blood,রক্ত
43,Ader::N,vein,শিরা
44,Sehne::N,sinew,কণ্ডরা
45,Knochen::N,bone,অস্থি
46,Gehirn::N,brain,মস্তিষ্ক
47,Herz::N,heart,হৃৎপিণ্ড
48,Magen::N,stomach,পাকস্থলী
49,Leber::N,liver,যকৃৎ
50,Atem::N,breath,শ্বাস
51,Hunger::N,hunger,ক্ষুধা
52,Träne::N,tear,অশ্রু
53,Geschmack::N,flavour,স্বাদ
54,Geschmack::N,flavor,স্বাদ
55,Geruch::N,odour,গন্ধ
56,Geruch::N,odor,গন্ধ
57,Schlaf::N,sleep,ঘুম
58,Traum::N,dream,স্বপ্ন
59,Himmel::N,sky,আকাশ
60,Sonne::N,sun,সূর্য
61,Mond::N,moon,চন্দ্র
62,Stern::N,star,নক্ষত্র
63,Luft::N,air,বায়ু
64,Wind::N,wind,বাতাস
65,Welle::N,wave,ঢেউ
66,Welle::N,wave,তরঙ্গ
67,Wasser::N,water,জল
68,Stein::N,stone,ঢিল
69,Stein::N,stone,প্রস্তর
70,Boden::N,soil,ভূতল
71,Boden::N,ground,ভূতল
72,Erde::N,earth,ভূমি
73,Staub::N,dust,ধুলা
74,Rauch::N,smoke,ধোঁয়া
75,Funke::N,spark,স্ফুলিঙ্গ
76,Feuer::N,fire,অগ্নি
77,Licht::N,light,আলো
78,Schatten::N,shadow,ছায়া
79,Wetter::N,weather,আবহাওয়া
80,Nebel::N,fog,কুহেলিকা
81,Wolke::N,cloud,মেঘ
82,Regen::N,rain,বৃষ্টি
83,Schnee::N,snow,তুষার
84,Eis::N,ice,বরফ
85,Frost::N,frost,তুষার
86,Kälte::N,chill,শৈত্য
87,Hitze::N,heat,তাপ
88,Raureif::N,hoarfrost,তুহিন
89,Regenbogen::N,rainbow,রামধনু
90,Donner::N,thunder,বজ্রধ্বনি
91,Strömung::N,current,স্রোত
92,Tropfen::N,drop,ফোঁটা
93,Schaum::N,foam,ফেনা
94,Schmutz::N,dirt,ধুলা
95,See::N,lake,হ্রদ
96,Sumpf::N,swamp,জলা
97,Moor::N,moor,মাঠ
98,Wiese::N,meadow,তৃণভূমি
99,Wald::N,forest,বন
100,Hügel::N,hill,পাহাড়
101,Anhöhe::N,elevation,টিলা
102,Berg::N,mountain,পর্বত
103,Gipfel::N,summit,শীর্ষ
104,Höhle::N,cave,গুহা
105,Abhang::N,slope,ঢাল
106,Quelle::N,source,উৎস
107,Bach::N,brook,ক্ষুদ্র নদী
108,Fluss::N,river,নদী
109,Ufer::N,shore,উপকূল
110,Küste::N,coast,তীর
111,Festland::N,land,ভূমি
112,Meer::N,sea,সমুদ্র
113,Bucht::N,cove,উপসাগর
114,Insel::N,island,দ্বীপ
115,Blume::N,flower,ফুল
116,Gras::N,grass,ঘাস
117,Wurzel::N,root,শিকড়
118,Baum::N,tree,গাছ
119,Stamm::N,trunk,স্কন্ধ
120,Rinde::N,bark,বল্কল
121,Ast::N,limb,শাখা
122,Zweig::N,branch,ডাল
123,Blatt::N,leaf,পর্ণ
124,Birke::N,birch,ভুর্জ
125,Kiefer[Baum]::N,pine,পাইন গাছ
126,Weide[Baum]::N,willow,উইলো
127,Tanne::N,fir,দেবদারূ গাছ
128,Horn::N,horn,শিং
129,Feder::N,feather,পালক
130,Fell::N,fur,রোম
131,Flügel::N,wing,ডানা
132,Klaue::N,claw,নখর
133,Kralle::N,claw,নখর
134,Schwanz::N,tail,লেজ
135,Ei::N,egg,ডিম
136,Nest::N,nest,কুলায়
137,Bau::N,lair,ডেরা
138,Tier::N,animal,জন্তু
139,Herde::N,flock,ঝাঁক
140,Kuh::N,cow,গোরু
141,Bulle::N,bull,বৃষ
142,Pferd::N,horse,ঘোড়া
143,Schaf::N,sheep,ভেড়া
144,Schwein::N,pig,শূকর
145,Hund::N,dog,কুকুর
146,Katze::N,cat,বেড়াল
147,Bär::N,bear,ভল্লুক
148,Eichhörnchen::N,squirrel,কাঠবিড়াল
149,Elch::N,elk,হরিণবিশেষ
150,Fuchs::N,fox,পাঁতিশিয়াল
151,Hase::N,hare,শশক
152,Maus::N,mouse,নেংটি ইঁদুর
153,Wolf::N,wolf,নেকড়ে
154,Vogel::N,bird,পক্ষী
155,Schwarm::N,swarm,ঝাঁক
156,Huhn::N,chicken,মোরগ
157,Hahn::N,cock,কুক্কুট
158,Gans::N,goose,হংসী
159,Adler::N,eagle,ইগল
160,Ente::N,duck,হংসী
161,Eule::N,owl,পেচক
162,Kranich::N,crane,সারস
163,Krähe::N,crow,কাক
164,Kuckuck::N,cuckoo,কোকিল
165,Schwan::N,swan,মরাল
166,Fisch::N,fish,মাছ
167,Barsch::N,perch,মৎন্যবিশেষ
168,Hecht::N,pike,বানমাছ
169,Schlange[Tier]::N,snake,সর্প
170,Wurm::N,worm,কীট
171,Spinne::N,spider,মাকড়সা
172,Ameise::N,ant,পিপীলিকা
173,Laus::N,louse,উকুন
174,Mücke::N,midge,মশা
175,Fliege::N,fly,মাছি
176,Schmetterling::N,butterfly,প্রজাপতি
177,Beere::N,berry,বেরি
178,Apfel::N,apple,আপেল
179,Pilz::N,mushroom,ছত্রক
180,Zwiebel::N,onion,পিয়াজ
181,Saat::N,seed,বীজ
182,Korn::N,grain,শস্য
183,Heu::N,hay,খড়
184,Schale::N,husk,খোসা
185,Grube::N,pit,গর্ত
186,Falle::N,trap,ফাঁদ
187,Schlinge::N,noose,পাশ
188,Spur::N,track,চিহ্ন
189,Asche::N,ashes,ভস্ম
190,Dreck::N,filth,ময়লা
191,Eisen::N,iron,লোহা
192,Gold::N,gold,স্বর্ণ
193,Silber::N,silver,রৌপ্য
194,Kohle::N,coal,অঙ্গার
195,Glas::N,glass,কাচ
196,Lehm::N,clay,মৃত্তিকা
197,Sand::N,sand,বালি
198,Mensch::N,human,নর
