,Concept_ID,fr,myv
0,Auge::N,œil,сельме
1,Ohr::N,oreille,пиле
2,Nase::N,nez,судо
3,Mund::N,bouche,курго
4,Zahn::N,dent,пей
5,Zunge::N,langue,кель
6,Lippe::N,lèvre,турва
7,Wange::N,joue,чамабока
8,Wange::N,joue,чамаумарь
9,Gesicht::N,face,чама
10,Gesicht::N,visage,чама
11,Stirn::N,front,коня
12,Haar::N,cheveu,черь
13,Schnurrbart::N,moustache,ус
14,Schnurrbart::N,moustache,муюк
15,Bart::N,barbe,сакал
16,Kinn::N,menton,уло
17,Kiefer[Anatomie]::N,mâchoire,пейпакар
18,Kiefer[Anatomie]::N,mâchoire,пейловажа
19,Kehle::N,gorge,кирьгапарь
20,Hals::N,cou,кирьга
21,Genick::N,nuque,човонь
22,Kopf::N,tête,пря
23,Rücken::N,dos,копорь
24,Bauch::N,ventre,пеке
25,Nabel::N,nombril,почо
26,Busen::N,sein,поте
27,Brust::N,poitrine,меште
28,Schulter::N,épaule,лавтов
29,Arm::N,bras,кедь
30,Ellenbogen::N,coude,кенерепакарь
31,Hand::N,main,кедь
32,Handfläche::N,paume,кедькуншка
33,Handfläche::N,paume,кедьлапушка
34,Finger::N,doigt,сур
35,Fingernagel::N,ongle,кенже
36,Nagel[Anatomie]::N,ongle,кенже
37,Zeh::N,orteil,пильге сур
38,Zeh::N,doigt de pied,пильге сур
39,Fuß::N,pied,пильге
40,Ferse::N,talon,кочкаря
41,Knie::N,genou,эле
42,Knie::N,genou,эзне
43,Knie::N,genou,кумажа
44,Oberschenkel::N,cuisse,качо
45,Bein::N,jambe,пильге
46,Körper::N,corps,рунго
47,Haut::N,peau,киське
48,Blut::N,sang,верь
49,Ader::N,veine,сан
50,Sehne::N,tendon,коське сан
51,Knochen::N,os,пакарь
52,Gehirn::N,cerveau,удем
53,Herz::N,cœur,седей
54,Magen::N,estomac,пеке
55,Leber::N,foie,максо
56,Atem::N,haleine,лексема
57,Atem::N,haleine,оймень таргсема
58,Hunger::N,faim,вачочи
59,Träne::N,larme,селведь
60,Geschmack::N,goût,тансть
61,Geschmack::N,saveur,тансть
62,Geruch::N,odeur,чине
63,Schlaf::N,sommeil,удома
64,Traum::N,songe,он
65,Himmel::N,ciel,менель
66,Sonne::N,soleil,чи
67,Mond::N,lune,ков
68,Stern::N,étoile,теште
69,Luft::N,air,кошт
70,Wind::N,vent,варма
71,Welle::N,vague,толкун
72,Wasser::N,eau,ведь
73,Stein::N,pierre,кев
74,Boden::N,sol,мода
75,Boden::N,terrain,мода
76,Erde::N,terre,мастор
77,Staub::N,poussière,пуль
78,Rauch::N,fumée,качамо
79,Funke::N,étincelle,сятко
80,Feuer::N,feu,тол
81,Licht::N,lumière,валдо
82,Schatten::N,ombre,сулей
83,Schatten::N,ombre,сулейкс
84,Wetter::N,temps,ушо
85,Nebel::N,brume,сув
86,Nebel::N,brouillard,сув
87,Wolke::N,nuage,пель
88,Regen::N,pluie,пиземс
89,Schnee::N,neige,лов
90,Eis::N,glace,эй
91,Frost::N,gel,кельме
92,Frost::N,gelée,кельме
93,Kälte::N,froid,якшамо
94,Hitze::N,chaleur,пси
95,Raureif::N,givre,лекш
96,Regenbogen::N,arc-en-ciel,пурьгинечирьке
97,Regenbogen::N,arc-en-ciel,пурьгинеёнкс
98,Donner::N,tonnerre,пурьгине
99,Strömung::N,courant,чудема
100,Strömung::N,courant,чудевкс
101,Tropfen::N,goutte,петнявкс
102,Schaum::N,écume,чов
103,Schaum::N,mousse,чов
104,Schmutz::N,boue,рудаз
105,Schmutz::N,saleté,рудаз
106,See::N,lac,эрьке
107,Sumpf::N,marais,чей
108,Sumpf::N,marécage,чей
109,Moor::N,tourbière,чей
110,Wiese::N,pré,луга
111,Wald::N,bois,вирь
112,Wald::N,forêt,вирь
113,Hügel::N,coteau,губорь
114,Hügel::N,coteau,пандыне
115,Hügel::N,colline,губорь
116,Hügel::N,colline,пандыне
117,Anhöhe::N,éminence,губорь
118,Anhöhe::N,éminence,пандыне
119,Anhöhe::N,élévation,губорь
120,Anhöhe::N,élévation,пандыне
121,Berg::N,mont,пандо
122,Berg::N,montagne,пандо
123,Gipfel::N,cime,пря
124,Gipfel::N,sommet,пря
125,Höhle::N,caverne,пещера
126,Abhang::N,pente,пандочама
127,Abhang::N,versant,пандочама
128,Quelle::N,source,ушодкс
129,Quelle::N,fontaine,ушодкс
130,Bach::N,ruisseau,чудикерькс
131,Fluss::N,fleuve,лей
132,Fluss::N,rivière,лей
133,Ufer::N,bord,чире
134,Ufer::N,rivage,чире
135,Küste::N,côte,лейчире
136,Festland::N,terre ferme,мода
137,Meer::N,mer,моря
138,Bucht::N,baie,усия
139,Insel::N,île,усия
140,Blume::N,fleur,цеця
141,Gras::N,herbe,тикше
142,Wurzel::N,racine,юр
143,Wurzel::N,racine,ундокс
144,Baum::N,arbre,чувто
145,Stamm::N,tronc,рунго
146,Rinde::N,écorce,суд
147,Rinde::N,écorce,керь
148,Ast::N,branche,морго
149,Zweig::N,rameau,тарад
150,Blatt::N,feuille,лопа
151,Birke::N,bouleau,килей
152,Kiefer[Baum]::N,pin,пиче
153,Weide[Baum]::N,saule,каль
154,Tanne::N,sapin,куз
155,Horn::N,corne,сюро
156,Feder::N,plume,толга
157,Fell::N,peau,пона
158,Flügel::N,aile,сёлмо
159,Klaue::N,serre,кенже
160,Kralle::N,ongle,кенже
161,Kralle::N,griffe,кенже
162,Schwanz::N,queue,пуло
163,Ei::N,œuf,ал
164,Nest::N,nid,пизэ
165,Bau::N,terrier,варя
166,Bau::N,terrier,пизе
167,Tier::N,animal,ракша
168,Herde::N,troupeau,стада
169,Kuh::N,vache,скал
170,Bulle::N,taureau,бука
171,Pferd::N,cheval,лишме
172,Schaf::N,mouton,реве
173,Schwein::N,porc,туво
174,Schwein::N,cochon,туво
175,Hund::N,chien,пине
176,Hund::N,chien,киска
177,Katze::N,chat,псака
178,Bär::N,ours,овто
179,Eichhörnchen::N,écureuil,ур
180,Elch::N,élan,сярдо
181,Fuchs::N,renard,ривезь
182,Hase::N,lièvre,нумоло
183,Maus::N,souris,чеерь
184,Wolf::N,loup,верьгиз
185,Vogel::N,oiseau,нармунь
186,Schwarm::N,nuée,полк
187,Schwarm::N,nuée,стада
188,Schwarm::N,volée,полк
189,Schwarm::N,volée,стада
190,Huhn::N,poule,сараз
191,Hahn::N,coq,атякш
192,Gans::N,oie,гала
193,Gans::N,oie,мацей
194,Adler::N,aigle,куцькан
195,Adler::N,aigle,тумоатякш
196,Ente::N,canard,яксярго
197,Eule::N,hibou,корж
198,Kranich::N,grue,карго
199,Krähe::N,corneille,варака
200,Kuckuck::N,coucou,куко
201,Schwan::N,cygne,локсей
202,Fisch::N,poisson,кал
203,Barsch::N,perche,окунь
204,Hecht::N,brochet,щука
205,Schlange[Tier]::N,serpent,гуй
206,Wurm::N,ver,сукс
207,Spinne::N,araignée,шанжав
208,Ameise::N,fourmi,коткудав
209,Laus::N,pou,сий
210,Mücke::N,moucheron,сеське
211,Fliege::N,mouche,карво
212,Schmetterling::N,papillon,нимиляв
213,Beere::N,baie,умарь
214,Apfel::N,pomme,умарь
215,Pilz::N,champignon,панго
216,Zwiebel::N,oignon,чурька
217,Saat::N,semence,видьметь
218,Korn::N,grain,сюро
219,Heu::N,foin,тикше
220,Schale::N,pelure,кедь
221,Schale::N,pelure,ваткавкс
222,Grube::N,fosse,латко
223,Falle::N,piège,тувор
224,Falle::N,piège,кундамка
225,Schlinge::N,lacs,килькш
226,Spur::N,trace,челькс
227,Spur::N,trace,пильгеки
228,Asche::N,cendre,кулов
229,Dreck::N,crotte,рудаз
230,Eisen::N,fer,кшни
231,Gold::N,or,сырне
232,Silber::N,argent,сия
233,Kohle::N,charbon,сэдь
234,Kohle::N,charbon,уголия
235,Glas::N,verre,сулика
236,Lehm::N,glaise,сёвонь
237,Sand::N,sable,човар
238,Mensch::N,homme,ломань
239,Mann::N,homme,аля
240,Mann::N,homme,цёраломань
241,Frau::N,femme,ава
242,Kind::N,enfant,эйкакш
243,Junge::N,garçon,цёрыне
244,Mädchen::N,fille,тейтерне
245,Mädchen::N,jeune fille,тейтерне
246,Familie::N,famille,семия
247,Großvater::N,grand-père,покштя
248,Großmutter::N,grand-mère,баба
249,Eltern::N,parents,тетят-ават
250,Vater::N,père,тетя
251,Mutter::N,mère,ава
252,Sohn::N,fils,цёра
253,Tochter::N,fille,тейтерь
254,Bruder::N,frère,леля
255,Bruder::N,frère,ялакс
256,Schwester::N,sœur,сазор
257,Onkel::N,oncle,леля
258,Tante::N,tante,патя
259,Ehemann::N,mari,мирде
260,Ehemann::N,époux,мирде
261,Ehefrau::N,femme,ни
262,Ehefrau::N,épouse,ни
263,Freude::N,joie,кеняркс
264,Freude::N,plaisir,кеняркс
265,Gelächter::N,rires,ракамо
266,Gelächter::N,rires,пейдема
267,Glück::N,bonheur,уцяска
268,Kummer::N,peine,рискс
269,Kummer::N,peine,мелявкс
270,Kummer::N,chagrin,рискс
271,Kummer::N,chagrin,мелявкс
272,Wunsch::N,désir,мель
273,Wunsch::N,désir,бажамо
274,Lust::N,envie,бажамо
275,Geist::N,esprit,ойме
276,Gedanke::N,idée,мель
277,Gedanke::N,pensée,мель
278,Gedächtnis::N,mémoire,мель
279,Verstand::N,raison,прев
280,Sinn::N,sens,толк
281,Sinn::N,sens,смысла
282,Grund::N,cause,тувтал
283,Grund::N,raison,тувтал
284,Wahrheit::N,vérité,видечи
285,Gespräch::N,conversation,кортнема
286,Märchen::N,conte,ёвкс
287,Märchen::N,conte de fées,ёвкс
288,Erzählung::N,conte,ёвтнема
289,Erzählung::N,narration,ёвтнема
290,Nachricht::N,message,куля
291,Neuigkeit::N,nouvelle,куля
292,Name::N,nom,лем
293,Rätsel::N,énigme,содамоёвкс
294,Rätsel::N,devinette,содамоёвкс
295,Rede::N,parole,кортамо
296,Rede::N,discours,кортамо
