,Concept_ID,cs,ta
0,Auge::N,oko,கண்
1,Ohr::N,ucho,காது
2,Nase::N,nos,மூக்கு
3,Mund::N,pusa,வாய்
4,Zahn::N,zub,பல்
5,Zunge::N,jazyk,நாக்கு
6,Lippe::N,ret,உதடு
7,Wange::N,tvář,கன்னம்
8,Gesicht::N,obličej,முகம்
9,Stirn::N,čelo,முன்னெற்றி
10,Haar::N,vlas,முடி
11,Haar::N,vlasy,முடி
12,Schnurrbart::N,kníry,மீசை
13,Bart::N,vousy,தாடி
14,Kinn::N,brada,கீழதாடை
15,Kiefer[Anatomie]::N,čelist,தாடை
16,Kehle::N,hrdlo,தொண்டை
17,Hals::N,krk,கழுத்து
18,Genick::N,týl,கழுத்து
19,Kopf::N,hlava,தலை
20,Rücken::N,záda,முதுகு
21,Rücken::N,hřbet,முதுகு
22,Bauch::N,břicho,வயிறு
23,Nabel::N,pupek,தொப்புள்
24,Busen::N,ňadra,மார்பகம்
25,Brust::N,prsa, மார்பு
26,Schulter::N,plece,தோள்பட்டை
27,Schulter::N,rameno,தோள்பட்டை
28,Arm::N,ruka,கரம்
29,Ellenbogen::N,loket,முழங்கை
30,Hand::N,ruka,கை
31,Handfläche::N,dlaň,உள்ளங்கை
32,Finger::N,prst,விரல்
33,Fingernagel::N,nehet,விரல் நகம்
34,Nagel[Anatomie]::N,nehet,நகம்
35,Zeh::N,prst u nohy,கால்விரல்
36,Fuß::N,noha,கால்
37,Ferse::N,pata,குதிகால்
38,Knie::N,koleno,முழங்கால்
39,Oberschenkel::N,stehno,தொடை
40,Bein::N,noha,கால்
41,Körper::N,tělo,உடல்
42,Haut::N,kůže,சருமம்
43,Blut::N,krev,இரத்தம்
44,Ader::N,céva,நாளம்
45,Sehne::N,šlacha,தசைநார்
46,Knochen::N,kost,எலுமபு
47,Gehirn::N,mozek,மூனை
48,Herz::N,srdce,இதயம
49,Magen::N,žaludek,வயிறு
50,Leber::N,játra,கல்லீரல்
51,Atem::N,dech,மூச்சு
52,Hunger::N,hlad,பசி
53,Träne::N,slza,கண்ணீர்
54,Geschmack::N,vkus,நறுமணம்
55,Geruch::N,vůně,துர்நாற்றம்
56,Geruch::N,zápach,துர்நாற்றம்
57,Schlaf::N,spánek,தூக்கம்
58,Traum::N,sen,கனவு
59,Himmel::N,nebe,வானம்
60,Sonne::N,slunce,சூரியன்
61,Mond::N,měsíc,சந்திரன்
62,Stern::N,hvězda,நட்சத்திரம்
63,Luft::N,vzduch,காறறு
64,Wind::N,vítr,காற்று
65,Welle::N,vlna,அலை
66,Wasser::N,voda,நீர்
67,Stein::N,kámen,கல்
68,Boden::N,půda,தரை
69,Erde::N,země,மண்
70,Staub::N,prach,தூசி
71,Rauch::N,dým,புகை
72,Rauch::N,kouř,புகை
73,Funke::N,jiskra,தீப்பொறி
74,Feuer::N,oheň,தீ
75,Licht::N,světlo,வெளிச்சம்
