,Concept_ID,myv,sah
0,Auge::N,сельме,харах
1,Ohr::N,пиле,кулгаах
2,Nase::N,судо,мурун
3,Mund::N,курго,айах
4,Zahn::N,пей,тиис
5,Zunge::N,кель,тыл
6,Lippe::N,турва,уос
7,Wange::N,чамабока,иэдэс
8,Wange::N,чамаумарь,иэдэс
9,Gesicht::N,чама,сирэй
10,Stirn::N,коня,сүүс
11,Haar::N,черь,баттах
12,Schnurrbart::N,ус,уос бытыга
13,Schnurrbart::N,муюк,уос бытыга
14,Bart::N,сакал,сэҥийэ бытыга
15,Kinn::N,уло,сэҥийэ
16,Kiefer[Anatomie]::N,пейпакар,сыҥаах
17,Kiefer[Anatomie]::N,пейловажа,сыҥаах
18,Kehle::N,кирьгапарь,тамах
19,Kehle::N,кирьгапарь,күөмэй
20,Hals::N,кирьга,моой
21,Genick::N,човонь,кэтэх
22,Kopf::N,пря,бас
23,Rücken::N,копорь,көҕүс
24,Bauch::N,пеке,ис
25,Nabel::N,почо,киин
26,Busen::N,поте,эмиий
27,Brust::N,меште,түөс
28,Schulter::N,лавтов,сарын
29,Arm::N,кедь,илии
30,Ellenbogen::N,кенерепакарь,тоҕонох
31,Hand::N,кедь,илии
32,Handfläche::N,кедькуншка,ытыс
33,Handfläche::N,кедьлапушка,ытыс
34,Finger::N,сур,тарбах
35,Fingernagel::N,кенже,тыҥырах
36,Nagel[Anatomie]::N,кенже,тыҥырах
37,Zeh::N,пильге сур,тарбах
38,Fuß::N,пильге,уллуҥах
39,Ferse::N,кочкаря,тилэх
40,Knie::N,эле,тобук
41,Knie::N,эле,дьилбэк
42,Knie::N,эзне,тобук
43,Knie::N,эзне,дьилбэк
44,Knie::N,кумажа,тобук
45,Knie::N,кумажа,дьилбэк
46,Oberschenkel::N,качо,уллук
47,Oberschenkel::N,качо,өттүк
48,Bein::N,пильге,атах
49,Körper::N,рунго,бэйэ
50,Haut::N,киське,тирии
51,Blut::N,верь,хаан
52,Ader::N,сан,вена
53,Ader::N,сан,күөх_тымыр
54,Sehne::N,коське сан,иҥиир
55,Knochen::N,пакарь,уҥуох
56,Knochen::N,пакарь,уҥгуох
57,Gehirn::N,удем,мэйии
58,Herz::N,седей,сүрэх
59,Magen::N,пеке,куртах
60,Leber::N,максо,быар
61,Atem::N,лексема,тыын
62,Atem::N,оймень таргсема,тыын
63,Hunger::N,вачочи,аас
64,Träne::N,селведь,харах уута
65,Geschmack::N,тансть,амтан
66,Geruch::N,чине,сыт
67,Schlaf::N,удома,утуйуу
68,Traum::N,он,түүл
69,Himmel::N,менель,халлаан
70,Sonne::N,чи,күн
71,Mond::N,ков,ый
72,Stern::N,теште,сулус
73,Luft::N,кошт,салгын
74,Wind::N,варма,тыал
75,Welle::N,толкун,долгун
76,Welle::N,толкун,балхаан
77,Wasser::N,ведь,уу
78,Stein::N,кев,таас
79,Boden::N,мода,сир
80,Erde::N,мастор,буор
81,Staub::N,пуль,быыл
82,Rauch::N,качамо,буруо
83,Funke::N,сятко,кыым
84,Feuer::N,тол,уот
85,Licht::N,валдо,уот
86,Schatten::N,сулей,күлүк
87,Schatten::N,сулейкс,күлүк
88,Wetter::N,ушо,күн-дьыл
89,Nebel::N,сув,туман
90,Wolke::N,пель,былыт
91,Regen::N,пиземс,самыыр
92,Schnee::N,лов,хаар
93,Eis::N,эй,муус
94,Frost::N,кельме,тымныы
95,Kälte::N,якшамо,тымныы
96,Hitze::N,пси,куйаас
97,Raureif::N,лекш,кырыа
98,Regenbogen::N,пурьгинечирьке,кустук
99,Regenbogen::N,пурьгинеёнкс,кустук
100,Donner::N,пурьгине,этиҥ
101,Strömung::N,чудема,сүүрүк
102,Strömung::N,чудевкс,сүүрүк
103,Tropfen::N,петнявкс,таммах
104,Tropfen::N,петнявкс,хааппыла
105,Schaum::N,чов,күүгэн
106,Schmutz::N,рудаз,кир
107,See::N,эрьке,күөл
108,Sumpf::N,чей,бадараан
109,Moor::N,чей,дьэбэрэ
110,Wiese::N,луга,ходуһа
111,Wald::N,вирь,ойуур
112,Hügel::N,губорь,булгунньах
113,Hügel::N,пандыне,булгунньах
114,Anhöhe::N,губорь,үрдэл
115,Anhöhe::N,пандыне,үрдэл
116,Berg::N,пандо,хайа
117,Gipfel::N,пря,чыпчаал
118,Höhle::N,пещера,хайа_хаспаҕа
119,Höhle::N,пещера,көҥүс
120,Abhang::N,пандочама,эниэ
121,Quelle::N,ушодкс,дьүүктэ
122,Bach::N,чудикерькс,үрүйэ
123,Fluss::N,лей,өрүс
124,Ufer::N,чире,биэрэк
125,Küste::N,лейчире,кытыл
126,Festland::N,мода,кураанах сир
127,Meer::N,моря,муора
128,Bucht::N,усия,хомо
129,Bucht::N,усия,бухта
130,Insel::N,усия,арыы
131,Blume::N,цеця,сибэкки
132,Gras::N,тикше,от
133,Wurzel::N,юр,силис
134,Wurzel::N,ундокс,силис
135,Baum::N,чувто,мас
136,Stamm::N,рунго,умнас
137,Rinde::N,суд,хатырык
138,Rinde::N,керь,хатырык
139,Ast::N,морго,мутук
140,Zweig::N,тарад,лабаа
141,Blatt::N,лопа,сэбирдэх
142,Birke::N,килей,хатыҥ
143,Kiefer[Baum]::N,пиче,бэс
144,Weide[Baum]::N,каль,үөт
145,Weide[Baum]::N,каль,талах
146,Tanne::N,куз,харыйа
147,Horn::N,сюро,муос
148,Feder::N,толга,куорсун
149,Fell::N,пона,тирии
150,Flügel::N,сёлмо,кынат
151,Klaue::N,кенже,тыҥырах
152,Kralle::N,кенже,баппаҕай
153,Schwanz::N,пуло,кутурук
154,Ei::N,ал,сымыыт
155,Nest::N,пизэ,уйа
156,Bau::N,варя,хороон
157,Bau::N,пизе,хороон
158,Tier::N,ракша,кыыл
159,Tier::N,ракша,харамай
160,Herde::N,стада,үөр
161,Kuh::N,скал,ынах
162,Bulle::N,бука,оҕус
163,Pferd::N,лишме,сылгы
164,Schaf::N,реве,овца
165,Schwein::N,туво,сибиинньэ
166,Hund::N,пине,ыт
167,Hund::N,киска,ыт
168,Katze::N,псака,куоска
169,Bär::N,овто,эһэ
170,Eichhörnchen::N,ур,тииҥ
171,Elch::N,сярдо,тайах
172,Fuchs::N,ривезь,саһыл
173,Hase::N,нумоло,куобах
174,Maus::N,чеерь,кутуйах
175,Wolf::N,верьгиз,бөрө
176,Vogel::N,нармунь,көтөр
177,Schwarm::N,полк,бөлөх
178,Schwarm::N,стада,бөлөх
179,Huhn::N,сараз,куурусса
180,Hahn::N,атякш,бөтүүк
181,Gans::N,гала,хаас
182,Gans::N,мацей,хаас
183,Adler::N,куцькан,хотой
184,Adler::N,тумоатякш,хотой
185,Ente::N,яксярго,кус
186,Eule::N,корж,мэкчиргэ
187,Kranich::N,карго,туруйа
188,Krähe::N,варака,тураах
189,Kuckuck::N,куко,кэҕэ
190,Schwan::N,локсей,куба
191,Fisch::N,кал,балык
192,Barsch::N,окунь,алыһар
193,Hecht::N,щука,сордон
194,Schlange[Tier]::N,гуй,моҕой
195,Schlange[Tier]::N,гуй,эриэн үөн
196,Wurm::N,сукс,үөн
197,Spinne::N,шанжав,ооҕуй
198,Ameise::N,коткудав,кымырдаҕас
199,Laus::N,сий,быт
200,Mücke::N,сеське,кумаар
201,Fliege::N,карво,сахсырҕа
202,Schmetterling::N,нимиляв,лыах
203,Schmetterling::N,нимиляв,үрүмэччи
204,Beere::N,умарь,отон
205,Apfel::N,умарь,яблоко
206,Pilz::N,панго,тэллэй
207,Zwiebel::N,чурька,луук
208,Saat::N,видьметь,сиэмэ
209,Korn::N,сюро,сиэмэ
210,Heu::N,тикше,от
211,Schale::N,кедь,хах
212,Schale::N,ваткавкс,хах
213,Grube::N,латко,дьаама
214,Falle::N,тувор,сохсо
215,Falle::N,кундамка,сохсо
216,Schlinge::N,килькш,уктаа
217,Spur::N,челькс,суол
