,Concept_ID,mhr,en
0,Auge::N,шинча́,eye
1,Ohr::N,пы́лыш,ear
2,Nase::N,нер,nose
3,Mund::N,умша́,mouth
4,Zahn::N,пӱй,tooth
5,Zunge::N,йы́лме,tongue
6,Lippe::N,тӱ́рвӧ,lip
7,Wange::N,шӱ́ргӧ,cheek
8,Gesicht::N,чури́й,face
9,Stirn::N,саҥга́,forehead
10,Haar::N,ӱп,hair
11,Schnurrbart::N,ӧ́рыш,moustache
12,Bart::N,понда́ш,beard
13,Kinn::N,оҥыла́ш,chin
14,Kiefer[Anatomie]::N,пӱйдӱ́ҥ,jaw
15,Kiefer[Anatomie]::N,пӱйората́,jaw
16,Kehle::N,лога́р,throat
17,Hals::N,шӱй,neck
18,Genick::N,шӱйло́дыш,nape
19,Kopf::N,вуй,head
20,Rücken::N,туп,back
21,Rücken::N,туп,spine
22,Bauch::N,мӱ́шкыр,belly
23,Nabel::N,кы́лымде,navel
24,Busen::N,чы́зе,bosom
25,Brust::N,оҥ,chest
26,Brust::N,оҥ,breast
27,Schulter::N,ва́че,shoulder
28,Arm::N,кид,arm
29,Ellenbogen::N,кынерву́й,elbow
30,Hand::N,кид,hand
31,Hand::N,копа́,hand
32,Handfläche::N,со́во,palm
33,Finger::N,парня́,finger
34,Fingernagel::N,кидкӱ́ч,fingernail
35,Fingernagel::N,парнягӱ́ч,fingernail
36,Nagel[Anatomie]::N,кӱч,nail
37,Zeh::N,йолварня́,toe
38,Fuß::N,йол,foot
39,Fuß::N,йолкопа́,foot
40,Ferse::N,тага́н,heel
41,Knie::N,пулву́й,knee
42,Oberschenkel::N,э́рде,thigh
43,Bein::N,йол,leg
44,Körper::N,кап,body
45,Haut::N,кова́ште,skin
46,Blut::N,вӱр,blood
47,Ader::N,шӧн,vein
48,Sehne::N,шӧн,sinew
49,Sehne::N,кӱсе́н,sinew
50,Knochen::N,лу,bone
51,Gehirn::N,вем,brain
52,Gehirn::N,вуйве́м,brain
53,Herz::N,шӱм,heart
54,Magen::N,пага́р,stomach
55,Leber::N,мокш,liver
56,Atem::N,шӱ́лыш,breath
57,Hunger::N,шужыма́ш,hunger
58,Träne::N,шинчавӱ́д,tear
59,Geschmack::N,там,flavour
60,Geschmack::N,там,flavor
61,Geruch::N,пуш,odour
62,Geruch::N,пуш,odor
63,Schlaf::N,о́мо,sleep
64,Traum::N,йӱдо́мо,dream
65,Himmel::N,кава́,sky
