,Concept_ID,xal,ar
0,Auge::N,нүдн,عين
1,Ohr::N,чикн,أذن
2,Nase::N,хамр,أنف
3,Mund::N,амн,فم
4,Zahn::N,шүдн,سن
5,Zunge::N,келн,لسان
6,Lippe::N,урл,شفة
7,Wange::N,халх,خد
8,Wange::N,халх,وجنة
9,Gesicht::N,нүр,وجه
10,Stirn::N,маңна,جبين
11,Haar::N,үсн,شعر
12,Schnurrbart::N,сахл,شارب
13,Bart::N,сахл,لحية
14,Bart::N,өргнә сахл,لحية
15,Kinn::N,өргн,ذقن
16,Kiefer[Anatomie]::N,өргн,فك
17,Kehle::N,хол,حلق
18,Hals::N,күзүн,عنق
19,Hals::N,күзүн,رقبة
20,Genick::N,гиҗг,قفا
21,Kopf::N,толһа,رأس
22,Rücken::N,нурһн,ظهر
23,Bauch::N,гесн,بطن
24,Nabel::N,киисн,سرة
25,Busen::N,көкн,ثدي
26,Brust::N,чееҗ,صدر
27,Schulter::N,ээм,كتف
28,Arm::N,һар,ذراع
29,Ellenbogen::N,тоха,كوع
30,Hand::N,баһлцг,يد
31,Handfläche::N,альхн,كف
32,Finger::N,хурһн,إصبع
33,Finger::N,һарин хурһн,إصبع
34,Fingernagel::N,хумсн,ظفر
35,Nagel[Anatomie]::N,хумсн,ظفر
36,Zeh::N,хурһн,إصبع القدم
37,Zeh::N,көлин хурһн,إصبع القدم
38,Fuß::N,тавг,قدم
39,Ferse::N,өскә,كعب
40,Knie::N,өвдг,ركبة
41,Oberschenkel::N,һуй,فخذ
42,Bein::N,көл,ساق
43,Körper::N,махмуд,جسم
44,Haut::N,арсн,بشرة
45,Blut::N,цусн,دم
46,Ader::N,судцн,عرق
47,Sehne::N,шүрүсн,طنب
48,Knochen::N,ясн,عظم
49,Gehirn::N,экн,دماغ
50,Herz::N,зүркн,قلب
51,Magen::N,гесн,معدة
52,Leber::N,элкн,كبد
53,Atem::N,әмсхл,نفس
54,Hunger::N,харһнлһн,جوع
55,Träne::N,нульмсн,دمعة
56,Geschmack::N,амтн,طعم
57,Geschmack::N,амтн,مذاق
58,Geruch::N,үнр,رائحة
59,Schlaf::N,нөр,نوم
60,Schlaf::N,нөр,منام
61,Traum::N,зүүдн,حلم
62,Himmel::N,теңгр,سماء
63,Sonne::N,нарн,شمس
64,Mond::N,сар,قمر
65,Stern::N,одн,نجم
66,Stern::N,одн,كوكب
67,Luft::N,аһар,هواء
68,Wind::N,салькн,ريح
69,Welle::N,дольган,موجة
70,Wasser::N,усн,ماء
71,Stein::N,чолун,حجر
72,Boden::N,Һазр,تراب
73,Erde::N,Һазр,أرض
74,Staub::N,тоосн,غبار
75,Rauch::N,утан,دخان
76,Funke::N,очн,شرارة
77,Feuer::N,һал,نار
78,Licht::N,герл,نور
79,Licht::N,герл,ضوء
80,Schatten::N,сүүдр,ظل
81,Schatten::N,сүүдр,فيء
82,Wetter::N,теңгр,جو
83,Wetter::N,теңгр,طقس
84,Nebel::N,будн,ضباب
85,Wolke::N,үүлн,غيمة
86,Wolke::N,үүлн,سحابة
87,Regen::N,хур,مطر
88,Schnee::N,цасн,ثلج
89,Eis::N,мөсн,جليد
90,Frost::N,киитн,صقيع
91,Kälte::N,киитн,برد
92,Hitze::N,халун,حر
93,Hitze::N,халун,حرارة
94,Raureif::N,цаң,صقيع
95,Raureif::N,кирү,صقيع
96,Regenbogen::N,солңһ,قوس قزح
97,Donner::N,оһтрһун дун,رعد
98,Strömung::N,урсхл,تيار
99,Tropfen::N,дусал,قطرة
100,Schaum::N,көөсн,زبد
101,Schaum::N,көөсн,رغوة
102,Schmutz::N,кир,وسخ
103,See::N,нур,بحيرة
104,Sumpf::N,унул,مستنقع
105,Moor::N,улм,مستنقع
106,Wiese::N,хадлһн,مرج
107,Wald::N,ө-модн,غابة
108,Hügel::N,толһа,تل
109,Anhöhe::N,хамр,تل
110,Berg::N,уул,جبل
111,Gipfel::N,ора,قمة
112,Höhle::N,хадин көндә,كهف
113,Abhang::N,ташу,منحدر
114,Quelle::N,булг,منبع
115,Bach::N,һооҗур,مجرى
116,Fluss::N,һол,نهر
117,Ufer::N,көвә,ضفة
118,Küste::N,көвә,ساحل
119,Küste::N,теңгсин көвә,ساحل
120,Festland::N,хүүрә һазр,بر
121,Meer::N,теңгс,بحر
