,Concept_ID,kv,et
0,Auge::N,син,silm
1,Ohr::N,пель,kõrv
2,Nase::N,ныр,nina
3,Mund::N,ӧм,suu
4,Zahn::N,пинь,hammas
5,Zunge::N,кыв,keel
6,Lippe::N,тырп,huul
7,Wange::N,рожабан,põsk
8,Gesicht::N,бан,nägu
9,Stirn::N,кымӧс,otsmik
10,Haar::N,юрси,juus
11,Schnurrbart::N,уссэз,vurrud
12,Schnurrbart::N,уссэз,vuntsid
13,Bart::N,тош,habe
14,Kinn::N,тшӧка,lõug
15,Kiefer[Anatomie]::N,ан,lõualuu
16,Kehle::N,юан,kõri
17,Hals::N,юан,kael
18,Genick::N,юр бӧр,kukal
19,Kopf::N,юр,pea
20,Rücken::N,мышк,selg
21,Bauch::N,кынӧм,kõht
22,Nabel::N,гӧг,naba
23,Busen::N,морос,rind
24,Brust::N,морос,rind
25,Schulter::N,пельпон,õlg
26,Arm::N,ки,käsivars
27,Ellenbogen::N,гырдзза,küünarnukk
28,Hand::N,кикар,käsi
29,Handfläche::N,ки пыдӧс,pihk
30,Finger::N,чунь,sõrm
31,Fingernagel::N,гыж,küüs
32,Nagel[Anatomie]::N,гыж,küüs
33,Zeh::N,чунь,varvas
34,Fuß::N,кокпыдӧс,jalg
35,Ferse::N,кокдзир,kand
36,Knie::N,пидзӧс,põlv
37,Oberschenkel::N,лядьбей,reis
38,Bein::N,кок,jalg
39,Körper::N,вывтыр,ihu
40,Körper::N,вывтыр,keha
41,Haut::N,кучик,nahk
42,Blut::N,вир,veri
43,Ader::N,сӧн,veen
44,Sehne::N,жила,kõõlus
45,Knochen::N,коска,luu
46,Gehirn::N,вем,aju
47,Herz::N,сьӧлӧм,süda
48,Magen::N,жӧвдӧк,magu
49,Leber::N,мус,maks
50,Atem::N,лолалӧм,hingeõhk
51,Atem::N,лолалӧм,hingamine
52,Hunger::N,тшыг,nälg
53,Träne::N,синва,pisar
54,Geschmack::N,кӧр,maitse
55,Geruch::N,дук,lõhn
56,Schlaf::N,он,uni
57,Traum::N,вӧт,unenägu
58,Himmel::N,небо,taevas
59,Sonne::N,шондi,päike
60,Mond::N,тӧлiсь,kuu
61,Stern::N,кӧдзыв,täht
