,Concept_ID,mhr,fa
704,lecker::A,ту́тло,خوشمزه
705,süß::A,ше́ре,شیرین
706,bitter::A,ко́чо,تلخ
707,sauer::A,шо́по,ترش
708,hell::A,во́лгыдо,روشن
709,dunkel::A,пычке́мыш,تاریک
710,schwarz::A,шола́,سیاه
711,weiß::A,ош,سفید
712,rot::A,йошка́р,سرخ
713,rot::A,йошка́р,قرمز
714,gelb::A,сар,زرد
715,blau::A,ка́нде,آبی
716,grün::A,ужа́р,سبز
717,grau::A,сур,طوسی
718,grau::A,сур,خاکستری
719,bunt::A,олача́,رنگارنگ
720,billig::A,шу́лдо,ارزان
721,teuer::A,ше́рге,گران
722,wertvoll::A,шергака́н,قیمتی
723,wertvoll::A,шергака́н,گرانبها
724,blind::A,со́кыр,کور
725,blind::A,со́кыр,نابینا
726,taub::A,соҥгыра́,کر
727,taub::A,соҥгыра́,ناشنوا
728,kräftig::A,куа́тле,قوی
729,stark::A,вия́н,قوی
730,stark::A,вия́н,نیرومند
731,schwach::A,а́лдыме,ضعیف
732,fett::A,коя́,چرب
733,schlank::A,йоштката́,باریک‌اندام
734,schlank::A,яжу́,باریک‌اندام
735,hübsch::A,чеве́р,قشنگ
736,hübsch::A,чеве́р,خوشگل
737,böse::A,шы́де,بد
738,dumm::A,аҥыра́,احمق
739,faul::A,його,لش
740,faul::A,його,تنبل
741,fleißig::A,ты́ршыше,زرنگ
742,geizig::A,чаҥга́,خسیس
743,klug::A,уша́н,عاقل
744,klug::A,уша́н,باهوش
745,geschickt::A,уста́,ماهر
746,lieb::A,ала́л,عزیز
747,lustig::A,весела́,شاد
748,lustig::A,весела́,خوشحال
749,sanft::A,ны́жылге,لطیف
750,hungrig::A,шу́жышо,گرسنه
751,krank::A,че́рле,مریض
752,krank::A,че́рле,بیمار
753,nackt::A,чарама́т,لخت
754,nackt::A,чарама́т,برهنه
755,traurig::A,ойга́н,غمگین
756,lebendig::A,и́лыше,زنده
757,gut::A,сай,خوب
758,schlecht::A,уда́,بد
759,schlecht::A,шӱ́кшӧ,بد
760,richtig::A,чы́нле,درست
761,schlimm::A,аля́к,وخيم
762,schlimm::A,тыра́н,وخيم
763,wahr::A,чы́нле,درست
764,wahr::A,чы́нле,حقیقی
765,wahr::A,настоя́щий,درست
766,wahr::A,настоя́щий,حقیقی
767,alt::A,то́што,کهنه
768,neu::A,у,نو
769,ehemalig::A,о́нчычсо,قبلی
770,ehemalig::A,онда́кысе,قبلی
771,alt[Lebewesen]::A,шо́нто,پیر
772,jung::A,са́мырык,جوان
773,arm::A,нужна́,فقیر
774,reich::A,поя́н,پولدار
775,reich::A,поя́н,ثروتمند
776,bekannt::A,па́лыме,آشنا
777,bekannt::A,па́лыме,معلوم
778,berühmt::A,лӱ́млӧ,مشهور
779,fremd::A,йот,خارجی
780,fremd::A,йот,بیگانه
781,verschieden::A,тӱ́рлӧ,مختلف
782,verschieden::A,тӱ́рлӧ,متفاوت
783,nah::A,ли́шыл,نزدیک
784,fern::A,тора́,دور
785,fern::A,мӱ́ндыр,دور
786,linker::A,шола́,چپ
787,rechter::A,пурла́,راست
788,anderer::A,вес,دیگر
789,anderer::A,мо́ло,دیگر
790,erster::A,и́кымше,اول
791,zweiter::A,ко́кымшо,دوم
792,dritter::A,ку́мшо,سوم
793,letzter::A,пыта́ртыш,آخر
794,allein::ADV,шкет,تنها
795,auf einmal::ADV,икана́ште,همزمان
796,zusammen::ADV,пырля́,باهم
797,lange::ADV,кужу́н,مدت‌ها
798,lange::ADV,кужу́н,مدت زیادی
799,plötzlich::ADV,кенета́,ناگهان
800,sofort::ADV,кызыта́к,فوراً
801,später::ADV,варара́к,بعدها
802,jetzt::ADV,ы́нде,حالا
803,jetzt::ADV,ы́нде,اکنون
804,jetzt::ADV,кы́зыт,حالا
805,jetzt::ADV,кы́зыт,اکنون
806,heute::ADV,та́че,امروز
807,morgen::ADV,эрла́,فردا
808,bald::ADV,вашке́,زود
809,bald::ADV,вашке́,بزودی
810,dann::ADV,вара́,سپس
811,dann::ADV,вара́,آنوقت
812,gestern::ADV,теҥге́че,دیروز
813,einst::ADV,икана́,وقتی
814,einst::ADV,икана́,زمانی
815,damals::ADV,туна́м,آنوقت
816,damals::ADV,туна́м,آنزمان
817,danach::ADV,вара́,بعد
818,vorher::ADV,о́нчыч,قبلاً
819,zuerst::ADV,онда́к,اول
820,zuerst::ADV,онда́к,ابتداء
821,einmal::ADV,икана́,یکدفعه
822,manchmal::ADV,ка́шын,گاهی
823,manchmal::ADV,ка́шын,بعضی اوقات
824,manchmal::ADV,кокла́н,گاهی
825,manchmal::ADV,кокла́н,بعضی اوقات
826,oft::ADV,чӱ́чкыдын,اغلب
827,immer::ADV,эре́,همیشه
828,immer::ADV,ту́тыш,همیشه
829,niemals::ADV,ок нигуна́м,هرگز
830,hier::ADV,ты́ште,اینجا
831,hierhin::ADV,ты́шке,به اینجا
832,hierhin::ADV,тыш,به اینجا
833,von hier::ADV,тыше́ч,از اینجا
834,von hier::ADV,тыве́ч,از اینجا
835,dort::ADV,ту́што,آنجا
836,dorthin::ADV,туш,به آنجا
837,dorthin::ADV,ту́шко,به آنجا
838,geradeaus::ADV,вик,راست
839,vorwärts::ADV,о́нчыко,جلو
840,vorwärts::ADV,о́нчыко,به پیش
841,rückwärts::ADV,шеҥге́к,عقب
842,zurück::ADV,мӧҥге́ш,پس
843,zurück::ADV,мӧҥге́ш,عقب
844,zurück::ADV,мӧҥге́ш,بالعکس
845,unten::ADV,ӱ́лнӧ,زیر
846,unten::ADV,ӱ́лнӧ,پایین
847,unten::ADV,йыма́лне,زیر
848,unten::ADV,йыма́лне,پایین
849,hinab::ADV,йыма́к,به پایین
850,oben::ADV,кӱ́шнӧ,بالا
851,oben::ADV,ӱмба́лне,بالا
852,hinauf::ADV,кӱ́ш,به بالا
853,hinauf::ADV,кӱ́шкӧ,به بالا
854,überall::ADV,чыла́ вере́,همه‌جا
855,nicht::ADV,ок,نه
856,nicht::ADV,о́геш,نه
857,ein wenig::ADV,изи́ш,کمی
858,kaum::ADV,пыкше́,به سختی
859,sehr::ADV,чот,خیلی
860,sehr::ADV,чот,بسیار
861,so::ADV,тыге́,چنین
862,so::ADV,тыге́,اینطور
863,noch::ADV,а́ле,هنوز
864,nur::ADV,гына́,فقط
865,nur::ADV,гына́,تنها
866,schon::ADV,ы́нде,قبلاً
867,schon::ADV,ы́нде,به این زودی
868,wieder::ADV,ада́к,باز
869,wieder::ADV,ада́к,دوباره
870,vergebens::ADV,ара́м,بیهوده
871,vor::PRP,о́нчыч,در جلوی
872,hinter::PRP,шеҥге́лне,پشت
873,unter::PRP,йыма́лне,تحت
874,durch::PRP,вошт,از وسط
875,durch::PRP,вошт,از ميان
876,neben::PRP,вокте́н,کنار
877,neben::PRP,вокте́н,پهلوی
878,zwischen::PRP,кокла́ште,بین
879,zwischen::PRP,кокла́ште,میان
880,wegen::PRP,верч,برای
881,wegen::PRP,верч,بخاطر
882,dies::PRN,ти́де,این
883,das::PRN,са́де,آن
884,alles::PRN,чыла́,تمام
885,alles::PRN,чыла́,همه‌چیر
886,ich::PRN,мый,من
887,du::PRN,тый,تو
888,er::PRN,ту́до,او
889,wir::PRN,ме,ما
890,ihr::PRN,те,شما
891,sie::PRN,ну́но,آنها
892,was::FPRN,мо,چه
893,wer::FPRN,кӧ,کی
894,wo::FADV,куша́н,کجا
895,wohin::FADV,куш,بکجا
896,wohin::FADV,ку́шко,بکجا
897,wie::FADV,кузе́,چطور
898,wie::FADV,кузе́,چگونه
899,warum::FADV,мо,چرا
900,warum::FADV,мо,برای چه
901,warum::FADV,мола́н,چرا
902,warum::FADV,мола́н,برای چه
903,wieviel::FNUM,куна́р,چند
904,wieviel::FNUM,куна́р,چقدر
905,eins::NUM,ик,یک
906,zwei::NUM,ко́кыт,دو
907,drei::NUM,кум,سه
908,vier::NUM,ныл,چهار
909,fünf::NUM,вич,پنج
910,sechs::NUM,куд,شش
911,sieben::NUM,шым,هفت
912,acht::NUM,канда́ш,هشت
913,neun::NUM,инде́ш,نه
914,zehn::NUM,лу,ده
915,elf::NUM,лати́к,یازده
916,zwölf::NUM,латко́к,دوازده
917,zwanzig::NUM,ко́ло,بیست
918,dreißig::NUM,ку́мло,سی
919,vierzig::NUM,ны́лле,چهل
920,fünfzig::NUM,ви́тле,پنجاه
921,sechzig::NUM,ку́дло,شصت
922,siebzig::NUM,шы́мле,هفتاد
923,achtzig::NUM,канда́шле,هشتاد
924,neunzig::NUM,инде́шле,نود
925,hundert::NUM,шӱ́дӧ,صد
926,tausend::NUM,тӱже́м,هزار
927,und::CNJ,да,و
928,und::CNJ,ден,و
929,oder::CNJ,я,یا
930,oder::CNJ,а́ле,یا
931,stehen::V,шога́ш,ایستادن
932,sitzen::V,шинча́ш,نشستن
933,liegen::V,кия́ш,خوابیدن
934,liegen::V,кия́ш,دراز کشیدن
935,hängen::V,кеча́ш,آویزان بودن
936,werden::V,лия́ш,شدن
937,passieren::V,лия́ш,گذشتن
938,passieren::V,лия́ш,اتفاق افتادن
939,beginnen::V,тӱҥгала́ш,شروع شدن
940,enden::V,пыта́ш,تمام شدن
941,wechseln::V,вашталта́ш,عوض شدن
942,aufgehen[Sonne]::V,лекта́ш,برآمدن
943,aufgehen[Sonne]::V,лекта́ш,طلوع کردن
944,untergehen[Sonne]::V,шинча́ш,غروب کردن
945,scheinen[Sonne]::V,волгалта́ш,تابیدن
946,donnern::V,кӱдырта́ш,رعد زدن
947,donnern::V,сургалта́ш,رعد زدن
948,wehen::V,пуа́ш,دمیدن
949,strömen::V,шийалтара́ш,روان شدن
950,fließen::V,йога́ш,روان شدن
951,sich drehen::V,пӧрда́ш,چرخیدن
952,schwanken::V,лӱҥга́ш,خم و راست شدن
953,schwanken::V,тайныла́ш,خم و راست شدن
954,schwingen::V,рӱпшалта́ш,تاب خوردن
955,schwingen::V,рӱпшалта́ш,نوسان کردن
956,fallen::V,воза́ш,افتادن
957,fallen::V,воза́ш,سقوط کردن
958,fallen::V,йӧрла́ш,افتادن
959,fallen::V,йӧрла́ш,سقوط کردن
960,brennen::V,йӱла́ш,سوزاندن
961,rauchen::V,шикша́ш,دود کردن
962,regnen::V,йӱра́ш,باران آمدن
963,gefrieren::V,кылма́ш,یخ بستن
964,gefrieren::V,ияҥа́ш,یخ بستن
965,tauen::V,шула́ш,آب شدن
966,schmelzen::V,лева́ш,آب شدن
967,trocknen::V,кошка́ш,خشک شدن
968,sieden::V,шола́ш,جوشیدن
969,faulen::V,шӱя́ш,فاسد شدن
970,verfaulen::V,шӱйы́н шуа́ш,پوسیدن
971,reißen::V,кӱрла́ш,پاره شدن
972,versinken::V,пуре́н кая́ш,غرق شدن
973,vergehen::V,эрте́н кая́ш,گذشتن
974,erscheinen::V,толы́н лекта́ш,ظاهر شدن
975,verschwinden::V,йома́ш,گم شدن
976,verschwinden::V,йома́ш,از بین رفتن
977,sinken::V,пуча́ш,پایین آمدن
978,abnehmen::V,пуча́ш,کم شدن
979,zunehmen::V,шукема́ш,زیاد شدن
980,steigen::V,нӧлталта́ш,بالا رفتن
981,wachsen::V,кушка́ш,قد کشیدن
982,glänzen::V,йылгыжа́ш,برق زدن
983,funkeln::V,чолга́ш,جرقه زدن
984,lärmen::V,рӱшка́ш,شلوغ کردن
985,läuten::V,мура́ш,زنگ زدن
986,klingeln::V,йыҥгырта́ш,زنگ زدن
