,Concept_ID,mrj,et
0,Auge::N,сӹнзӓ,silm
1,Ohr::N,пӹлӹш,kõrv
2,Nase::N,нер,nina
3,Mund::N,ышма,suu
4,Zahn::N,пӱ,hammas
5,Zunge::N,йӹлмӹ,keel
6,Lippe::N,тӹрвӹ,huul
7,Wange::N,шӹргӹ,põsk
8,Gesicht::N,лицӓ,nägu
9,Stirn::N,лепкӓ,otsmik
10,Haar::N,ӱп,juus
11,Schnurrbart::N,öрш,vurrud
12,Schnurrbart::N,öрш,vuntsid
13,Bart::N,пандаш,habe
14,Kinn::N,онгылаш,lõug
15,Kiefer[Anatomie]::N,пӱ арата,lõualuu
16,Kehle::N,логер,kõri
17,Hals::N,шӱ,kael
18,Genick::N,ланга,kukal
19,Kopf::N,вуй,pea
20,Rücken::N,туп,selg
21,Bauch::N,мӹшкӹр,kõht
22,Nabel::N,кӹлӹмдӹ,naba
23,Busen::N,цӹзӹ,rind
24,Brust::N,мел,rind
25,Schulter::N,ӹнгӹжӓ,õlg
26,Arm::N,кид,käsivars
27,Ellenbogen::N,кӹнервуй,küünarnukk
28,Hand::N,лапа,käsi
29,Handfläche::N,кид лапа,pihk
30,Finger::N,парня,sõrm
31,Fingernagel::N,кӹч,küüs
32,Nagel[Anatomie]::N,кӹч,küüs
33,Zeh::N,парня,varvas
34,Fuß::N,ял лапа,jalg
35,Ferse::N,ялгавал,kand
36,Ferse::N,ял кавал,kand
37,Knie::N,пылвуй,põlv
38,Oberschenkel::N,ӓрдӹ,reis
39,Bein::N,ял,jalg
40,Körper::N,монгыр,ihu
41,Körper::N,монгыр,keha
42,Haut::N,кавашты,nahk
43,Blut::N,вӹр,veri
44,Ader::N,вӹршӓр,veen
45,Sehne::N,кукшышӱн,kõõlus
46,Knochen::N,лу,luu
47,Gehirn::N,вим,aju
48,Herz::N,шӱм,süda
49,Magen::N,шӱм,magu
50,Leber::N,мокш,maks
51,Atem::N,шӱлӹш,hingeõhk
52,Atem::N,шӱлӹш,hingamine
53,Hunger::N,шужымаш,nälg
54,Träne::N,сӹнзӓвӹд,pisar
55,Geschmack::N,тот,maitse
56,Geruch::N,пыш,lõhn
57,Schlaf::N,ом,uni
58,Traum::N,ом,unenägu
59,Himmel::N,пӹлгом,taevas
60,Sonne::N,кечӹ,päike
61,Mond::N,тӹлзӹ,kuu
62,Stern::N,шӹдӹр,täht
63,Luft::N,юж,õhk
64,Luft::N,воздух,õhk
65,Wind::N,мардеж,tuul
66,Welle::N,ко,laine
67,Welle::N,коэ,laine
68,Wasser::N,вӹд,vesi
69,Stein::N,кӱ,kivi
70,Boden::N,рок,maa
71,Boden::N,рок,pinnas
72,Erde::N,свет,maa
73,Staub::N,пырак,põrm
74,Rauch::N,шӹкш,suits
75,Funke::N,ип,säde
76,Funke::N,тылип,säde
77,Feuer::N,тыл,tuli
78,Licht::N,соты,valgus
79,Licht::N,валгыды,valgus
80,Schatten::N,ӹмӹл,vari
81,Wetter::N,игечӹ,ilm
82,Nebel::N,тӹтӹрӓ,udu
83,Wolke::N,пӹл,pilv
84,Regen::N,юр,sadu
85,Schnee::N,лым,lumi
86,Eis::N,и,jää
87,Frost::N,ӱштӹ,pakane
88,Kälte::N,ӱштӹ,külm
89,Kälte::N,ӱштӹ,külmus
90,Hitze::N,шокшы,kuumus
91,Hitze::N,шокшы,palavus
92,Raureif::N,пöрш,härmatis
93,Regenbogen::N,шанавӹл,vikerkaar
94,Donner::N,хӹдӹртӹш,kõu
95,Donner::N,хӹдӹртӹш,müristamine
96,Strömung::N,йогы,voolus
97,Strömung::N,йогы,jõevool
98,Tropfen::N,капльы,tilk
99,Tropfen::N,капльык,tilk
100,Schaum::N,шонг,vaht
101,Schmutz::N,лявӹрӓ,pori
102,Schmutz::N,лявӹрӓ,mustus
103,See::N,йӓр,järv
104,Sumpf::N,лӱкӹ,soo
105,Moor::N,куп,raba
106,Wiese::N,алык,aas
107,Wiese::N,алык,nurm
108,Wald::N,шӹргӹ,mets
109,Hügel::N,пӱгӹрикӓ,küngas
110,Anhöhe::N,кӱкшикӓ,küngas
111,Berg::N,кырык,mägi
112,Gipfel::N,неркӓ,mäetipp
113,Höhle::N,ы́раж,koobas
114,Abhang::N,полом,nõlvak
115,Quelle::N,вӹдсӹнзӓ,allikas
116,Bach::N,ӓнгӹр,oja
117,Fluss::N,вӹд,jõgi
118,Ufer::N,сир,kallas
119,Küste::N,сир,rannik
120,Festland::N,мӱлӓндӹ,mander
121,Festland::N,мӱлӓндӹ,maismaa
122,Meer::N,тангыж,meri
123,Bucht::N,вӹдъял,laht
124,Insel::N,острок,saar
125,Blume::N,пеледӹш,lill
126,Gras::N,шуды,rohi
127,Wurzel::N,важ,juur
128,Baum::N,пушӓнгӹ,puu
129,Stamm::N,пушӓнгӹ тӹнг,tüvi
130,Rinde::N,каргыж,koor
131,Ast::N,укш,oks
132,Zweig::N,укш,oks
133,Blatt::N,листӹ,leht
134,Birke::N,куги,kask
135,Kiefer[Baum]::N,йӓктӹ,mänd
136,Weide[Baum]::N,уа,paju
137,Tanne::N,кож,nulg
138,Horn::N,шур,sarv
139,Feder::N,пын,sulg
140,Fell::N,кавашты,karvkate
141,Fell::N,кавашты,karusnahk
142,Flügel::N,шылдыр,tiib
143,Flügel::N,шылдыр,tiivik
144,Klaue::N,кӹч,küüs
145,Kralle::N,лапа,küünis
146,Schwanz::N,пач,saba
147,Ei::N,мыны,muna
148,Nest::N,пӹжӓш,pesa
149,Bau::N,ыраж,urg
150,Tier::N,во́льык,loom
151,Herde::N,кӹтö,kari
152,Kuh::N,ышкал,lehm
153,Bulle::N,ӱшкӱж,pull
154,Pferd::N,имни,hobune
155,Schaf::N,шарык,lammas
156,Schwein::N,сасна,siga
157,Hund::N,пи,koer
158,Katze::N,коти,kass
159,Bär::N,мöскӓ,karu
160,Eichhörnchen::N,ур,orav
161,Elch::N,шарды,põder
162,Fuchs::N,рӹвӹж,rebane
163,Hase::N,морен,jänes
164,Maus::N,каля,hiir
165,Wolf::N,пирӹ,hunt
166,Vogel::N,кек,lind
167,Schwarm::N,цуца,parv
168,Huhn::N,цӹвӹ,kana
169,Hahn::N,ӓптӓн,kukk
170,Gans::N,комбы,hani
171,Adler::N,кучкыж,kotkas
172,Ente::N,лыды,part
173,Eule::N,тымана,kakk
174,Eule::N,тымана,öökull
175,Kranich::N,тырня,kurg
176,Kranich::N,тыртня,kurg
177,Krähe::N,лудыгарак,vares
178,Kuckuck::N,куку,kägu
179,Schwan::N,йӱксӹ,luik
180,Fisch::N,кол,kala
181,Barsch::N,алангы,ahven
182,Hecht::N,нуж,haug
183,Hecht::N,нужгол,haug
184,Schlange[Tier]::N,кӹшкы,uss
185,Wurm::N,шукш,uss
186,Wurm::N,шукш,vagel
187,Spinne::N,ӓнгӹремшӹ,ämblik
188,Ameise::N,кыткы,sipelgas
189,Laus::N,ти,täi
190,Mücke::N,кужнер,sääsk
191,Mücke::N,кужынер,sääsk
192,Fliege::N,шӹнгӓ,kärbes
193,Schmetterling::N,лӹпӹ,liblikas
194,Beere::N,мöр,mari
195,Apfel::N,олма,õun
196,Pilz::N,понгы,seen
197,Zwiebel::N,охыра,sibul
198,Saat::N,нӱшмӹ,seeme
199,Saat::N,нӱшмӱ,seeme
200,Korn::N,пӹрцӹ,iva
201,Korn::N,пӹрцӹ,tera
202,Heu::N,шуды,hein
203,Schale::N,аваха,koor
204,Schale::N,карлангы,koor
205,Grube::N,йӓм,kaevand
206,Falle::N,лӱдӹ,lõks
207,Falle::N,лӱдӹ,püünis
208,Falle::N,лӱдӹш,lõks
209,Falle::N,лӱдӹш,püünis
210,Schlinge::N,онгы,aas
211,Spur::N,кишӓ,jälg
212,Asche::N,ломых,tuhk
213,Asche::N,ломпыж,tuhk
214,Dreck::N,лявӹрӓ,saast
215,Dreck::N,лявӹрӓ,mustus
216,Eisen::N,кӹртни,raud
217,Gold::N,шöртни,kuld
218,Gold::N,шöртньӹ,kuld
219,Silber::N,ши,hõbe
220,Kohle::N,шӱ,süsi
221,Glas::N,охоница,klaas
222,Lehm::N,шун,savi
223,Sand::N,ошма,liiv
224,Mensch::N,эдем,inimene
225,Mann::N,пӱэргӹ,mees
226,Frau::N,ӹдӹрӓмӓш,naine
227,Kind::N,ӓзӓ,laps
228,Kind::N,шачшы,laps
229,Junge::N,рвезӹ,poiss
230,Junge::N,ӹрвезӹ,poiss
231,Mädchen::N,ӹдӹрӓш,tüdruk
232,Familie::N,йиш,perekond
233,Familie::N,семня,perekond
234,Großvater::N,тьоти,vanaisa
235,Großmutter::N,папа,vanaema
236,Eltern::N,ӓтя-ӓвӓ,vanemad
237,Vater::N,ӓтя,isa
238,Mutter::N,ӓвӓ,ema
239,Sohn::N,эргӹ,poeg
240,Tochter::N,ӹдӹр,tütar
241,Bruder::N,ӹза,vend
242,Schwester::N,ӓкӓ,õde
243,Onkel::N,кугуза,onu
244,Tante::N,куака,tädi
245,Ehemann::N,мары,mees
246,Ehemann::N,мары,abikaasa
247,Ehefrau::N,вӓтӹ,naine
248,Ehefrau::N,вӓтӹ,abikaasa
249,Freude::N,ӹвӹртӹмӓш,rõõm
250,Gelächter::N,ваштылмаш,naer
251,Glück::N,пиӓл,õnn
252,Kummer::N,ясы,mure
253,Kummer::N,ясы,kurbus
254,Wunsch::N,охата,soov
255,Wunsch::N,шанымаш,soov
256,Lust::N,шӓр,himu
257,Lust::N,охата,himu
258,Lust::N,шанымаш,himu
259,Geist::N,тух,vaim
260,Gedanke::N,шанымаш,mõte
261,Gedächtnis::N,ӓш,mälu
262,Verstand::N,ыш,aru
263,Verstand::N,ыш,mõistus
264,Sinn::N,кын,tähendus
265,Grund::N,вир,põhjus
266,Wahrheit::N,тöр,tõde
267,Gespräch::N,хытырымаш,kõne
268,Gespräch::N,хытырымаш,vestlus
269,Märchen::N,ямак,muinasjutt
270,Erzählung::N,шайыштмаш,jutustus
271,Nachricht::N,увертӓрӹмӓш,teade
272,Neuigkeit::N,увер,uudis
273,Name::N,лӹм,nimi
274,Rätsel::N,тышты,mõistatus
275,Rede::N,шая,kõne
276,Rede::N,шамак,kõne
277,Sprache::N,йӹлмӹ,keel
278,Stimme::N,юк,hääl
279,Wort::N,шамак,sõna
280,Zeichen::N,палӹ,märk
281,Ruf::N,сӹгӹрӹмӓш,hüüe
282,Lärm::N,юкланымащ,müra
283,Laut::N,юк,hääl
284,Ton::N,юк,toon
285,Lied::N,мыры,laul
286,Ruhe::N,тыр,rahu
287,Ruhe::N,тыр,vaikus
288,Leute::N,эдемвлӓ,inimesed
289,Volk::N,халык,rahvas
290,Arbeit::N,пӓшӓ,töö
291,Gast::N,хына,külaline
292,Geschenk::N,подарка,kingitus
293,Spiel::N,мадыш,mäng
294,Gesellschaft::N,йӓл,selts
295,Gesellschaft::N,йӓлвлӓ,selts
296,Hilfe::N,палшык,abi
297,Freund::N,тӓнг,sõber
298,Kamerad::N,тос,sõber
299,Angelegenheit::N,дела,asi
300,Angelegenheit::N,йела,asi
301,Angelegenheit::N,йыла,asi
302,Angelegenheit::N,пӓшӓ,asi
303,Anzahl::N,шот,arv
304,Anzahl::N,шот,hulk
305,Art::N,цӹре,liik
306,Stück::N,лаштык,tükk
307,Teil::N,пай,osa
308,Teil::N,часть,osa
309,Hälfte::N,пел,pool
310,Kreis::N,тӹртӹш,ring
311,Kreuz::N,крестӹ,rist
312,Abstand::N,ло,vahe
313,Entfernung::N,ло,kaugus
314,Entfernung::N,ло,vahemaa
315,Gegend::N,вӓр,ümbrus
316,Platz::N,вӓр,ruum
317,Ort::N,вӓр,paik
318,Seite::N,öрдӹж,pool
319,Mitte::N,ло,keskpaik
320,Gegenstand::N,хӓдӹр,ese
321,Sache::N,хӓдӹр,ese
322,Rand::N,шöр,äär
323,Rand::N,шöр,serv
324,Kante::N,шöр,kant
325,Ecke::N,лык,nurk
326,Spitze::N,вуй,teravik
327,Ende::N,вуй,ots
328,Ende::N,вуй,jupp
329,Ende::N,мычаш,ots
330,Ende::N,мычаш,jupp
331,Loch::N,ыраж,auk
332,Winkel::N,лык,nurk
333,Muster::N,тӹрлец,muster
334,Größe::N,кӱкшӹц,suurus
335,Länge::N,кыт,pikkus
336,Höhe::N,кӱкшӹц,kõrgus
337,Gewicht::N,нелӹц,kaal
338,Gewicht::N,нелӹц,raskus
339,Menge::N,шот,arv
340,Menge::N,шот,hulk
341,Haufen::N,ара,hunnik
342,Reihe::N,ряд,rivi
343,Boot::N,пыш,paat
344,Ruder::N,вешлӓ,aer
345,Schlitten::N,тир,saan
346,Ski::N,ечӹ,suusk
347,Lagerfeuer::N,тыл,lõke
348,Last::N,нелӹц,koorem
349,Gang::N,ход,käik
350,Schritt::N,ашкыл,samm
351,Norden::N,йыдпелвел,põhi
352,Süden::N,кечӹвӓлвел,lõuna
353,Westen::N,кечӹ шӹцмӹ,lääs
354,Osten::N,ирвел,ida
355,Osten::N,кечӹ лӱлтмӹ,ida
356,Holz::N,пушӓнгӹ,puu
357,Brett::N,ханга,saelaud
358,Platte::N,плитӓ,plaat
359,Stütze::N,цӓрӓк,tugi
360,Stange::N,равы,latt
361,Stange::N,равы,teivas
362,Stange::N,намаш,latt
363,Stange::N,намаш,teivas
364,Stock::N,панды,kepp
365,Stab::N,равы,varras
366,Rohr::N,пыч,toru
367,Haus::N,пöрт,maja
368,Heim::N,пöрт,kodu
369,Ofen::N,камака,ahi
370,Fußboden::N,седӹрӓ,põrand
371,Tisch::N,стöл,laud
372,Stuhl::N,пöкен,tool
373,Wiege::N,шипкӓ,häll
374,Wiege::N,шипкӓ,kätki
375,Bett::N,койка,voodi
376,Bett::N,кравать,voodi
377,Regal::N,полицӓ,riiul
378,Kiste::N,шӱ́ндӹк,kast
379,Fenster::N,окня,aken
380,Tür::N,амаса,uks
381,Tor::N,хапка,värav
382,Zaun::N,забор,aed
383,Zaun::N,забор,tara
384,Dach::N,левӓш,katus
385,Leiter::N,ташкалтыш,redel
386,Besen::N,сало,luud
387,Besen::N,салко,luud
388,Spaten::N,кольмы,labidas
389,Schaufel::N,лоток,kühvel
390,Gabel::N,ви́лка,kahvel
391,Löffel::N,савала,lusikas
392,Messer::N,кӹзӹ,nuga
393,Nagel::N,пыда,nael
394,Netz::N,вӓпш,võrk
395,Haken::N,крӱк,haak
396,Haken::N,крӱк,konks
397,Haken::N,кагак,haak
398,Haken::N,кагак,konks
399,Griff::N,кычем,sang
400,Griff::N,кычем,käepide
401,Schloss::N,замок,lukk
402,Schloss::N,сыравач,lukk
403,Bild::N,картин,pilt
404,Figur::N,кӓн,kuju
405,Figur::N,кӓн,kujund
406,Puppe::N,поханя,nukk
407,Beutel::N,мешӓк,paun
408,Bündel::N,топ,kimp
409,Bündel::N,пидӹш,kimp
410,Bündel::N,кӹлдӹш,kimp
411,Tasche::N,сумкы,kott
412,Eimer::N,ведӹрӓ,pang
413,Eimer::N,ведӹрӓ,ämber
414,Deckel::N,комдыш,kaas
415,Geschirr::N,ӓтӹ,nõud
416,Sack::N,мешӓк,kott
417,Tasse::N,цӓшкӓ,tass
418,Topf::N,ми́ска,pada
419,Kessel::N,пад,pada
420,Essen::N,качкыш,söök
421,Essen::N,качкыш-йӱш,söök
422,Nahrung::N,качкыш,toit
423,Nahrung::N,качкыш-йӱш,toit
424,Speise::N,няня,roog
425,Fleisch::N,пай,liha
426,Getreide::N,киндӹ,teravili
427,Brei::N,шӹрӓш,puder
428,Brot::N,сыкыр,sai
429,Brot::N,сыкыр,leib
430,Scheibe::N,ламыт,viil
431,Scheibe::N,ламыт,viilukas
432,Scheibe::N,лаштык,viil
433,Scheibe::N,лаштык,viilukas
434,Fett::N,кая,rasv
435,Butter::N,ӱ,või
436,Öl::N,ӱ,õli
437,Salz::N,санзал,sool
438,Suppe::N,лем,supp
439,Honig::N,мӱ,mesi
440,Milch::N,шӹшер,piim
441,Tee::N,чӓй,tee
442,Leder::N,шарга,nahk
443,Leder::N,кавашты,nahk
444,Wolle::N,миж,vill
445,Stoff::N,матер,kangas
446,Stoff::N,матери,kangas
447,Nadel::N,им,nõel
448,Faden::N,шӹртӹ,niit
449,Knopf::N,полдыш,nööp
450,Knoten::N,пӱкшем,sõlm
451,Farbe::N,чиӓ,värv
452,Farbe::N,крӓскӓ,värv
453,Kleidung::N,выргем,riided
454,Kleidung::N,выргем,riietus
455,Hemd::N,тыгыр,särk
456,Kragen::N,шӱ,krae
457,Ärmel::N,шокш,varrukas
458,Hose::N,ялаш,püksid
459,Gürtel::N,ӹштӹ,vöö
460,Mütze::N,упш,müts
461,Schuh::N,ту́фльы,king
462,Stiefel::N,кем,saabas
463,Ring::N,шӓргӓш,sõrmus
464,Band::N,лемтӓ,lint
465,Kamm::N,шерге,kamm
466,Spiegel::N,тӹгӹр,peegel
467,Riemen::N,прӓжӓ,rihm
468,Schnur::N,кӓндӹра,nöör
469,Leine::N,керем,jalutusrihm
470,Decke::N,одеял,tekk
471,Kissen::N,кӹпцӹк,padi
472,Tuch::N,савыц,kalev
473,Handtuch::N,шӹргӹсавыц,käterätik
474,Handtuch::N,шӹргӹмсавыц,käterätik
475,Kraft::N,ви,jõud
476,Stärke::N,ви,tugevus
477,Gesundheit::N,шу,tervis
478,Gesundheit::N,шулык,tervis
479,Krankheit::N,мыж,haigus
480,Schmerz::N,карштыш,valu
481,Wunde::N,шушыр,haav
482,Fieber::N,ӱштӹмыж,palavik
483,Arznei::N,лекӓрцӹ,ravim
484,Brücke::N,кӹвер,sild
485,Brunnen::N,вӹдсӹнзӓ,kaev
486,Weide::N,ныр,karjamaa
487,Pfad::N,ялгорны,rada
488,Weg::N,корны,tee
489,Straße::N,корны,tee
490,Dorf::N,сола,küla
491,Stadt::N,города,linn
492,Brief::N,сирмӓш,kiri
493,Buch::N,книгӓ,raamat
494,Buchstabe::N,буква́,täht
495,Zeitung::N,газет,ajaleht
496,Zeitung::N,кайзет,ajaleht
497,Leben::N,житя,elu
498,Tod::N,смöрт,surm
499,Grab::N,шӹгер,haud
500,Grab::N,мыгилӓ,haud
501,Grab::N,шӹгерлӓ,haud
502,Kirche::N,церкӹ,kirik
503,Sünde::N,сулык,patt
504,Gott::N,йымы,jumal
505,Arbeiter::N,пӓшӓзӹ,tööline
506,Chef::N,вуй,ülemus
507,Chef::N,вуй,juhataja
508,Meister::N,мастар,meister
509,Arzt::N,доктор,arst
510,Lehrer::N,тымдышы,õpetaja
511,Geld::N,окса,raha
512,Geschäft::N,торге́йӹмӓш,äri
513,Laden::N,лапка,pood
514,Laden::N,лапка,kauplus
515,Laden::N,магазин,pood
516,Laden::N,магазин,kauplus
517,Preis::N,ӓк,hind
518,Ware::N,товар,kaup
519,Nutzen::N,пайда,tulu
520,Nutzen::N,пайда,kasulikkus
521,Reichtum::N,перке,rikkus
522,Welt::N,сӓндӓлӹк,maailm
523,Welt::N,свет,maailm
524,Land::N,сӓндӓлӹк,maa
525,Staat::N,кугижӓншӹ,riik
526,König::N,король,kuningas
527,Macht::N,власть,võim
528,Grenze::N,пӹсмӓн,piir
529,Krieg::N,вырсы,sõda
530,Feind::N,тышман,vaenlane
531,Gewalt::N,ви,väevõim
532,Kampf::N,кредӓлмӓш,võitlus
533,Bogen[Waffe]::N,янгеж,vibu
534,Pfeil::N,пикш,nool
