,Concept_ID,tt,se
0,Auge::N,күз,tjelmie
1,Auge::N,күз,tjalmme
2,Auge::N,күз,čalbmi
3,Auge::N,күз,čalme
4,Auge::N,күз,čâ´lmm
5,Auge::N,күз,ча̄лльм
6,Ohr::N,колак,bieljie
7,Ohr::N,колак,biellje
8,Ohr::N,колак,beallji
9,Ohr::N,колак,pelji
10,Ohr::N,колак,pe´llj
11,Ohr::N,колак,пе̄лльй
12,Nase::N,борын,njuenie
13,Nase::N,борын,njunnje
14,Nase::N,борын,njunni
15,Nase::N,борын,njuṇe
16,Nase::N,борын,njuu´nn
17,Nase::N,борын,нюннҍ
18,Mund::N,авыз,njaelmie
19,Mund::N,авыз,njálmme
20,Mund::N,авыз,njálbmi
21,Mund::N,авыз,njälmi
22,Mund::N,авыз,njä´lmm
23,Mund::N,авыз,ня̄лльм
24,Mund::N,тамак,njaelmie
25,Mund::N,тамак,njálmme
26,Mund::N,тамак,njálbmi
27,Mund::N,тамак,njälmi
28,Mund::N,тамак,njä´lmm
29,Mund::N,тамак,ня̄лльм
30,Zahn::N,теш,baenie
31,Zahn::N,теш,bádne
32,Zahn::N,теш,bátni
33,Zahn::N,теш,pääṇi
34,Zahn::N,теш,pää´nn
35,Zahn::N,теш,па̄ннҍ
36,Zunge::N,тел,njoektjeme
37,Zunge::N,тел,njuovtjav
38,Zunge::N,тел,njuovčča
39,Zunge::N,тел,njuovčâ
40,Zunge::N,тел,njuhččâm
41,Zunge::N,тел,нюхчем
42,Lippe::N,ирен,bangseme
43,Lippe::N,ирен,njálmmerabdda
44,Lippe::N,ирен,bavssa
45,Lippe::N,ирен,poovsâ
46,Lippe::N,ирен,põõus
47,Lippe::N,ирен,пэ̄кс
48,Wange::N,яңак,skiehrie
49,Wange::N,яңак,nierra
50,Wange::N,яңак,muohtu
51,Wange::N,яңак,nieṛâ
52,Wange::N,яңак,njiõrr
53,Wange::N,яңак,нӣрр
54,Gesicht::N,йөз,ååredæjja
55,Gesicht::N,йөз,muohto
56,Gesicht::N,йөз,muođut
57,Gesicht::N,йөз,ámadadju
58,Gesicht::N,йөз,muáđuh
59,Gesicht::N,йөз,muâđ
60,Gesicht::N,йөз,ка̄ссв
61,Stirn::N,маңгай,gaalloe
62,Stirn::N,маңгай,gállo
63,Stirn::N,маңгай,gállu
64,Stirn::N,маңгай,kállu
65,Stirn::N,маңгай,käll
66,Stirn::N,маңгай,вуэххьц
67,Haar::N,чәч,voepte
68,Haar::N,чәч,vuoppta
69,Haar::N,чәч,vuokta
70,Haar::N,чәч,vuop'tâ
71,Haar::N,чәч,vuõpt
72,Haar::N,чәч,вӯппт
73,Schnurrbart::N,мыек,bijjie-skaavtjoe
74,Schnurrbart::N,мыек,njunjevuolskávttjá
75,Schnurrbart::N,мыек,seamu
76,Schnurrbart::N,мыек,siämu
77,Schnurrbart::N,мыек,ää´bben
78,Schnurrbart::N,мыек,о̄а̄бпан
79,Bart::N,сакал,skaavtja
80,Bart::N,сакал,skaavtjoe
81,Bart::N,сакал,skávttjá
82,Bart::N,сакал,seamu
83,Bart::N,сакал,siämu
84,Bart::N,сакал,seäm
85,Bart::N,сакал,ся̄м
86,Kinn::N,ияк,gaejpie
87,Kinn::N,ияк,gájbbe
88,Kinn::N,ияк,gáibi
89,Kinn::N,ияк,käibi
90,Kinn::N,ияк,käi´bb
91,Kinn::N,ияк,ка̄ййп
92,Kiefer[Anatomie]::N,казналык,gaejpie
93,Kiefer[Anatomie]::N,казналык,oalol
94,Kiefer[Anatomie]::N,казналык,oaloldákte
95,Kiefer[Anatomie]::N,казналык,gáibi
96,Kiefer[Anatomie]::N,казналык,uá'lultähti
97,Kiefer[Anatomie]::N,казналык,vuâl'lõš
98,Kiefer[Anatomie]::N,казналык,вуаллнешш
99,Kehle::N,тамак,gealoe
100,Kehle::N,тамак,tjåttå
101,Kehle::N,тамак,njiello
102,Kehle::N,тамак,čotta
103,Kehle::N,тамак,čuudâ
104,Kehle::N,тамак,čoodd
105,Kehle::N,тамак,чонт
106,Kehle::N,тамак,кэ̄ҏс
107,Hals::N,бугаз,tjeapohke
108,Hals::N,бугаз,tjiebet
109,Hals::N,бугаз,čeabet
110,Hals::N,бугаз,čiäppát
111,Hals::N,бугаз,čeäppat
112,Hals::N,бугаз,ча̄пэх
113,Genick::N,җилкә,tjovrese
114,Genick::N,җилкә,nisske
115,Genick::N,җилкә,niehkki
116,Genick::N,җилкә,niski
117,Genick::N,җилкә,niek'ki
118,Genick::N,җилкә,nji´šǩǩmaadd
119,Genick::N,җилкә,нышшькмоант
120,Kopf::N,баш,åejjie
121,Kopf::N,баш,oajvve
122,Kopf::N,баш,oaivi
123,Kopf::N,баш,uái'vi
124,Kopf::N,баш,vuei´vv
125,Kopf::N,баш,вуэййв
126,Rücken::N,сырт,rudtje
127,Rücken::N,сырт,hárddo
128,Rücken::N,сырт,tjavelk
129,Rücken::N,сырт,sealgi
130,Rücken::N,сырт,selgi
131,Rücken::N,сырт,čielgi
132,Rücken::N,сырт,seä´lǧǧ
133,Rücken::N,сырт,се̄лльк
134,Bauch::N,корсак,tjåejjie
135,Bauch::N,корсак,tjoajvve
136,Bauch::N,корсак,čoavji
137,Bauch::N,корсак,čuáv'ji
138,Bauch::N,корсак,čåu´jj
139,Bauch::N,корсак,чо̄ввьй
140,Nabel::N,кендек,naepie
141,Nabel::N,кендек,náhpe
142,Nabel::N,кендек,náhpi
143,Nabel::N,кендек,nääpi
144,Nabel::N,кендек,nää´pp
145,Nabel::N,кендек,на̄бпь
146,Busen::N,түш,boenge
147,Busen::N,түш,bållå
148,Busen::N,түш,čižži
149,Busen::N,түш,njamma
150,Busen::N,түш,njižže
151,Busen::N,түш,nje´ǯǯ
152,Busen::N,түш,раннҍт
153,Brust::N,имчәк,mïelke
154,Brust::N,имчәк,radde
155,Brust::N,имчәк,mielgga
156,Brust::N,имчәк,raddi
157,Brust::N,имчәк,radde
158,Brust::N,имчәк,râ´dd
159,Brust::N,имчәк,раннҍт
160,Brust::N,күкрәк,mïelke
161,Brust::N,күкрәк,radde
162,Brust::N,күкрәк,mielgga
163,Brust::N,күкрәк,raddi
164,Brust::N,күкрәк,radde
165,Brust::N,күкрәк,râ´dd
166,Brust::N,күкрәк,раннҍт
167,Schulter::N,иңбаш,åelkie
168,Schulter::N,иңбаш,oalgge
169,Schulter::N,иңбаш,hárdu
170,Schulter::N,иңбаш,ärdee
171,Schulter::N,иңбаш,uál'gi
172,Schulter::N,иңбаш,a´rddi
173,Schulter::N,иңбаш,vuä´lǧǧ
174,Schulter::N,иңбаш,вуэллык
175,Schulter::N,кулбаш,åelkie
