,Concept_ID,myv,he
0,Auge::N,сельме,עין
1,Ohr::N,пиле,אזן
2,Nase::N,судо,אף
3,Nase::N,судо,חטם
4,Mund::N,курго,פה
5,Zahn::N,пей,שן
6,Zunge::N,кель,לשון
7,Lippe::N,турва,שפה
8,Wange::N,чамабока,לחי
9,Wange::N,чамаумарь,לחי
10,Gesicht::N,чама,פנים
11,Stirn::N,коня,מצח
12,Haar::N,черь,שערה
13,Schnurrbart::N,ус,שפם
14,Schnurrbart::N,муюк,שפם
15,Bart::N,сакал,זקן
16,Kinn::N,уло,סנטר
17,Kiefer[Anatomie]::N,пейпакар,לסת
18,Kiefer[Anatomie]::N,пейловажа,לסת
19,Kehle::N,кирьгапарь,גרון
20,Hals::N,кирьга,צואר
21,Genick::N,човонь,ערף
22,Kopf::N,пря,ראש
23,Rücken::N,копорь,גב
24,Bauch::N,пеке,בטן
25,Nabel::N,почо,טבור
26,Busen::N,поте,שד
27,Brust::N,меште,חזה
28,Schulter::N,лавтов,כתף
29,Arm::N,кедь,זרוע
30,Ellenbogen::N,кенерепакарь,מרפק
31,Hand::N,кедь,יד
32,Handfläche::N,кедькуншка,כף יד
33,Handfläche::N,кедьлапушка,כף יד
34,Finger::N,сур,אצבע
35,Fingernagel::N,кенже,צפרן
36,Nagel[Anatomie]::N,кенже,צפרן
37,Zeh::N,пильге сур,אצבע
38,Fuß::N,пильге,רגל
39,Ferse::N,кочкаря,עקב
40,Knie::N,эле,ברך
41,Knie::N,эзне,ברך
42,Knie::N,кумажа,ברך
43,Oberschenkel::N,качо,ירך
44,Bein::N,пильге,רגל
45,Körper::N,рунго,גוף
46,Haut::N,киське,עור
47,Blut::N,верь,דם
48,Ader::N,сан,וריד
49,Sehne::N,коське сан,גיד
50,Knochen::N,пакарь,עצם
51,Gehirn::N,удем,מוח
52,Herz::N,седей,לב
53,Magen::N,пеке,קבה
54,Leber::N,максо,כבד
55,Atem::N,лексема,נשימה
56,Atem::N,оймень таргсема,נשימה
57,Hunger::N,вачочи,רעב
58,Träne::N,селведь,דמעה
59,Geschmack::N,тансть,טעם
60,Geruch::N,чине,ריח
61,Schlaf::N,удома,שנה
62,Traum::N,он,חלום
63,Himmel::N,менель,שמים
64,Sonne::N,чи,שמש
65,Mond::N,ков,ירח
66,Stern::N,теште,כוכב
67,Luft::N,кошт,אויר
68,Wind::N,варма,רוח
69,Welle::N,толкун,גל
70,Wasser::N,ведь,מים
71,Stein::N,кев,אבן
72,Boden::N,мода,קרקע
73,Erde::N,мастор,אדמה
74,Staub::N,пуль,אבק
