,Concept_ID,fi,kl
0,Auge::N,silmä,isi
1,Ohr::N,korva,siut
2,Nase::N,nenä,
3,Mund::N,suu,paaq
4,Mund::N,suu,qaneq
5,Zahn::N,hammas,kigut
6,Zunge::N,kieli,oqaq
7,Lippe::N,huuli,qarloq
8,Wange::N,poski,ersaq
9,Gesicht::N,naama,kiinaq
10,Gesicht::N,kasvot,kiinaq
11,Stirn::N,otsa,qaaq
12,Haar::N,hius,meqqoq
13,Haar::N,tukka,meqqoq
14,Schnurrbart::N,viikset,
15,Bart::N,parta,umik
16,Kinn::N,leuka,talloq
17,Kiefer[Anatomie]::N,leukaluu,alleroq
18,Kehle::N,kurkku,malaq
19,Hals::N,kaula,qungaseq
20,Genick::N,niska,pukusuk
21,Kopf::N,pää,niaqoq
22,Rücken::N,selkä,qimerlut
23,Bauch::N,maha,naaq
24,Bauch::N,vatsa,naaq
25,Nabel::N,napa,qalaseq
26,Busen::N,rinta,iviangeq
27,Brust::N,rinta,iviangeq
28,Schulter::N,olka,ersik
29,Schulter::N,olka,assaqqoq
30,Schulter::N,hartia,ersik
31,Schulter::N,hartia,assaqqoq
32,Schulter::N,olkapää,ersik
33,Schulter::N,olkapää,assaqqoq
34,Arm::N,käsivarsi,taleq
35,Ellenbogen::N,kyynärpää,ikusik
36,Hand::N,käsi,assak
37,Handfläche::N,kämmen,itumak
38,Finger::N,sormi,inuak
39,Fingernagel::N,kynsi,kikiak
40,Nagel[Anatomie]::N,kynsi,kukik
41,Zeh::N,varvas,isigak
42,Fuß::N,jalka,
43,Ferse::N,kantapää,kimmik
44,Knie::N,polvi,seeqqoq
45,Oberschenkel::N,reisi,uppat
46,Oberschenkel::N,reisi,quttoraq
47,Bein::N,jalka,isigak
48,Körper::N,keho,timi
49,Körper::N,ruumis,timi
50,Haut::N,iho,mattak
51,Blut::N,veri,aak
52,Ader::N,suoni,taqaq
53,Sehne::N,jänne,ujalu
54,Sehne::N,jänne,ujaloq
55,Knochen::N,luu,saanikut
56,Gehirn::N,aivot,qarasaq
57,Herz::N,sydän,uummat
58,Magen::N,maha,aqajaroq
59,Magen::N,vatsa,aqajaroq
60,Leber::N,maksa,tinguk
61,Atem::N,henki,anerneq
62,Atem::N,hengitys,anerneq
63,Hunger::N,nälkä,kaanneq
64,Träne::N,kyynel,qia
65,Träne::N,kyynel,qiak
66,Geschmack::N,maku,qilanaartuut
67,Geruch::N,haju,tipi
68,Geruch::N,haju,tipik
69,Schlaf::N,uni,
70,Traum::N,uni,sinnattoq
71,Traum::N,uni,sinnattugaq
72,Himmel::N,taivas,qilak
73,Sonne::N,aurinko,seqineq
74,Mond::N,kuu,qaammat
75,Stern::N,tähti,ulloriaq
76,Luft::N,ilma,silaannaq
77,Wind::N,tuuli,anori
78,Wind::N,tuuli,anorsarik
79,Welle::N,aalto,aalappaa
80,Wasser::N,vesi,imeq
81,Stein::N,kivi,ujarak
82,Boden::N,maa,nateq
83,Boden::N,maaperä,nateq
84,Erde::N,maa,issoq
85,Staub::N,pöly,pujualanerit
86,Staub::N,pöly,pujoralanerit
87,Rauch::N,savu,iseq
88,Rauch::N,savu,pujoq
89,Funke::N,kipinä,illoorneq
90,Feuer::N,tuli,inneq
91,Licht::N,valo,qaamaneq
92,Schatten::N,varjo,tarraq
93,Wetter::N,sää,sila
94,Nebel::N,sumu,pujoq
95,Wolke::N,pilvi,nuia
96,Regen::N,sade,sialuk
97,Schnee::N,lumi,aput
98,Eis::N,jää,siku
99,Frost::N,halla,issi
100,Frost::N,halla,issik
101,Frost::N,pakkanen,issi
102,Frost::N,pakkanen,issik
103,Kälte::N,vilu,issi
104,Kälte::N,kylmyys,issi
105,Hitze::N,helle,kianneq
106,Hitze::N,helle,kiassuseq
107,Hitze::N,kuumuus,kianneq
