,Concept_ID,pt,sq
0,Auge::N,olho,sy
1,Ohr::N,orelha,vesh
2,Nase::N,nariz,hundë
3,Mund::N,boca,gojë
4,Zahn::N,dente,dhëmb
5,Zunge::N,língua,gjuhë
6,Lippe::N,lábio,buzë
7,Wange::N,face,faqe
8,Wange::N,face,mollëz
9,Gesicht::N,cara,fytyrë
10,Gesicht::N,rosto,fytyrë
11,Stirn::N,testa,ballë
12,Haar::N,cabelo,flokë
13,Schnurrbart::N,bigode,mustaqe
14,Bart::N,barba,mjekër
15,Kinn::N,queixo,mjekër
16,Kiefer[Anatomie]::N,maxila,nofull
17,Kiefer[Anatomie]::N,mandíbula,nofull
18,Kehle::N,garganta,fyt
19,Kehle::N,garganta,grykë
20,Hals::N,colo,qafë
21,Hals::N,pescoço,qafë
22,Genick::N,nuca,arrëz
23,Kopf::N,cabeça,kokë
24,Rücken::N,dorso,kurriz
25,Rücken::N,costas,kurriz
26,Bauch::N,ventre,bark
27,Bauch::N,barriga,bark
28,Nabel::N,umbigo,kërthizë
29,Busen::N,seio,gji
30,Brust::N,peito,gjoks
31,Brust::N,peito,kraharor
32,Schulter::N,ombro,sup
33,Schulter::N,ombro,krah
34,Arm::N,braço,krah
35,Ellenbogen::N,cotovelo,bërryl
36,Hand::N,mão,dorë
37,Handfläche::N,palma,pëllëmbë
38,Handfläche::N,palma da mão,pëllëmbë
39,Finger::N,dedo,gisht
40,Fingernagel::N,unha,thua
41,Nagel[Anatomie]::N,unha,thua
42,Zeh::N,dedo do pé,gisht i këmbës
43,Fuß::N,pé,këmbë
44,Ferse::N,calcanhar,thembër
45,Knie::N,joelho,gju
46,Oberschenkel::N,coxa,kofshë
47,Bein::N,perna,këmbë
48,Körper::N,corpo,trup
49,Haut::N,pele,lëkurë
50,Blut::N,sangue,gjak
51,Ader::N,veia,venë
52,Sehne::N,tendão,dell
53,Knochen::N,osso,asht
54,Knochen::N,osso,kockë
55,Gehirn::N,cérebro,tru
56,Herz::N,coração,zemër
57,Magen::N,estômago,stomak
58,Leber::N,fígado,mëlçi
59,Atem::N,fôlego,frymë
60,Hunger::N,fome,uri
61,Träne::N,lágrima,lot
62,Geschmack::N,gosto,shije
63,Geruch::N,odor,erë
64,Geruch::N,cheiro,erë
65,Schlaf::N,sono,gjumë
66,Traum::N,sonho,ëndërr
67,Himmel::N,céu,qiell
68,Sonne::N,sol,diell
69,Mond::N,lua,hënë
70,Stern::N,estrela,yll
71,Luft::N,ar,ajër
72,Wind::N,vento,erë
73,Welle::N,onda,valë
74,Welle::N,onda,dallgë
75,Wasser::N,água,ujë
76,Stein::N,pedra,gur
77,Boden::N,solo,tokë
78,Boden::N,solo,truall
79,Erde::N,terra,dhe
80,Erde::N,terra,baltë
81,Staub::N,pó,pluhur
82,Rauch::N,fumo,tym
83,Funke::N,faísca,xixë
84,Funke::N,faísca,shkëndijë
85,Funke::N,centelha,xixë
86,Funke::N,centelha,shkëndijë
87,Feuer::N,fogo,zjarr
88,Licht::N,luz,dritë
89,Schatten::N,sombra,hije
90,Wetter::N,tempo,mot
91,Nebel::N,nevoeiro,mjegull
92,Wolke::N,nuvem,re
93,Regen::N,chuva,shi
94,Schnee::N,neve,borë
95,Eis::N,gelo,akull
96,Frost::N,gelo,ngricë
97,Frost::N,geada,ngricë
98,Kälte::N,frio,të ftohtë
99,Hitze::N,ardor,vapë
100,Hitze::N,ardor,nxehtësi
101,Raureif::N,geada,cikmë
102,Regenbogen::N,arco-iris,ylber
103,Donner::N,trovão,gjëmim
104,Donner::N,trovão,bubullimë
105,Strömung::N,corrente,rrymë
106,Tropfen::N,gota,pikë
107,Schaum::N,espuma,shkumë
108,Schmutz::N,sujidade,baltë
109,Schmutz::N,imundície,baltë
110,See::N,lago,liqen
111,Sumpf::N,charco,batak
112,Sumpf::N,pântano,batak
113,Moor::N,pântano,kënetë
114,Wiese::N,prado,livadh
115,Wald::N,bosque,pyll
116,Wald::N,floresta,pyll
117,Hügel::N,colina,kodër
118,Anhöhe::N,alto,bregore
119,Anhöhe::N,outeiro,bregore
120,Berg::N,monte,mal
121,Berg::N,montanha,mal
122,Gipfel::N,pico,kulm
123,Höhle::N,caverna,shpellë
124,Höhle::N,caverna,zgafelle
125,Abhang::N,encosta,shpat
126,Abhang::N,encosta,tatëpjetë
127,Quelle::N,fonte,krua
128,Quelle::N,fonte,burim
129,Bach::N,regato,virua
130,Bach::N,ribeiro,virua
131,Fluss::N,rio,lumë
132,Ufer::N,beira,breg
133,Küste::N,costa,anëdet
134,Küste::N,costa,bregdet
135,Festland::N,terra firme,kontinent
136,Meer::N,mar,det
137,Bucht::N,baía,gji deti
138,Insel::N,ilha,ishull
139,Insel::N,ilha,ujdhesë
140,Blume::N,flor,lule
141,Gras::N,erva,bar
142,Wurzel::N,raiz,rrënjë
143,Baum::N,árvore,pemë
144,Stamm::N,tronco,trung
145,Rinde::N,casca,lëvore
146,Ast::N,ramo,degë
147,Zweig::N,galho,bisk
148,Blatt::N,folha,fletë
149,Blatt::N,folha,gjethe
150,Birke::N,bétula,mështekën
151,Kiefer[Baum]::N,pinheiro,pishë
152,Weide[Baum]::N,salgueiro,shelg
153,Tanne::N,abeto,bredh
154,Horn::N,corno,bri
155,Horn::N,chifre,bri
156,Feder::N,pena,pupël
157,Fell::N,pele,lëkurë
158,Flügel::N,asa,krah
159,Flügel::N,asa,fletë
160,Klaue::N,pata,kthetër
161,Kralle::N,unha,thua
162,Kralle::N,unha,kthetër
163,Kralle::N,garra,thua
164,Kralle::N,garra,kthetër
165,Schwanz::N,rabo,bisht
166,Schwanz::N,cauda,bisht
167,Ei::N,ovo,vezë
168,Nest::N,ninho,fole
169,Bau::N,toca,strofkë
170,Bau::N,covil,strofkë
171,Tier::N,animal,kafshë
172,Herde::N,rebanho,kope
173,Herde::N,rebanho,grigjë
174,Kuh::N,vaca,lopë
175,Bulle::N,touro,dem
176,Pferd::N,cavalo,kalë
177,Schaf::N,ovelha,dele
178,Schwein::N,porco,derr
179,Hund::N,cão,qen
180,Katze::N,gata,mace
181,Bär::N,urso,ari
182,Eichhörnchen::N,esquilo,ketër
183,Elch::N,alce,dre brilopatë
184,Fuchs::N,raposa,dhelpër
185,Hase::N,lebre,lepur
186,Maus::N,rato,mi
187,Wolf::N,lobo,ujk
188,Vogel::N,ave,zog
189,Vogel::N,ave,shpend
190,Vogel::N,pássaro,zog
191,Vogel::N,pássaro,shpend
192,Schwarm::N,bando,luzmë
193,Schwarm::N,enxame,luzmë
194,Huhn::N,galinha,pulë
195,Hahn::N,galo,gjel
196,Hahn::N,galo,këndes
197,Gans::N,ganso,patë
198,Adler::N,águia,shqiponjë
199,Ente::N,pata,rosë
200,Eule::N,mocho,buf
201,Eule::N,coruja,buf
202,Kranich::N,grou,lejlek
203,Kranich::N,grou,kurrillë
204,Krähe::N,gralha,sorrë
205,Kuckuck::N,cuco,qyqe
206,Schwan::N,cisne,mjellmë
207,Fisch::N,peixe,peshk
208,Barsch::N,perca,purtekë
209,Hecht::N,lúcio,mlysh
210,Schlange[Tier]::N,serpente,gjarpër
211,Wurm::N,verme,krimb
212,Spinne::N,aranha,marimangë
213,Ameise::N,formiga,thnegël
214,Ameise::N,formiga,milingonë
215,Laus::N,piolho,morr
216,Mücke::N,mosquito,kunup
217,Mücke::N,mosquito,mushkonjë
218,Fliege::N,mosca,mizë
219,Schmetterling::N,borboleta,flutur
220,Beere::N,bago,frutë
221,Beere::N,bago,manaferrë
222,Apfel::N,maçã,mollë
223,Pilz::N,fungo,kërpudhë
224,Pilz::N,cogumelo,kërpudhë
225,Zwiebel::N,cebola,qepë
226,Saat::N,sementeira,farë
227,Korn::N,grão,grurë
228,Korn::N,grão,kokërr
229,Heu::N,feno,sanë
230,Schale::N,casca,lëkurë
231,Grube::N,cova,gropë
232,Grube::N,fossa,gropë
233,Falle::N,armadilha,kurth
234,Falle::N,armadilha,grackë
235,Schlinge::N,laço,nyjë
236,Spur::N,pista,gjurmë
237,Spur::N,vestígio,gjurmë
238,Asche::N,cinza,hi
239,Dreck::N,sujidade,baltë
240,Eisen::N,ferro,hekur
241,Gold::N,ouro,ar
242,Gold::N,ouro,flori
243,Silber::N,prata,argjend
244,Kohle::N,carvão,qymyr
245,Glas::N,vidro,qelq
246,Lehm::N,barro,argjilë
247,Lehm::N,argila,argjilë
248,Sand::N,areia,rërë
249,Mensch::N,homem,njeri
250,Mensch::N,pessoa,njeri
251,Mann::N,homem,burrë
252,Mann::N,homem,mashkull
253,Frau::N,mulher,grua
254,Frau::N,mulher,femër
255,Kind::N,filho,kalama
256,Kind::N,criança,kalama
257,Junge::N,rapaz,djalë
258,Junge::N,menino,djalë
259,Mädchen::N,menina,gocë
260,Mädchen::N,menina,vajzë
261,Mädchen::N,rapariga,gocë
262,Mädchen::N,rapariga,vajzë
263,Familie::N,família,familje
264,Großvater::N,avô,gjysh
265,Großmutter::N,avó,gjyshe
266,Eltern::N,pais,prindër
267,Vater::N,pai,atë
268,Mutter::N,mãe,nënë
269,Sohn::N,filho,bir
270,Tochter::N,filha,bijë
271,Bruder::N,irmão,vëlla
272,Schwester::N,irmã,motër
273,Onkel::N,tio,dajë
274,Onkel::N,tio,xhaxha
275,Tante::N,tia,teze
276,Tante::N,tia,hallë
277,Ehemann::N,esposo,burrë
278,Ehemann::N,esposo,bashkëshort
279,Ehefrau::N,esposa,grua
280,Ehefrau::N,esposa,bashkëshorte
281,Freude::N,prazer,gaz
282,Freude::N,prazer,gëzim
283,Freude::N,alegria,gaz
284,Freude::N,alegria,gëzim
285,Gelächter::N,risada,qeshje
286,Gelächter::N,gargalhada,qeshje
287,Glück::N,felicidade,lumturi
288,Kummer::N,aflição,brengë
289,Kummer::N,aflição,pikëllim
290,Kummer::N,desgosto,brengë
291,Kummer::N,desgosto,pikëllim
292,Wunsch::N,desejo,dëshirë
293,Lust::N,vontade,epsh
294,Lust::N,vontade,dashuri
295,Geist::N,mente,frymë
296,Geist::N,mente,shpirt
297,Geist::N,espírito,frymë
298,Geist::N,espírito,shpirt
299,Gedanke::N,ideia,ide
300,Gedanke::N,ideia,mendim
301,Gedanke::N,pensamento,ide
302,Gedanke::N,pensamento,mendim
303,Gedächtnis::N,memória,kujtesë
304,Verstand::N,razão,mend
305,Verstand::N,inteligência,mend
306,Sinn::N,sentido,kuptim
307,Sinn::N,significado,kuptim
308,Grund::N,causa,arsye
309,Grund::N,motivo,arsye
310,Wahrheit::N,verdade,vërtetë
311,Gespräch::N,conversa,bisedim
312,Gespräch::N,conversação,bisedim
313,Märchen::N,conto,përrallë
314,Erzählung::N,conto,tregim
315,Erzählung::N,narrativa,tregim
316,Nachricht::N,mensagem,lajm
317,Neuigkeit::N,notícia,risi
318,Neuigkeit::N,novidade,risi
319,Name::N,nome,emër
320,Rätsel::N,adivinha,gjëzë
321,Rätsel::N,adivinha,gjëegjëzë
322,Rede::N,oração,fjalim
323,Rede::N,discurso,fjalim
324,Sprache::N,língua,gjuhë
325,Stimme::N,voz,zë
326,Wort::N,palavra,fjalë
327,Zeichen::N,marca,shenjë
328,Ruf::N,grito,thirrmë
329,Ruf::N,chamada,thirrmë
330,Lärm::N,ruído,zhurmë
331,Lärm::N,barulho,zhurmë
332,Laut::N,som,tingull
333,Ton::N,tom,ton
334,Lied::N,canção,këngë
335,Ruhe::N,calma,qetësi
336,Ruhe::N,silêncio,qetësi
337,Leute::N,gente,botë
338,Leute::N,gente,njerëz
339,Leute::N,pessoas,botë
340,Leute::N,pessoas,njerëz
341,Volk::N,povo,popull
342,Volk::N,nação,popull
343,Arbeit::N,trabalho,punë
344,Gast::N,hóspede,mik
345,Gast::N,hóspede,mysafir
346,Gast::N,convidado,mik
347,Gast::N,convidado,mysafir
348,Geschenk::N,prenda,dhuratë
349,Geschenk::N,prenda,peshqesh
350,Geschenk::N,presente,dhuratë
351,Geschenk::N,presente,peshqesh
352,Spiel::N,jogo,lojë
353,Gesellschaft::N,companhia,shoqëri
354,Hilfe::N,ajuda,ndihmë
355,Hilfe::N,socorro,ndihmë
356,Freund::N,amigo,mik
357,Kamerad::N,camarada,shok
358,Angelegenheit::N,assunto,punë
359,Anzahl::N,número,sasi
360,Anzahl::N,quantidade,sasi
361,Art::N,tipo,lloj
362,Art::N,espécie,lloj
363,Stück::N,pedaço,copë
364,Teil::N,peça,pjesë
365,Teil::N,parte,pjesë
366,Hälfte::N,metade,gjysmë
367,Kreis::N,círculo,qark
368,Kreis::N,círculo,rreth
369,Kreuz::N,cruz,kryq
370,Linie::N,linha,vijë
371,Strich::N,traço,vizë
372,Abstand::N,distância,distancë
373,Entfernung::N,distância,largim
374,Gegend::N,área,vise
375,Gegend::N,área,krahinë
376,Gegend::N,região,vise
377,Gegend::N,região,krahinë
378,Platz::N,lugar,shesh
379,Ort::N,sítio,vend
380,Seite::N,lado,anë
381,Mitte::N,meio,mes
382,Gegenstand::N,objecto,send
383,Sache::N,coisa,gjë
384,Sache::N,coisa,send
385,Rand::N,bordo,qoshe
386,Rand::N,margem,qoshe
387,Kante::N,borda,teh
388,Kante::N,aresta,teh
389,Ecke::N,esquina,qoshe
390,Spitze::N,ponta,majë
391,Ende::N,cabo,skaj
392,Ende::N,cabo,bisht
393,Ende::N,extremo,skaj
394,Ende::N,extremo,bisht
395,Loch::N,furo,vrimë
396,Loch::N,buraco,vrimë
397,Winkel::N,canto,kënd
398,Winkel::N,ângulo,kënd
399,Muster::N,padrão,mostër
400,Muster::N,desenho,mostër
401,Größe::N,tamanho,madhësi
402,Länge::N,comprimento,gjatësi
403,Höhe::N,altura,lartësi
404,Höhe::N,altitude,lartësi
405,Gewicht::N,peso,peshë
406,Menge::N,quantidade,sasi
407,Haufen::N,pilha,grumbull
408,Reihe::N,fila,radhë
409,Reihe::N,fila,rresht
410,Boot::N,barco,barkë
411,Boot::N,barco,lundër
412,Ruder::N,remo,rrem
413,Schlitten::N,trenó,sajë
414,Ski::N,esqui,ski
415,Lagerfeuer::N,fogueira,flakadan
416,Lagerfeuer::N,fogueira,zjarr i madh
417,Last::N,carga,barrë
418,Gang::N,curso,ecje
419,Gang::N,caminhada,ecje
420,Schritt::N,passo,hap
421,Norden::N,norte,veri
422,Süden::N,sul,jug
423,Westen::N,oeste,perëndim
424,Westen::N,ocidente,perëndim
425,Osten::N,este,lindje
426,Osten::N,leste,lindje
427,Osten::N,oriente,lindje
428,Holz::N,madeira,dru
429,Brett::N,tábua,dërrasë
430,Brett::N,prancha,dërrasë
431,Platte::N,laje,pllakë
432,Platte::N,chapa,pllakë
433,Stütze::N,apoio,shtyllë
434,Stütze::N,apoio,mbështetesë
435,Stütze::N,suporte,shtyllë
436,Stütze::N,suporte,mbështetesë
437,Stange::N,vara,shufër
438,Stange::N,barra,shufër
439,Stock::N,pau,dajak
440,Stock::N,bengala,dajak
441,Stab::N,bastão,shkop
442,Rohr::N,cano,tub
443,Haus::N,casa,shtëpi
444,Heim::N,lar,konak
445,Heim::N,lar,shtëpi
446,Heim::N,casa,konak
447,Heim::N,casa,shtëpi
448,Ofen::N,estufa,sobë
449,Ofen::N,estufa,stufë
450,Ofen::N,aquecedor,sobë
451,Ofen::N,aquecedor,stufë
452,Fußboden::N,piso,dysheme
453,Tisch::N,mesa,tryezë
454,Stuhl::N,cadeira,karrige
455,Wiege::N,berço,djep
456,Bett::N,cama,shtrat
457,Regal::N,estante,raft
458,Regal::N,prateleira,raft
459,Kiste::N,caixa,kuti
460,Fenster::N,janela,dritare
461,Tür::N,porta,derë
462,Tor::N,portão,portë
463,Zaun::N,cerca,gardh
464,Zaun::N,vedação,gardh
465,Dach::N,telhado,çati
466,Leiter::N,escada,shkallë
467,Leiter::N,escada móvel,shkallë
468,Besen::N,vassoura,fshesë
469,Spaten::N,pá,lopatë
470,Schaufel::N,pá,qyrek
471,Gabel::N,garfo,pirun
472,Löffel::N,colher,lugë
473,Messer::N,faca,thikë
474,Nagel::N,cravo,gozhdë
475,Netz::N,rede,rrjetë
476,Haken::N,gancho,grep
477,Haken::N,gancho,grremç
478,Griff::N,asa,dorak
479,Griff::N,asa,dorezë
480,Griff::N,cabo,dorak
481,Griff::N,cabo,dorezë
482,Schloss::N,fechadura,bravë
483,Bild::N,imagem,tablo
484,Bild::N,imagem,pikturë
485,Figur::N,figura,figurë
486,Puppe::N,boneca,kukull
487,Beutel::N,saco,qese
488,Beutel::N,saco,trastë
489,Beutel::N,bolsa,qese
490,Beutel::N,bolsa,trastë
491,Bündel::N,fardo,deng
492,Tasche::N,saco,çantë
493,Tasche::N,bolso,çantë
494,Eimer::N,balde,kovë
495,Deckel::N,tampa,kapak
496,Deckel::N,tampa,mbulesë
497,Geschirr::N,louça,enë
498,Sack::N,saca,thes
499,Sack::N,saca,torbë
500,Tasse::N,chávena,filxhan
501,Topf::N,tacho,kusi
502,Topf::N,tacho,tenxhere
503,Topf::N,panela,kusi
504,Topf::N,panela,tenxhere
505,Kessel::N,caldeira,kazan
506,Essen::N,refeição,ngrënie
507,Nahrung::N,comida,ushqim
508,Nahrung::N,alimento,ushqim
509,Speise::N,prato,gatesë
510,Fleisch::N,carne,mish
511,Getreide::N,cereais,drithë
512,Brei::N,puré,qull
513,Brot::N,pão,bukë
514,Scheibe::N,fatia,fetë
515,Fett::N,banha,lyrë
516,Fett::N,banha,yndyrë
517,Fett::N,gordura,lyrë
518,Fett::N,gordura,yndyrë
519,Butter::N,manteiga,gjalpë
520,Öl::N,azeite,vaj
521,Salz::N,sal,kripë
522,Suppe::N,sopa,supë
523,Suppe::N,sopa,çorbë
524,Suppe::N,caldo,supë
525,Suppe::N,caldo,çorbë
526,Honig::N,mel,mjaltë
527,Milch::N,leite,qumësht
528,Tee::N,chá,çaj
529,Leder::N,couro,lëkurë
530,Wolle::N,lã,lesh
531,Stoff::N,pano,pëlhurë
532,Stoff::N,tecido,pëlhurë
533,Nadel::N,agulha,gjilpërë
534,Faden::N,fio,pe
535,Faden::N,fio,fije
536,Knopf::N,botão,kopsë
537,Knoten::N,nó,komb
538,Farbe::N,corante,bojë
539,Kleidung::N,roupa,veshje
540,Kleidung::N,vestuário,veshje
541,Hemd::N,camisa,këmishë
542,Kragen::N,gola,jakë
543,Ärmel::N,manga,mëngë
544,Hose::N,calça,brekë
545,Gürtel::N,cinto,rrip
546,Mütze::N,boné,kësulë
547,Mütze::N,barrete,kësulë
548,Schuh::N,sapato,këpucë
549,Stiefel::N,bota,çizme
550,Ring::N,anel,unazë
551,Band::N,fita,shirit
552,Band::N,faixa,shirit
553,Kamm::N,pente,krehër
554,Spiegel::N,espelho,pasqyrë
555,Riemen::N,correia,rrip
556,Schnur::N,corda,litar
557,Schnur::N,corda,cikomë
558,Schnur::N,cordel,litar
559,Schnur::N,cordel,cikomë
560,Leine::N,trela,rrip
561,Decke::N,cobertor,batanije
562,Kissen::N,almofada,jastëk
563,Tuch::N,pano,shami
564,Handtuch::N,toalha,peshqir
565,Kraft::N,força,forcë
566,Stärke::N,força,koll
567,Gesundheit::N,saúde,shëndet
568,Krankheit::N,doença,sëmundje
569,Krankheit::N,enfermidade,sëmundje
570,Schmerz::N,dor,dhimbje
571,Wunde::N,chaga,plagë
572,Wunde::N,ferida,plagë
573,Fieber::N,febre,ethe
574,Arznei::N,remédio,ilaç
575,Brücke::N,ponte,urë
