,Concept_ID,el,kk
0,Auge::N,μάτι,көз
1,Auge::N,οφθαλμός,көз
2,Ohr::N,αυτί,құлақ
3,Nase::N,μύτη,мұрын
4,Mund::N,στόμα,ауыз
5,Zahn::N,δόντι,тіс
6,Zunge::N,γλώσσα,тіл
7,Lippe::N,χείλος,ерін
8,Wange::N,παρειά,ұрт
9,Wange::N,μάγουλο,ұрт
10,Gesicht::N,πρόσωπο,бет-аузы
11,Stirn::N,μέτωπο,маңдай
12,Haar::N,μαλλιά,қыл
13,Schnurrbart::N,μουστάκι,мұрт
14,Bart::N,γένια,сақал
15,Kinn::N,πιγούνι,иек
16,Kiefer[Anatomie]::N,σαγόνι,жақ
17,Kehle::N,λαρύγγι,алқым
18,Hals::N,λαιμός,мойын
19,Genick::N,σβέρκος,желке
20,Kopf::N,κεφάλι,кәллә
21,Rücken::N,ράχη,арқа
22,Bauch::N,κοιλιά,қарын
23,Nabel::N,αφαλός,кіндік
24,Busen::N,στήθος,омырау
25,Brust::N,στήθος,кеуде
26,Schulter::N,ώμος,иық
27,Arm::N,χέρι,қол
28,Arm::N,μπράτςο,қол
29,Ellenbogen::N,αγκώνας,шынтақ
30,Hand::N,χέρι,қол
31,Handfläche::N,παλάμη,алақан
32,Finger::N,δάχτυλο,саусақ
33,Fingernagel::N,νύχι,тырнақ
34,Nagel[Anatomie]::N,νύχι,тырнақ
35,Zeh::N,δάχτυλο του ποδιού,тырнақ
36,Zeh::N,δάχτυλο του ποδιού,тұяқ
37,Fuß::N,πόδι,аяқ-басы
38,Ferse::N,φτέρνα,өкше
39,Ferse::N,φτέρνα,өкшелік
40,Knie::N,γόνατο,тізе
41,Oberschenkel::N,μηρός,жамбас
42,Bein::N,πόδι,аяқ
43,Körper::N,σώμα,дене
44,Körper::N,κορμί,дене
45,Haut::N,πετσί,тері
46,Blut::N,αίμα,қан
47,Ader::N,φλέβα,көктамыр
48,Ader::N,φλέβα,күретамыр
49,Sehne::N,νεύρο,сіңір
50,Sehne::N,τένοντας,сіңір
51,Knochen::N,οστό,жілік
52,Knochen::N,κόκκαλο,жілік
53,Gehirn::N,μυαλό,ми
54,Gehirn::N,εγκέφαλος,ми
55,Herz::N,καρδιά,жүрек
56,Magen::N,στομάχι,асқазан
57,Leber::N,ήπαρ,бауыр
58,Leber::N,συκωτί,бауыр
59,Atem::N,αναπνοή,леп
