,Concept_ID,os,ml
0,Auge::N,цӕст,കണ്ണ്
1,Ohr::N,хъус,ചെവി
2,Nase::N,фындз,മൂക്ക്
3,Mund::N,дзых,വായ
4,Zahn::N,дӕндаг,പല്ല്
5,Zunge::N,ӕвзаг,നാക്ക്
6,Lippe::N,был,ചുണ്ട്
7,Wange::N,рус,കവിൾത്തടം
8,Wange::N,уадул,കവിൾത്തടം
9,Wange::N,ӕхсӕрфарс,കവിൾത്തടം
10,Gesicht::N,цӕсгом,മുഖം
11,Stirn::N,ных,നെറ്റി
12,Haar::N,хил,തലമുടി
13,Schnurrbart::N,рихи,മീശ
14,Bart::N,зачъе,താടിരോമം
15,Kinn::N,роцъо,താടി
16,Kiefer[Anatomie]::N,ӕфсӕр,താടിയെല്ല്
17,Kehle::N,хъуыр,കണ്ഠനാളം
18,Hals::N,къубал,കഴുത്ത്
19,Genick::N,къӕбут,പിടലി
20,Kopf::N,сӕр,തല
21,Rücken::N,фӕсонтӕ,മുതുക്
22,Bauch::N,гуыбын,നയറ്
23,Nabel::N,бикъ,നാഭി
24,Busen::N,дзидзи,സ്തനം
25,Brust::N,риу,സ്തനം
26,Schulter::N,уӕхск,തോൾ
27,Arm::N,цонг,കൈ
28,Ellenbogen::N,рæмбын,കൈമുട്ട്
29,Hand::N,къух,കൈ
30,Handfläche::N,армытъӕпӕн,ഉള്ളം കൈ
31,Finger::N,ӕнруылдз,വിരൽ
32,Fingernagel::N,ных,നഖം
33,Nagel[Anatomie]::N,ных,നഖം
34,Zeh::N,къух,കാൽവിരൽ
35,Fuß::N,фад,കാൽപ്പാദം
36,Ferse::N,зӕвӕт,ഉപ്പൂറ്റി
37,Knie::N,уӕраг,കാൽമുട്ട്
38,Oberschenkel::N,агъд,തുട
39,Bein::N,зӕнг,കാൽ
40,Körper::N,буар,ശരീരം
41,Haut::N,царм,ചർമ്മം
42,Blut::N,туг,രക്തം
43,Ader::N,дадзин,ഞരമ്പ്
44,Ader::N,тугдадзин,ഞരമ്പ്
45,Sehne::N,хъиутæ,സ്നായു
46,Sehne::N,нуар,സ്നായു
47,Knochen::N,стӕг,അസ്ഥി
48,Gehirn::N,магъз,തലച്ചോറ്
49,Herz::N,зӕрдӕ,ഹൃദയം
50,Magen::N,ахсӕн,വയർ
51,Leber::N,игæр,കരൾ
52,Atem::N,улӕфт,ശ്വാസം
53,Hunger::N,стонг,വിശപ്പ്
54,Träne::N,цæссыг,കണ്ണീർ
55,Geschmack::N,ад,രുചി
56,Geruch::N,смаг,ഗന്ധം
57,Schlaf::N,хуыссӕг,ഉറകും
58,Traum::N,фын,സ്വപ്നം
