,Concept_ID,ro,uk
0,Auge::N,ochi,око
1,Ohr::N,ureche,вухо
2,Nase::N,nas,ніс
3,Mund::N,gură,рот
4,Zahn::N,dinte,зуб
5,Zunge::N,limbă,язик
6,Lippe::N,buză,губа
7,Wange::N,bucă,щока
8,Wange::N,obraz,щока
9,Gesicht::N,față,обличчя
10,Gesicht::N,figură,обличчя
11,Stirn::N,frunte,лоб
12,Haar::N,păr,волосся
13,Schnurrbart::N,mustață,вуса
14,Bart::N,barbă,борода
15,Kinn::N,bărbie,підборіддя
16,Kiefer[Anatomie]::N,falcă,щелепа
17,Kehle::N,beregată,горло
18,Hals::N,gât,шия
19,Genick::N,ceafă,потилиця
20,Kopf::N,cap,голова
21,Rücken::N,dos,спина
22,Rücken::N,spate,спина
23,Rücken::N,spinare,спина
24,Bauch::N,burtă,живіт
25,Bauch::N,pântece,живіт
26,Nabel::N,buric,пупок
27,Busen::N,sân,груди
28,Brust::N,piept,груди
29,Schulter::N,umăr,плече
30,Schulter::N,spate,плече
31,Arm::N,braț,рука
32,Ellenbogen::N,cot,лікоть
33,Hand::N,mână,рука
34,Handfläche::N,palmă,долоня
35,Finger::N,deget,палець
36,Fingernagel::N,unghie,ніготь
37,Nagel[Anatomie]::N,unghie,ніготь
38,Zeh::N,deget de la picior,палець на нозі
39,Fuß::N,picior,нога
40,Ferse::N,călcâi,п’ятка
41,Knie::N,genunchi,коліно
42,Oberschenkel::N,coapsă,стегно
43,Bein::N,picior,нога
44,Körper::N,corp,тіло
45,Haut::N,piele,шкіра
46,Blut::N,sânge,кров
47,Ader::N,vână,вена
48,Ader::N,arteră,вена
49,Sehne::N,tendon,сухожилля
50,Knochen::N,os,кістка
51,Gehirn::N,creier,мозок
52,Herz::N,inimă,серце
53,Magen::N,stomac,шлунок
54,Leber::N,ficat,печінка
55,Atem::N,răsuflare,дихання
56,Atem::N,respirație,дихання
57,Hunger::N,foame,голод
58,Träne::N,lacrimă,сльоза
59,Geschmack::N,gust,смак
60,Geruch::N,miros,запах
61,Schlaf::N,somn,сон
62,Schlaf::N,somn,сплячка
63,Traum::N,vis,сон
64,Himmel::N,cer,небо
65,Sonne::N,soare,сонце
66,Mond::N,lună,місяць
67,Stern::N,stea,зірка
68,Luft::N,aer,повітря
69,Wind::N,vânt,вітер
70,Welle::N,val,хвиля
71,Welle::N,undă,хвиля
72,Wasser::N,apă,вода
73,Stein::N,piatră,камінь
74,Boden::N,sol,ґрунт
75,Boden::N,pământ,ґрунт
76,Erde::N,pământ,земля
77,Staub::N,praf,пил
78,Rauch::N,fum,дим
79,Funke::N,scânteie,іскра
80,Feuer::N,foc,вогонь
81,Licht::N,lumină,світло
82,Schatten::N,umbră,тінь
83,Wetter::N,timp,погода
