,Concept_ID,no,xal
0,Auge::N,øye,нүдн
1,Ohr::N,øre,чикн
2,Nase::N,nese,хамр
3,Mund::N,munn,амн
4,Zahn::N,tann,шүдн
5,Zunge::N,tunge,келн
6,Lippe::N,leppe,урл
7,Wange::N,kinn,халх
8,Gesicht::N,fjes,нүр
9,Gesicht::N,ansikt,нүр
10,Stirn::N,panne,маңна
11,Haar::N,hår,үсн
12,Schnurrbart::N,bart,сахл
13,Bart::N,skjegg,сахл
14,Bart::N,skjegg,өргнә сахл
15,Kinn::N,hake,өргн
16,Kiefer[Anatomie]::N,kjeve,өргн
17,Kehle::N,strupe,хол
18,Hals::N,hals,күзүн
19,Genick::N,nakke,гиҗг
20,Kopf::N,hode,толһа
21,Rücken::N,rygg,нурһн
22,Bauch::N,buk,гесн
23,Bauch::N,mage,гесн
24,Nabel::N,navle,киисн
25,Busen::N,barm,көкн
26,Brust::N,bryst,чееҗ
27,Schulter::N,skulder,ээм
28,Arm::N,arm,һар
29,Ellenbogen::N,albue,тоха
30,Hand::N,hånd,баһлцг
31,Handfläche::N,håndflate,альхн
32,Finger::N,finger,хурһн
33,Finger::N,finger,һарин хурһн
34,Fingernagel::N,fingernegl,хумсн
35,Nagel[Anatomie]::N,negl,хумсн
36,Zeh::N,tå,хурһн
37,Zeh::N,tå,көлин хурһн
38,Fuß::N,fot,тавг
39,Ferse::N,hæl,өскә
40,Knie::N,kne,өвдг
41,Oberschenkel::N,lår,һуй
42,Bein::N,bein,көл
43,Körper::N,kropp,махмуд
44,Körper::N,legeme,махмуд
45,Haut::N,hud,арсн
46,Haut::N,skinn,арсн
47,Blut::N,blod,цусн
48,Ader::N,åre,судцн
49,Sehne::N,sene,шүрүсн
50,Knochen::N,bein,ясн
51,Knochen::N,knokkel,ясн
52,Gehirn::N,hjerne,экн
53,Herz::N,hjerte,зүркн
54,Magen::N,mage,гесн
55,Leber::N,lever,элкн
56,Atem::N,pust,әмсхл
57,Hunger::N,sult,харһнлһн
58,Träne::N,tåre,нульмсн
59,Geschmack::N,smak,амтн
60,Geruch::N,lukt,үнр
61,Schlaf::N,søvn,нөр
62,Traum::N,drøm,зүүдн
63,Himmel::N,himmel,теңгр
64,Sonne::N,sol,нарн
65,Mond::N,måne,сар
66,Stern::N,stjerne,одн
67,Luft::N,luft,аһар
68,Wind::N,vind,салькн
69,Welle::N,bølge,дольган
70,Wasser::N,vann,усн
71,Stein::N,stein,чолун
72,Boden::N,bakke,Һазр
73,Erde::N,jord,Һазр
74,Staub::N,støv,тоосн
75,Rauch::N,røyk,утан
76,Funke::N,gnist,очн
77,Feuer::N,ild,һал
78,Licht::N,lys,герл
79,Schatten::N,skygge,сүүдр
80,Wetter::N,vær,теңгр
81,Nebel::N,tåke,будн
82,Wolke::N,sky,үүлн
83,Regen::N,regn,хур
84,Schnee::N,snø,цасн
85,Eis::N,is,мөсн
86,Frost::N,frost,киитн
87,Kälte::N,kulde,киитн
88,Hitze::N,hete,халун
89,Raureif::N,rimfrost,цаң
90,Raureif::N,rimfrost,кирү
91,Regenbogen::N,regnbue,солңһ
92,Donner::N,torden,оһтрһун дун
93,Strömung::N,strømning,урсхл
94,Tropfen::N,dråpe,дусал
