,Concept_ID,ba,ka
0,Auge::N,күҙ,თვალი
1,Ohr::N,ҡолаҡ,ყური
2,Nase::N,танау,ცხვირი
3,Mund::N,ауыҙ,პირი
4,Zahn::N,теш,კბილი
5,Zunge::N,тел,ენა
6,Lippe::N,ирен,ბაგე
7,Wange::N,яцаҡтар,ლოყა
8,Gesicht::N,бит,სახე
9,Stirn::N,маңлай,შუბლი
10,Haar::N,сәс,თმა
11,Schnurrbart::N,мылтыҡ,ულვაში
12,Bart::N,һаҡал,წვერი
13,Kinn::N,эйэк,ნიკაპი
14,Kiefer[Anatomie]::N,яңаҡ һөйәге,ყბა
15,Kehle::N,тамаҡ,ყელი
16,Hals::N,муйын,ყელი
17,Hals::N,муйын,კისერი
18,Genick::N,соңҡа,კეფა
19,Kopf::N,баш,თავი
20,Rücken::N,арҡа,ზურგი
21,Bauch::N,ҡорһаҡ,მუცელი
22,Nabel::N,кендек,ჭიპი
23,Busen::N,күкрәк,ძუძუ
24,Brust::N,түш,მკერდი
25,Schulter::N,яурын,მხარი
26,Schulter::N,яурын,მკლავი
27,Arm::N,ҡул,ხელი
28,Ellenbogen::N,терһәк,იდაყვი
29,Hand::N,ҡул,ხელი
30,Hand::N,ҡул суғы,ხელი
31,Handfläche::N,ус төбө,ნები
32,Handfläche::N,ус төбө,ხელისგული
33,Finger::N,бармаҡ,თითი
34,Fingernagel::N,тырнаҡ,ფრჩხილი
35,Nagel[Anatomie]::N,тырнаҡ,ფრჩხილი
36,Zeh::N,бармаҡ,ფეხის თითი
37,Fuß::N,табан,ტერფი
38,Fuß::N,табан,ფეხისგული
39,Ferse::N,үксә,ქუსლი
40,Knie::N,тубыҡ,მუხლი
41,Oberschenkel::N,сандыр,ბარძაყი
42,Bein::N,аяҡ,ფეხი
43,Körper::N,тән,ტანი
44,Körper::N,тән,სხეული
45,Haut::N,тире,კანი
46,Blut::N,ҡан,სისხლი
47,Ader::N,тамыр,ძარღვი
48,Sehne::N,һеңер,მყესი
49,Sehne::N,тарамыш,მყესი
50,Knochen::N,һойәк,ძვალი
51,Gehirn::N,мейе,ტვინი
52,Herz::N,йорәк,გული
53,Magen::N,ашҡаҙан,კუჭი
54,Leber::N,бауыр,ღვიძლი
55,Atem::N,һулыш,სუნთქვა
56,Hunger::N,аслыҡ,შიმშილი
57,Träne::N,күҙ иәше,ცრემლი
58,Geschmack::N,тәм,გემო
59,Geruch::N,еҫ,სუნი
60,Schlaf::N,йоҡлау,ძილი
61,Traum::N,төш,სიზმარი
62,Himmel::N,күк,ცა
