,Concept_ID,sv,udm
0,Auge::N,öga,син
1,Ohr::N,öra,пель
2,Nase::N,näsa,ныр
3,Mund::N,mun,ым
4,Zahn::N,tand,пинь
5,Zunge::N,tunga,кыл
6,Lippe::N,läpp,ымдур
7,Wange::N,kind,бам
8,Gesicht::N,syn,ымныр
9,Gesicht::N,ansikte,ымныр
10,Stirn::N,panna,кымес
11,Haar::N,hår,йырси
12,Schnurrbart::N,mustasch,мыйык
13,Bart::N,skägg,туш
14,Kinn::N,haka,ангес
15,Kiefer[Anatomie]::N,käke,ан
16,Kiefer[Anatomie]::N,käke,анлы
17,Kehle::N,strupe,гульым
18,Hals::N,hals,чырты
19,Genick::N,nacke,йырбер
20,Kopf::N,huvud,йыр
21,Rücken::N,rygg,мыш
22,Bauch::N,buk,кӧт
23,Bauch::N,mage,кӧт
24,Nabel::N,navel,гогы
25,Busen::N,barm,ноны
26,Brust::N,bröst,мӧля
27,Schulter::N,skuldra,пельпум
28,Arm::N,arm,суй
29,Ellenbogen::N,armbåge,гырпум
30,Hand::N,hand,ки
31,Handfläche::N,handflata,ки пыдэс
32,Handfläche::N,handflata,кырым пыдэс
33,Finger::N,finger,чиньы
34,Fingernagel::N,fingernagel,гижы
35,Fingernagel::N,fingernagel,гиждӥнь
36,Nagel[Anatomie]::N,nagel,гижы
37,Zeh::N,tå,пыдчиньы
38,Fuß::N,fot,пыд
39,Ferse::N,häl,пыдбер
40,Knie::N,knä,пыдес
41,Oberschenkel::N,lår,макес
42,Bein::N,ben,пыд
43,Körper::N,kropp,мугор
44,Körper::N,kropp,вылтыр
45,Haut::N,hud,ку
46,Haut::N,skinn,ку
47,Blut::N,blod,вир
48,Ader::N,åder,вирсэр
49,Sehne::N,sena,вуж
50,Knochen::N,ben,лы
51,Gehirn::N,hjärna,вим
52,Herz::N,hjärta,сюлэм
53,Magen::N,mage,ӝуш
54,Leber::N,lever,мус
55,Atem::N,anda,лул
56,Atem::N,anda,шокан
57,Atem::N,andedräkt,лул
58,Atem::N,andedräkt,шокан
59,Hunger::N,svält,кӧтсюман
60,Hunger::N,hunger,кӧтсюман
61,Träne::N,tår,синкыли
62,Geschmack::N,smak,шӧм
63,Geruch::N,lukt,зын
64,Schlaf::N,sömn,вӧт
65,Traum::N,dröm,уйвӧт
66,Himmel::N,himmel,ин
67,Sonne::N,sol,шунды
68,Mond::N,måne,толэзь
69,Stern::N,stjärna,кизили
70,Luft::N,luft,омыр
71,Wind::N,vind,тӧл
72,Welle::N,våg,тулкым
73,Welle::N,bölja,тулкым
74,Wasser::N,vatten,ву
75,Stein::N,sten,из
76,Boden::N,mark,музъем
77,Erde::N,jord,му
78,Staub::N,damm,пыль
79,Rauch::N,rök,ӵын
80,Funke::N,gnista,гизьы
81,Feuer::N,eld,тыл
82,Licht::N,ljus,тыл
83,Schatten::N,skugga,вужер
84,Wetter::N,väder,куазь
85,Nebel::N,dimma,бус
86,Nebel::N,töcken,бус
87,Wolke::N,sky,пилем
88,Wolke::N,moln,пилем
89,Regen::N,regn,зор
90,Schnee::N,snö,лымы
91,Eis::N,is,йӧ
92,Frost::N,frost,кезьыт
93,Kälte::N,köld,кезьыт
94,Hitze::N,hetta,пӧсь
95,Raureif::N,rimfrost,гӧр
96,Regenbogen::N,regnbåge,вуюись
97,Donner::N,åska,гудыри
98,Donner::N,dunder,гудыри
99,Strömung::N,strömning,бызён
100,Tropfen::N,dropper,шапык
101,Schaum::N,skum,шукы
102,Schmutz::N,lort,нӧд
103,Schmutz::N,lort,дэри
104,Schmutz::N,smuts,нӧд
105,Schmutz::N,smuts,дэри
106,See::N,sjö,ты
107,Sumpf::N,träsk,нюр
108,Moor::N,myr,нюр
109,Moor::N,mosse,нюр
110,Wiese::N,äng,возь
111,Wiese::N,äng,возьвыл
112,Wald::N,skog,сик
113,Wald::N,skog,нюлэс
114,Hügel::N,höjd,выр
115,Hügel::N,höjd,вырйыл
116,Hügel::N,kulle,выр
117,Hügel::N,kulle,вырйыл
118,Anhöhe::N,höjd,выр
119,Anhöhe::N,höjd,вырйыл
120,Anhöhe::N,backe,выр
121,Anhöhe::N,backe,вырйыл
122,Berg::N,berg,гурезь
123,Berg::N,fjäll,гурезь
124,Gipfel::N,topp,йыл
125,Höhle::N,håla,гу
126,Höhle::N,grotta,гу
127,Abhang::N,slänt,бам
128,Abhang::N,sluttning,бам
129,Quelle::N,källa,ошмес
130,Bach::N,bäck,пичи шур
131,Fluss::N,älv,шур
132,Fluss::N,flod,шур
133,Ufer::N,strand,ярдур
134,Küste::N,kust,вудур
135,Festland::N,fastland,мувыр
136,Meer::N,hav,зарезь
137,Bucht::N,vik,вукож
138,Bucht::N,bukt,вукож
139,Insel::N,ö,вумуӵ
140,Insel::N,ö,шормуӵ
141,Blume::N,blomma,сяська
142,Blume::N,blomster,сяська
143,Gras::N,gräs,турын
144,Wurzel::N,rot,выжы
145,Baum::N,träd,пу
146,Stamm::N,stam,модос
147,Rinde::N,bark,сул
148,Ast::N,gren,ул
149,Zweig::N,kvist,вай
150,Blatt::N,löv,куар
151,Blatt::N,blad,куар
152,Birke::N,björk,кызьпу
153,Kiefer[Baum]::N,tall,пужым
154,Weide[Baum]::N,pil,бадьпу
155,Weide[Baum]::N,vide,бадьпу
156,Tanne::N,gran,кыз
157,Horn::N,horn,сюр
158,Feder::N,fjäder,тылы
159,Fell::N,fäll,ку
160,Fell::N,skinn,ку
161,Flügel::N,vinge,бурд
162,Klaue::N,klöv,гижы
163,Kralle::N,klo,пыд
164,Schwanz::N,svans,быж
165,Schwanz::N,stjärt,быж
166,Ei::N,ägg,пуз
167,Ei::N,ägg,кукей
168,Nest::N,rede,кар
169,Nest::N,rede,пузкар
170,Nest::N,näste,кар
171,Nest::N,näste,пузкар
172,Bau::N,bo,кар
173,Bau::N,bo,гу
174,Tier::N,djur,пӧйшур
175,Herde::N,flock,уллё
176,Kuh::N,ko,скал
177,Bulle::N,tjur,ош
178,Bulle::N,tjur,пороз
179,Pferd::N,häst,вал
180,Schaf::N,får,ыж
181,Schwein::N,svin,парсь
182,Hund::N,hund,пуны
183,Katze::N,katt,коӵыш
184,Bär::N,björn,гондыр
185,Eichhörnchen::N,ekorre,коньы
186,Elch::N,älg,койык
187,Fuchs::N,räv,ӟичы
188,Hase::N,hare,кеч
189,Maus::N,mus,шыр
190,Wolf::N,varg,кион
191,Vogel::N,fågel,тылобурдо
192,Schwarm::N,svärm,уллё
193,Huhn::N,höns,курег
194,Hahn::N,tupp,атас
195,Gans::N,gås,ӟазег
196,Adler::N,örn,ӧрзи
197,Ente::N,anka,ӵӧж
198,Eule::N,uggla,кучыран
199,Kranich::N,trana,тури
200,Krähe::N,kråka,куака
201,Kuckuck::N,gök,кикы
202,Schwan::N,svan,юсь
203,Fisch::N,fisk,чорыг
204,Barsch::N,abborre,юш
205,Hecht::N,gädda,чипей
206,Schlange[Tier]::N,orm,кый
207,Wurm::N,mask,нумыр
208,Spinne::N,spindel,чонари
209,Ameise::N,myra,кузьыли
210,Laus::N,lus,тэй
211,Mücke::N,mygga,нымы
212,Mücke::N,mygga,чибинь
213,Fliege::N,fluga,кут
214,Schmetterling::N,fjäril,бубыли
215,Beere::N,bär,узы-боры
216,Apfel::N,äpple,яблок
217,Pilz::N,svamp,губи
218,Zwiebel::N,lök,сугон
219,Saat::N,sådd,кидыс
