,Concept_ID,fa,sv
0,Auge::N,چشم,öga
1,Ohr::N,گوش,öra
2,Nase::N,بینی,näsa
3,Mund::N,دهان,mun
4,Zahn::N,دندان,tand
5,Zunge::N,زبان,tunga
6,Lippe::N,لب,läpp
7,Wange::N,لپ,kind
8,Gesicht::N,رو,syn
9,Gesicht::N,رو,ansikte
10,Gesicht::N,چهره,syn
11,Gesicht::N,چهره,ansikte
12,Stirn::N,پیشانی,panna
13,Haar::N,مو,hår
14,Schnurrbart::N,سبیل,mustasch
15,Bart::N,ریش,skägg
16,Kinn::N,چانه,haka
17,Kiefer[Anatomie]::N,فک,käke
18,Kiefer[Anatomie]::N,آرواره,käke
19,Kehle::N,حلق,strupe
20,Hals::N,گردن,hals
21,Genick::N,پشت گردن,nacke
22,Kopf::N,سر,huvud
23,Kopf::N,کله,huvud
24,Rücken::N,پشت,rygg
25,Bauch::N,شکم,buk
26,Bauch::N,شکم,mage
27,Nabel::N,ناف,navel
28,Busen::N,پستان,barm
29,Brust::N,سینه,bröst
30,Schulter::N,دوش,skuldra
31,Schulter::N,شانه,skuldra
32,Arm::N,بازو,arm
33,Ellenbogen::N,آرنج,armbåge
34,Hand::N,دست,hand
35,Handfläche::N,کف دست,handflata
36,Finger::N,انگشت,finger
37,Fingernagel::N,ناخن دست,fingernagel
38,Nagel[Anatomie]::N,ناخن,nagel
39,Zeh::N,انگشت پا,tå
40,Fuß::N,پا,fot
41,Ferse::N,پاشنه,häl
42,Knie::N,زانو,knä
43,Oberschenkel::N,ران,lår
44,Bein::N,پا,ben
45,Bein::N,لنگ,ben
46,Körper::N,تن,kropp
47,Körper::N,بدن,kropp
48,Haut::N,پوست,hud
49,Haut::N,پوست,skinn
50,Blut::N,خون,blod
51,Ader::N,رگ,åder
52,Sehne::N,زردپی,sena
53,Knochen::N,استخوان,ben
54,Gehirn::N,مخ,hjärna
55,Gehirn::N,مغز,hjärna
56,Herz::N,دل,hjärta
57,Herz::N,قلب,hjärta
58,Magen::N,معده,mage
59,Leber::N,کبد,lever
60,Atem::N,نفس,anda
61,Atem::N,نفس,andedräkt
62,Hunger::N,گرسنگی,svält
63,Hunger::N,گرسنگی,hunger
64,Träne::N,اشک,tår
65,Geschmack::N,مزه,smak
66,Geruch::N,بو,lukt
67,Schlaf::N,خواب,sömn
68,Traum::N,رؤیا,dröm
69,Himmel::N,فلک,himmel
70,Himmel::N,آسمان,himmel
71,Sonne::N,آفتاب,sol
72,Sonne::N,خورشید,sol
73,Mond::N,ماه,måne
74,Stern::N,ستاره,stjärna
75,Luft::N,هوا,luft
76,Wind::N,باد,vind
77,Welle::N,موج,våg
78,Welle::N,موج,bölja
79,Wasser::N,آب,vatten
80,Stein::N,سنگ,sten
81,Boden::N,زمین,mark
82,Erde::N,خاک,jord
83,Erde::N,زمین,jord
84,Staub::N,گرد,damm
85,Staub::N,غبار,damm
86,Rauch::N,دود,rök
87,Funke::N,جرقه,gnista
88,Feuer::N,آتش,eld
89,Licht::N,نور,ljus
90,Licht::N,روشنی,ljus
91,Schatten::N,سایه,skugga
92,Wetter::N,هوا,väder
93,Nebel::N,مه,dimma
94,Nebel::N,مه,töcken
95,Wolke::N,ابر,sky
96,Wolke::N,ابر,moln
97,Regen::N,باران,regn
98,Schnee::N,برف,snö
99,Eis::N,یخ,is
100,Frost::N,یخبندان,frost
101,Kälte::N,سرما,köld
102,Hitze::N,گرما,hetta
103,Hitze::N,حرارت,hetta
104,Raureif::N,برف ریزه,rimfrost
105,Regenbogen::N,رنگین‌کمان,regnbåge
106,Donner::N,رعد,åska
107,Donner::N,رعد,dunder
108,Strömung::N,جریان,strömning
109,Tropfen::N,قطره,dropper
110,Schaum::N,کف,skum
111,Schmutz::N,گل,lort
112,Schmutz::N,گل,smuts
113,Schmutz::N,کثافت,lort
114,Schmutz::N,کثافت,smuts
115,See::N,دریاچه,sjö
116,Sumpf::N,مرداب,träsk
117,Sumpf::N,باتلاق,träsk
118,Moor::N,باتلاق,myr
119,Moor::N,باتلاق,mosse
120,Wiese::N,چمن,äng
121,Wald::N,جنگل,skog
122,Hügel::N,تل,höjd
123,Hügel::N,تل,kulle
124,Hügel::N,تپه,höjd
125,Hügel::N,تپه,kulle
126,Anhöhe::N,بلندی,höjd
127,Anhöhe::N,بلندی,backe
128,Berg::N,کوه,berg
129,Berg::N,کوه,fjäll
130,Gipfel::N,قله,topp
131,Höhle::N,غار,håla
132,Höhle::N,غار,grotta
133,Abhang::N,سرازیری,slänt
134,Abhang::N,سرازیری,sluttning
135,Quelle::N,چشمه,källa
136,Bach::N,نهر,bäck
137,Fluss::N,رود,älv
138,Fluss::N,رود,flod
139,Ufer::N,ساحل,strand
140,Ufer::N,کرانه,strand
141,Küste::N,ساحل,kust
142,Festland::N,خشکی,fastland
143,Meer::N,دریا,hav
144,Bucht::N,خلیج,vik
145,Bucht::N,خلیج,bukt
146,Insel::N,جزیره,ö
147,Blume::N,گل,blomma
148,Blume::N,گل,blomster
149,Gras::N,علف,gräs
150,Wurzel::N,ریشه,rot
151,Baum::N,درخت,träd
152,Stamm::N,تنه,stam
153,Rinde::N,توژ,bark
154,Rinde::N,پوست,bark
155,Ast::N,شاخه,gren
156,Zweig::N,شاخه,kvist
157,Blatt::N,برگ,löv
158,Blatt::N,برگ,blad
159,Birke::N,غان,björk
160,Kiefer[Baum]::N,کاج,tall
161,Weide[Baum]::N,بید,pil
162,Weide[Baum]::N,بید,vide
163,Tanne::N,صنوبر,gran
164,Horn::N,شاخ,horn
165,Feder::N,پر,fjäder
