,Concept_ID,xal,sv
0,Auge::N,нүдн,öga
1,Ohr::N,чикн,öra
2,Nase::N,хамр,näsa
3,Mund::N,амн,mun
4,Zahn::N,шүдн,tand
5,Zunge::N,келн,tunga
6,Lippe::N,урл,läpp
7,Wange::N,халх,kind
8,Gesicht::N,нүр,syn
9,Gesicht::N,нүр,ansikte
10,Stirn::N,маңна,panna
11,Haar::N,үсн,hår
12,Schnurrbart::N,сахл,mustasch
13,Bart::N,сахл,skägg
14,Bart::N,өргнә сахл,skägg
15,Kinn::N,өргн,haka
16,Kiefer[Anatomie]::N,өргн,käke
17,Kehle::N,хол,strupe
18,Hals::N,күзүн,hals
19,Genick::N,гиҗг,nacke
20,Kopf::N,толһа,huvud
21,Rücken::N,нурһн,rygg
22,Bauch::N,гесн,buk
23,Bauch::N,гесн,mage
24,Nabel::N,киисн,navel
25,Busen::N,көкн,barm
26,Brust::N,чееҗ,bröst
27,Schulter::N,ээм,skuldra
28,Arm::N,һар,arm
29,Ellenbogen::N,тоха,armbåge
30,Hand::N,баһлцг,hand
31,Handfläche::N,альхн,handflata
32,Finger::N,хурһн,finger
33,Finger::N,һарин хурһн,finger
34,Fingernagel::N,хумсн,fingernagel
35,Nagel[Anatomie]::N,хумсн,nagel
36,Zeh::N,хурһн,tå
37,Zeh::N,көлин хурһн,tå
38,Fuß::N,тавг,fot
39,Ferse::N,өскә,häl
40,Knie::N,өвдг,knä
41,Oberschenkel::N,һуй,lår
42,Bein::N,көл,ben
43,Körper::N,махмуд,kropp
44,Haut::N,арсн,hud
45,Haut::N,арсн,skinn
46,Blut::N,цусн,blod
47,Ader::N,судцн,åder
48,Sehne::N,шүрүсн,sena
49,Knochen::N,ясн,ben
50,Gehirn::N,экн,hjärna
51,Herz::N,зүркн,hjärta
52,Magen::N,гесн,mage
53,Leber::N,элкн,lever
54,Atem::N,әмсхл,anda
55,Atem::N,әмсхл,andedräkt
56,Hunger::N,харһнлһн,svält
57,Hunger::N,харһнлһн,hunger
58,Träne::N,нульмсн,tår
59,Geschmack::N,амтн,smak
60,Geruch::N,үнр,lukt
61,Schlaf::N,нөр,sömn
62,Traum::N,зүүдн,dröm
