,Concept_ID,cv,mrj
0,Auge::N,куҫ,сӹнзӓ
1,Ohr::N,хӑлха,пӹлӹш
2,Nase::N,сӑмса,нер
3,Mund::N,ҫӑвар,ышма
4,Zahn::N,шӑл,пӱ
5,Zunge::N,чӗлхе,йӹлмӹ
6,Lippe::N,тута,тӹрвӹ
7,Wange::N,пит ҫӑмарти,шӹргӹ
8,Gesicht::N,пит,лицӓ
9,Gesicht::N,пит-куҫ,лицӓ
10,Stirn::N,ҫамка,лепкӓ
11,Haar::N,ҫӳҫ,ӱп
12,Schnurrbart::N,усси,öрш
13,Bart::N,сухал,пандаш
14,Kinn::N,янах,онгылаш
15,Kiefer[Anatomie]::N,янах,пӱ арата
16,Kehle::N,пыр,логер
17,Kehle::N,карланкӑ,логер
18,Hals::N,пыр,шӱ
19,Genick::N,ӗнсе,ланга
20,Kopf::N,пуҫ,вуй
21,Rücken::N,ҫурӑм,туп
22,Nabel::N,кӑвапа,кӹлӹмдӹ
23,Busen::N,кӑкӑр,цӹзӹ
24,Brust::N,умӗ,мел
25,Schulter::N,хул пуҫҫи,ӹнгӹжӓ
26,Arm::N,алӑ,кид
27,Ellenbogen::N,чавса,кӹнервуй
28,Hand::N,алӑ сыппи,лапа
29,Handfläche::N,ал лаппи,кид лапа
30,Finger::N,пӳрне,парня
31,Fingernagel::N,чӗрне,кӹч
32,Nagel[Anatomie]::N,чӗрне,кӹч
33,Zeh::N,пӳрне,парня
34,Fuß::N,ура лаппи,ял лапа
35,Ferse::N,кӗле,ялгавал
36,Ferse::N,кӗле,ял кавал
37,Knie::N,чӗркуҫҫи,пылвуй
38,Oberschenkel::N,пӗҫӗ,ӓрдӹ
39,Bein::N,ура,ял
40,Körper::N,ӳт,монгыр
41,Körper::N,ӳт-пӳ,монгыр
42,Haut::N,тир,кавашты
43,Blut::N,юн,вӹр
44,Ader::N,вена,вӹршӓр
45,Sehne::N,шӑнӑр,кукшышӱн
46,Knochen::N,шӑмӑ,лу
47,Gehirn::N,миме,вим
48,Herz::N,чӗре,шӱм
49,Magen::N,хырӑмлӑх,шӱм
50,Leber::N,пӗвер,мокш
51,Atem::N,сывлав,шӱлӹш
52,Hunger::N,выҫлӑх,шужымаш
53,Träne::N,куҫҫуль,сӹнзӓвӹд
54,Geschmack::N,техӗм,тот
55,Geruch::N,шӑршӑ,пыш
56,Schlaf::N,ыйхӑ,ом
57,Traum::N,тӗлӗк,ом
58,Himmel::N,пӗлӗт,пӹлгом
59,Sonne::N,хӗвел,кечӹ
60,Mond::N,уйӑх,тӹлзӹ
61,Stern::N,ҫӑлтӑр,шӹдӹр
62,Luft::N,сывлӑш,юж
63,Luft::N,сывлӑш,воздух
64,Wind::N,ҫил,мардеж
65,Welle::N,хум,ко
66,Welle::N,хум,коэ
67,Wasser::N,шыв,вӹд
68,Wasser::N,шыв-шур,вӹд
69,Stein::N,чул,кӱ
70,Boden::N,тӑпра,рок
71,Erde::N,ҫӗр,свет
72,Staub::N,тусан,пырак
73,Rauch::N,тӗтӗм,шӹкш
74,Funke::N,хӗм,ип
75,Funke::N,хӗм,тылип
76,Feuer::N,вут,тыл
77,Feuer::N,ҫулӑм,тыл
78,Licht::N,ҫутӑ,соты
79,Licht::N,ҫутӑ,валгыды
80,Schatten::N,сулхӑн,ӹмӹл
81,Wetter::N,ҫанталӑк,игечӹ
82,Nebel::N,тӗтре,тӹтӹрӓ
83,Wolke::N,пӗлӗт,пӹл
84,Regen::N,ҫумӑр,юр
85,Schnee::N,юр,лым
86,Eis::N,пӑр,и
87,Frost::N,сивӗ,ӱштӹ
88,Kälte::N,сивӗ,ӱштӹ
89,Hitze::N,вӗри,шокшы
90,Hitze::N,шӑрӑх,шокшы
91,Raureif::N,пас,пöрш
92,Regenbogen::N,асамат кӗперӗ,шанавӹл
93,Donner::N,аслати,хӹдӹртӹш
94,Strömung::N,юхӑ,йогы
95,Tropfen::N,тумлам,капльы
96,Tropfen::N,тумлам,капльык
97,Schaum::N,кӑпӑк,шонг
98,Schmutz::N,пылчӑк,лявӹрӓ
99,See::N,кӳлӗ,йӓр
100,Sumpf::N,шур,лӱкӹ
101,Sumpf::N,шурлӑх,лӱкӹ
102,Moor::N,торфлӑ шурлӑх,куп
103,Wiese::N,улӑх,алык
104,Wiese::N,ҫаран,алык
105,Wald::N,вӑрман,шӹргӹ
106,Hügel::N,сӑрт,пӱгӹрикӓ
107,Hügel::N,тӗмеске,пӱгӹрикӓ
108,Anhöhe::N,сӑрт,кӱкшикӓ
109,Berg::N,ту,кырык
110,Gipfel::N,тӳпе,неркӓ
111,Höhle::N,ҫӗр хӑвӑлӗ,ы́раж
112,Abhang::N,тӑвайкки,полом
113,Quelle::N,ҫӑл куҫ,вӹдсӹнзӓ
114,Bach::N,пӗчӗк шыв,ӓнгӹр
115,Fluss::N,юхан шыв,вӹд
116,Ufer::N,ҫыран,сир
117,Küste::N,тинӗс ҫыранӗ,сир
118,Festland::N,тип ҫӗр,мӱлӓндӹ
119,Meer::N,тинӗс,тангыж
120,Bucht::N,тинӗс кукӑрӗ,вӹдъял
121,Insel::N,утрав,острок
122,Blume::N,чечек,пеледӹш
123,Gras::N,курӑк,шуды
124,Wurzel::N,тымар,важ
125,Baum::N,йывӑҫ,пушӓнгӹ
126,Stamm::N,вулӑ,пушӓнгӹ тӹнг
127,Rinde::N,хуйӑр,каргыж
128,Ast::N,турат,укш
129,Zweig::N,турат,укш
130,Blatt::N,ҫулҫӑ,листӹ
131,Birke::N,хурӑн,куги
132,Kiefer[Baum]::N,хыр,йӓктӹ
133,Weide[Baum]::N,хӑва,уа
134,Tanne::N,чӑрӑш,кож
135,Horn::N,мӑйрака,шур
136,Feder::N,тӗк,пын
137,Fell::N,ҫӑм,кавашты
138,Flügel::N,ҫунат,шылдыр
139,Klaue::N,чӗрне,кӹч
140,Kralle::N,ура,лапа
141,Schwanz::N,хӳре,пач
