,Concept_ID,mrj,mrj
0,Auge::N,сӹнзӓ,сӹнзӓ
1,Ohr::N,пӹлӹш,пӹлӹш
2,Nase::N,нер,нер
3,Mund::N,ышма,ышма
4,Zahn::N,пӱ,пӱ
5,Zunge::N,йӹлмӹ,йӹлмӹ
6,Lippe::N,тӹрвӹ,тӹрвӹ
7,Wange::N,шӹргӹ,шӹргӹ
8,Gesicht::N,лицӓ,лицӓ
9,Stirn::N,лепкӓ,лепкӓ
10,Haar::N,ӱп,ӱп
11,Schnurrbart::N,öрш,öрш
12,Bart::N,пандаш,пандаш
13,Kinn::N,онгылаш,онгылаш
14,Kiefer[Anatomie]::N,пӱ арата,пӱ арата
15,Kehle::N,логер,логер
16,Hals::N,шӱ,шӱ
17,Genick::N,ланга,ланга
18,Kopf::N,вуй,вуй
19,Rücken::N,туп,туп
20,Bauch::N,мӹшкӹр,мӹшкӹр
21,Nabel::N,кӹлӹмдӹ,кӹлӹмдӹ
22,Busen::N,цӹзӹ,цӹзӹ
23,Brust::N,мел,мел
24,Schulter::N,ӹнгӹжӓ,ӹнгӹжӓ
25,Arm::N,кид,кид
26,Ellenbogen::N,кӹнервуй,кӹнервуй
27,Hand::N,лапа,лапа
28,Handfläche::N,кид лапа,кид лапа
29,Finger::N,парня,парня
30,Fingernagel::N,кӹч,кӹч
31,Nagel[Anatomie]::N,кӹч,кӹч
32,Zeh::N,парня,парня
33,Fuß::N,ял лапа,ял лапа
34,Ferse::N,ялгавал,ялгавал
35,Ferse::N,ялгавал,ял кавал
36,Ferse::N,ял кавал,ялгавал
37,Ferse::N,ял кавал,ял кавал
38,Knie::N,пылвуй,пылвуй
39,Oberschenkel::N,ӓрдӹ,ӓрдӹ
40,Bein::N,ял,ял
41,Körper::N,монгыр,монгыр
42,Haut::N,кавашты,кавашты
43,Blut::N,вӹр,вӹр
44,Ader::N,вӹршӓр,вӹршӓр
45,Sehne::N,кукшышӱн,кукшышӱн
46,Knochen::N,лу,лу
47,Gehirn::N,вим,вим
48,Herz::N,шӱм,шӱм
49,Magen::N,шӱм,шӱм
50,Leber::N,мокш,мокш
51,Atem::N,шӱлӹш,шӱлӹш
52,Hunger::N,шужымаш,шужымаш
53,Träne::N,сӹнзӓвӹд,сӹнзӓвӹд
54,Geschmack::N,тот,тот
55,Geruch::N,пыш,пыш
56,Schlaf::N,ом,ом
57,Traum::N,ом,ом
58,Himmel::N,пӹлгом,пӹлгом
59,Sonne::N,кечӹ,кечӹ
60,Mond::N,тӹлзӹ,тӹлзӹ
61,Stern::N,шӹдӹр,шӹдӹр
62,Luft::N,юж,юж
63,Luft::N,юж,воздух
64,Luft::N,воздух,юж
65,Luft::N,воздух,воздух
66,Wind::N,мардеж,мардеж
67,Welle::N,ко,ко
68,Welle::N,ко,коэ
69,Welle::N,коэ,ко
70,Welle::N,коэ,коэ
71,Wasser::N,вӹд,вӹд
72,Stein::N,кӱ,кӱ
73,Boden::N,рок,рок
74,Erde::N,свет,свет
75,Staub::N,пырак,пырак
76,Rauch::N,шӹкш,шӹкш
77,Funke::N,ип,ип
78,Funke::N,ип,тылип
79,Funke::N,тылип,ип
80,Funke::N,тылип,тылип
81,Feuer::N,тыл,тыл
82,Licht::N,соты,соты
83,Licht::N,соты,валгыды
84,Licht::N,валгыды,соты
85,Licht::N,валгыды,валгыды
86,Schatten::N,ӹмӹл,ӹмӹл
87,Wetter::N,игечӹ,игечӹ
88,Nebel::N,тӹтӹрӓ,тӹтӹрӓ
89,Wolke::N,пӹл,пӹл
90,Regen::N,юр,юр
91,Schnee::N,лым,лым
92,Eis::N,и,и
93,Frost::N,ӱштӹ,ӱштӹ
94,Kälte::N,ӱштӹ,ӱштӹ
95,Hitze::N,шокшы,шокшы
96,Raureif::N,пöрш,пöрш
97,Regenbogen::N,шанавӹл,шанавӹл
98,Donner::N,хӹдӹртӹш,хӹдӹртӹш
99,Strömung::N,йогы,йогы
100,Tropfen::N,капльы,капльы
101,Tropfen::N,капльы,капльык
102,Tropfen::N,капльык,капльы
103,Tropfen::N,капльык,капльык
104,Schaum::N,шонг,шонг
105,Schmutz::N,лявӹрӓ,лявӹрӓ
106,See::N,йӓр,йӓр
107,Sumpf::N,лӱкӹ,лӱкӹ
108,Moor::N,куп,куп
109,Wiese::N,алык,алык
110,Wald::N,шӹргӹ,шӹргӹ
111,Hügel::N,пӱгӹрикӓ,пӱгӹрикӓ
112,Anhöhe::N,кӱкшикӓ,кӱкшикӓ
113,Berg::N,кырык,кырык
114,Gipfel::N,неркӓ,неркӓ
115,Höhle::N,ы́раж,ы́раж
116,Abhang::N,полом,полом
117,Quelle::N,вӹдсӹнзӓ,вӹдсӹнзӓ
