,Concept_ID,sk,hi
0,Auge::N,oko,आँख
1,Auge::N,oko,चक्षु
2,Ohr::N,ucho,कान
3,Ohr::N,ucho,कर्ण
4,Nase::N,nos,नाक
5,Nase::N,nos,नासा
6,Mund::N,ústa,मुख
7,Mund::N,ústa,मुँह
8,Zahn::N,zub,दंत
9,Zahn::N,zub,दाँत
10,Zunge::N,jazyk,जीभ
11,Zunge::N,jazyk,ज़बान
12,Zunge::N,jazyk,जिह्वा
13,Lippe::N,pera,ओंठ
14,Lippe::N,pera,होंठ
15,Wange::N,líce,गाल
16,Wange::N,líce,कपोल
17,Gesicht::N,tvár,मुँह
18,Gesicht::N,tvár,चेहरा
19,Gesicht::N,obličaj,मुँह
20,Gesicht::N,obličaj,चेहरा
21,Stirn::N,čelo,माथा
22,Stirn::N,čelo,मस्तक
23,Haar::N,vlas,बाल
24,Schnurrbart::N,fúzy,मूँछें
25,Bart::N,brada,दाढ़ी
26,Kinn::N,brada,चिबुक
27,Kiefer[Anatomie]::N,čeľusť,जबड़ा
28,Kehle::N,hrdlo,गला
29,Hals::N,krk,गला
30,Hals::N,krk,गरदन
31,Genick::N,väzy,गरदन
32,Genick::N,väzy,ग्रीवा
33,Kopf::N,hlava,सिर
34,Kopf::N,hlava,शीर्ष
35,Rücken::N,chrbát,पीठ
36,Bauch::N,brucho,उदर
37,Nabel::N,pupok,नाभि
38,Nabel::N,pupok,ढोंढी
39,Busen::N,prsia,कुच
40,Busen::N,prsia,स्तन
41,Brust::N,hruď,वक्ष
42,Schulter::N,plece,कंधा
43,Schulter::N,plece,स्कंध
44,Arm::N,rameno,बाँह
45,Arm::N,rameno,बाज़ू
46,Ellenbogen::N,lakeť,कुहनी
47,Hand::N,ruka,हाथ
48,Hand::N,ruka,हस्त
49,Handfläche::N,dlaň,हथेली
50,Finger::N,prst,उँगली
51,Finger::N,prst,अँगुली
52,Fingernagel::N,necht,नख
53,Fingernagel::N,necht,नाख़ून
54,Nagel[Anatomie]::N,necht,नख
55,Nagel[Anatomie]::N,necht,नाख़ून
56,Zeh::N,prst na nohe,उँगली
57,Zeh::N,prst na nohe,पाँव की उँगली
58,Fuß::N,noha,चरण
59,Fuß::N,noha,पाँव
60,Ferse::N,päta,एड़ी
61,Knie::N,koleno,जानु
62,Knie::N,koleno,घुटना
63,Oberschenkel::N,stehno,उरु
64,Bein::N,noha,टाँग
65,Körper::N,telo,तन
66,Körper::N,telo,देह
67,Körper::N,telo,शरीर
68,Haut::N,koža,चर्म
69,Haut::N,koža,त्वचा
70,Blut::N,krv,लहू
71,Blut::N,krv,ख़ून
72,Ader::N,žila,रग
73,Ader::N,žila,शिरा
74,Sehne::N,šľacha,कंडरा
75,Sehne::N,šľacha,स्नायु
76,Knochen::N,kosť,अस्थि
77,Gehirn::N,mozog,दिमाग़
78,Gehirn::N,mozog,मस्तिष्क
79,Herz::N,srdce,दिल
80,Herz::N,srdce,हृदय
81,Magen::N,žalúdok,मेदा
82,Magen::N,žalúdok,अमाशय
83,Leber::N,pečeň,जिगर
84,Leber::N,pečeň,यकृत्
85,Atem::N,dych,दम
86,Atem::N,dych,साँस
87,Atem::N,dych,श्वास
88,Hunger::N,hlad,भूख
89,Hunger::N,hlad,क्षुधा
90,Träne::N,slza,आँसू
91,Träne::N,slza,अश्रु
92,Geschmack::N,chuť,स्वाद
93,Geschmack::N,chuť,ज़ायक़ा
94,Geruch::N,pach,बू
95,Geruch::N,pach,गंध
96,Schlaf::N,spánok,नींद
97,Schlaf::N,spánok,निद्रा
98,Traum::N,sen,सपना
99,Traum::N,sen,स्वप्न
100,Himmel::N,nebo,आकाश
101,Himmel::N,nebo,आसमान
