,Concept_ID,myv,pt
0,Auge::N,сельме,olho
1,Ohr::N,пиле,orelha
2,Nase::N,судо,nariz
3,Mund::N,курго,boca
4,Zahn::N,пей,dente
5,Zunge::N,кель,língua
6,Lippe::N,турва,lábio
7,Wange::N,чамабока,face
8,Wange::N,чамаумарь,face
9,Gesicht::N,чама,cara
10,Gesicht::N,чама,rosto
11,Stirn::N,коня,testa
12,Haar::N,черь,cabelo
13,Schnurrbart::N,ус,bigode
14,Schnurrbart::N,муюк,bigode
15,Bart::N,сакал,barba
16,Kinn::N,уло,queixo
17,Kiefer[Anatomie]::N,пейпакар,maxila
18,Kiefer[Anatomie]::N,пейпакар,mandíbula
19,Kiefer[Anatomie]::N,пейловажа,maxila
20,Kiefer[Anatomie]::N,пейловажа,mandíbula
21,Kehle::N,кирьгапарь,garganta
22,Hals::N,кирьга,colo
23,Hals::N,кирьга,pescoço
24,Genick::N,човонь,nuca
25,Kopf::N,пря,cabeça
26,Rücken::N,копорь,dorso
27,Rücken::N,копорь,costas
28,Bauch::N,пеке,ventre
29,Bauch::N,пеке,barriga
30,Nabel::N,почо,umbigo
31,Busen::N,поте,seio
32,Brust::N,меште,peito
33,Schulter::N,лавтов,ombro
34,Arm::N,кедь,braço
35,Ellenbogen::N,кенерепакарь,cotovelo
36,Hand::N,кедь,mão
37,Handfläche::N,кедькуншка,palma
38,Handfläche::N,кедькуншка,palma da mão
39,Handfläche::N,кедьлапушка,palma
40,Handfläche::N,кедьлапушка,palma da mão
41,Finger::N,сур,dedo
42,Fingernagel::N,кенже,unha
43,Nagel[Anatomie]::N,кенже,unha
44,Zeh::N,пильге сур,dedo do pé
45,Fuß::N,пильге,pé
46,Ferse::N,кочкаря,calcanhar
47,Knie::N,эле,joelho
48,Knie::N,эзне,joelho
49,Knie::N,кумажа,joelho
50,Oberschenkel::N,качо,coxa
51,Bein::N,пильге,perna
52,Körper::N,рунго,corpo
53,Haut::N,киське,pele
54,Blut::N,верь,sangue
55,Ader::N,сан,veia
56,Sehne::N,коське сан,tendão
57,Knochen::N,пакарь,osso
58,Gehirn::N,удем,cérebro
59,Herz::N,седей,coração
60,Magen::N,пеке,estômago
61,Leber::N,максо,fígado
62,Atem::N,лексема,fôlego
63,Atem::N,оймень таргсема,fôlego
64,Hunger::N,вачочи,fome
65,Träne::N,селведь,lágrima
66,Geschmack::N,тансть,gosto
67,Geruch::N,чине,odor
68,Geruch::N,чине,cheiro
69,Schlaf::N,удома,sono
70,Traum::N,он,sonho
71,Himmel::N,менель,céu
72,Sonne::N,чи,sol
73,Mond::N,ков,lua
74,Stern::N,теште,estrela
75,Luft::N,кошт,ar
76,Wind::N,варма,vento
77,Welle::N,толкун,onda
