,Concept_ID,mn,sah
0,Auge::N,нүд,харах
1,Ohr::N,чих,кулгаах
2,Nase::N,хамар,мурун
3,Mund::N,ам,айах
4,Zahn::N,шүд,тиис
5,Zunge::N,хэл,тыл
6,Lippe::N,уруул,уос
7,Wange::N,хацар,иэдэс
8,Gesicht::N,царай,сирэй
9,Gesicht::N,нүүр,сирэй
10,Stirn::N,дух,сүүс
11,Haar::N,үс,баттах
12,Schnurrbart::N,дээд сахал,уос бытыга
13,Schnurrbart::N,живэр сахал,уос бытыга
14,Bart::N,сахал,сэҥийэ бытыга
15,Kinn::N,эрүү,сэҥийэ
16,Kiefer[Anatomie]::N,эрүү,сыҥаах
17,Kehle::N,хоолой,тамах
18,Kehle::N,хоолой,күөмэй
19,Hals::N,хүзүү,моой
20,Genick::N,шил,кэтэх
21,Genick::N,хүзүү,кэтэх
22,Kopf::N,толгой,бас
23,Rücken::N,ар,көҕүс
24,Rücken::N,нуруу,көҕүс
25,Bauch::N,хэвлий,ис
26,Bauch::N,гэдэс,ис
27,Nabel::N,хүйс,киин
28,Busen::N,хөх,эмиий
29,Brust::N,цээж,түөс
30,Schulter::N,мөр,сарын
31,Schulter::N,бугалга,сарын
32,Arm::N,гар,илии
33,Ellenbogen::N,тохой,тоҕонох
34,Hand::N,гар,илии
35,Hand::N,алга,илии
36,Handfläche::N,алга,ытыс
37,Finger::N,хуруу,тарбах
38,Fingernagel::N,хурууны хумс,тыҥырах
39,Nagel[Anatomie]::N,хумс,тыҥырах
40,Zeh::N,хуруу,тарбах
41,Fuß::N,хөл,уллуҥах
42,Ferse::N,өсгий,тилэх
43,Knie::N,өвдөг,тобук
44,Knie::N,өвдөг,дьилбэк
45,Oberschenkel::N,гуя,уллук
46,Oberschenkel::N,гуя,өттүк
47,Bein::N,хөл,атах
48,Körper::N,бие,бэйэ
49,Haut::N,арьс,тирии
50,Blut::N,цус,хаан
51,Ader::N,судас,вена
52,Ader::N,судас,күөх_тымыр
53,Sehne::N,бүлх,иҥиир
54,Sehne::N,шандас,иҥиир
55,Knochen::N,яс,уҥуох
56,Knochen::N,яс,уҥгуох
57,Gehirn::N,тархи,мэйии
58,Herz::N,зүрх,сүрэх
59,Magen::N,ходоод,куртах
60,Leber::N,элэг,быар
61,Atem::N,амьсгаа,тыын
62,Hunger::N,өлсгөлөн,аас
63,Träne::N,нулимс,харах уута
64,Geschmack::N,амт,амтан
65,Geruch::N,үнэр,сыт
66,Schlaf::N,нойр,утуйуу
67,Traum::N,зүүд,түүл
68,Himmel::N,тэнгэр,халлаан
69,Himmel::N,огторгуй,халлаан
70,Sonne::N,нар,күн
71,Mond::N,сар,ый
72,Stern::N,од,сулус
73,Luft::N,агаар,салгын
74,Wind::N,салхи,тыал
75,Welle::N,долгио,долгун
76,Welle::N,долгио,балхаан
77,Welle::N,давалгаа,долгун
78,Welle::N,давалгаа,балхаан
79,Wasser::N,ус,уу
80,Stein::N,чулуу,таас
81,Boden::N,хөрс,сир
82,Erde::N,газар,буор
83,Erde::N,шороо,буор
84,Staub::N,тоос,быыл
85,Rauch::N,утаа,буруо
86,Funke::N,оч,кыым
87,Feuer::N,гал,уот
88,Licht::N,гэрэл,уот
89,Licht::N,гэгээ,уот
90,Schatten::N,сүүдэр,күлүк
91,Wetter::N,тэнгэр,күн-дьыл
92,Wetter::N,цаг уур,күн-дьыл
93,Nebel::N,будан,туман
94,Wolke::N,үүл,былыт
95,Regen::N,бороо,самыыр
96,Schnee::N,цас,хаар
97,Eis::N,мөс,муус
98,Frost::N,хүйт,тымныы
99,Kälte::N,хүйт,тымныы
100,Hitze::N,халуун,куйаас
101,Raureif::N,цан,кырыа
102,Raureif::N,хяруу,кырыа
103,Regenbogen::N,солонго,кустук
104,Donner::N,тэнгэрийн дуу,этиҥ
105,Strömung::N,урсгал,сүүрүк
106,Tropfen::N,дусал,таммах
107,Tropfen::N,дусал,хааппыла
108,Schaum::N,хөөс,күүгэн
109,Schmutz::N,хир,кир
110,Schmutz::N,шавхай,кир
111,See::N,нуур,күөл
112,Sumpf::N,намаг,бадараан
113,Sumpf::N,балчиг,бадараан
114,Moor::N,хүлрийн намаг,дьэбэрэ
115,Wiese::N,нуга,ходуһа
116,Wald::N,ой,ойуур
117,Hügel::N,болдог,булгунньах
118,Anhöhe::N,гүвээ,үрдэл
119,Berg::N,уул,хайа
120,Gipfel::N,орой,чыпчаал
121,Gipfel::N,оргил,чыпчаал
122,Höhle::N,агуй,хайа_хаспаҕа
123,Höhle::N,агуй,көҥүс
124,Abhang::N,хүр,эниэ
125,Quelle::N,булаг,дьүүктэ
126,Bach::N,горхи,үрүйэ
127,Fluss::N,гол,өрүс
128,Fluss::N,мөрөн,өрүс
129,Ufer::N,эрэг,биэрэк
130,Küste::N,эрэг,кытыл
131,Festland::N,хуурай газар,кураанах сир
132,Meer::N,далай,муора
133,Meer::N,тэнгис,муора
134,Bucht::N,булан,хомо
135,Bucht::N,булан,бухта
136,Bucht::N,далайн тохой,хомо
137,Bucht::N,далайн тохой,бухта
138,Insel::N,арал,арыы
139,Blume::N,цэцэг,сибэкки
140,Gras::N,өвс,от
141,Gras::N,ногоо,от
142,Wurzel::N,үндэс,силис
143,Baum::N,мод,мас
144,Stamm::N,иш,умнас
145,Stamm::N,гуалин,умнас
146,Rinde::N,холтос,хатырык
147,Ast::N,гишүү,мутук
148,Zweig::N,салаа,лабаа
149,Blatt::N,навч,сэбирдэх
150,Birke::N,хус,хатыҥ
151,Kiefer[Baum]::N,нарс,бэс
152,Weide[Baum]::N,уд,үөт
153,Weide[Baum]::N,уд,талах
154,Weide[Baum]::N,бургас,үөт
155,Weide[Baum]::N,бургас,талах
156,Tanne::N,гачуур,харыйа
157,Horn::N,эвэр,муос
158,Feder::N,өд,куорсун
159,Fell::N,арьс,тирии
160,Flügel::N,жигүүр,кынат
161,Flügel::N,далавч,кынат
162,Klaue::N,савар,тыҥырах
163,Klaue::N,хумс,тыҥырах
164,Kralle::N,савар,баппаҕай
165,Schwanz::N,сүүл,кутурук
166,Ei::N,өндөг,сымыыт
167,Nest::N,үүр,уйа
168,Bau::N,нүх,хороон
169,Bau::N,элүү,хороон
170,Tier::N,амьтан,кыыл
171,Tier::N,амьтан,харамай
172,Tier::N,адгуус,кыыл
173,Tier::N,адгуус,харамай
174,Herde::N,сүрэг,үөр
175,Kuh::N,үнээ,ынах
176,Bulle::N,бух,оҕус
177,Pferd::N,морь,сылгы
178,Pferd::N,адуу,сылгы
179,Schaf::N,хонь,овца
180,Schwein::N,гахай,сибиинньэ
181,Hund::N,нохой,ыт
182,Katze::N,муур,куоска
183,Katze::N,мигуй,куоска
184,Bär::N,баавгай,эһэ
185,Eichhörnchen::N,хэрэм,тииҥ
186,Elch::N,хандгай,тайах
187,Fuchs::N,үнэг,саһыл
188,Hase::N,туулай,куобах
189,Maus::N,хулгана,кутуйах
190,Wolf::N,чоно,бөрө
191,Vogel::N,шувуу,көтөр
192,Schwarm::N,сүрэг,бөлөх
193,Huhn::N,тахиа,куурусса
194,Hahn::N,эр тахиа,бөтүүк
195,Gans::N,галуу,хаас
196,Adler::N,бүргэд,хотой
197,Ente::N,нугас,кус
198,Eule::N,ууль,мэкчиргэ
199,Kranich::N,тогоруу,туруйа
200,Krähe::N,хэрээ,тураах
201,Kuckuck::N,хөхөө,кэҕэ
202,Schwan::N,хун,куба
203,Fisch::N,загас,балык
204,Barsch::N,алгана,алыһар
205,Hecht::N,цурхай,сордон
206,Schlange[Tier]::N,могой,моҕой
207,Schlange[Tier]::N,могой,эриэн үөн
208,Wurm::N,өт,үөн
209,Wurm::N,хорхой,үөн
210,Spinne::N,аалз,ооҕуй
211,Ameise::N,шоргоолж,кымырдаҕас
212,Laus::N,бөөс,быт
213,Mücke::N,шумуул,кумаар
214,Fliege::N,ялаа,сахсырҕа
215,Schmetterling::N,эрвээхэй,лыах
216,Schmetterling::N,эрвээхэй,үрүмэччи
217,Beere::N,жимсгэнэ,отон
218,Apfel::N,алим,яблоко
219,Pilz::N,мөөг,тэллэй
220,Zwiebel::N,сонгино,луук
221,Saat::N,тариа,сиэмэ
222,Korn::N,үр,сиэмэ
223,Korn::N,мөхлөг,сиэмэ
224,Heu::N,өвс,от
225,Schale::N,хальс,хах
226,Grube::N,алам,дьаама
227,Grube::N,нүх,дьаама
228,Falle::N,хавх,сохсо
229,Falle::N,занга,сохсо
230,Schlinge::N,урхи,уктаа
231,Spur::N,мөр,суол
232,Asche::N,үнс,күл
233,Dreck::N,хир,бадараан
234,Eisen::N,төмөр,тимир
235,Gold::N,алт,көмүс
236,Gold::N,алт,кыһыл көмүс
237,Silber::N,мөнгө,көмүс
238,Silber::N,мөнгө,үрүҥ көмүс
239,Kohle::N,нүүрс,чох
240,Glas::N,шил,өстүөкүлэ
241,Lehm::N,шавар,туой
242,Sand::N,элс,кумах
243,Mensch::N,хүн,киһи
244,Mann::N,эр,эр
245,Mann::N,эрэгтэй,эр
246,Frau::N,эмэгтэй,дьахтар
247,Frau::N,хатагтай,дьахтар
248,Kind::N,хүүхэд,оҕо
249,Junge::N,хүү,уол
250,Mädchen::N,охин,кыыс оҕо
251,Mädchen::N,бүсгүй,кыыс оҕо
252,Familie::N,айл,кэргэн
253,Großvater::N,өвгөн аав,эһэ
254,Großmutter::N,эмэг эх,эбэ
255,Großmutter::N,эмгээ,эбэ
256,Eltern::N,эцэг эх,аҕа-ийэ
257,Vater::N,аав,аҕа
258,Vater::N,эцэг,аҕа
259,Mutter::N,эх,ийэ
260,Mutter::N,ээж,ийэ
261,Sohn::N,хүү,уол
262,Tochter::N,охин,кыыс
263,Bruder::N,ах,убай
264,Bruder::N,ах,быраат
265,Bruder::N,дүү,убай
266,Bruder::N,дүү,быраат
267,Schwester::N,эгч,аҕас
268,Schwester::N,эгч,балыс
269,Schwester::N,охин дүү,аҕас
270,Schwester::N,охин дүү,балыс
271,Onkel::N,авга ах,таай
272,Onkel::N,авга ах,абаҕа
273,Onkel::N,нагац ах,таай
274,Onkel::N,нагац ах,абаҕа
275,Tante::N,авга эгч,эдьиий
276,Tante::N,нагац эгч,эдьиий
277,Ehemann::N,нөхөр,эр
278,Ehefrau::N,эхнэр,ойох
279,Ehefrau::N,гэргий,ойох
280,Freude::N,баяр,үөрүү
281,Freude::N,баясгалан,үөрүү
282,Gelächter::N,инээдэм,күлүү
283,Glück::N,жаргалан,дьол
284,Glück::N,жаргалан,соргу
285,Kummer::N,гаслан,кутурҕан
286,Wunsch::N,ерөөл,баҕарыы
287,Lust::N,дур,баҕа
288,Lust::N,хүсэл,баҕа
289,Geist::N,оюун,тыын
290,Gedanke::N,сэтгэл,санаа
291,Gedächtnis::N,ой,өй
292,Gedächtnis::N,цээж,өй
293,Verstand::N,ухаан,өй
294,Sinn::N,утга,суолта
295,Grund::N,учир,төрүөт
296,Wahrheit::N,үнэн,кырдьык
297,Gespräch::N,яриа,бэсиэдэ
298,Gespräch::N,яриа,кэпсэтии
299,Märchen::N,явган үлгэр,остуоруйа
300,Erzählung::N,тууж,кэпсээн
301,Nachricht::N,мэдээ,биллэриллии
302,Neuigkeit::N,сонин,сонун
303,Name::N,нэр,аат
304,Rätsel::N,оньсого,таабырын
305,Rede::N,хэлсэн үг,этии
306,Sprache::N,хэл,тыл
307,Stimme::N,дуу,куолас
308,Wort::N,үг,тыл
309,Zeichen::N,тамга,бэлиэ
310,Zeichen::N,тэмдэг,бэлиэ
311,Ruf::N,дуудлага,ыҥырыы
312,Lärm::N,шуугиан,айдаан
313,Lärm::N,чимээ,айдаан
314,Laut::N,анир,тыас
315,Laut::N,дуу,тыас
316,Ton::N,авиа,дорҕоон
317,Ton::N,аялгуу,дорҕоон
318,Lied::N,дуу,ырыа
319,Ruhe::N,энх,уу чуумпу
320,Ruhe::N,тайван,уу чуумпу
321,Leute::N,хүмүүс,дьон
322,Volk::N,улс,дьон
323,Volk::N,улс,норуот
324,Arbeit::N,ажил,үлэ
325,Arbeit::N,хөдөлмөр,үлэ
326,Gast::N,зочин,ыалдьыт
327,Gast::N,айлчин,ыалдьыт
328,Geschenk::N,бэлэг,бэлэх
329,Spiel::N,наадам,оонньуу
330,Spiel::N,тоглоом,оонньуу
331,Gesellschaft::N,хамт байх,общество
332,Hilfe::N,тусламж,көмө
333,Freund::N,найз,доҕор
334,Freund::N,нөхөр,доҕор
335,Kamerad::N,хань,атас
336,Kamerad::N,нөхөр,атас
337,Angelegenheit::N,хэрэг,дьыала
338,Anzahl::N,тоо,ахсаан
339,Art::N,төрөл,биис
340,Art::N,янз,биис
341,Stück::N,хэсэг,кырбас
342,Teil::N,хувь,ирээт
343,Teil::N,хэсэг,ирээт
344,Hälfte::N,хагас,аҥар
345,Kreis::N,тойрог,төгүрүк
346,Kreis::N,тойрог,төгүрүмтэ
347,Kreis::N,хүрээ,төгүрүк
348,Kreis::N,хүрээ,төгүрүмтэ
349,Kreuz::N,загалмай,кириэс
350,Linie::N,шугам,сурааһын
351,Strich::N,зураас,сурааһын
352,Abstand::N,зай,арыт
353,Entfernung::N,зай,ыраах
354,Entfernung::N,хол ойр,ыраах
355,Gegend::N,хавь,сир
356,Gegend::N,газар,сир
357,Platz::N,зай,арыт
358,Platz::N,завсар,арыт
359,Ort::N,газар,сир
360,Ort::N,байр,сир
361,Seite::N,тал,өрүт
362,Seite::N,тал,сирэй
363,Seite::N,этгээд,өрүт
364,Seite::N,этгээд,сирэй
365,Mitte::N,төв,орто
366,Mitte::N,дунд,орто
367,Gegenstand::N,юм,предмет
368,Sache::N,үйл,мал
369,Sache::N,хэрэг,мал
370,Rand::N,зах,кытыы
371,Rand::N,зах,ойоҕос
372,Rand::N,хөвөө,кытыы
373,Rand::N,хөвөө,ойоҕос
374,Kante::N,ирмэг,кырыы
375,Ecke::N,өнцөг,муннук
