,Concept_ID,uz,ce
0,Auge::N,ko'z,бӏаьрг
1,Ohr::N,quloq,лерг
2,Nase::N,burun,мара
3,Mund::N,og'iz,бага
4,Zahn::N,tish,церг
5,Zunge::N,til,мотт
6,Lippe::N,dudoq,балда
7,Wange::N,bet,бесни
8,Gesicht::N,yuz,юьхь
9,Stirn::N,manglay,хьаж
10,Haar::N,soch,мас
11,Schnurrbart::N,mo'ylov,мекх
12,Bart::N,soqol,маж
13,Kinn::N,ängak,чӏениг
14,Kiefer[Anatomie]::N,iyak,мочхал
15,Kehle::N,bo'g'iz,къамкъарг
16,Hals::N,bo'yin,ворта
17,Genick::N,gardan,кӏесаркӏаг
18,Kopf::N,bosh,корта
19,Rücken::N,orqa,букъ
20,Bauch::N,qorin,кийра
21,Nabel::N,kindik,цӏонга
22,Busen::N,ämchak,зударийн накха
23,Brust::N,ko'krak,накха
24,Schulter::N,elka,белш
25,Arm::N,bilak,пхьарс
26,Ellenbogen::N,tirsak,пхьаьрсан гола
27,Hand::N,qo'l,куьг
28,Handfläche::N,kaft,кераюкъ
29,Finger::N,barmoq,пӏелг
30,Fingernagel::N,tirnoq,мӏара
31,Nagel[Anatomie]::N,tirnoq,мӏара
32,Zeh::N,oyoq barmog'i,кога пӏелг
33,Fuß::N,oyoq,ког
34,Ferse::N,tovon,кӏажа
35,Knie::N,tiz,гола
36,Oberschenkel::N,son,варе
37,Bein::N,oyoq,ког
38,Körper::N,badna,хӏума
39,Haut::N,teri,чкъор
40,Blut::N,qon,цӏий
41,Ader::N,qon tomir,пха
42,Sehne::N,tomir,хьорзам
43,Knochen::N,suyak,даьӏахк
44,Gehirn::N,miya,хье
45,Herz::N,qalb,дог
46,Magen::N,oshqozon,зорх
47,Leber::N,bag'ir,доӏах
48,Atem::N,dam,садеӏар
49,Hunger::N,ochlik,мацалла
50,Träne::N,yosh,бӏаьрхи
51,Geschmack::N,tam,чам
52,Geruch::N,jid,хьожа
53,Schlaf::N,uyqu,наб
54,Traum::N,tush,гӏан
55,Himmel::N,osmon,стигал
56,Sonne::N,quyosh,малх
57,Mond::N,oy,бутт
58,Stern::N,yulduz,седа
59,Luft::N,havo,xӏаваъ
60,Wind::N,el,мох
61,Welle::N,to'lqin,тулгӏе
62,Wasser::N,suv,хи
63,Stein::N,tosh,тӏулг
64,Boden::N,tuproq,цӏенкъа
65,Erde::N,er,латта
66,Staub::N,chang,чан
67,Rauch::N,tutun,кӏур
68,Funke::N,yalt,суй
69,Feuer::N,o't,цӏе
70,Licht::N,yorug',серло
71,Schatten::N,soya,ӏиндагӏ
72,Wetter::N,havo,хенан хӏоттам
73,Nebel::N,tuman,дохк
74,Wolke::N,bulut,марха
75,Regen::N,yomg'ir,догӏа
