,Concept_ID,mhr,ca
0,Auge::N,шинча́,ull
1,Ohr::N,пы́лыш,orella
2,Nase::N,нер,nas
3,Mund::N,умша́,boca
4,Zahn::N,пӱй,dent
5,Zunge::N,йы́лме,llēngua
6,Lippe::N,тӱ́рвӧ,llavi
7,Wange::N,шӱ́ргӧ,galta
8,Gesicht::N,чури́й,cara
9,Stirn::N,саҥга́,front
10,Haar::N,ӱп,cabēll
11,Schnurrbart::N,ӧ́рыш,bigoti
12,Bart::N,понда́ш,barba
13,Kinn::N,оҥыла́ш,mentó
14,Kinn::N,оҥыла́ш,barbeta
15,Kiefer[Anatomie]::N,пӱйдӱ́ҥ,queix
16,Kiefer[Anatomie]::N,пӱйдӱ́ҥ,mandíbula
17,Kiefer[Anatomie]::N,пӱйората́,queix
18,Kiefer[Anatomie]::N,пӱйората́,mandíbula
19,Kehle::N,лога́р,gola
20,Kehle::N,лога́р,gorja
21,Hals::N,шӱй,coll
22,Genick::N,шӱйло́дыш,nuca
23,Kopf::N,вуй,cap
24,Rücken::N,туп,esquena
25,Bauch::N,мӱ́шкыр,panxa
26,Nabel::N,кы́лымде,llombrígol
27,Busen::N,чы́зе,pit
28,Busen::N,чы́зе,mama
29,Brust::N,оҥ,pit
30,Schulter::N,ва́че,espatlla
31,Arm::N,кид,braç
32,Ellenbogen::N,кынерву́й,colze
33,Hand::N,кид,mà
34,Hand::N,копа́,mà
35,Handfläche::N,со́во,palma
36,Finger::N,парня́,dit
37,Fingernagel::N,кидкӱ́ч,ungla
38,Fingernagel::N,парнягӱ́ч,ungla
39,Nagel[Anatomie]::N,кӱч,ungla
40,Zeh::N,йолварня́,dit del peu
41,Fuß::N,йол,peu
42,Fuß::N,йолкопа́,peu
43,Ferse::N,тага́н,taló
44,Knie::N,пулву́й,genoll
45,Oberschenkel::N,э́рде,cuixa
46,Bein::N,йол,cama
47,Körper::N,кап,cos
48,Haut::N,кова́ште,pell
49,Blut::N,вӱр,sang
50,Ader::N,шӧн,vena
51,Sehne::N,шӧн,tendó
52,Sehne::N,кӱсе́н,tendó
53,Knochen::N,лу,os
54,Gehirn::N,вем,cervell
55,Gehirn::N,вуйве́м,cervell
56,Herz::N,шӱм,cor
57,Magen::N,пага́р,estómac
58,Leber::N,мокш,fetge
59,Atem::N,шӱ́лыш,alè
60,Atem::N,шӱ́лыш,hàlit
61,Hunger::N,шужыма́ш,fam
62,Hunger::N,шужыма́ш,gana
63,Träne::N,шинчавӱ́д,llàgrima
64,Geschmack::N,там,gust
65,Geschmack::N,там,sabor
66,Geruch::N,пуш,olor
67,Schlaf::N,о́мо,son
68,Traum::N,йӱдо́мо,somni
69,Himmel::N,кава́,celm
70,Sonne::N,ке́че,sol
71,Mond::N,ты́лзе,lluna
72,Stern::N,шӱ́дыр,estel
73,Stern::N,шӱ́дыр,estrella
74,Luft::N,юж,aire
75,Wind::N,марде́ж,vent
76,Welle::N,то́лкын,ona
77,Wasser::N,вӱд,āigua
78,Stein::N,кӱ,pedra
79,Boden::N,рок,sòl
80,Erde::N,мла́нде,terra
81,Staub::N,пура́к,pols
82,Rauch::N,шикш,fum
83,Funke::N,сеске́м,guspira
84,Funke::N,сеске́м,centella
85,Funke::N,тулйы́п,guspira
86,Funke::N,тулйы́п,centella
87,Feuer::N,тул,foc
88,Licht::N,со́то,llum
89,Schatten::N,ӱ́мыл,ombra
90,Wetter::N,иге́че,temps
91,Nebel::N,тӱтыра́,boira
92,Wolke::N,пыл,núvol
93,Regen::N,йӱр,pluja
94,Schnee::N,лум,neu
95,Eis::N,ий,gel
96,Eis::N,ий,glaç
97,Frost::N,чатлама́,glaçada
98,Kälte::N,йӱ́штӧ,fred
99,Hitze::N,шо́кшо,calor
100,Raureif::N,пӧрш,gebre
101,Raureif::N,по́кшым,gebre
102,Regenbogen::N,шонанпы́л,arc iris
103,Donner::N,кӱ́дырчӧ,tro
104,Strömung::N,йо́гын,corrent
105,Tropfen::N,чӱча́лтыш,gota
106,Schaum::N,шоҥ,escuma
107,Schmutz::N,лавыра́,brutícia
108,See::N,ер,llac
109,Sumpf::N,лӱ́кӧ,pantà
110,Moor::N,куп,pantà
111,Wiese::N,о́лык,prat
112,Wiese::N,о́лык,prada
113,Wald::N,чодыра́,bosc
114,Hügel::N,арка́,puig
115,Hügel::N,арка́,pujol
116,Anhöhe::N,тӧва́,turó
117,Anhöhe::N,кӱкшака́,turó
118,Berg::N,ку́рык,muntanya
119,Gipfel::N,чаҥга́,cim
120,Gipfel::N,курыкву́й,cim
121,Höhle::N,пеще́р,cova
122,Höhle::N,курыкпо́мыш,cova
123,Abhang::N,та́йыл,coster
124,Quelle::N,важ,font
125,Quelle::N,вӱдшинча́,font
126,Bach::N,изэҥе́р,riera
127,Fluss::N,эҥе́р,riu
128,Ufer::N,сер,riba
129,Küste::N,вӱдтӱ́р,costa
130,Festland::N,мла́нде,terra ferma
131,Meer::N,те́ҥыз,mar
132,Bucht::N,икса́,cala
133,Bucht::N,икса́,badia
134,Insel::N,отро́,illa
135,Blume::N,пеле́дыш,flor
136,Gras::N,шу́до,herba
137,Wurzel::N,вож,rel
138,Wurzel::N,вож,arrel
139,Baum::N,пуше́ҥге,arbre
140,Stamm::N,йы́тыр,tronc
141,Rinde::N,шӱм,escorça
142,Ast::N,укш,branca
143,Zweig::N,торма́к,ram
144,Blatt::N,лышта́ш,fulla
145,Birke::N,куэ́,bedoll
146,Kiefer[Baum]::N,пӱ́нчӧ,pi
147,Weide[Baum]::N,уа́,salze
148,Tanne::N,кож,avet
149,Horn::N,шур,corn
150,Horn::N,шур,banya
151,Feder::N,пы́стыл,ploma
152,Fell::N,кова́ште,pell
153,Flügel::N,шу́лдыр,ala
154,Klaue::N,кӱч,urpa
155,Kralle::N,ла́па,grapa
156,Kralle::N,копа́,grapa
157,Schwanz::N,поч,cua
158,Ei::N,му́но,ou
159,Nest::N,пыжа́ш,niu
160,Bau::N,пыжа́ш,cau
161,Tier::N,я́нлык,animāl
162,Tier::N,живо́тный,animāl
163,Herde::N,кӱ́тӱ,ramat
164,Herde::N,тӱшка́,ramat
165,Kuh::N,ушка́л,vaca
166,Bulle::N,ӱ́шкыж,toro
167,Pferd::N,и́мне,cavāll
168,Schaf::N,шо́рык,be
169,Schaf::N,шо́рык,ovella
170,Schwein::N,сӧсна́,bacó
171,Hund::N,пий,ca
172,Hund::N,пий,gos
173,Katze::N,пы́рыс,gat
174,Bär::N,маска́,ós
