,Concept_ID,eu,sv
0,Auge::N,begi,öga
1,Ohr::N,belarri,öra
2,Nase::N,sudur,näsa
3,Mund::N,aho,mun
4,Zahn::N,hortz,tand
5,Zunge::N,mihi,tunga
6,Lippe::N,ezpain,läpp
7,Wange::N,masail,kind
8,Gesicht::N,aurpegi,syn
9,Gesicht::N,aurpegi,ansikte
10,Stirn::N,bekoki,panna
11,Haar::N,ile,hår
12,Haar::N,bilo,hår
13,Schnurrbart::N,bibote,mustasch
14,Schnurrbart::N,sudurpeko,mustasch
15,Bart::N,bizar,skägg
16,Kinn::N,kokots,haka
17,Kiefer[Anatomie]::N,masailezur,käke
18,Kehle::N,eztarri,strupe
19,Hals::N,sama,hals
20,Genick::N,garondo,nacke
21,Kopf::N,buru,huvud
22,Rücken::N,bizkar,rygg
23,Bauch::N,sabel,buk
24,Bauch::N,sabel,mage
25,Nabel::N,zilbor,navel
26,Busen::N,titi,barm
27,Busen::N,ugatz,barm
28,Brust::N,bular,bröst
29,Schulter::N,besaburu,skuldra
30,Arm::N,beso,arm
31,Ellenbogen::N,ukondo,armbåge
32,Hand::N,esku,hand
33,Handfläche::N,ahur,handflata
34,Finger::N,hatz,finger
35,Fingernagel::N,azazkal,fingernagel
36,Nagel[Anatomie]::N,azazkal,nagel
37,Zeh::N,behatz,tå
38,Fuß::N,oin,fot
39,Ferse::N,orpo,häl
40,Ferse::N,oinburu,häl
41,Knie::N,belaun,knä
42,Oberschenkel::N,izter,lår
43,Bein::N,zango,ben
44,Körper::N,soin,kropp
45,Haut::N,azal,hud
46,Haut::N,azal,skinn
47,Blut::N,odol,blod
48,Ader::N,zain,åder
49,Sehne::N,gihar-zain,sena
50,Knochen::N,hezur,ben
51,Gehirn::N,garun,hjärna
52,Gehirn::N,burmuin,hjärna
53,Herz::N,bihotz,hjärta
54,Magen::N,urdail,mage
55,Leber::N,gibel,lever
56,Atem::N,hats,anda
57,Atem::N,hats,andedräkt
58,Atem::N,arnasa,anda
59,Atem::N,arnasa,andedräkt
60,Hunger::N,gose,svält
61,Hunger::N,gose,hunger
62,Träne::N,malko,tår
63,Geschmack::N,dasta,smak
64,Geruch::N,usain,lukt
65,Schlaf::N,lo,sömn
66,Traum::N,amets,dröm
67,Himmel::N,zeru,himmel
68,Sonne::N,eguzki,sol
69,Mond::N,ilargi,måne
70,Stern::N,izar,stjärna
71,Luft::N,aire,luft
72,Wind::N,haize,vind
73,Welle::N,uhin,våg
74,Welle::N,uhin,bölja
75,Welle::N,olatu,våg
76,Welle::N,olatu,bölja
77,Wasser::N,ur,vatten
78,Stein::N,harri,sten
79,Boden::N,lur,mark
80,Boden::N,zoru,mark
81,Erde::N,lur,jord
82,Staub::N,hauts,damm
83,Rauch::N,ke,rök
84,Funke::N,zirta,gnista
85,Funke::N,txinparta,gnista
86,Feuer::N,su,eld
87,Licht::N,argi,ljus
88,Schatten::N,itzal,skugga
89,Schatten::N,geriza,skugga
90,Wetter::N,eguraldi,väder
91,Nebel::N,laino,dimma
92,Nebel::N,laino,töcken
93,Wolke::N,hodei,sky
94,Wolke::N,hodei,moln
95,Regen::N,euri,regn
96,Schnee::N,elur,snö
97,Eis::N,horma,is
98,Frost::N,izotzaldi,frost
99,Kälte::N,hotz,köld
100,Hitze::N,bero,hetta
101,Raureif::N,antzigar,rimfrost
102,Regenbogen::N,ostadar,regnbåge
103,Regenbogen::N,ortzadar,regnbåge
104,Donner::N,ostots,åska
105,Donner::N,ostots,dunder
106,Donner::N,ihurtzuri,åska
107,Donner::N,ihurtzuri,dunder
108,Strömung::N,laster,strömning
109,Tropfen::N,xorta,dropper
110,Schaum::N,bits,skum
111,Schmutz::N,lohi,lort
