,Concept_ID,ce,ps
0,Auge::N,бӏаьрг,سترګه
1,Ohr::N,лерг,غوږ
2,Nase::N,мара,پوزه
3,Mund::N,бага,خوله
4,Zahn::N,церг,غاښ
5,Zunge::N,мотт,جبه
6,Lippe::N,балда,شونډه
7,Wange::N,бесни,باړخو
8,Gesicht::N,юьхь,مخ
9,Stirn::N,хьаж,تندی
10,Stirn::N,хьаж,وچولی
11,Haar::N,мас,وېښته
12,Schnurrbart::N,мекх,برېت
13,Bart::N,маж,ږیره
14,Kinn::N,чӏениг,زنه
15,Kiefer[Anatomie]::N,мочхал,جامه
16,Kehle::N,къамкъарг,غاړه
17,Hals::N,ворта,غاړه
18,Genick::N,кӏесаркӏаг,ورمېږ
19,Kopf::N,корта,سر
20,Rücken::N,букъ,شا
21,Bauch::N,кийра,نس
22,Bauch::N,кийра,ګېډه
23,Nabel::N,цӏонга,نوم
24,Busen::N,зударийн накха,تی
25,Brust::N,накха,سینه
26,Schulter::N,белш,اوږه
27,Arm::N,пхьарс,لاس
28,Ellenbogen::N,пхьаьрсан гола,څنګل
29,Hand::N,куьг,لاس
30,Handfläche::N,кераюкъ,ورغوی
31,Finger::N,пӏелг,ګوته
32,Fingernagel::N,мӏара,نوک
33,Nagel[Anatomie]::N,мӏара,نوک
34,Zeh::N,кога пӏелг,ګوته
35,Fuß::N,ког,پښه
36,Ferse::N,кӏажа,پونده
37,Knie::N,гола,زنګون
38,Oberschenkel::N,варе,پتون
39,Bein::N,ког,پښه
40,Körper::N,хӏума,ځان
41,Haut::N,чкъор,پوټکی
42,Blut::N,цӏий,وینه
43,Ader::N,пха,رګ
44,Sehne::N,хьорзам,پله
45,Knochen::N,даьӏахк,هډوکی
46,Gehirn::N,хье,ماغزه
47,Herz::N,дог,زړه
48,Magen::N,зорх,معده
49,Leber::N,доӏах,ينه
50,Leber::N,доӏах,ځیګر
51,Atem::N,садеӏар,نفس
52,Hunger::N,мацалла,ولږه
53,Träne::N,бӏаьрхи,اوښکه
54,Geschmack::N,чам,مزه
55,Geschmack::N,чам,خوند
56,Geruch::N,хьожа,بوی
57,Schlaf::N,наб,خوب
58,Traum::N,гӏан,خوب
59,Himmel::N,стигал,اسمان
60,Sonne::N,малх,لمر
61,Mond::N,бутт,سپوږمۍ
62,Stern::N,седа,ستوری
63,Luft::N,xӏаваъ,هوا
64,Wind::N,мох,ورښ
65,Welle::N,тулгӏе,موج
66,Wasser::N,хи,اوبه
67,Stein::N,тӏулг,ډبره
68,Boden::N,цӏенкъа,مځکه
