,Concept_ID,lbe,uz
0,Auge::N,я,ko'z
1,Ohr::N,вичӏи,quloq
2,Nase::N,май,burun
3,Mund::N,кьацӏ,og'iz
4,Zahn::N,ккарччи,tish
5,Zunge::N,маз,til
6,Lippe::N,мурччи,dudoq
7,Wange::N,чӏав,bet
8,Gesicht::N,лажин,yuz
9,Stirn::N,ненттабакӏ,manglay
10,Haar::N,чӏара,soch
11,Schnurrbart::N,ссирссилтту,mo'ylov
12,Bart::N,чӏири,soqol
13,Kinn::N,лунттубакӏ,ängak
14,Kiefer[Anatomie]::N,ххинчулул,iyak
15,Kehle::N,кьакьари,bo'g'iz
16,Hals::N,ссурссу,bo'yin
17,Genick::N,махъабакӏ,gardan
18,Kopf::N,бакӏ,bosh
19,Rücken::N,ттиликӏ,orqa
20,Bauch::N,лякьа,qorin
21,Nabel::N,цӏумуккутӏ,kindik
22,Busen::N,ккукку,ämchak
23,Brust::N,хъазам,ko'krak
24,Schulter::N,хъачӏ,elka
25,Arm::N,ка,bilak
26,Ellenbogen::N,ссюрхъ,tirsak
27,Hand::N,бартка,qo'l
28,Handfläche::N,хъат,kaft
29,Handfläche::N,битӏянхъ,kaft
30,Finger::N,кӏисса,barmoq
31,Fingernagel::N,михь,tirnoq
32,Nagel[Anatomie]::N,михь,tirnoq
33,Zeh::N,кӏисса,oyoq barmog'i
34,Fuß::N,чӏанччан,oyoq
35,Ferse::N,никъа,tovon
36,Knie::N,ник,tiz
37,Oberschenkel::N,жира,son
38,Bein::N,ччан,oyoq
39,Körper::N,чурх,badna
40,Haut::N,бурчу,teri
41,Blut::N,оь,qon
42,Ader::N,тунну,qon tomir
43,Sehne::N,хьхьа,tomir
44,Knochen::N,ттаркӏ,suyak
45,Gehirn::N,ня,miya
46,Herz::N,дакӏ,qalb
47,Herz::N,къюкӏ,qalb
48,Magen::N,лякьа,oshqozon
49,Atem::N,ссихӏ ласаву,dam
50,Atem::N,ссихӏ бигьаву,dam
51,Hunger::N,ккаши,ochlik
52,Träne::N,макь,yosh
53,Geschmack::N,тӏин,tam
54,Geschmack::N,тӏааьн,tam
55,Geruch::N,кьанкь,jid
56,Schlaf::N,шану,uyqu
57,Traum::N,макӏру,tush
58,Himmel::N,ссав,osmon
59,Sonne::N,баргъ,quyosh
60,Mond::N,барз,oy
61,Stern::N,цӏуку,yulduz
62,Luft::N,гьава,havo
63,Wind::N,марч,el
64,Welle::N,щатӏи,to'lqin
65,Wasser::N,щин,suv
66,Stein::N,чару,tosh
67,Boden::N,аьрщи,tuproq
68,Erde::N,аьрщи,er
69,Staub::N,ххит,chang
70,Rauch::N,пуркӏу,tutun
71,Funke::N,пиягь,yalt
72,Feuer::N,цӏу,o't
73,Licht::N,чани,yorug'
74,Schatten::N,ххют,soya
75,Wetter::N,гьава,havo
76,Nebel::N,шархь ттурлу,tuman
77,Wolke::N,ттурлу,bulut
78,Regen::N,гъарал,yomg'ir
79,Schnee::N,марххала,qor
80,Eis::N,микӏ,muz
81,Frost::N,дяркъу,ajoz
82,Frost::N,замгьар,ajoz
83,Kälte::N,дяркъу,ajoz
84,Hitze::N,кӏиришиву,issiq
85,Raureif::N,сил,qirov
86,Raureif::N,бурса,qirov
87,Regenbogen::N,ссурул ккуртта,kamalak
88,Donner::N,къув,guldur
89,Strömung::N,экьинанаву,oqim
90,Tropfen::N,кӏунтӏ,tomchi
91,Schaum::N,хьама,ko'pik
92,Schmutz::N,кьяркьи,gard
93,See::N,бяр,ko'l
94,Sumpf::N,кунцӏа,botqoq
95,Wiese::N,кьан,o'tzor
96,Wald::N,вацӏа,o'rmon
97,Hügel::N,бакӏу,tepa
98,Berg::N,зунтту,tog'
99,Gipfel::N,мицӏ,cho'qqi
100,Höhle::N,нух,kavak
101,Abhang::N,сун,to'sh
102,Quelle::N,дайдихьу,buloq
103,Quelle::N,бакӏ,buloq
104,Bach::N,чӏрир нех,o'zan
105,Fluss::N,нех,daryo
106,Ufer::N,зума,sohil
107,Küste::N,зумаинхалу,qirg'oq
108,Küste::N,зуманицӏалу,qirg'oq
109,Festland::N,кьири,materik
110,Meer::N,хьхьири,dengiz
111,Insel::N,жазира,orol
112,Blume::N,тӏутӏи,gul
113,Gras::N,уртту,sabza
114,Wurzel::N,мархха,tub
115,Wurzel::N,мархха,tomir
116,Baum::N,мурхь,daraxt
117,Stamm::N,ттарцӏ,o'simta
118,Rinde::N,ккамара,qobiq
119,Ast::N,матӏи,shox
120,Zweig::N,къяртта,butoq
121,Blatt::N,чӏапӏи,barg
122,Birke::N,кӏялахӏи,qayin
123,Birke::N,кӏялахӏилул мурхь,qayin
124,Kiefer[Baum]::N,ттар,qarag'ay
125,Kiefer[Baum]::N,ттарлил мурхь,qarag'ay
126,Weide[Baum]::N,щавщи,shum
127,Tanne::N,ттарлил мурхь,archa
128,Horn::N,хъи,mugiz
129,Feder::N,лелуххул тӏиму,par
130,Fell::N,бурчу,mo'yna
131,Flügel::N,хъа,qanot
132,Flügel::N,ххурупӏайрал тӏиму,qanot
133,Klaue::N,михь,tirnoq
134,Kralle::N,ххяппа,tirnoq
135,Schwanz::N,магъ,quyruq
136,Ei::N,ккунук,tuxum
137,Nest::N,кюру,oshyon
138,Bau::N,цукъуккутӏ,o'pqon
139,Tier::N,хӏайван,hayvon
140,Herde::N,газу,gala
141,Kuh::N,оьл,inak
142,Bulle::N,ниц,ho'kiz
143,Pferd::N,чу,ot
144,Schaf::N,тта,qo'y
145,Schwein::N,дунгъуз,cho'chqa
146,Hund::N,ккаччи,it
147,Katze::N,ччиту,mushuk
148,Bär::N,цуша,ayiq
149,Eichhörnchen::N,бюрхттукку,tiyin
150,Elch::N,ниц-бюрин,los
151,Fuchs::N,цулчӏа,tulki
152,Fuchs::N,куча цулчӏа,tulki
153,Hase::N,бюрх,kuyon
154,Maus::N,кӏулу,sichqon
155,Wolf::N,барцӏ,bo'ri
156,Vogel::N,лелуххи,qush
157,Schwarm::N,гьухъала,to'da
158,Huhn::N,аьнакӏи,tovuq
159,Hahn::N,ажари,xo'roz
160,Gans::N,къаз,g'oz
161,Adler::N,барзу,burgut
162,Ente::N,урдак,o'rdak
163,Eule::N,ису,boyo'g'li
164,Eule::N,ччиккумяв,boyo'g'li
165,Kranich::N,кьурукь,turna
166,Krähe::N,хъатӏу,qarg'a
167,Kuckuck::N,ччикку,kakku
168,Schwan::N,урттил къаз,oqkush
169,Fisch::N,чавахъ,baliq
170,Schlange[Tier]::N,шатта,ilon
171,Wurm::N,кьюнукьай шатта,qurt
172,Spinne::N,ххялцу,o'rgimchak
173,Ameise::N,митӏикьукьу,chumoli
174,Mücke::N,мичӏак,chivin
175,Fliege::N,зимиз,pashsha
176,Schmetterling::N,чӏимучӏали,kapalak
177,Beere::N,хӏаллил ахъулсса,meva
178,Apfel::N,гьивч,olma
179,Pilz::N,ттуккул иис,qo'ziqorin
180,Zwiebel::N,лаччул чсмусул бакӏ,piyoz
181,Saat::N,гьанна,äkin
182,Korn::N,къама,zarra
183,Heu::N,ххулув,xashak
184,Schale::N,ккиртту,po'choq
185,Grube::N,кӏаланг,co'ra
186,Falle::N,къатӏа,qopqon
187,Schlinge::N,хӏатӏ,sirtmoq
188,Spur::N,ша,iz
189,Asche::N,лах,kul
190,Dreck::N,кьяркьи,kir
191,Dreck::N,венп,kir
192,Eisen::N,мах,temir
193,Gold::N,муси,tilla
194,Silber::N,арцу,kumush
195,Kohle::N,кӏалаш,ko'mir
196,Kohle::N,хъуручӏ,ko'mir
197,Glas::N,пюрун,oyna
198,Lehm::N,сина аьрщи,loy
199,Sand::N,къун,qum
200,Mensch::N,инсан,odam
201,Mann::N,чув,ärkak
202,Mann::N,адимина,ärkak
203,Frau::N,щарсса,ayol
204,Frau::N,хъамитайпа,ayol
205,Kind::N,чӏиви оьрчӏ,bola
206,Kind::N,чӏиви оьрчӏ,kichkintoy
207,Junge::N,оьрчӏ,bola
208,Junge::N,бурхьин оьрчӏ,bola
209,Mädchen::N,душ,qiz
210,Familie::N,кулпат,oila
211,Großvater::N,ттатта,buva
212,Großvater::N,ттатта,katta ota
213,Großvater::N,ниттил ппу,buva
214,Großvater::N,ниттил ппу,katta ota
215,Großmutter::N,буттал нину,buvi
216,Großmutter::N,буттал нину,katta oyi
217,Eltern::N,нину-ппу,ota-ona
218,Vater::N,ппу,ota
219,Mutter::N,нину,ona
220,Sohn::N,арс,o'g'il
221,Tochter::N,душ,qiz
222,Bruder::N,уссу,og'a
223,Bruder::N,уссу,uka
224,Schwester::N,ссу,opa
225,Schwester::N,ссу,singil
226,Onkel::N,буттауссу,amaki
227,Tante::N,буттал ссу,amma
228,Tante::N,буттал ссу,xola
229,Ehemann::N,лас,är
230,Ehefrau::N,щар,rafiqa
231,Ehefrau::N,щарсса,rafiqa
232,Freude::N,шадшиву,ayish
233,Freude::N,ххаришиву,ayish
234,Gelächter::N,хъяхъаву,kulgi
235,Glück::N,талихӏ,saodat
236,Kummer::N,дард,g'am
237,Wunsch::N,мурад,orzu
238,Lust::N,гьавас,rag'bat
239,Lust::N,ччаву,rag'bat
240,Geist::N,рухӏ,ruh
241,Gedanke::N,пикри,fikr
242,Gedächtnis::N,дакӏний личӏаву,äs
243,Verstand::N,аькьлу,aql
244,Sinn::N,мяъна,ma'ni
245,Grund::N,багьана,sabab
246,Wahrheit::N,тӏайламур,haq
247,Wahrheit::N,хӏакьмур,haq
248,Gespräch::N,ихтилат,gap
249,Märchen::N,магьа,ärtak
250,Erzählung::N,хавар,rivoyat
251,Nachricht::N,хавар,xabar
252,Neuigkeit::N,хавар,yangilik
253,Name::N,цӏа,ot
254,Rätsel::N,ссигьа,topishmoq
255,Rede::N,гъалгъа,nutq
256,Sprache::N,маз,til
257,Stimme::N,чӏу,ovoz
258,Stimme::N,чӏукӏа,ovoz
259,Wort::N,махъ,so'z
260,Zeichen::N,лишан,alomat
261,Lärm::N,чӏу,taraq
262,Laut::N,чӏу,tovush
263,Ton::N,чӏу,un
264,Lied::N,балай,ashula
265,Ruhe::N,дигьалагру,tinchlik
266,Leute::N,инсантал,xaloyiq
267,Volk::N,ил,xalq
268,Volk::N,халкь,xalq
269,Arbeit::N,заву,ish
270,Gast::N,хъамаличу,mehmon
271,Geschenk::N,бухчакарши,hadya
272,Geschenk::N,лажинккакку,hadya
273,Spiel::N,тӏуркӏу,o'yin
274,Gesellschaft::N,жямат,jamiyat
275,Gesellschaft::N,ккуран,jamiyat
276,Hilfe::N,кумаг,yordam
277,Freund::N,дус,do'st
278,Kamerad::N,хӏаласу,yo'ldosh
279,Angelegenheit::N,иш,daxl
280,Anzahl::N,аьдад,son
281,Art::N,жинс,tur
282,Stück::N,касак,parcha
283,Teil::N,бутӏа,bo'lak
284,Hälfte::N,дачӏи,yarim
285,Kreis::N,кюрщан,aylana
286,Kreuz::N,ххач,xoch
287,Linie::N,щва,liniya
288,Strich::N,щва,chiziq
289,Abstand::N,манзил,oralik
290,Entfernung::N,манзил,uzoqlik
291,Gegend::N,кӏану,yer
292,Ort::N,кӏану,joy
293,Seite::N,чул,yon
294,Seite::N,чулухалу,yon
295,Mitte::N,дя,o'rta
296,Gegenstand::N,зат,ashyo
297,Sache::N,зат,buyum
298,Rand::N,зума,chek
299,Ecke::N,мурцӏу,burchak
300,Spitze::N,мицӏ,uch
301,Ende::N,зума,oxir
302,Loch::N,ккутӏ,teshik
303,Winkel::N,мурцӏу,go'sha
304,Muster::N,накьич,nusha
305,Länge::N,лахъишиву,uzunlik
306,Höhe::N,лахъшиву,yuksaklik
307,Gewicht::N,дуццин,solmoq
308,Gewicht::N,кӏушиву,solmoq
309,Haufen::N,бакӏу,uyum
310,Reihe::N,кьюкьа,saf
311,Boot::N,луткка,qayiq
312,Ruder::N,весло,äshkak
313,Ruder::N,чӏатӏа,äshkak
314,Schlitten::N,чана,chana
315,Schlitten::N,санкка,chana
316,Ski::N,лижарду,chang'i
317,Lagerfeuer::N,къавтӏн,gulxan
318,Last::N,гьиву,yuk
319,Gang::N,нанаву,yurish
320,Schritt::N,ша,qadam
321,Norden::N,ухссав,shimol
322,Norden::N,ухссавнил чулухалу,shimol
323,Süden::N,кьилва,janub
324,Westen::N,баргълагавал,g'arb
325,Westen::N,баргълагавал чул,g'arb
326,Osten::N,баргъбуккай чулухалу,sharq
327,Holz::N,тӏама,yog'och
328,Brett::N,тахта,taxta
329,Platte::N,гъуни,tabaqa
330,Stütze::N,гьалакӏу,tayanchi
331,Stange::N,къазихъ,qo'noq
332,Stock::N,ттархь,tayoq
333,Stab::N,ччантӏакъу,gavron
334,Rohr::N,бургъу,tarnov
335,Haus::N,къатта,uy
336,Heim::N,къатта,makon
337,Ofen::N,пач,pechka
338,Fußboden::N,чӏанкъатта,pol
339,Tisch::N,усттул,mosa
340,Stuhl::N,кӏану,o'rindiq
341,Wiege::N,оьрчӏал кӏану,beshik
342,Bett::N,тах,yotoq
343,Regal::N,чӏаму,tokcha
344,Kiste::N,яшикӏ,sandiq
345,Kiste::N,къурши,sandiq
346,Fenster::N,чӏавахьулу,deraza
347,Tür::N,нуз,äshik
348,Tür::N,нузкьун,äshik
349,Tor::N,къапу,darvoza
350,Tor::N,дарваза,darvoza
351,Zaun::N,дайгьузанну,panjara
352,Dach::N,магъи,tom
353,Dach::N,цӏиялу,tom
354,Leiter::N,чуртту,narvon
355,Besen::N,чӏатлу,supurgi
356,Spaten::N,бил,bel
357,Schaufel::N,чӏатӏа,kurak
358,Gabel::N,гьиссилу,bilka
359,Löffel::N,къуса,qoshiq
360,Messer::N,чӏила,pichoq
361,Nagel::N,мяр,mix
362,Netz::N,къери,to'r
363,Haken::N,къича,ilgak
364,Griff::N,куяму,sop
365,Griff::N,куяму,tutqich
366,Schloss::N,кьункьула,qulf
367,Bild::N,сурат,rasm
368,Puppe::N,ссихьу,ko'g'irchoq
369,Beutel::N,чантай,to'rva
370,Bündel::N,гьи,bog'lam
371,Bündel::N,къар,bog'lam
372,Eimer::N,бадра,chelak
373,Deckel::N,къапаза,qopqoq
374,Geschirr::N,пюрунчӏул,idish
375,Geschirr::N,тӏахӏникӏичӏу,idish
376,Sack::N,къап,qop
377,Sack::N,дарваг,qop
378,Tasse::N,пижан,piyola
379,Tasse::N,пинжан,piyola
380,Tasse::N,инкираччатӏи,piyola
381,Tasse::N,цинцилттал бушкъап,piyola
382,Topf::N,кӏункӏур,tuvak
383,Kessel::N,чаг,qozon
384,Kessel::N,кӏункӏур,qozon
385,Essen::N,дукия,tomoq
386,Essen::N,дукин,tomoq
387,Nahrung::N,дукра,emak
388,Speise::N,дукра,taom
389,Fleisch::N,дикӏ,go'sht
390,Getreide::N,къама,g'alla
391,Brei::N,ккурч,bo'tqa
392,Brot::N,ччатӏ,non
393,Scheibe::N,парча,disk
394,Fett::N,аьгъушиву,moy
395,Butter::N,нагь,yog'
396,Butter::N,лагаву,yog'
397,Salz::N,цӏву,tuz
398,Suppe::N,накь,sho'rva
399,Honig::N,ницӏ,asal
400,Milch::N,накӏ,sut
401,Tee::N,чяй,choy
402,Leder::N,бурчу,charm
403,Wolle::N,ппал,jun
404,Stoff::N,янна,mato
405,Nadel::N,ххалаххи,igna
406,Faden::N,ххал,ip
407,Knopf::N,банд,tugma
408,Knoten::N,къурхъ,tugun
409,Farbe::N,сир,bo'yok
410,Kleidung::N,янна,kiyim
411,Kleidung::N,лаххия,kiyim
412,Hemd::N,гьухъа,ko'ylak
413,Kragen::N,дарвач,yoqa
414,Ärmel::N,кахха,yeng
415,Hose::N,хӏажак,shim
416,Gürtel::N,мухӏлу,tasma
417,Mütze::N,кьяпа,shapka
418,Stiefel::N,чакма,botinka
419,Ring::N,кӏисса,yuzuk
420,Band::N,линт,rishta
421,Kamm::N,ттарал,taroq
422,Spiegel::N,дагьани,ko'zgu
423,Riemen::N,эн,qayish
424,Schnur::N,хьхьа,bog'ich
425,Decke::N,виргъан,odyol
426,Kissen::N,кӏаралу,yostiq
427,Tuch::N,карщи,gazlama
428,Handtuch::N,калихьу,sochiq
429,Handtuch::N,лажинлихьу,sochiq
430,Kraft::N,эллаж,kuch
431,Stärke::N,гуж,quvvat
432,Gesundheit::N,цӏуллу-сагъшиву,sog'lik
433,Krankheit::N,къашайшиву,kasallik
434,Schmerz::N,къюву,og'riq
435,Wunde::N,щаву,yara
436,Fieber::N,кӏиришиву,bezgak
437,Arznei::N,дару,dori
438,Brücke::N,ламу,ko'prik
439,Brunnen::N,къуй,buloq
440,Weide::N,бизантту,yaylov
441,Pfad::N,жегъир ххуллу,dorojka
442,Weg::N,ххуллу,yo'l
443,Straße::N,ххуллу,ko'cha
444,Dorf::N,щар,ovul
445,Dorf::N,шяравалу,ovul
446,Stadt::N,шагьру,shahar
447,Brief::N,чагъар,maktub
448,Buch::N,лу,kitob
449,Buchstabe::N,хӏарп,harf
450,Zeitung::N,кказит,gazet
451,Leben::N,оьрму,hayot
452,Tod::N,ажал,o'lim
453,Tod::N,бивкӏу,o'lim
454,Tod::N,ивчӏаву,o'lim
455,Grab::N,гьав,go'r
456,Kirche::N,килиса,cherkov
457,Sünde::N,бунагъ,gunoh
458,Gott::N,зал,olloh
459,Arbeiter::N,зузала,ishchi
460,Chef::N,ялувма,rais
461,Meister::N,усттар,usta
462,Arzt::N,хӏакин,hakim
463,Lehrer::N,учитель,muallim
464,Geld::N,арцу,pul
465,Geschäft::N,даву,savdo
466,Laden::N,ттучан,do'kon
467,Preis::N,багъа,baho
468,Ware::N,хъус,mol
469,Nutzen::N,хайр,foyda
470,Nutzen::N,мюнпат,foyda
471,Reichtum::N,давлат,boylik
472,Reichtum::N,аваданшиву,boylik
473,Welt::N,дуниял,olam
474,Land::N,билаят,o'lka
475,Staat::N,паччахӏлугъ,davlat
476,Macht::N,власть,iqtidor
477,Grenze::N,дазу,chegara
478,Krieg::N,дяъви,harb
479,Feind::N,душман,dushman
480,Gewalt::N,къия,zo'rlik
481,Kampf::N,лачӏуи уккаву,kurash
482,Bogen[Waffe]::N,ккуртта,yoy
483,Pfeil::N,чӏатӏаракӏ,o'q
484,Gewehr::N,ттупанг,vintovka
485,Fehler::N,гъалатӏ,xato
486,Lüge::N,щялмахъ,yolg'on
487,Schaden::N,зарал,ziyon
488,Unglück::N,бала,balo
489,Schuld::N,тахсир,ayb
490,Alter::N,оьрму,yosh
491,Schluss::N,ахир,tamom
492,Zeit::N,чӏун,vaqt
493,Tag::N,кьини,kun
494,Morgen::N,кӏюрх,saboh
495,Mittag::N,ахттайн,kun tushlik
496,Mittag::N,дяахттайн,kun tushlik
497,Mittag::N,ахттайн чӏун,kun tushlik
498,Abend::N,маркӏачӏан,oqshom
499,Nacht::N,хьхьу,tun
500,Woche::N,нюжмар,hafta
501,Monat::N,барз,oy
502,Jahr::N,шин,yil
503,Frühling::N,инт,bahor
504,Sommer::N,гъи,yoz
505,Herbst::N,ссут,kuz
506,Herbst::N,ссут,xazon
507,Winter::N,кӏи,qish
508,Januar::N,цалчинмур барз,yanvar'
509,Februar::N,кӏилчинмур барз,fevral'
510,März::N,шамилчинмур барз,mart
511,April::N,апрель,aprel'
512,April::N,мукьилчинмур барз,aprel'
513,Mai::N,май,may
514,Mai::N,ххюлчинмур барз,may
515,Juni::N,июнь,iyun'
516,Juni::N,ряххилчинмур барз,iyun'
517,Juli::N,июль,iyul'
