,Concept_ID,fr,cv
0,Auge::N,œil,куҫ
1,Ohr::N,oreille,хӑлха
2,Nase::N,nez,сӑмса
3,Mund::N,bouche,ҫӑвар
4,Zahn::N,dent,шӑл
5,Zunge::N,langue,чӗлхе
6,Lippe::N,lèvre,тута
7,Wange::N,joue,пит ҫӑмарти
8,Gesicht::N,face,пит
9,Gesicht::N,face,пит-куҫ
10,Gesicht::N,visage,пит
11,Gesicht::N,visage,пит-куҫ
12,Stirn::N,front,ҫамка
13,Haar::N,cheveu,ҫӳҫ
14,Schnurrbart::N,moustache,усси
15,Bart::N,barbe,сухал
16,Kinn::N,menton,янах
17,Kiefer[Anatomie]::N,mâchoire,янах
18,Kehle::N,gorge,пыр
19,Kehle::N,gorge,карланкӑ
20,Hals::N,cou,пыр
21,Genick::N,nuque,ӗнсе
22,Kopf::N,tête,пуҫ
23,Rücken::N,dos,ҫурӑм
24,Bauch::N,ventre,
25,Nabel::N,nombril,кӑвапа
26,Busen::N,sein,кӑкӑр
27,Brust::N,poitrine,умӗ
28,Schulter::N,épaule,хул пуҫҫи
29,Arm::N,bras,алӑ
30,Ellenbogen::N,coude,чавса
31,Hand::N,main,алӑ сыппи
32,Handfläche::N,paume,ал лаппи
33,Finger::N,doigt,пӳрне
34,Fingernagel::N,ongle,чӗрне
35,Nagel[Anatomie]::N,ongle,чӗрне
36,Zeh::N,orteil,пӳрне
37,Zeh::N,doigt de pied,пӳрне
38,Fuß::N,pied,ура лаппи
39,Ferse::N,talon,кӗле
40,Knie::N,genou,чӗркуҫҫи
41,Oberschenkel::N,cuisse,пӗҫӗ
42,Bein::N,jambe,ура
43,Körper::N,corps,ӳт
44,Körper::N,corps,ӳт-пӳ
45,Haut::N,peau,тир
46,Blut::N,sang,юн
47,Ader::N,veine,вена
48,Sehne::N,tendon,шӑнӑр
49,Knochen::N,os,шӑмӑ
50,Gehirn::N,cerveau,миме
51,Herz::N,cœur,чӗре
52,Magen::N,estomac,хырӑмлӑх
53,Leber::N,foie,пӗвер
54,Atem::N,haleine,сывлав
55,Hunger::N,faim,выҫлӑх
56,Träne::N,larme,куҫҫуль
57,Geschmack::N,goût,техӗм
58,Geschmack::N,saveur,техӗм
59,Geruch::N,odeur,шӑршӑ
60,Schlaf::N,sommeil,ыйхӑ
61,Traum::N,songe,тӗлӗк
62,Himmel::N,ciel,пӗлӗт
63,Sonne::N,soleil,хӗвел
64,Mond::N,lune,уйӑх
65,Stern::N,étoile,ҫӑлтӑр
66,Luft::N,air,сывлӑш
67,Wind::N,vent,ҫил
68,Welle::N,vague,хум
69,Wasser::N,eau,шыв
70,Wasser::N,eau,шыв-шур
71,Stein::N,pierre,чул
72,Boden::N,sol,тӑпра
73,Boden::N,terrain,тӑпра
74,Erde::N,terre,ҫӗр
75,Staub::N,poussière,тусан
76,Rauch::N,fumée,тӗтӗм
77,Funke::N,étincelle,хӗм
78,Feuer::N,feu,вут
79,Feuer::N,feu,ҫулӑм
80,Licht::N,lumière,ҫутӑ
81,Schatten::N,ombre,сулхӑн
82,Wetter::N,temps,ҫанталӑк
83,Nebel::N,brume,тӗтре
84,Nebel::N,brouillard,тӗтре
85,Wolke::N,nuage,пӗлӗт
86,Regen::N,pluie,ҫумӑр
87,Schnee::N,neige,юр
88,Eis::N,glace,пӑр
89,Frost::N,gel,сивӗ
90,Frost::N,gelée,сивӗ
91,Kälte::N,froid,сивӗ
92,Hitze::N,chaleur,вӗри
93,Hitze::N,chaleur,шӑрӑх
94,Raureif::N,givre,пас
95,Regenbogen::N,arc-en-ciel,асамат кӗперӗ
96,Donner::N,tonnerre,аслати
97,Strömung::N,courant,юхӑ
98,Tropfen::N,goutte,тумлам
99,Schaum::N,écume,кӑпӑк
100,Schaum::N,mousse,кӑпӑк
101,Schmutz::N,boue,пылчӑк
102,Schmutz::N,saleté,пылчӑк
103,See::N,lac,кӳлӗ
104,Sumpf::N,marais,шур
105,Sumpf::N,marais,шурлӑх
106,Sumpf::N,marécage,шур
107,Sumpf::N,marécage,шурлӑх
108,Moor::N,tourbière,торфлӑ шурлӑх
109,Wiese::N,pré,улӑх
110,Wiese::N,pré,ҫаран
111,Wald::N,bois,вӑрман
112,Wald::N,forêt,вӑрман
113,Hügel::N,coteau,сӑрт
114,Hügel::N,coteau,тӗмеске
115,Hügel::N,colline,сӑрт
116,Hügel::N,colline,тӗмеске
117,Anhöhe::N,éminence,сӑрт
118,Anhöhe::N,élévation,сӑрт
119,Berg::N,mont,ту
120,Berg::N,montagne,ту
121,Gipfel::N,cime,тӳпе
122,Gipfel::N,sommet,тӳпе
123,Höhle::N,caverne,ҫӗр хӑвӑлӗ
124,Abhang::N,pente,тӑвайкки
125,Abhang::N,versant,тӑвайкки
126,Quelle::N,source,ҫӑл куҫ
127,Quelle::N,fontaine,ҫӑл куҫ
128,Bach::N,ruisseau,пӗчӗк шыв
129,Fluss::N,fleuve,юхан шыв
130,Fluss::N,rivière,юхан шыв
