,Concept_ID,hy,cy
0,Auge::N,աչք,llygad
1,Ohr::N,ականջ,clust
2,Nase::N,քիթ,trwyn
3,Mund::N,բերան,ceg
4,Zahn::N,ատամ,dant
5,Zunge::N,լեզու,tafod
6,Lippe::N,շրթունք,gwefus
7,Wange::N,այտ,boch
8,Wange::N,թուշ,boch
9,Gesicht::N,դեմք,wyneb
10,Stirn::N,ճակատ,talcen
11,Haar::N,մազ,blew
12,Schnurrbart::N,բեղ,mwstas
13,Bart::N,մորուք,barf
14,Kinn::N,կզակ,gên
15,Kiefer[Anatomie]::N,ծնոտ,gên
16,Kehle::N,կոկորդ,gwddf
17,Hals::N,վիզ,gwddf
18,Hals::N,պարանոց,gwddf
19,Genick::N,ծոծրակ,gwar
20,Genick::N,ծոծրակ,gwegil
21,Kopf::N,գլուխ,pen
22,Rücken::N,մեջք,cefn
23,Bauch::N,փոր,bol
24,Bauch::N,որովայն,bol
25,Nabel::N,պորտ,bogail
26,Busen::N,ծոց,bron
27,Brust::N,կուրծք,brest
28,Schulter::N,ուս,ysgwydd
29,Arm::N,թեւ,braich
30,Arm::N,բազուկ,braich
31,Ellenbogen::N,արմունկ,penelin
32,Hand::N,ձեռք,llaw
33,Handfläche::N,ափ,palf
34,Finger::N,մատ,bys
35,Fingernagel::N,եղունգ,ewin
36,Nagel[Anatomie]::N,եղունգ,ewin
37,Zeh::N,ոտքի մատ,bys troed
38,Fuß::N,ոտք,troed
39,Ferse::N,գարշապար,sawdl
40,Knie::N,ծունկ,glin
41,Oberschenkel::N,ազդր,clun
42,Bein::N,ոտք,coes
43,Körper::N,մարմին,corff
44,Haut::N,մաշկ,croen
45,Blut::N,արյուն,gwaed
46,Ader::N,երակ,gwythïen
47,Sehne::N,ջիղ,gewyn
48,Sehne::N,ձգտան,gewyn
49,Knochen::N,ոսկոր,asgwrn
50,Gehirn::N,խելք,ymennydd
51,Herz::N,սիրտ,calon
52,Magen::N,ստամոքս,cylla
53,Magen::N,ստամոքս,stumog
54,Leber::N,լյարդ,iau
55,Atem::N,շունչ,anadl
56,Hunger::N,քաղց,newyn
57,Träne::N,արտասուք,deigryn
58,Geschmack::N,համ,cyflas
59,Geschmack::N,բուրմունք,cyflas
60,Geruch::N,հոտ,aroglau
61,Geruch::N,բուրում,aroglau
62,Schlaf::N,քուն,cwsg
63,Traum::N,երազ,breuddwyd
64,Himmel::N,երկինք,awyr
65,Sonne::N,արեւ,haul
66,Mond::N,լուսին,lleuad
67,Stern::N,աստղ,seren
68,Luft::N,օդ,awyr
69,Wind::N,քամի,gwynt
70,Welle::N,ալիք,ton
71,Wasser::N,ջուր,dŵr
72,Stein::N,քար,carreg
73,Boden::N,գետին,llawr
74,Erde::N,հող,pridd
75,Staub::N,փոշի,llwch
76,Rauch::N,ծուխ,mwg
77,Funke::N,կայծ,gwreichioni
78,Feuer::N,կրակ,tân
79,Feuer::N,հրդեհ,tân
80,Licht::N,լույս,golau
81,Schatten::N,ստվեր,cysgod
82,Wetter::N,եղանակ,tywydd
83,Nebel::N,մեգ,niwl
84,Nebel::N,մառախուղ,niwl
85,Wolke::N,ամպ,cwmwl
86,Regen::N,անձրև,glaw
87,Schnee::N,ձյուն,ôd
88,Schnee::N,ձյուն,eira
89,Eis::N,սառույց,iâ
90,Frost::N,սառնամանիք,rhew
91,Kälte::N,դող,oerni
92,Kälte::N,դող,annwyd
93,Hitze::N,շոգ,gwres
94,Raureif::N,ցօղեղեամ,barrug
95,Regenbogen::N,ծիածան,enfys
96,Donner::N,որոտ,tyrfau
97,Strömung::N,հոսանք,cerrynt
98,Tropfen::N,կաթիլ,dafn
99,Tropfen::N,կաթիլ,diferyn
100,Schaum::N,փրփուր,ewyn
101,Schmutz::N,կեղտ,baw
102,Schmutz::N,կեղտ,budreddi
103,See::N,լիճ,llyn
104,Sumpf::N,ճահիճ,cors
105,Moor::N,ճահիճ,rhos
106,Wiese::N,մարգագետին,dôl
107,Wald::N,անտառ,coedwig
108,Hügel::N,բլուր,bryn
109,Anhöhe::N,բարձունք,bryn
110,Berg::N,լեռ,mynydd
111,Gipfel::N,գագաթ,copa
112,Gipfel::N,կատար,copa
113,Höhle::N,քարայր,ogof
114,Abhang::N,լանջ,llethr
115,Abhang::N,զառիվայր,llethr
116,Quelle::N,աղբյուր,tarddiad
117,Quelle::N,աղբյուր,ffynhonnell
118,Bach::N,վտակ,nant
119,Bach::N,վտակ,afonig
120,Bach::N,վտակ,cornant
121,Fluss::N,գետ,afon
122,Ufer::N,ծովափ,glan
123,Küste::N,ափ,traeth
124,Küste::N,ափ,arfordir
125,Küste::N,ծովափ,traeth
126,Küste::N,ծովափ,arfordir
127,Festland::N,ցամաք,tir
128,Meer::N,ծով,môr
129,Bucht::N,հաչիւն,bae
130,Insel::N,վղզի,ynys
131,Blume::N,ծաղիկ,blodyn
132,Gras::N,խոտ,glaswellt
133,Wurzel::N,արմատ,gwreiddyn
134,Baum::N,ծառ,coeden
135,Stamm::N,իրան,colfen
136,Stamm::N,իրան,boncyff
137,Rinde::N,կեղեւ,rhisgl
138,Rinde::N,հաչոց,rhisgl
139,Ast::N,ճյուղ,cangen
140,Zweig::N,ճյուղ,cainc
141,Zweig::N,ճյուղ,cangen
142,Blatt::N,տերեւ,deilen
143,Birke::N,ցարասի,bedwen
144,Kiefer[Baum]::N,սոճի,pinwydden
145,Weide[Baum]::N,ուռենի,helygen
146,Tanne::N,եղեւին,ffynidwydden
147,Feder::N,փետուր,plufyn
148,Fell::N,մորթի,ffwr
149,Flügel::N,թեւ,adain
150,Klaue::N,չանչ,crafanc
151,Kralle::N,ճանկ,ewin
152,Schwanz::N,պոչ,cwt
153,Schwanz::N,պոչ,cynffon
154,Ei::N,ձու,wy
155,Nest::N,բույն,nyth
156,Bau::N,որջ,ffau
157,Bau::N,բայոց,ffau
158,Tier::N,կենդանի,anifail
159,Herde::N,հոտ,praidd
160,Herde::N,հոտ,diadell
161,Kuh::N,կով,buwch
162,Bulle::N,ցուլ,tarw
163,Pferd::N,ձի,ceffyl
164,Schaf::N,ոչխար,dafad
165,Schwein::N,խոզ,mochyn
166,Hund::N,շուն,ci
167,Katze::N,կատու,cath
168,Bär::N,արջ,arth
169,Eichhörnchen::N,սկյուռ,gwiwer
170,Elch::N,հիւսիսային եղջերու,elc
171,Fuchs::N,աղվես,cadno
172,Hase::N,նապաստակ,ysgyfarnog
173,Maus::N,մուկ,llygoden
174,Wolf::N,գայլ,blaidd
175,Vogel::N,թռչուն,aderyn
176,Schwarm::N,երամ,haid
177,Huhn::N,հավ,cyw
178,Hahn::N,աքաղաղ,ceiliog
179,Gans::N,սագ,gŵydd
180,Adler::N,արծիվ,eryr
181,Ente::N,բադ,hwyad
182,Eule::N,բու,tylluan
183,Kranich::N,կռունկ,garan
184,Kranich::N,կռունկ,crychydd
185,Krähe::N,ագռավ,brân
186,Kuckuck::N,կուկու,cog
187,Kuckuck::N,կուկու,cwcw
188,Schwan::N,կարապ,alarch
189,Fisch::N,ձուկ,pysgod
190,Barsch::N,պերկես,draenog
191,Hecht::N,գայլաձուկ,penhwyad
192,Schlange[Tier]::N,օձ,neidr
193,Wurm::N,որդ,abwydyn
194,Wurm::N,որդ,pryf genwair
195,Wurm::N,ճիճու,abwydyn
196,Wurm::N,ճիճու,pryf genwair
197,Spinne::N,սարդ,cor
198,Spinne::N,սարդ,pryf copyn
199,Ameise::N,միջյուն,morgrugyn
200,Laus::N,ոջիլ,lleuen
201,Mücke::N,մժղուկ,gwybedyn
202,Fliege::N,ճանճ,cleren
203,Schmetterling::N,թիթեռ,glöyn byw
204,Schmetterling::N,թիթեռ,iâr fach yr haf
205,Beere::N,հատապտուղ,aeronen
206,Apfel::N,խնձոր,afal
207,Pilz::N,սունկ,madarch
208,Zwiebel::N,սոխ,nionyn
209,Zwiebel::N,սոխ,winwnsyn
210,Saat::N,սերմ,had
211,Korn::N,հատիկ,grawn
212,Heu::N,խոտ,gwair
213,Schale::N,կեղեւ,croen
214,Schale::N,կեղեւ,plisgyn
215,Grube::N,փոս,pwll
216,Grube::N,փոս,pydew
217,Falle::N,ծուղակ,magl
218,Schlinge::N,խեղդան,cwlwm rhedeg
219,Spur::N,հետք,ôl
220,Asche::N,մոխիր,lludw
221,Dreck::N,աղտ,baw
222,Dreck::N,աղտ,budreddi
223,Eisen::N,երկաթ,haearn
224,Gold::N,ոսկի,aur
225,Silber::N,արծաթ,arian
226,Kohle::N,քարածուխ,glo
227,Glas::N,ապակի,gwydr
228,Lehm::N,կավ,clai
229,Sand::N,ավազ,tywod
230,Mensch::N,մարդ,dyn
231,Mann::N,մարդ,dyn
232,Mann::N,տղամարդ,dyn
233,Frau::N,կին,merch
234,Frau::N,կին,gwraig
235,Kind::N,զավակ,plentyn
236,Junge::N,տղա,hogyn
237,Junge::N,տղա,bachgen
238,Mädchen::N,աղջիկ,merch
239,Mädchen::N,աղջիկ,geneth
240,Familie::N,ընտանիք,teulu
241,Familie::N,ընտանիք,tylwyth
242,Großvater::N,պապ,taid
243,Großvater::N,պապ,tad-cu
244,Großmutter::N,տատ,nain
245,Großmutter::N,տատ,mam-gu
246,Eltern::N,ծնողներ,rhieni
247,Vater::N,հայր,tad
248,Mutter::N,մայր,mam
249,Sohn::N,որդի,mab
250,Tochter::N,աղջիկ,merch
251,Tochter::N,դուստր,merch
252,Bruder::N,եղբայր,brawd
253,Schwester::N,քույր,chwaer
254,Onkel::N,քեռի,ewythr
255,Onkel::N,հորեղբայր,ewythr
256,Tante::N,մորաքույր,modryb
257,Ehemann::N,մարդ,gŵr
258,Ehemann::N,ամուսին,gŵr
259,Ehefrau::N,կին ամուսին,gwraig
260,Freude::N,ուրախություն,gorfoledd
261,Gelächter::N,ծիծաղ,chwerthin
262,Glück::N,երջանկություն,hapusrwydd
263,Kummer::N,վիշտ,galar
264,Wunsch::N,ցանկություն,dymuniad
265,Lust::N,փափագ,chwant
266,Lust::N,իղձ,chwant
267,Geist::N,ոգի,ysbryd
268,Gedanke::N,միտք,meddwl
269,Gedächtnis::N,հիշողություն,cof
270,Verstand::N,խելք,meddwl
271,Sinn::N,իմաստ,ystyr
272,Grund::N,պատճառ,achos
273,Grund::N,պատճառ,rheswm
274,Wahrheit::N,ճշմարտություն,gwir
275,Wahrheit::N,ճշմարտություն,gwirionedd
276,Gespräch::N,զրույց,sgwrs
277,Märchen::N,պայիկի պատմություն,chwedl werin
278,Erzählung::N,պատմվածք,stori
279,Erzählung::N,պատմություն,stori
280,Nachricht::N,հաղորդագրություն,neges
281,Neuigkeit::N,լուր,newydd
282,Neuigkeit::N,նորություն,newydd
283,Name::N,անուն,enw
