,Concept_ID,en,pt
0,Auge::N,eye,olho
1,Ohr::N,ear,orelha
2,Nase::N,nose,nariz
3,Mund::N,mouth,boca
4,Zahn::N,tooth,dente
5,Zunge::N,tongue,língua
6,Lippe::N,lip,lábio
7,Wange::N,cheek,face
8,Gesicht::N,face,cara
9,Gesicht::N,face,rosto
10,Stirn::N,forehead,testa
11,Haar::N,hair,cabelo
12,Schnurrbart::N,moustache,bigode
13,Bart::N,beard,barba
14,Kinn::N,chin,queixo
15,Kiefer[Anatomie]::N,jaw,maxila
16,Kiefer[Anatomie]::N,jaw,mandíbula
17,Kehle::N,throat,garganta
18,Hals::N,neck,colo
19,Hals::N,neck,pescoço
20,Genick::N,nape,nuca
21,Kopf::N,head,cabeça
22,Rücken::N,back,dorso
23,Rücken::N,back,costas
24,Rücken::N,spine,dorso
25,Rücken::N,spine,costas
26,Bauch::N,belly,ventre
27,Bauch::N,belly,barriga
28,Nabel::N,navel,umbigo
29,Busen::N,bosom,seio
30,Brust::N,chest,peito
31,Brust::N,breast,peito
32,Schulter::N,shoulder,ombro
33,Arm::N,arm,braço
34,Ellenbogen::N,elbow,cotovelo
35,Hand::N,hand,mão
36,Handfläche::N,palm,palma
37,Handfläche::N,palm,palma da mão
38,Finger::N,finger,dedo
39,Fingernagel::N,fingernail,unha
40,Nagel[Anatomie]::N,nail,unha
41,Zeh::N,toe,dedo do pé
42,Fuß::N,foot,pé
43,Ferse::N,heel,calcanhar
44,Knie::N,knee,joelho
45,Oberschenkel::N,thigh,coxa
46,Bein::N,leg,perna
47,Körper::N,body,corpo
48,Haut::N,skin,pele
49,Blut::N,blood,sangue
50,Ader::N,vein,veia
51,Sehne::N,sinew,tendão
52,Knochen::N,bone,osso
53,Gehirn::N,brain,cérebro
54,Herz::N,heart,coração
55,Magen::N,stomach,estômago
56,Leber::N,liver,fígado
57,Atem::N,breath,fôlego
58,Hunger::N,hunger,fome
59,Träne::N,tear,lágrima
60,Geschmack::N,flavour,gosto
61,Geschmack::N,flavor,gosto
62,Geruch::N,odour,odor
63,Geruch::N,odour,cheiro
64,Geruch::N,odor,odor
65,Geruch::N,odor,cheiro
66,Schlaf::N,sleep,sono
67,Traum::N,dream,sonho
68,Himmel::N,sky,céu
69,Sonne::N,sun,sol
70,Mond::N,moon,lua
71,Stern::N,star,estrela
72,Luft::N,air,ar
73,Wind::N,wind,vento
74,Welle::N,wave,onda
75,Wasser::N,water,água
76,Stein::N,stone,pedra
77,Boden::N,soil,solo
78,Boden::N,ground,solo
79,Erde::N,earth,terra
80,Staub::N,dust,pó
81,Rauch::N,smoke,fumo
82,Funke::N,spark,faísca
83,Funke::N,spark,centelha
84,Feuer::N,fire,fogo
85,Licht::N,light,luz
86,Schatten::N,shadow,sombra
87,Wetter::N,weather,tempo
88,Nebel::N,fog,nevoeiro
89,Wolke::N,cloud,nuvem
90,Regen::N,rain,chuva
91,Schnee::N,snow,neve
92,Eis::N,ice,gelo
93,Frost::N,frost,gelo
94,Frost::N,frost,geada
95,Kälte::N,chill,frio
96,Hitze::N,heat,ardor
97,Raureif::N,hoarfrost,geada
98,Regenbogen::N,rainbow,arco-iris
99,Donner::N,thunder,trovão
100,Strömung::N,current,corrente
101,Tropfen::N,drop,gota
102,Schaum::N,foam,espuma
103,Schmutz::N,dirt,sujidade
104,Schmutz::N,dirt,imundície
105,See::N,lake,lago
106,Sumpf::N,swamp,charco
107,Sumpf::N,swamp,pântano
108,Moor::N,moor,pântano
109,Wiese::N,meadow,prado
110,Wald::N,forest,bosque
111,Wald::N,forest,floresta
112,Hügel::N,hill,colina
113,Anhöhe::N,elevation,alto
114,Anhöhe::N,elevation,outeiro
115,Berg::N,mountain,monte
116,Berg::N,mountain,montanha
117,Gipfel::N,summit,pico
118,Höhle::N,cave,caverna
119,Abhang::N,slope,encosta
120,Quelle::N,source,fonte
121,Bach::N,brook,regato
122,Bach::N,brook,ribeiro
123,Fluss::N,river,rio
124,Ufer::N,shore,beira
125,Küste::N,coast,costa
126,Festland::N,land,terra firme
127,Meer::N,sea,mar
128,Bucht::N,cove,baía
129,Insel::N,island,ilha
130,Blume::N,flower,flor
131,Gras::N,grass,erva
132,Wurzel::N,root,raiz
133,Baum::N,tree,árvore
134,Stamm::N,trunk,tronco
135,Rinde::N,bark,casca
136,Ast::N,limb,ramo
137,Zweig::N,branch,galho
138,Blatt::N,leaf,folha
139,Birke::N,birch,bétula
140,Kiefer[Baum]::N,pine,pinheiro
141,Weide[Baum]::N,willow,salgueiro
142,Tanne::N,fir,abeto
143,Horn::N,horn,corno
144,Horn::N,horn,chifre
145,Feder::N,feather,pena
146,Fell::N,fur,pele
147,Flügel::N,wing,asa
148,Klaue::N,claw,pata
149,Kralle::N,claw,unha
150,Kralle::N,claw,garra
151,Schwanz::N,tail,rabo
152,Schwanz::N,tail,cauda
153,Ei::N,egg,ovo
154,Nest::N,nest,ninho
155,Bau::N,lair,toca
156,Bau::N,lair,covil
157,Tier::N,animal,animal
158,Herde::N,flock,rebanho
159,Kuh::N,cow,vaca
160,Bulle::N,bull,touro
161,Pferd::N,horse,cavalo
162,Schaf::N,sheep,ovelha
163,Schwein::N,pig,porco
164,Hund::N,dog,cão
165,Katze::N,cat,gata
166,Bär::N,bear,urso
167,Eichhörnchen::N,squirrel,esquilo
168,Elch::N,elk,alce
169,Fuchs::N,fox,raposa
170,Hase::N,hare,lebre
171,Maus::N,mouse,rato
172,Wolf::N,wolf,lobo
173,Vogel::N,bird,ave
174,Vogel::N,bird,pássaro
175,Schwarm::N,swarm,bando
176,Schwarm::N,swarm,enxame
177,Huhn::N,chicken,galinha
178,Hahn::N,cock,galo
179,Gans::N,goose,ganso
180,Adler::N,eagle,águia
181,Ente::N,duck,pata
182,Eule::N,owl,mocho
183,Eule::N,owl,coruja
184,Kranich::N,crane,grou
185,Krähe::N,crow,gralha
186,Kuckuck::N,cuckoo,cuco
187,Schwan::N,swan,cisne
188,Fisch::N,fish,peixe
189,Barsch::N,perch,perca
190,Hecht::N,pike,lúcio
191,Schlange[Tier]::N,snake,serpente
192,Wurm::N,worm,verme
193,Spinne::N,spider,aranha
194,Ameise::N,ant,formiga
195,Laus::N,louse,piolho
196,Mücke::N,midge,mosquito
197,Fliege::N,fly,mosca
198,Schmetterling::N,butterfly,borboleta
199,Beere::N,berry,bago
200,Apfel::N,apple,maçã
201,Pilz::N,mushroom,fungo
202,Pilz::N,mushroom,cogumelo
203,Zwiebel::N,onion,cebola
204,Saat::N,seed,sementeira
205,Korn::N,grain,grão
206,Heu::N,hay,feno
207,Schale::N,husk,casca
208,Grube::N,pit,cova
209,Grube::N,pit,fossa
210,Falle::N,trap,armadilha
211,Schlinge::N,noose,laço
212,Spur::N,track,pista
213,Spur::N,track,vestígio
