,Concept_ID,xal,de
0,Auge::N,нүдн,Auge
1,Ohr::N,чикн,Ohr
2,Nase::N,хамр,Nase
3,Mund::N,амн,Mund
4,Zahn::N,шүдн,Zahn
5,Zunge::N,келн,Zunge
6,Lippe::N,урл,Lippe
7,Wange::N,халх,Wange
8,Gesicht::N,нүр,Gesicht
9,Stirn::N,маңна,Stirn
10,Haar::N,үсн,Haar
11,Schnurrbart::N,сахл,Schnurrbart
12,Bart::N,сахл,Bart
13,Bart::N,өргнә сахл,Bart
14,Kinn::N,өргн,Kinn
15,Kiefer[Anatomie]::N,өргн,Kiefer
16,Kehle::N,хол,Kehle
17,Hals::N,күзүн,Hals
18,Genick::N,гиҗг,Genick
19,Kopf::N,толһа,Kopf
20,Rücken::N,нурһн,Rücken
21,Bauch::N,гесн,Bauch
22,Nabel::N,киисн,Nabel
23,Busen::N,көкн,Busen
24,Brust::N,чееҗ,Brust
25,Schulter::N,ээм,Schulter
26,Arm::N,һар,Arm
27,Ellenbogen::N,тоха,Ellenbogen
28,Hand::N,баһлцг,Hand
29,Handfläche::N,альхн,Handfläche
30,Finger::N,хурһн,Finger
31,Finger::N,һарин хурһн,Finger
32,Fingernagel::N,хумсн,Fingernagel
33,Nagel[Anatomie]::N,хумсн,Nagel
34,Zeh::N,хурһн,Zeh
35,Zeh::N,көлин хурһн,Zeh
36,Fuß::N,тавг,Fuß
37,Ferse::N,өскә,Ferse
38,Knie::N,өвдг,Knie
39,Oberschenkel::N,һуй,Oberschenkel
40,Bein::N,көл,Bein
41,Körper::N,махмуд,Körper
42,Haut::N,арсн,Haut
43,Blut::N,цусн,Blut
44,Ader::N,судцн,Ader
45,Sehne::N,шүрүсн,Sehne
46,Knochen::N,ясн,Knochen
47,Gehirn::N,экн,Gehirn
48,Herz::N,зүркн,Herz
49,Magen::N,гесн,Magen
50,Leber::N,элкн,Leber
51,Atem::N,әмсхл,Atem
52,Hunger::N,харһнлһн,Hunger
53,Träne::N,нульмсн,Träne
54,Geschmack::N,амтн,Geschmack
55,Geruch::N,үнр,Geruch
56,Schlaf::N,нөр,Schlaf
57,Traum::N,зүүдн,Traum
58,Himmel::N,теңгр,Himmel
59,Sonne::N,нарн,Sonne
60,Mond::N,сар,Mond
61,Stern::N,одн,Stern
62,Luft::N,аһар,Luft
63,Wind::N,салькн,Wind
64,Welle::N,дольган,Welle
65,Wasser::N,усн,Wasser
66,Stein::N,чолун,Stein
67,Boden::N,Һазр,Boden
68,Erde::N,Һазр,Erde
69,Staub::N,тоосн,Staub
70,Rauch::N,утан,Rauch
71,Funke::N,очн,Funke
72,Feuer::N,һал,Feuer
73,Licht::N,герл,Licht
74,Schatten::N,сүүдр,Schatten
75,Wetter::N,теңгр,Wetter
76,Nebel::N,будн,Nebel
77,Wolke::N,үүлн,Wolke
78,Regen::N,хур,Regen
79,Schnee::N,цасн,Schnee
80,Eis::N,мөсн,Eis
81,Frost::N,киитн,Frost
82,Kälte::N,киитн,Kälte
83,Hitze::N,халун,Hitze
84,Raureif::N,цаң,Raureif
85,Raureif::N,кирү,Raureif
86,Regenbogen::N,солңһ,Regenbogen
87,Donner::N,оһтрһун дун,Donner
88,Strömung::N,урсхл,Strömung
89,Tropfen::N,дусал,Tropfen
90,Schaum::N,көөсн,Schaum
91,Schmutz::N,кир,Schmutz
92,See::N,нур,See
