,Concept_ID,ga,cv
0,Auge::N,súil,куҫ
1,Ohr::N,cluas,хӑлха
2,Nase::N,soc,сӑмса
3,Mund::N,béal,ҫӑвар
4,Zahn::N,fiacail,шӑл
5,Zunge::N,teanga,чӗлхе
6,Lippe::N,liopa,тута
7,Wange::N,grua,пит ҫӑмарти
8,Wange::N,leiceann,пит ҫӑмарти
9,Gesicht::N,éadan,пит
10,Gesicht::N,éadan,пит-куҫ
11,Gesicht::N,aghaidh,пит
12,Gesicht::N,aghaidh,пит-куҫ
13,Stirn::N,baithis,ҫамка
14,Stirn::N,clár éadain,ҫамка
15,Haar::N,gruaig,ҫӳҫ
16,Schnurrbart::N,croiméal,усси
17,Bart::N,féasóg,сухал
18,Kinn::N,smig,янах
19,Kiefer[Anatomie]::N,giall,янах
20,Kehle::N,scornach,пыр
21,Kehle::N,scornach,карланкӑ
22,Hals::N,muinéal,пыр
23,Genick::N,baic,ӗнсе
24,Kopf::N,ceann,пуҫ
25,Rücken::N,droim,ҫурӑм
26,Bauch::N,bolg,
27,Nabel::N,imleacán,кӑвапа
28,Busen::N,cíoch,кӑкӑр
29,Brust::N,brollach,умӗ
30,Schulter::N,gualainn,хул пуҫҫи
31,Arm::N,lámh,алӑ
32,Ellenbogen::N,uillinn,чавса
33,Hand::N,lámh,алӑ сыппи
34,Handfläche::N,bos,ал лаппи
35,Finger::N,méar,пӳрне
36,Fingernagel::N,ionga,чӗрне
37,Nagel[Anatomie]::N,ionga,чӗрне
38,Zeh::N,ladhar,пӳрне
39,Fuß::N,cos,ура лаппи
40,Fuß::N,troigh,ура лаппи
41,Ferse::N,sáil,кӗле
42,Knie::N,glúin,чӗркуҫҫи
43,Oberschenkel::N,ceathrú,пӗҫӗ
44,Bein::N,cos,ура
45,Körper::N,corp,ӳт
46,Körper::N,corp,ӳт-пӳ
47,Körper::N,colainn,ӳт
48,Körper::N,colainn,ӳт-пӳ
49,Haut::N,cneas,тир
50,Haut::N,craiceann,тир
51,Blut::N,fuil,юн
52,Sehne::N,teannán,шӑнӑр
53,Sehne::N,féitheog,шӑнӑр
54,Knochen::N,cnámh,шӑмӑ
55,Gehirn::N,inchinn,миме
56,Herz::N,croí,чӗре
57,Magen::N,bolg,хырӑмлӑх
58,Magen::N,goile,хырӑмлӑх
59,Leber::N,ae,пӗвер
60,Atem::N,anáil,сывлав
61,Hunger::N,ocras,выҫлӑх
62,Träne::N,deoir,куҫҫуль
63,Geschmack::N,blas,техӗм
64,Geruch::N,boladh,шӑршӑ
65,Schlaf::N,suan,ыйхӑ
66,Schlaf::N,codladh,ыйхӑ
67,Traum::N,taibhreamh,тӗлӗк
68,Himmel::N,spéir,пӗлӗт
69,Sonne::N,grian,хӗвел
70,Mond::N,ré,уйӑх
71,Mond::N,gealach,уйӑх
72,Stern::N,rinn,ҫӑлтӑр
73,Stern::N,réalta,ҫӑлтӑр
74,Luft::N,aer,сывлӑш
75,Wind::N,gaoth,ҫил
76,Welle::N,tonn,хум
77,Wasser::N,uisce,шыв
78,Wasser::N,uisce,шыв-шур
79,Stein::N,cloch,чул
80,Boden::N,talamh,тӑпра
81,Erde::N,cré,ҫӗр
82,Erde::N,ithir,ҫӗр
83,Staub::N,dusta,тусан
84,Staub::N,deannach,тусан
85,Rauch::N,toit,тӗтӗм
86,Rauch::N,deatach,тӗтӗм
87,Funke::N,drithle,хӗм
88,Feuer::N,tine,вут
89,Feuer::N,tine,ҫулӑм
90,Licht::N,solas,ҫутӑ
91,Schatten::N,scáth,сулхӑн
92,Wetter::N,aimsir,ҫанталӑк
93,Nebel::N,ceo,тӗтре
94,Wolke::N,néal,пӗлӗт
95,Wolke::N,scamall,пӗлӗт
96,Regen::N,báisteach,ҫумӑр
97,Regen::N,fearthainn,ҫумӑр
98,Schnee::N,sneachta,юр
99,Eis::N,oighear,пӑр
100,Frost::N,sioc,сивӗ
101,Kälte::N,fuacht,сивӗ
102,Hitze::N,teas,вӗри
103,Hitze::N,teas,шӑрӑх
104,Hitze::N,teocht,вӗри
105,Hitze::N,teocht,шӑрӑх
106,Raureif::N,sioc bán,пас
107,Regenbogen::N,stua ceatha,асамат кӗперӗ
108,Regenbogen::N,bogha báistí,асамат кӗперӗ
109,Donner::N,toirneach,аслати
110,Strömung::N,sruth,юхӑ
111,Tropfen::N,deoir,тумлам
112,Schaum::N,cúr,кӑпӑк
113,Schmutz::N,salachar,пылчӑк
114,See::N,loch,кӳлӗ
115,Sumpf::N,portach,шур
116,Sumpf::N,portach,шурлӑх
117,Moor::N,caorán,торфлӑ шурлӑх
118,Moor::N,móinteán,торфлӑ шурлӑх
119,Wiese::N,cluain,улӑх
120,Wiese::N,cluain,ҫаран
121,Wiese::N,móinéar,улӑх
122,Wiese::N,móinéar,ҫаран
123,Wald::N,coill,вӑрман
124,Wald::N,foraois,вӑрман
125,Hügel::N,ard,сӑрт
126,Hügel::N,ard,тӗмеске
127,Anhöhe::N,ard,сӑрт
128,Anhöhe::N,ardán,сӑрт
129,Berg::N,sliabh,ту
130,Gipfel::N,barr,тӳпе
131,Gipfel::N,mullach,тӳпе
132,Höhle::N,uaimh,ҫӗр хӑвӑлӗ
133,Höhle::N,pluais,ҫӗр хӑвӑлӗ
134,Abhang::N,fána,тӑвайкки
135,Quelle::N,foinse,ҫӑл куҫ
136,Bach::N,sruthán,пӗчӗк шыв
