,Concept_ID,hu,cs
0,Auge::N,szem,oko
1,Ohr::N,fül,ucho
2,Nase::N,orr,nos
3,Mund::N,száj,pusa
4,Zahn::N,fog,zub
5,Zunge::N,nyelv,jazyk
6,Lippe::N,ajak,ret
7,Wange::N,orca,tvář
8,Gesicht::N,arc,obličej
9,Stirn::N,homlok,čelo
10,Haar::N,haj,vlas
11,Haar::N,haj,vlasy
12,Schnurrbart::N,bajusz,kníry
13,Bart::N,szakáll,vousy
14,Kinn::N,áll,brada
15,Kiefer[Anatomie]::N,állkapocs,čelist
16,Kehle::N,gége,hrdlo
17,Kehle::N,torok,hrdlo
18,Hals::N,nyak,krk
19,Genick::N,tarkó,týl
20,Kopf::N,fő,hlava
21,Kopf::N,fej,hlava
22,Rücken::N,hát,záda
23,Rücken::N,hát,hřbet
24,Bauch::N,has,břicho
25,Nabel::N,köldök,pupek
26,Busen::N,mell,ňadra
27,Busen::N,kebel,ňadra
28,Brust::N,mell,prsa
29,Schulter::N,váll,plece
30,Schulter::N,váll,rameno
31,Arm::N,kar,ruka
32,Ellenbogen::N,könyök,loket
33,Hand::N,kéz,ruka
34,Handfläche::N,tenyér,dlaň
35,Finger::N,ujj,prst
36,Fingernagel::N,köröm,nehet
37,Nagel[Anatomie]::N,köröm,nehet
38,Zeh::N,lábujj,prst u nohy
39,Fuß::N,láb,noha
40,Ferse::N,sarok,pata
41,Knie::N,térd,koleno
42,Oberschenkel::N,comb,stehno
43,Bein::N,láb,noha
44,Bein::N,lábszár,noha
45,Körper::N,test,tělo
46,Haut::N,bőr,kůže
47,Blut::N,vér,krev
48,Ader::N,ér,céva
49,Sehne::N,ín,šlacha
50,Knochen::N,csont,kost
51,Gehirn::N,agy,mozek
52,Gehirn::N,agyvelő,mozek
53,Herz::N,szív,srdce
54,Magen::N,gyomor,žaludek
55,Leber::N,máj,játra
56,Atem::N,lehelet,dech
57,Atem::N,lélegzet,dech
58,Hunger::N,éhség,hlad
59,Träne::N,könny,slza
60,Geschmack::N,íz,vkus
61,Geruch::N,szag,vůně
62,Geruch::N,szag,zápach
63,Schlaf::N,álom,spánek
64,Schlaf::N,alvás,spánek
65,Traum::N,álom,sen
66,Himmel::N,ég,nebe
67,Himmel::N,menny,nebe
68,Sonne::N,nap,slunce
69,Mond::N,hold,měsíc
70,Stern::N,csillag,hvězda
71,Luft::N,levegő,vzduch
72,Wind::N,szél,vítr
73,Welle::N,hullám,vlna
74,Wasser::N,víz,voda
75,Stein::N,kő,kámen
76,Boden::N,föld,půda
77,Boden::N,talaj,půda
78,Erde::N,föld,země
79,Staub::N,por,prach
80,Rauch::N,füst,dým
81,Rauch::N,füst,kouř
82,Funke::N,szikra,jiskra
83,Feuer::N,tűz,oheň
84,Licht::N,fény,světlo
85,Schatten::N,árnyék,stín
86,Wetter::N,idő,počasí
87,Wetter::N,időjárás,počasí
88,Nebel::N,köd,mlha
89,Wolke::N,felhő,mrak
90,Wolke::N,felhő,oblak
91,Regen::N,eső,déšť
92,Schnee::N,hó,sníh
93,Eis::N,jég,led
94,Frost::N,fagy,mráz
95,Kälte::N,hideg,chlad
96,Hitze::N,hő,horko
97,Hitze::N,hőség,horko
98,Raureif::N,zúzmara,jinovatka
99,Regenbogen::N,szivárvány,duha
100,Donner::N,dörgés,hrom
101,Donner::N,mennydörgés,hrom
102,Strömung::N,áramlat,proudění
103,Tropfen::N,csepp,kapka
104,Schaum::N,hab,pěna
105,Schaum::N,tajték,pěna
106,Schmutz::N,piszok,špína
107,See::N,tó,jezero
108,Sumpf::N,mocsár,močál
109,Sumpf::N,mocsár,bažina
110,Moor::N,láp,bažina
111,Moor::N,láp,slatina
112,Wiese::N,rét,louka
113,Wiese::N,mező,louka
114,Wald::N,erdő,les
115,Hügel::N,domb,kopec
116,Anhöhe::N,magaslat,pahorek
117,Berg::N,hegy,hora
118,Gipfel::N,csúcs,vrchol
119,Höhle::N,barlang,jeskyně
120,Abhang::N,lejtő,svah
121,Abhang::N,lejtő,stráň
122,Quelle::N,forrás,pramen
123,Bach::N,patak,potok
124,Fluss::N,folyó,řeka
125,Ufer::N,part,břeh
126,Küste::N,tengerpart,pobřeží
127,Festland::N,szárazföld,souš
128,Festland::N,szárazföld,pevnina
129,Meer::N,tenger,moře
130,Bucht::N,öböl,záliv
131,Bucht::N,öböl,zátoka
132,Insel::N,sziget,ostrov
133,Blume::N,virág,květina
134,Gras::N,fű,tráva
135,Wurzel::N,gyökér,kořen
136,Baum::N,fa,strom
137,Stamm::N,tő,kmen
138,Stamm::N,törzs,kmen
139,Rinde::N,kéreg,kůra
140,Ast::N,ág,větev
141,Zweig::N,gally,větev
142,Blatt::N,levél,lupen
143,Birke::N,nyír,bříza
144,Kiefer[Baum]::N,fenyő,sosna
145,Kiefer[Baum]::N,fenyő,borovice
146,Weide[Baum]::N,fűz,vrba
147,Tanne::N,fenyő,jedle
148,Horn::N,szarv,roh
149,Feder::N,toll,pero
150,Fell::N,szőr,srst
151,Fell::N,bunda,srst
152,Flügel::N,szárny,křídlo
153,Klaue::N,köröm,dráp
154,Klaue::N,köröm,pazneht
155,Kralle::N,karom,dráp
156,Schwanz::N,farok,ocas
157,Ei::N,tojás,vejce
158,Nest::N,fészek,hnízdo
159,Bau::N,odú,nora
160,Tier::N,állat,zvíře
161,Herde::N,nyáj,stádo
162,Herde::N,csorda,stádo
163,Kuh::N,tehén,kráva
164,Bulle::N,bika,býk
165,Pferd::N,ló,kůň
166,Schaf::N,juh,ovce
167,Schaf::N,birka,ovce
168,Schwein::N,sertés,vepř
169,Schwein::N,sertés,prase
170,Hund::N,eb,pes
171,Hund::N,kutya,pes
172,Katze::N,macska,kočka
173,Bär::N,medve,medvěd
174,Eichhörnchen::N,mókus,veverka
175,Elch::N,jávorszarvas,los
176,Fuchs::N,róka,liška
177,Hase::N,nyúl,zajíc
178,Maus::N,egér,myš
179,Wolf::N,farkas,vlk
180,Vogel::N,madár,pták
181,Schwarm::N,raj,roj
182,Schwarm::N,raj,hejno
183,Huhn::N,tyúk,kuře
184,Huhn::N,tyúk,slepice
185,Hahn::N,kakas,kohout
186,Gans::N,lúd,husa
187,Gans::N,liba,husa
188,Adler::N,sas,orel
189,Ente::N,kacsa,kachna
190,Eule::N,bagoly,sova
191,Kranich::N,daru,jeřáb
192,Krähe::N,varjú,vrána
193,Kuckuck::N,kakukk,kukačka
194,Schwan::N,hattyú,labuť
195,Fisch::N,hal,ryba
196,Barsch::N,sügér,okoun
197,Hecht::N,csuka,štika
198,Schlange[Tier]::N,kígyó,had
199,Wurm::N,kukac,červ
200,Spinne::N,pók,pavouk
201,Ameise::N,hangya,mravenec
202,Laus::N,tetű,veš
203,Mücke::N,szúnyog,komár
204,Fliege::N,légy,moucha
205,Schmetterling::N,lepke,motýl
206,Schmetterling::N,pillangó,motýl
207,Beere::N,bogyó,bobule
208,Apfel::N,alma,jablko
209,Pilz::N,gomba,houba
210,Zwiebel::N,hagyma,cibule
211,Saat::N,vetőmag,osivo
212,Korn::N,mag,zrno
213,Korn::N,szem,zrno
214,Heu::N,széna,seno
215,Schale::N,héj,slupka
216,Schale::N,héj,skořápka
217,Grube::N,verem,jáma
218,Falle::N,csapda,past
219,Falle::N,csapda,léčka
220,Schlinge::N,tőr,smyčka
221,Spur::N,nyom,stopa
222,Asche::N,hamu,popel
223,Dreck::N,sár,špína
224,Dreck::N,piszok,špína
225,Eisen::N,vas,železo
226,Gold::N,arany,zlato
227,Silber::N,ezüst,stříbro
228,Kohle::N,szén,uhlí
229,Glas::N,üveg,sklo
230,Lehm::N,agyag,jíl
231,Lehm::N,agyag,hlína
232,Lehm::N,vályog,jíl
233,Lehm::N,vályog,hlína
234,Sand::N,homok,písek
235,Mensch::N,ember,člověk
236,Mann::N,úr,muž
237,Mann::N,férfi,muž
238,Frau::N,nő,žena
239,Frau::N,asszony,žena
240,Kind::N,gyerek,dítě
241,Kind::N,gyermek,dítě
242,Junge::N,fiú,hoch
243,Junge::N,fiú,chlapec
244,Mädchen::N,lány,děvče
245,Familie::N,család,rodina
246,Großvater::N,nagyapa,děd
247,Großvater::N,nagyapa,dědeček
248,Großmutter::N,nagyanya,babička
249,Eltern::N,szülők,rodiče
250,Vater::N,apa,otec
251,Vater::N,atya,otec
252,Mutter::N,anya,matka
253,Sohn::N,fiú,syn
254,Tochter::N,lány,dcera
255,Bruder::N,fivér,bratr
256,Bruder::N,testvér,bratr
257,Schwester::N,nővér,sestra
258,Schwester::N,lánytestvér,sestra
259,Onkel::N,nagybácsi,strýc
260,Tante::N,nagynéni,teta
261,Ehemann::N,férj,choť
262,Ehemann::N,férj,manžel
263,Ehefrau::N,feleség,choť
264,Ehefrau::N,feleség,manželka
265,Freude::N,öröm,radost
266,Gelächter::N,nevetés,smích
267,Gelächter::N,hahotázás,smích
268,Glück::N,boldogság,štěstí
269,Kummer::N,bánat,žal
270,Kummer::N,bánat,trápení
271,Wunsch::N,óhaj,přání
272,Lust::N,kedv,chuť
273,Geist::N,elme,duch
274,Geist::N,szellem,duch
275,Gedanke::N,gondolat,myšlenka
276,Gedächtnis::N,emlékezet,paměť
277,Verstand::N,ész,rozum
278,Verstand::N,értelem,rozum
279,Sinn::N,értelem,smysl
280,Grund::N,ok,důvod
281,Grund::N,alap,důvod
282,Wahrheit::N,igaz,pravda
283,Wahrheit::N,igazság,pravda
284,Gespräch::N,beszélgetés,rozhovor
285,Märchen::N,mese,pohádka
286,Erzählung::N,elbeszélés,povídka
287,Nachricht::N,hír,zpráva
288,Nachricht::N,híradás,zpráva
289,Neuigkeit::N,újság,novina
290,Neuigkeit::N,újság,novinka
291,Name::N,név,jméno
292,Rätsel::N,rejtvény,hádanka
293,Rede::N,beszéd,řeč
294,Rede::N,beszéd,proslov
295,Rede::N,szónoklat,řeč
296,Rede::N,szónoklat,proslov
297,Sprache::N,nyelv,řeč
298,Sprache::N,nyelv,jazyk
299,Stimme::N,hang,hlas
300,Wort::N,szó,slovo
301,Zeichen::N,jel,znamení
302,Ruf::N,kiáltás,zavolání
303,Lärm::N,zaj,hluk
304,Laut::N,hang,zvuk
305,Ton::N,hang,tón
306,Lied::N,dal,píseň
307,Lied::N,ének,píseň
308,Ruhe::N,csend,klid
309,Ruhe::N,csend,pokoj
310,Ruhe::N,nyugalom,klid
311,Ruhe::N,nyugalom,pokoj
312,Leute::N,emberek,lidé
313,Volk::N,nép,národ
314,Arbeit::N,dolog,práce
315,Gast::N,vendég,host
316,Geschenk::N,ajándék,dar
317,Spiel::N,játék,hra
318,Gesellschaft::N,társaság,společnost
319,Hilfe::N,segítség,pomoc
320,Freund::N,barát,přítel
321,Kamerad::N,társ,kamarád
322,Angelegenheit::N,ügy,záležitost
323,Anzahl::N,szám,počet
324,Art::N,faj,druh
325,Art::N,fajta,druh
326,Stück::N,darab,kus
327,Stück::N,darab,kousek
328,Teil::N,rész,díl
329,Teil::N,rész,část
330,Hälfte::N,fél,půl
331,Kreis::N,kör,kruh
332,Kreuz::N,kereszt,kříž
333,Linie::N,vonal,linka
334,Strich::N,vonás,čára
335,Strich::N,vonás,čárka
336,Abstand::N,köz,vzdálenost
337,Entfernung::N,távolság,vzdálenost
338,Gegend::N,táj,krajina
339,Gegend::N,vidék,krajina
340,Platz::N,hely,prostor
341,Ort::N,hely,místo
342,Seite::N,fél,strana
343,Seite::N,oldal,strana
344,Mitte::N,közép,střed
345,Mitte::N,közép,prostředek
346,Gegenstand::N,tárgy,předmět
347,Sache::N,dolog,věc
348,Rand::N,szél,kraj
349,Rand::N,szél,okraj
350,Rand::N,perem,kraj
351,Rand::N,perem,okraj
352,Rand::N,szegély,kraj
353,Rand::N,szegély,okraj
354,Kante::N,él,hrana
355,Ecke::N,sarok,roh
356,Ecke::N,szöglet,roh
357,Spitze::N,csúcs,hrot
358,Spitze::N,csúcs,špička
359,Ende::N,vég,konec
360,Loch::N,lyuk,díra
361,Winkel::N,szög,kout
362,Muster::N,minta,vzor
363,Größe::N,nagyság,velikost
364,Länge::N,hossz,délka
365,Länge::N,hosszúság,délka
366,Höhe::N,magasság,výška
367,Gewicht::N,súly,váha
368,Menge::N,sokaság,množství
369,Menge::N,mennyiség,množství
370,Haufen::N,halom,kupa
371,Haufen::N,halom,hromada
372,Reihe::N,sor,řada
373,Reihe::N,sor,řádek
374,Boot::N,csónak,člun
375,Ruder::N,evező,veslo
376,Schlitten::N,szánkó,sáně
377,Ski::N,sí,lyže
378,Lagerfeuer::N,tábortűz,táborák
379,Last::N,teher,náklad
380,Last::N,teher,břemeno
381,Gang::N,járás,chůze
382,Gang::N,járás,chodba
383,Schritt::N,lépés,krok
384,Norden::N,észak,sever
385,Süden::N,dél,jih
386,Westen::N,nyugat,západ
387,Osten::N,kelet,východ
388,Holz::N,fa,dřevo
389,Brett::N,deszka,prkno
390,Platte::N,lap,deska
391,Platte::N,lemez,deska
392,Stütze::N,támasz,opěra
393,Stütze::N,támaszték,opěra
394,Stange::N,rúd,tyč
395,Stange::N,rúd,tyčka
396,Stange::N,pózna,tyč
397,Stange::N,pózna,tyčka
398,Stock::N,pálca,hůlka
399,Stab::N,bot,hůl
400,Rohr::N,cső,trubka
401,Haus::N,ház,dům
402,Heim::N,otthon,domov
403,Ofen::N,kályha,kamna
404,Fußboden::N,padló,podlaha
405,Tisch::N,asztal,stůl
406,Stuhl::N,szék,židle
407,Wiege::N,bölcső,kolébka
408,Bett::N,ágy,postel
409,Regal::N,polc,regál
410,Regal::N,polc,police
411,Regal::N,állvány,regál
412,Regal::N,állvány,police
413,Kiste::N,láda,bedna
414,Fenster::N,ablak,okno
415,Tür::N,ajtó,dveře
416,Tor::N,kapu,vrata
417,Zaun::N,kerítés,plot
418,Dach::N,tető,střecha
419,Leiter::N,létra,žebřík
420,Besen::N,seprű,koště
421,Besen::N,seprű,smeták
422,Spaten::N,ásó,rýč
423,Schaufel::N,lapát,lopata
424,Gabel::N,villa,vidlička
425,Löffel::N,kanál,lžíce
426,Messer::N,kés,nůž
427,Nagel::N,szeg,hřebík
428,Netz::N,háló,síť
429,Haken::N,kampó,hák
430,Griff::N,nyél,držadlo
431,Griff::N,fogantyú,držadlo
432,Schloss::N,zár,zámek
433,Bild::N,kép,obraz
434,Figur::N,alak,figura
435,Puppe::N,bábu,panenka
