,Concept_ID,kk,xal
0,Auge::N,көз,нүдн
1,Ohr::N,құлақ,чикн
2,Nase::N,мұрын,хамр
3,Mund::N,ауыз,амн
4,Zahn::N,тіс,шүдн
5,Zunge::N,тіл,келн
6,Lippe::N,ерін,урл
7,Wange::N,ұрт,халх
8,Gesicht::N,бет-аузы,нүр
9,Stirn::N,маңдай,маңна
10,Haar::N,қыл,үсн
11,Schnurrbart::N,мұрт,сахл
12,Bart::N,сақал,сахл
13,Bart::N,сақал,өргнә сахл
14,Kinn::N,иек,өргн
15,Kiefer[Anatomie]::N,жақ,өргн
16,Kehle::N,алқым,хол
17,Hals::N,мойын,күзүн
18,Genick::N,желке,гиҗг
19,Kopf::N,кәллә,толһа
20,Rücken::N,арқа,нурһн
21,Bauch::N,қарын,гесн
22,Nabel::N,кіндік,киисн
23,Busen::N,омырау,көкн
24,Brust::N,кеуде,чееҗ
25,Schulter::N,иық,ээм
26,Arm::N,қол,һар
27,Ellenbogen::N,шынтақ,тоха
28,Hand::N,қол,баһлцг
29,Handfläche::N,алақан,альхн
30,Finger::N,саусақ,хурһн
31,Finger::N,саусақ,һарин хурһн
32,Fingernagel::N,тырнақ,хумсн
33,Nagel[Anatomie]::N,тырнақ,хумсн
34,Zeh::N,тырнақ,хурһн
35,Zeh::N,тырнақ,көлин хурһн
36,Zeh::N,тұяқ,хурһн
37,Zeh::N,тұяқ,көлин хурһн
38,Fuß::N,аяқ-басы,тавг
39,Ferse::N,өкше,өскә
40,Ferse::N,өкшелік,өскә
41,Knie::N,тізе,өвдг
42,Oberschenkel::N,жамбас,һуй
43,Bein::N,аяқ,көл
44,Körper::N,дене,махмуд
45,Haut::N,тері,арсн
46,Blut::N,қан,цусн
47,Ader::N,көктамыр,судцн
48,Ader::N,күретамыр,судцн
49,Sehne::N,сіңір,шүрүсн
50,Knochen::N,жілік,ясн
51,Gehirn::N,ми,экн
52,Herz::N,жүрек,зүркн
53,Magen::N,асқазан,гесн
54,Leber::N,бауыр,элкн
55,Atem::N,леп,әмсхл
56,Hunger::N,ашаршылық,харһнлһн
57,Träne::N,жас,нульмсн
58,Geschmack::N,дәм,амтн
59,Geschmack::N,татым,амтн
60,Geschmack::N,талғам,амтн
61,Geruch::N,иіс,үнр
62,Schlaf::N,ұйқы,нөр
63,Schlaf::N,ұйықтау,нөр
64,Traum::N,түс,зүүдн
65,Himmel::N,аспан,теңгр
66,Himmel::N,көқ,теңгр
67,Himmel::N,таңдай,теңгр
68,Sonne::N,күн,нарн
69,Mond::N,ай,сар
70,Stern::N,жұлдыз,одн
71,Luft::N,әуе,аһар
72,Wind::N,жел,салькн
73,Welle::N,толқын,дольган
74,Wasser::N,су,усн
75,Stein::N,тас,чолун
76,Boden::N,қыртыс,Һазр
77,Erde::N,топырақ,Һазр
78,Staub::N,шаң,тоосн
79,Rauch::N,түтін,утан
80,Funke::N,ұшқын,очн
81,Feuer::N,алау,һал
82,Licht::N,шұғыла,герл
83,Schatten::N,көлеңке,сүүдр
84,Wetter::N,ауа райы,теңгр
85,Nebel::N,тұман,будн
86,Wolke::N,бұлт,үүлн
87,Regen::N,жаңбыр,хур
88,Schnee::N,қар,цасн
89,Eis::N,мұз,мөсн
90,Frost::N,суық,киитн
91,Kälte::N,ызғар,киитн
92,Kälte::N,суықтық,киитн
93,Hitze::N,аптап,халун
94,Raureif::N,қырау,цаң
95,Raureif::N,қырау,кирү
96,Regenbogen::N,кемпірқосақ,солңһ
97,Donner::N,күн күркіреу,оһтрһун дун
98,Strömung::N,ағын,урсхл
99,Tropfen::N,тамшы,дусал
100,Schaum::N,көбік,көөсн
101,Schmutz::N,кір,кир
102,See::N,көл,нур
103,Sumpf::N,саз,унул
104,Moor::N,саз,улм
105,Wiese::N,шалғын,хадлһн
106,Wald::N,орман,ө-модн
107,Hügel::N,төбе,толһа
108,Hügel::N,белес,толһа
109,Hügel::N,белес-белес,толһа
110,Anhöhe::N,дөң,хамр
111,Anhöhe::N,адыр,хамр
