,Concept_ID,is,sah
0,Auge::N,auga,харах
1,Ohr::N,eyra,кулгаах
2,Nase::N,nef,мурун
3,Mund::N,munnur,айах
4,Zahn::N,tönn,тиис
5,Zunge::N,tunga,тыл
6,Lippe::N,vör,уос
7,Wange::N,kinn,иэдэс
8,Wange::N,vangi,иэдэс
9,Gesicht::N,andlit,сирэй
10,Stirn::N,enni,сүүс
11,Haar::N,hár,баттах
12,Schnurrbart::N,yfirskegg,уос бытыга
13,Bart::N,skegg,сэҥийэ бытыга
14,Kinn::N,haka,сэҥийэ
15,Kiefer[Anatomie]::N,kjálki,сыҥаах
16,Kiefer[Anatomie]::N,skoltur,сыҥаах
17,Kehle::N,kverk,тамах
18,Kehle::N,kverk,күөмэй
19,Hals::N,háls,моой
20,Genick::N,hnakki,кэтэх
21,Kopf::N,höfuð,бас
22,Rücken::N,hryggur,көҕүс
23,Bauch::N,kviður,ис
24,Nabel::N,nafli,киин
25,Busen::N,barmur,эмиий
26,Brust::N,brjóst,түөс
27,Schulter::N,öxl,сарын
28,Arm::N,armur,илии
29,Ellenbogen::N,olnbogi,тоҕонох
30,Hand::N,hönd,илии
31,Handfläche::N,lófi,ытыс
32,Finger::N,fingur,тарбах
33,Fingernagel::N,fingurnögl,тыҥырах
34,Nagel[Anatomie]::N,nögl,тыҥырах
35,Zeh::N,tá,тарбах
36,Fuß::N,fótur,уллуҥах
37,Ferse::N,hæll,тилэх
38,Knie::N,kné,тобук
39,Knie::N,kné,дьилбэк
40,Oberschenkel::N,læri,уллук
41,Oberschenkel::N,læri,өттүк
42,Bein::N,fótleggur,атах
43,Körper::N,búkur,бэйэ
44,Körper::N,líkami,бэйэ
45,Haut::N,húð,тирии
46,Haut::N,skinn,тирии
47,Blut::N,blóð,хаан
48,Ader::N,æð,вена
49,Ader::N,æð,күөх_тымыр
50,Sehne::N,sin,иҥиир
51,Knochen::N,bein,уҥуох
52,Knochen::N,bein,уҥгуох
53,Gehirn::N,heili,мэйии
54,Herz::N,hjarta,сүрэх
55,Magen::N,magi,куртах
56,Leber::N,lifur,быар
57,Atem::N,andi,тыын
58,Atem::N,andardráttur,тыын
59,Hunger::N,hungur,аас
60,Träne::N,tár,харах уута
61,Geschmack::N,smekkur,амтан
62,Geruch::N,lykt,сыт
63,Schlaf::N,svefn,утуйуу
64,Traum::N,draumur,түүл
65,Himmel::N,himinn,халлаан
66,Sonne::N,sól,күн
67,Mond::N,tungl,ый
68,Stern::N,stjarna,сулус
69,Luft::N,loft,салгын
70,Wind::N,vindur,тыал
71,Welle::N,alda,долгун
72,Welle::N,alda,балхаан
73,Welle::N,bylgja,долгун
74,Welle::N,bylgja,балхаан
75,Wasser::N,vatn,уу
76,Stein::N,steinn,таас
77,Boden::N,botn,сир
78,Erde::N,jörð,буор
79,Staub::N,ryk,быыл
80,Staub::N,duft,быыл
81,Rauch::N,reykur,буруо
82,Funke::N,neisti,кыым
83,Feuer::N,eldur,уот
84,Licht::N,ljós,уот
85,Schatten::N,skuggi,күлүк
86,Wetter::N,veður,күн-дьыл
87,Nebel::N,þoka,туман
88,Wolke::N,ský,былыт
